title,content,rating,username,genres
Wow. What a film,"Okay, so after years of just hearing about this film and not seeing it (I have no excuses) I finally put it on. And wow, it's an absolutely fantastic film.Ill start by giving my reason why I haven't watched for so long and that's because I was told it was really complicated and confusing. And I'll be honest, 10 minutes into this film I was completely out of whack. I had absolutely no idea what's happening. But after around half an hour or so it becomes really apparent what's happening and the story just becomes more and more interesting. So if you're worried about complexity of the plot. Don't, you'll be fine.The ending as well I liked. You honestly don't know how this film will end, I was 10 minutes from the film ending and I still didn't know what was going to go down. But it's done really nicely and closes off any unanswered questions.
Watching films like Donny Darko you end up confused by the end and have several questions whereas this doesn't have this and I prefer that. (Donny Darko is great by the way, I was just giving an example).Beyond that I thought the acting was really good, the managed to pull off good character development and the changes of memory were quite obvious so there wasn't any overlapping or confusion on what you were watching.It's just overall an absolutely fantastic film and I highly recommend watching this if you haven't done so already.",9.0,Anonymous,Sci-Fi
How Kelso lost his mind.,"Every so often we all seem to move away from the usual nothings we talk about amongst our friends, and instead get into a deeply philosophical conversation about the workings of Chaos Theory and the existence of parallel universes. No? Okay, just me then. In any case, this discussion just the other day led to a friend recommending The Butterfly Effect, a film that puts both a stylistic and sinister spin on the idea that even the mere flapping of a butterfly's wings can result in drastic changes in another place or time. Being initially sceptical because of the generally negative reaction from critics, I was certainly not disappointed by film's end.Ashton Kutcher couldn't be more different that his concurrent role as the dimwitted Kelso from That '70s Show in his lead performance as Evan Treborn, a man who has suffered blackouts since his childhood, and realises that he can access and relive vital gaps in his memory through the help of other sources like journals or images. He uses this skill to, in his eyes, right the wrongs of the past. Namely, injustices that were performed upon his friends Lenny and Tommy and only love Kayleigh (Amy Smart). What he doesn't realise is that the changes he thinks are made for the better actually result in a severely changed future that threatens his own life.Without trying to sound like a sadist, The Butterfly Effect excels in presenting a consistently dark, melancholy atmosphere. Indeed, there is hardly a happy moment in the entire film, although that may be untrue depending on which ending you watch (more on that later). Any event that looks as if it might provide a slim ray of hope for Evan to make things right is quickly dashed by a sudden escalation of the plot, maintaining the viewer's interest the whole way through. The film doesn't shy away from heavy subject matter either, including prostitution, murder, paedophilia and drug use, all of which culminates in an enjoyably gritty, underground tone.Positively, the menacing nature of the movie isn't weighed down by comic relief. I suppose when many of us think of this sort of plot, we first think of the Simpsons Halloween special when Homer invents the time-travelling toaster. Not knowing quite how dark the film would turn out to be, I was concerned The Butterfly Effect would go down a similar path, in which Evan keeps returning to the present to find that all humans have grown wings or Pauly D has become President. Instead, any changes are limited to the persona of the characters, rather than altering the physical environment, which was definitely the professional path to take.The pacing is another strength. For a film that comes in well under two hours, directors Eric Bress and J. Mackye Gruber deserve credit for packing a lot in, and doing it well. Certainly, some thrillers benefit from slow-moving scenes to draw suspense (the superb Eyes Wide Shut, for example) but Butterfly manages to combine compounding urgency with engaging character development in constructing a fast-moving film that requires both thought and stamina to decipher, without being needlessly confusing.Oddly, the film possesses four different final scenes, and so the lasting message of the movie may differ depending on the copy viewed. My favourite ending is the 'official' one applied to the theatrical release. It is satisfying, yet open-ended, as is the case with its alternate cut. Another is uncharacteristically upbeat and illogical, perhaps suggested in the editing room as a way of appeasing confused screen-test viewers. But if you really want to get down to brass tax, go with the Director's Cut: a far more morbid conclusion with a surreal twist. Intrigued? Don't let me stop you.*There's nothing I love more than a bit of feedback, good or bad. So drop me a line on jnatsis@iprimus.com.au and let me know what you thought of my review.*",8.0,Anonymous,Sci-Fi
Mindf@ck film just like they should be,"I seldom come out and write movie reviews in IMDb but I felt this one deserved some effort from me. I don't recall any movie which made me shiver thinking about what was gonna come next when I hit pause to go for a pee or any other reason. This one is really something. There is a ""Lost Highway"" feel to it and the themes are closely related but...The Butterfly effect is in fact more complex.It is a really disturbing movie, not so much for what it shows, but for what it keeps you guessing - like all true thriller masterpieces - , about events that take or might take place, and above all, about human sanity and the subtle twist there is between the average Joe's walk of life and outright perversion. Requires multiple - rewarding - viewings.",8.0,Anonymous,Sci-Fi
"What if there's an alternate life for you somewhere, out there, where the cumulative sum of your choices leads to a better reality, a happier and more fulfilling existence?","What if you could go back to major junctions in your life and take the other path? What if there's an alternate life for you somewhere, out there, where the cumulative sum of your choices leads to a better reality, a happier and more fulfilling existence? On the flip-side - what if, at the end of the day, you really can't achieve a solid grip on these things, no matter how hard you try?A great deal of science fiction works of art have tried to approach these meaningful questions throughout the years, all presenting many philosophical ideas and notions as to how one man can change his own fate, for better or for worse. In this surprisingly good sci-fi adventure from 2004, directors Eric Bress and J. Mackye Gruber (who are also behind the screenplay of Final Destination 2) raise all these questions once again, but use a different angle this time around. Time travel is not the issue here. Instead, our lead protagonist, Evan Treborn (portrayed by Hollywood prankster Ashton Kutcher  but more on that later) leads his whole life up until his early 20's without knowing he has a rare medical condition that seemingly helps him shut away traumatic incidents that occurred throughout his childhood and adolescence years. All he remembers from these various occasions are bizarre blackouts. But when a blast from his past comes back into his life only to leave it ever so tragically (Kayleigh Miller, portrayed by the lovely Amy Smart who we've since seen in films such as Just Friends and Crank), Evan learns that he can return to those important lost moments in his life and re-inhabit his younger body, thus changing the present and future. However, with every shift in the past comes an alternate present that may seem better at first, but is in fact a far harsher reality than the original one Evan has left.What truly touched me about this film was the essence in which it captured the troublesome youth of my generation, that was born in the 1980's, grew up in the 1990's, and is ever since trying to adapt to the ever changing reality in which we all live in. Here, one man tries to alter all this, and his own personal journey is parallel in many ways to the journey many young people go through nowadays. Part of capturing this Generation X notion is the pop-culture presented throughout the film. When you see the young actors and actress fall in love, fight, and grow up real fast, it all happens amidst references to films of the period (Se7en, etc.), outfits, 1980's technology and other devices that fill you up with an overwhelming feeling of nostalgia and sentiment, as if you were there yourself, living these events and going through all these horrible/wonderful events.Above all things, the makers of The Butterfly Effect do the unbelievable and turn Ashton Kutcher into a good actor  a feat I thought was unachievable at best. However, in this sci-fi epic it appears as though anything is possible. Bottom line, it was a fresh breath of air when I saw it, left me pondering for days, and gave me the inspiration and write something myself after a long period of writers block. If a film manages to be this inspirational and keep you on the edge of your seat throughout its 113 minutes duration, all I can do is humbly bow down in front of its makers' talents. I'm eagerly waiting for other outings by these young folks.",10.0,Anonymous,Sci-Fi
Surprisingly a great movie,"Ashton Kutcher plays Evan Treborn, a troubled man who suffered blackouts as a child. When he discovers a way to travel back into the body of his past self, his time trips start to cause negative results on his present. As he uses his powers to try to fix his past and present, the effect escalates, creating alternate realities, many of which are worse than the past that he is trying to change.The Butterfly Effect is a terrific thriller that keeps you on the edge of your seat. The previews looked very intense and the whole film is pretty much like that. It held onto the audience right at the start and it didn't let go until the end. The plot is nothing new but the execution was very nice. It offers a bunch of interesting and unpredictable twists so it's hard to see where things are going. The whole film is like that, just one long engaging thrill ride.The acting is okay, some people did better than others. Ashton Kutcher is surprisingly good as Evan and he does a good job for his first serious movie. Amy Smart is very pretty and talented and she plays Kayleigh perfectly. The only person I didn't really like was Melora Walters. She was pretty wooden and unconvincing. Besides for her, the acting was pretty good and convincing. No one really did a bad job.This film was directed and written by both Eric Bress and J. Mackye Gruber. They did make their mistakes but the film is still pretty good. The critics never gave this movie a chance. As soon as they heard Ashton Kutcher was in it, they all prepared to give it thumbs down. The movie moves around a lot that its hard to keep up but it also keeps you paying attention. Plenty of movies have gone back in time before but this one does it so more effectively that its almost original in that sense. The beginning is done well, the middle it starts dragging but it starts picking up and the ending is done extremely well. This is one of the best films of 2004 and certainly an entertaining one. In the end, this underrated gem is worth checking out. Rating 8/10",7.0,Anonymous,Sci-Fi
A Real Tripped Out Roller Coaster,"Man... Whew... Wow! I'm at a loss of words to describe this high octane, tantalizing, brain-stimulating movie. The acting: excellent. The plot: superb. The story: great. The drama/suspense: mind numbing.How the writers were able to put this story together so flawlessly, I don't know, and how the director was able to actualize it, even more amazing. There was plenty of visual stimuli as well as mental stimuli as you waited to see the outcome of each alteration made by the main character, Evan Treborn (Ashton Kutcher).The movie kept me guessing and kept me at the edge of my seat, and the writers outdid themselves by making sure the movie didn't peter out with some lame ending. The ending was icing on the cake and it capped what should be a classic.",8.0,Anonymous,Sci-Fi
One good turn....,"This movie received WAY too many bad reviews. The only reason was to PUNK Ashton Kutcher. Say what you will, Kutcher did a fair to midland acting job here. There have been a lot worse performances on film in much better reviewed movies. I tell you, you will NOT be disappointed watching the Director's cut Alternate ending. It is a story of how one action causes a series of reactions...no matter the intentions, be careful what you wish for. This film's biggest mistake was promoting it in the horror genre. It is NOT! It is a nice dark fantasy film, nothing more, nothing less. There are 2 different endings, with 2 different meanings for me. I preferred the Alternate ending in lieu of the Theatrical ending. A great ""popcorn"" movie. Don't believe the (bad)Hype!",7.0,Anonymous,Sci-Fi
See it more than once!,"The film has never been showed in Denmark, (where I come from) so the press has never reviewed it. It took me 2 times to get the point but when I realized every part of the film, I felt a huge rush! I'm sure when I see it the 3rd time it will be an even bigger experience to me. Every part of the film plays an important role to the main thread. Every details have a role! The film is like reading a poem from the 18th century, where every sentence means something. The director is a pure genius! Those who've criticized the film, should really see it again, because you'll then notice all the details which makes this film excellent! Without a doubt one of the best films I've seen!",10.0,Anonymous,Sci-Fi
Like swiss cheese - tasty but full of holes.,"I should state up front that this review is for the director's cut.To put it bluntly, this movie suffers from having a smart heart and a stupid brain.  Any movie like this requires the viewer to suspend disbelief.  In doing so the storytellers have the option to establish replacement rules to govern the universe they've created.  This movie sets up well, giving the main character (Evan) blackouts which it will fill in later.  However, once Evan ventures into his past to 'fill in' the empty spaces, the movie begins to contradict itself.  This would be excusable if it was a lighter, more amusing movie.  But this is far from light material.  It is extremely morbid.  The audience is bombarded with this darkness, which attempts to engage us, to give us something deeper.  Unfortunately, it doesn't take much digging before you get frustrated.For me, there are two particularly frustrating aspects to this film:First, the tagline of this movie is ""change one thing, change everything"". As such, I expected that when Evan goes back to change something, everything from that point forward will be different.  In other words, if Evan has ten blackouts, and goes back to visit the fifth one, then all the following blackouts would either vanish or be completely different.  Instead, the blackouts are always the same.  Evan jumps around to whatever blackout is convenient.  However, this betrays the movie's central concept.  This could have been fixed with a more careful storyline, where the blackouts were visited in reverse order.The second frustrating aspect is the gross simplifications in Evan's revised histories.  When Evan goes back and changes over a decade of history, the effects of his change are summed up far too easily and conveniently, almost as if the other people are all in on some cruel joke being played on Evan. I understand that this is done to keep the pace moving, but again the central theme of ""change one thing, change everything"".  But even after multiple changes, a lot of the world stays pretty much the same.Comparisons to Donnie Darko are inevitable.  Donnie Darko was a superior film in this regard because it did not make the mistake of laying down ground rules and then breaking them.  Instead, it hides the rules from the audience and leaves them up for discussion.  As a result, you have a much more interesting conversation piece.  The Butterfly Effect essentially outsmarts itself by trying too hard.For some, my comments may seem like cynical over-thinking.  This movie has a lot of polish on it to make it look good, and if you want to keep your brain turned off, you may enjoy it considerably.  Some people may not like Ashton Kutcher and discredit the movie based on that, but honestly I thought his performance was far more convincing than the script itself.Like I said before, this movie does have a smart heart.  It tries very very hard to bring something interesting to the table.  The setup and ending are good, but the path between is too dark for its own good and ultimately a mess of contradictions.  6 out of 10.",6.0,Anonymous,Sci-Fi
Promises more than it delivers,"If we want to analyze where this movie fails, we can look no further than the title. It alludes to a popular metaphor in chaos theory, the idea that a butterfly flapping its wings could cause a storm on the other side of the world. It also draws heavily on Ray Bradbury's classic short story in which the entire history of mankind is affected by someone stepping on an insect.Based on this background, you'd think this movie would be about how tiny, trivial events can have monumental, unpredictable consequences. I would have liked to see a film that truly addresses this possibility, since most time-travel movies ignore it. In ""Back to the Future,"" for example, I could never believe that Marty would ever be able to set the past straight after his initial interference. Just his setting foot in the 1950s ought to have threatened his existence. Why? It's quite simple. Even though his parents will get married to each other, how can he be sure they'll have the same kids? ""Back to the Future"" set the standard for the genre by narrowing the scope of possible changes when dealing with time paradoxes.The main problem with ""The Butterfly Effect"" is that it doesn't transcend this level but simply thinks that it does. Take the scene where Kutcher tries to stop the exploding mailbox. The chain reaction of events that result from this act may be drastic, but there is nothing unpredictable about it. He affects a crucial event in his life and the result is a straightforward, logical consequence, hardly akin to stepping on an insect and changing the course of man. The writers could have used far more imagination when devising the plot. Other changes that the character makes are unconvincing, such as the notion that he could prevent recurrent child abuse simply by threatening someone on a single occasion. That scene, in any case, is not a good example of little things affecting the world in big ways. It's an example of wishful thinking, plain and simple. When the scenario finally goes wrong, it happens because of the way Kutcher's character acts in the altered present, not because of the altered time-line itself.The film's first forty-five minutes are somewhat more promising. These early scenes deal with Kutcher's childhood experiences, how he blacks out whenever his life becomes too traumatic. It's an intriguing setup that would have left me wondering where the story was headed had I not already seen the trailer, where I learned that it was going to be about time travel. On a dramatic level, the movie's biggest failing is that it never follows through with the tone it sets up in the beginning. We're promised a thriller, but the movie degenerates into what can best be described as an episodic black comedy, almost a dark version of ""Bedazzled.""This is sort of entertaining, but I was hoping for more. I may have been influenced by the fact that shortly before seeing the film, I read ""Bid Time Return,"" the Richard Matheson novel on which the 1980 movie ""Somewhere in Time"" is based. This book, even more than the movie adaptation, strongly leads us to suspect that the time-traveling experience occurs only in the protagonist's mind. ""The Butterfly Effect"" has a similar ambiguity that it never truly addresses, perhaps because mainstream audiences would have found such an approach too disturbing.You may notice that I have so far not talked about the acting, and I will resist the temptation to rag on Kutcher's performance more than others have done. He's not terribly engaging, but it's not all his fault (especially considering that his character is played by other actors for a good portion of the film). The real problem lies at the level of the script, which doesn't give Kutcher much to do. The film is so plot-driven it doesn't spend much time on its characters.Ultimately, this movie has nothing new to contribute to the time travel genre. While it tries to pass itself off as a twist on the old premise, it quickly becomes a fairly routine thriller about a man tweaking his past. I hope that the next time they decide to do such a film, they'll leave cool metaphors like butterfly effects to a script that is truly willing to deal with such concepts instead of simply pretending to.",6.0,Anonymous,Sci-Fi
