title,content,rating,username,genres
"Excellent story about the rise and fall of Irish ""saviors of soul"".","Alan Parker's brilliant directing effort on THE COMMITMENTS really shines. More than an entertaining spectacle, it has a whole lot of influence on the soul music circuit. Shots of Dublin city life are nicely photographed. The musical acts are extremely well talented and well done, if only the occasional dialogue breaks didn't interrupt the awesome sound. There could've been some more new tunes instead of old ones, but it's amazing to discover the fictional band's lead singer pull them off out of his lungs. Phenomenal! At least you can try to find the soundtrack album. One thing stands out the best: the casting. We need more of today's movies to do the same thing: to provide creative acting talents. The musical genre of modern Hollywood needed something like this to keep it afloat. Highly recommended!",8.0,Anonymous,Music
For it's time it's a classic,"The Commiments holds a very unique place in Irish modern movie history. For a start you have to understand that the Dublin that the film was shot in was incredibly bleak in the early '90's. Unemployemt was huge, money was scarce etc. When the film opened in Dublin it was a genuine phenomenon. The biggest cinema in Dublin (The Savoy) showed the picture around the clock on it's opening weekend and it played to pretty much full houses at all shows. I watched, for the 4th time, with a crowd of approx 500 at 6.00am on Sunday and the atmosphere was electric. This was a film we could relate to, it was about us and where we lived. Suffice to say it was a monster hit in Ireland at the time. I was working in the cinema business at the time (managing UCI) and I was lucky enough to be at the premiere. When the cast were introduced one by one the roof lifted. I attended the party where The Commitments (all of them) played in a tiny club on the docks called The Waterfront and to say that was pretty special is an understatement. To this day I'm still friend with Dick Massey (Billy Mooney) and and from to time to time he will remissness about his time with the film. The Commitments only played live together three times, the Dublin premiere, the NY premiere the LA premiere. I saw then in their home town! While the movie is certainly flawed it is still a classic for it's time.",9.0,Anonymous,Music
Fun loving and full of life,"Jimmy Rabbitte (Robert Arkins) is a small time hustler selling pirated tapes and T-shirts. Outspan Foster (Glen Hansard) and Derek Scully (Ken McCluskey) ask Jimmy to manage their wedding band. Jimmy declares that they need to be a hard working Soul band. He puts an ad in the papers and it's a parade of wrong music. His Elvis loving dad (Colm Meaney) doesn't get it. Sax playing Dean Fay (Félim Gormley) is the first brought into the band. Billy Mooney (Dick Massey) is the drummer. Jimmy gets Natalie Murphy (Maria Doyle Kennedy), Imelda Quirke (Angeline Ball) and Bernie McGloughlin (Bronagh Gallagher) as the backup singers. After watching a drunken Deco Cuffe (Andrew Strong) sing at the wedding, he gets him as the lead singer. Joey ""The Lips"" Fagan (Johnny Murphy) is the womanizing experienced trumpet player who comes up with their name ""The Commitments"". He hires the volatile Mickah Wallace (Dave Finnegan) as their security.This is fun. It's great music. The cast is mostly musicians trying their hands at acting. Some of them would become quite interesting. It's based on the first of novelist Roddy Doyle's lower class Barrytown trilogy. It's heart warming and then sadly inevitable. The portrayal of the Irish lower class is one of loving profanity. The one word I would use is life. This movie is full of life. The movie could have ended with something predictable but this way it's poetry.",8.0,Anonymous,Music
"Funny, heartbreaking and true","Who needs expensive movie stars when a group of unknowns can light up the screen like this lot?On paper, it sounds like a failure - a cast comprising almost entirely of untrained and untested performers, set in working class Dublin, based on the novella by Roddy Doyle.  By God, does it defy expectations.Jimmy Rabbitte is a working class Dublin lad who's been collecting unemployment benefits for two years.  But he dreams of bigger things, namely making it big in the music industry.  He sets out to form a soul band, and assembles a motley crew of musicians and singers, most of whom don't know each other and many of whom can't stand each other.The look of the film is gritty and realistic - nothing is glossed over. North Dublin is presented in all it's glory.  The home lives of the band members are depicted warts and all - their private lives set the scene for the inevitable personality clashes that are almost as explosive as the music.  In the mix is the unique character of the Irish people - at one point Jimmy enters a tenement block and, as he waits for the lift, looks over to see a boy with a horse.  ""You aren't taking that in the lift, are you?"" he asks.  ""I have to,"" the boy replies.  ""The stairs would kill him.""The real star of the show is the music - this film spawned two hugely successful soundtrack albums.  The band members were cast partly due to their musical ability, and the results are superlative.  The stand out is Andrew Strong as Deco - would you believe this kid was only 16 when the film was made?  His amazing voice belies his tender years, and suggests that he's been smoking a packet a day since the age of about four.  At the end of the day with is a fine ensemble piece, much like the band.  The acting may be a little wonky at times, but the hysterical dialogue makes up for that.Most remarkably, this is a feel good film that does not rely on any of the conventional feel good plot devices.  There are no group hugs, no plot conveniences, no trite happy endings.  Just a shrewdly observed and wittily captured human story about people who dream of making it out of their dreary world.  And isn't that something we can all relate to?",10.0,Anonymous,Music
Funny how the Irish dig Motown...,"I've lived in Detroit all my life, and the great soul music of the 1960's and 70's which was created here (and is still enjoyed here) is featured throughout ""The Commitments.""  The Irish lads and lasses really do up the soul staples, from ""Try a Little Tenderness"" to ""Mustang Sally.""  The actual musical talent is reinforced by the strong character development, industrial setting (North Dublin), and masterful plot, adapted from the novel of the same name by Roddy Doyle. ""Say it once, say it loud...I'm black and I'm proud,"" is never more irreverently humorous than when questionably repeated by Jimmy Rabbite's soul disciples. I own this film, and I could watch it over and over.  The soundtrack is excellent, and the pop culture references throughout the movie are hilarious (especially during the audition scene.) This film delighted both the hard-core Detroiter in me, as well as the Irish lass.  The working class Irish youth depicted in the movie are sincere, and so is their project, The Commitments. (All the great bands were a ""The ..."")",,Anonymous,Music
Brilliant!,"I first heard of the Commitments when I heard someone playing the soundtrack on their car radio. I quickly bought myself a copy and played it about 10 times a day - the music and the singing were unlike anything I'd ever heard before, even though all the songs are covers.It wasn't until about 6 months later that the film was on an obscure cable channel, and I literally got goosebumps as soon as the opening credits rolled with ""Treat her right"". It was so incredible to actually see the characters performing the songs that I'd grown to love. It all became complete actually seeing the story unfold, and by the end you're really rooting for the band to succeed. When they perform ""Try a Little Tenderness"" I've never managed to watch that scene without tears in my eyes, it's such a fantastic version of the song and the energy Andrew Strong brings to it is just incredible, especially as he was only 16 at the time.Anyone who loves music has to see this film, even you're not familiar with soul music - I promise you'll be hooked after seeing The Commitments!",10.0,Anonymous,Music
Great Fun,"A comedy about the rise and fall of a band in Dublin. This film is really funny and energetic, but you'll probably need to like the music to really enjoy it. The Commitments are a rough and ready group of kids that get together with an aging trumpeter Joey 'The Lips' Fagan. I'm not sure whether the cast were singers or actors before the film, but they're certainly pretty good at both during the film. The band plays 'Black' soul and the films set piece concerts make the story fairly zip along. Joey tells stories about all the famous musicians he's played with, but is he telling the truth ? When he arranges for a jam between the Commitments and Wilson Pickett we are going to find out ... or are we ?",6.0,Anonymous,Music
Absolutely great movie,"I love this film. Everything about it might seem like it is just another cliche ridden story about the rise and fall of a band, but this movie is totally different somehow. It rises above anything previous in its genre. The characters are all both interesting, and their personality flaws are used to greatly illustrate the ending  of the movie. The writing was superb, and acting from a cast of mostly unknowns top notch. The musical sequences were great, and served as an introduction for me to the songs and artists that they covered. Colm Meaney was hilarious as the very skeptical father of Jimmy.",10.0,Anonymous,Music
"""You raised their expectations of life, you lifted their horizons!""","My one line summary consists of the most profound statement in the movie. ""Jimmy ""The Lips"" Fagin telling ""Brother Rabbitte"" what he has achieved, when Jimmy thinks he has achieved ""Nuttin'"".That being said, I am overjoyed at the amount of people giving their wonderful comments about my favorite movie of all time.I can't tell you all the people I've turned on to this movie. I remember I didn't see the movie when it first came out, then they came out with some god-awful TV series kinda based on the movie (Americanized, of course),which,thank god, met a quick & merciful death. I bought the VHS version, then the Laserdisc version, then the DVD, and am now awaiting the 2 disc special DVD, just released, to come in the mail.I have watched this film countless times & never get tired of it. I've even pretty much deciphered the dialogue(try reading the book sometime,if you think the movie is hard to understand!)One of my most prized possessions is a ""Commitments"" Promotional kit consisting of a ""Making of"" tape and a booklet about the movie in a photo-illustrated 6x15 box that I bought from a long-closed video store about 10 yrs ago. I also found the ellusive ""Commitments Vol.2"" CD in a ""cut-out"" bin about the same time.Anyway,I love the movie, and the whole premise of taking a bunch of unknown,talented, singers & musicians,with pretty much no hope of rising above their surroundings individually,and put them together to form ""The Hardest Working Band in Show Business"".To me, the highlight & peak of the band(and movie) was when they played ""Try a Little Tenderness"". It still gives me goosebumps & brings a mist to my eyes,whenever I see it.I'm still in love with Natalie & Imelda!! And Deco(Andrew Strong) only being 16yrs old!!I always hoped there would be a ""Part 2"", but as Joey said to Jimmy(after the band broke up) ""The success of the band was irrelevent.You raised their expectations of life, you lifted their horizons. Sure, we could have been successful, & made albums & stuff, but that would have been predictable. This way...it's poetry"". What a wonderful philosophy. That whole scene will never leave my mind.",10.0,Anonymous,Music
The Vidiot Reviews...,"The CommitmentsBlues music is not popular in Ireland because the Irish have nothing to be miserable about.That simple reason is why the band in this comedy chose to cover soul music instead.Determined to prove his prowess as a band manager, young Dubliner Jimmy (Robert Arkins) puts an ad in the newspaper looking for local talent to start a soul band. Among the freaks that audition, he finds some serviceable horn players and back-up singers. After weeks of rehearsal, the band garners some local success. But infighting and affairs threaten to derail Jimmy's dream.While the songs sung are soul music standards, the new vocal talent behind the melodies brings these classics to life in a new way. Based on the novel by Roddy Doyle, this hilarious toe-tapping adaptation from 1991 still holds up today.What's more, it's nice to see Irishmen playing instruments that aren't just empty whiskey jugs. Green Lightvidiotreviews.blogspot.ca",7.0,Anonymous,Music
