title,content,rating,username,genres
Alicia Vikander is superb,Because of the subject matter in The Danish Girl I wasn't sure this was going to be a film that I would particularly like but I need not have have worried because I thought this was a fascinating movie that justified it's plaudits. This is the story of Danish artist Einar Wegener (Eddie Redmayne) who realised that despite being born a man he is really a woman and that woman is called Lile. Although Redmayne will quite obviously get all the praise for his role as Lile but I think the outstanding performance of this film comes from Alicia Vikander who plays his wife. As an actor she is exposed unlike Redmayne who has the make up to hide behind. Instead of being about Lile this film for me is more about the love of his wife who will do anything to make her husband happy. Even if that means losing him. in the process.,8.0,Anonymous,Biography
Brave beauty,"Finally got round to seeing 'The Danish Girl' last night, having been intrigued by it (thanks to its subject, the way it was advertised and the talent involved) for a long time but not having the time due to heavy music and music college work commitments and being behind with my ""must-see"" list.My thoughts were that it is a beautiful and courageous film that won't be, and clearly isn't judging from the polarising user review opinions here, everybody's cup of tea, but is a sensitive and emotionally powerful portrayal of a subject matter that's important, very much relevant (even more so now) and controversial. It takes a lot of guts to portray this subject in any form and 'The Danish Girl' acquits itself beautifully if not perfectly.'The Danish Girl' to me is not without its imperfections. It does drag a little at times and trimming 10-15 minutes off the running time would have helped it perhaps. The script, while mostly thought-provoking and sensitive, has instances where it's too lightweight and needed a tightening up and could have been bolder and take more risks.So much works though. 'The Danish Girl' looks gorgeous, like an art painting come to life, especially the landscapes and sumptuous period detail. The costumes are evocative and pleasing on the eyes and the whole film is beautifully photographed. Alexandre Desplat's score is one of his most hypnotic and enchanting and Tom Hooper's direction is perhaps him at his most subtle and understated.It, in terms of writing and story, is mostly thought-provoking and treats the subject matter with an honesty, sensitivity and a big emotional wallop. There are instances such as the ending where the film did bring tears to my eyes.Can't say anything bad about the performances. Eddie Redmayne is the top-billed star and he does give a very deeply felt and courageous turn. Oddly enough though Gerda is actually the focus, where her complex feelings are ones that anybody in her position would relate to. Alicia Vikander's performance is truly sensational and her chemistry with Redmayne is also one where it is clear they're in love with each other. All the supporting cast are strong, my favourite being the sympathetic one of Matthias Schoenaerts.All in all, beautiful and brave film but not for all. 8/10 Bethany Cox",8.0,Anonymous,Biography
Vikander shines but overall it didn't connect with me as expected,"The new cinema year has got off to a robust start with the new movie from Tom Hooper (""The King's Speech"", ""Les Misérables"").We have seen many depictions of physical torture on the screen over the years, from the interminable teen-slasher pics, through 'that chair scene' in ""Casino Royale"" to the stylized presentations of Quentin Tarantino and Martin Scorsese in films like ""Reservoir Dogs"" and ""Casino"". ""The Danish Girl"" is also in its way a film about torture, but more akin to the mental torture seen in films like ""Buried"" or ""Flightpath"". What must it be like to be trapped with a sexual orientation that you feel is not your own? To possess physical body parts you don't believe you should have? And all in a time (the 1920's) when an exposed ankle was considered slightly daring.Based on a true story, Oscar-winner Eddie Redmayne (""The Theory of Everything"") and Alicia Vikander (""Ex Machina"") play a bohemian married couple Einar and Gerda Wegener, apparently happily married and trying for a child in 1920's Copenhagen. Einar is a renowned landscape artist with his wife a struggling portrait artist living in his shadow. After taking part in a cross-dressing modelling session, strong feelings are awakened in Einar. As a bit of a 'game' Gerda encourages him to explore the character of his alter-ego ""Lili"" further: a big mistake, as Einar is swept into a spiral of confusion and self-doubt.Eddie Redmayne is surely up for another Oscar-nomination for his brave performance as Einar/Lili, using his expressive eyes to great effect and delivering a truly heart-rending performance. With all this said however, I never quite believed I was watching the character of Lili but more Redmayne acting the character. Perhaps this is unfair, as Einar/Lili is such a bizarrely multi-dimensional person no one could perhaps have played him/her to my satisfaction. But I suspect (particularly as Redmayne won last year) this won't bring Redmayne the Oscar double.Far more impressive for me was the delicious and delightful Alicia Vikander, once more turning in a fantastic performance as the increasingly desperate (both psychologically and sexually) Gerda. With Rooney Mara, Vikander must be one of the brightest actress talents in today's cinema.Also turning in a strong performance, in what is a very limited cast list, is Matthias Schoenaerts (""Far from the Madding Crowd"") as a Parisian art dealer with a link to Einar's past. The omni-present (sorry, that should read ""hard-working"") Ben Whishaw turns up again as a party guest with an unhealthy interest in Lili and Sebastian Koch (most recently seen in series 5 of ""Homeland"") plays Dr Warnekros who is a pioneer in the new and risky business of sexual reassignment surgery.Another star of the film is the luscious Danish capital, filmed in vibrant colours, as if from the artists' palettes, by Danny Cohen, a Hooper favourite. Also a big surprise to me was the gloriously photographed Danish countryside, seen at the end of the film, with mountains and seascapes I never knew existed.Another Hooper alumni, Alexandre Desplat, supplies the soupy but very fitting score.While the film features a compelling story and much impressive acting, I never personally felt as connected to the story as I was to ""The King's Speech"". This isn't helped by a rather stagy script by Lucinda Coxon that feels lightweight at times. Perhaps its because we are in Oscar- season but, to me, it all felt a tad pretentious and (no pun intended) could have done with a few snips in places to reduce the running time by 15 minutes or so. That being said, and as an alternative view, I should point out that my wife was in tears for a good proportion of the film and disagrees vehemently with my views. I say ""my wife"", but since watching the film she's started wearing braces and smoking cigars – so I'm rather confused as to WHAT exactly is going on. :-)(For the graphical version of this review, see bob-the-movie-man.com. Thanks).",7.0,Anonymous,Biography
Excellent Performances from the Two Leads,"The Danish Girl (2015)*** (out of 4)The semi true-story of painters Einar (Eddie Redmayne) and Gerda Wegener (Alicia Vikander), a married couple who find their lives changing when Einar dresses as a woman so Gerda can have someone to paint but it brings something out in him. Soon Einar is going around as the Lili character and soon decides that he's a woman on the inside.THE DANISH GIRL is another beautiful looking film from Tom Hooper, the director best known for his Oscar-winner THE KING'S SPEECH. Like that film the director has no problem with the visual look of the film and Hooper certainly knows how to put you in the period setting. It also doesn't hurt that we've got some excellent performances and a rather interesting and conflicted love story.I think the real draw here are the performances with Redmayne once again delivering a remarkable piece of work just a year after his Oscar win for THE THEORY OF EVERYTHING. A lot of actors have played male/female characters to perfection. In my mind the greatest was Dustin Hoffman in TOOTSIE but that there was a comedy whereas this here certainly isn't. It was really remarkable seeing how well Redmayne played both the male and female character and he was certainly believable as both. Whenever the Lili character was on screen you really did feel as if you were watching an actress and not just a man playing a female. Vikander is also excellent as the woman who finds the man she love slowly turning into someone else.The film features some beautiful cinematography, a great music score and I also thought the screenplay was very good. The story itself drags a tad bit during the first portion but I think it asks a lot of really good questions about what love is and of course what one feels about who they really are. I thought the flow of the film was quite good and there's no question that it nails the costume design and sets. THE DANISH GIRL isn't a masterpiece but it's certainly a very good movie with some excellent performances.",,Anonymous,Biography
"Very Well-Acted, Although Flawed!","Tom Hooper's 'The Danish Girl' is a brave story, about brave people, in a time where their bravery must've been counted as mental illness. Hooper chooses the correct actors to portray the parts & directs the film with dignity. However, The Writing doesn't always engage & is flawed in places.'The Danish Girl' is A fictitious love story inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.'The Danish Girl' salutes the courageous lives of Lili Elbe & Gerda Wegener. Both of whom who died too early, had the courage to be themselves, especially Lilli, who chose to express rather than being repressed. And Gerda, a women who had to face the reality, was a women who respected her husband's truth. That was True Romance!But, 'The Danish Girl' isn't as tightly Written it should have been. Lucinda Coxon's Screenplay, which is based on the 2000 novel of the same name by David Ebershoff, is powerful, but in doses. The first-hour works wonders, but the second-hour slows down & the flaws in the Writing show up. The final-act, to put it bluntly, isn't half as emotionally moving as it deserved to be. In short, the Writing lets 'The Danish Girl' down, at some parts.Tom Hooper's Direction is dignified. He has handled some of the most dramatic scenes, with great conviction. Danny Cohen's Cinematography is nicely done. Melanie Ann Oliver's Editing is perfectly sized. Art & Costume Design are fabulous. Alexandre Desplat's Score is enchanting. A Special Mention for the nearly done Make-Up.Performance-Wise: Eddie Redmayne as Lili Elbe & Alicia Vikander as Gerda Wegener, deliver brilliant performances. Eddie, fresh from his Oscar-Win this year, strikes back with a yet another winning performance, thats both, brave & heartbreaking. Vikander is splendid as his wife, who conveys her pain, with concern & sensitivity. And the on-screen chemistry between the two, is wonderful. Ben Whishaw & Amber Heard are terrific in supporting roles.On the whole, 'The Danish Girl' isn't as good as one expects it to be, but its well-directed & very well-acted nonetheless!",7.0,Anonymous,Biography
Touching and destabilizing,"I honestly found this movie very touching and delicate. It is delicate in the way it treats difficult subjects as sexuality and the discovery of one's identity in an hostile period. The fact that it is a true story makes the whole movie even more involving.I don't think the film is perfect - but the acting, cinematography, the screenplay are absolutely amazing. I especially loved the middle part - where all the characters try to find a way out of the problem and when for the first time they seem to be facing a fracture between them.I thought it had a great power on people even though it doesn't seem to have had the effect I was expecting (at least during the premiere in Venice).Eddie Redmayne hasn't had enough of his Oscar and I wish him all the best for 2016!",8.0,Anonymous,Biography
"""The Danish Girl"" is a very touching, but controversial and oversimplified story.","""He's comfortable in his own skin,"" is usually seen as a compliment. It means that the person in question knows who he (or she) is and is content with that sense of identity. I dare speculate that it's a condition to which we all aspire. Unfortunately, many people around the world lack that inner peace because of a question of gender identity. Regardless of what others think about such an existential situation, people who feel uncomfortable with the biology with which they were born often suffer greatly over this conflict within their hearts and minds. They cannot be comfortable in their own skin, because they don't feel that their skin is really theirs. Before the somewhat more enlightened times of the 21st century, people who identified with a gender other than that to which biology assigned them suffered even more than some do today. In ages past, those people had little opportunity to make changes that would make themselves look on the outside as they felt on the inside. ""The Danish Girl"" (R, 2:00) is one such story.Inspired by the true story of early 20th century married Danish painters Einar and Gerda Wegener, like David Ebershoff's 2000 book on which it's based, ""The Danish Girl"" is a fictionalized account of Einar's physical transition to Lili Elbe. Neither the book nor Lucinda Coxon's screenplay makes any claim to absolute historical accuracy. This story changes many of the facts for dramatic purposes. The real-life situation of Lili and Gerda's life was much more complicated than we see on screen. The result is a film that tells a simple story in a way that elicits empathy for the protagonists and enlightens the audience.Oscar winner Eddie Redmayne plays Einar/Lili, and Alicia Vikander, his wife, Gerda. The couple lives in a large apartment in Copenhagen, Denmark, where they both make a living painting. At first, Einar's landscapes are more in demand and more respected than Gerda's portraits. One day when Gerda was in a hurry to finish a portrait of their mutual friend and ballerina, Oola (Amber Heard), Gerda asks Einar to stand in as a model by putting on Oola's stockings and heels and holding up Oola's dress in front of him. Although the scene is played with a combination of humor and awkwardness, it's obvious that Einar likes the clothes. He starts trying on his wife's clothes which gives birth to an idea. Gerda is a bit conflicted, but being the open-minded person she is, she suggests that her husband dress up as a woman to attend an art world function that he had been trying to avoid. And just like that, Lili is born.The thing is that Einar had always felt like a female and being Lili was the first opportunity that he had really had to express what he felt was his true gender. Einar wears women's clothes and make-up more and more often, both at home and out in public. Lili even begins secretly seeing a local man named Henrik (Ben Whishaw). Gerda is understandably upset by all this, but she never criticizes her husband's inner turmoil or its outward manifestations. She wants to understand, and the more she does, the more she mourns her marriage, which she sees as slipping away. However, as all this is happening, her art career begins to take off. She paints Lili more and more, in fashionable clothes and in little or no clothes. As Gerda's style develops, increasing demand for her paintings soon leads the couple to move to Paris.In Paris, Lili blossoms as a person, even as she seeks a more permanent solution to her feeling that her biology doesn't match her identity. She sees doctors whose diagnoses are wide-ranging, but are mainly focused on Einar/Lili having some sort of mental deficiency. Hans Axgil (Matthias Schoenarts), a childhood friend of Einar, tries to help, but he can do little more than offer moral support to the couple. Finally, Lili and Gerda find a possible solution in the person of German doctor Kurt Warnekros (Sebastian Koch). Dr. Warnekros offers to perform practically unprecedented sex reassignment surgery on Lili.""The Danish Girl"" is a very sensitive portrayal of a very tumultuous experience in the lives of two real people. Whether you sympathize with the situation of the two main characters or not, you're likely to empathize with them as people. While presenting a story about the controversial topic of gender identity, Oscar-winning director Tom Hooper also tells a very human story within the framework of the movie's plot. At its core, this is a tale of love and loss, of tolerance and devotion, of feeling comfortable in one's own skin. Although some Movie Fans may find some of the situations, images and the brief but graphic nudity (both female and male) to be disturbing, and the plot does drag at times, one of the main reasons to see this movie is for the award-worthy performances by the two leads. With impressive emotional range and depth, both Redmayne and Vikander make this story surprisingly rich and relatable. Hooper draws even more focus (literally) to the characters' feelings by choosing especially significant moments to bring his camera in very close for a tight focus on the characters' faces, while allowing everything beyond their necks to go out of focus. ""The Danish Girl"" deserves credit for its honesty, its emotional power and its succinct presentation of a very complicated story. However, some of the changes in the story seem designed to increase the impact of the story, a move I would call emotionally manipulative. For that and other reasons, I just wish that this otherwise excellent film had been more historically accurate. ""B""",6.0,Anonymous,Biography
Perhaps a little too sophisticated,"'The Danish Girl' is an extremely well made film with two outstanding lead performances from Eddie Redmayne and Alicia Vikander. Everything about the film has a sophisticated, elegant feel, from the constume design to the atmosphere and cinematography. This is a classy film.Although, in a way, this is to the film's detriment. The story is almost told with a mask on, it's difficult to see beyond the flawless surface and connect emotionally with the film. Everything is too nicey nicey, each scene is so perfectly crafted that it almost distracts you from what's actually happening in the film.This is a very good film, but it could have been an excellent one, had it made more of an emotional connection with the audience.",7.0,Anonymous,Biography
A heartbreaking love story.,"The Danish Girl is a movie loosely based on the life of Danish artists, Einar Wegener/Lili Elbe(Eddie Redmayne) & Gerda Wegener(Alicia Vikander). Einar & Gerda are a happily married couple. Einar is the more accomplished artist, between the two of them. Gerda paints portraits & Einar paints landscapes. Gerda is frustrated because her portraits don't get sold, quite as often as she would like them to. One day, she makes Einar dress up like a woman. Gerda does this because, she wants to paint a portrait of Einar as a woman. Gerda & Einar come up with the name Lili Elbe, for Einar's alter ego. Gerda's Lili portraits are a huge success. What Gerda did not expect is, Einar feels extremely drawn to Lili & sinks more & more into Lili's personality as the days go by.The Danish Girl is a fantastic film! The love shared between Gerda & Einar has been depicted beautifully, by director Tom Hooper. It is gut wrenching to see Gerda slowly lose her husband, as Einar soon realizes that Lili Elbe is, who he was always meant to be. Apart from the flawless & poignant story, this film has showcased exotic locales. Copenhagen & Paris, where the majority of the movie takes place, have been showcased beautifully. The performances are the highlight of the movie. Alicia Vikander is spectacular as Gerda Wegener. Vikander's multifaceted portrayal of her character, is the best part of the film. Eddie Redmayne is brilliant as Einar Wegener/Lili Elbe. Redmayne emulates the gait & mannerisms of a woman, to the T. Redmayne gives another memorable performance after The Theory of Everything(2014). However, Alicia Vikander outshines Eddie Redmayne, in every way possible. She carries the emotional weight of the film, on her shoulders. Amber Heard is impressive as Ulla. Ben Whishaw is great as Henrik. Matthias Schoenaerts is superb as Hans Axgil. Sebastian Koch is awesome as Warnekros. The supporting cast is good too. The Danish Girl is a must watch. It's an inspiration to transgender people, all over the world.",9.0,Anonymous,Biography
Woman Trapped in a Man's Body,"In 1926, in Copenhagen, the successful landscape painter Einar Wegener (Eddie Redmayne) is happily married with the portrait painter Gerda (Alicia Vikander) and they have been trying to have a baby for six years. When the model Ulla (Amber Heard) does not come to their apartment, Gerda asks Einar to pose as a woman for her to proceed her work and Einar uses the alias Lili Elbe. There is a party and Gerda convinces Einar to pose of Lili to play a prank in the guests. However, Einar leaves his identity behind and unleashes the personality of Lili. He lives in a constant dilemma until the day he meets Dr. Kurt Warnekros (Sebastian Koch) that offers a dangerous surgery to change his sex. What will Einar do?""The Danish Girl"" is a film with the story of a woman trapped in a man 's body and one of the first surgeries to change the sex. The theme may be attractive for a few people, but the cinematography is magnificent and the performances are top-notch. My vote is six.Title (Brazil): ""A Garota Dinamarquesa"" (""The Danish Girl"")",6.0,Anonymous,Biography
