title,content,rating,username,genres
Val Kilmer's Magnum Opus,"The Doors is unapologetically a film about sex, drugs, and rock n' roll. For 140 minutes we follow Doors singer Jim Morrison from his days as an aspiring film student at UCLA to his death in Paris in 1970 at the age of 27. Writer-director Oliver Stone based the story of the film on some 150 transcripts detailing the life and character of Morrison. The result is far from flattering. The Doors paints a picture of a man enamored with death, his own inevitable demise more a relief than an agony.Death stalks Morrison wherever he goes from a young age. As a child driving through the New Mexico desert with his family, Morrison happens across the site of a car accident littered with dead and dying Navahos. We watch the young Morrison endure what seems to be a sort of possession rite by spirits of the dead natives. Years later he'll profess to be a shaman and from what we see on screen, he might well have believed it to be true. Native American spirits dance alongside Morrison as he sings on stage. Whether these were real or simply an acid fueled hallucination is left deliberately unclear by Stone. Likewise, a death-like character (Richard Rutowski) shadows Morrison throughout his life as a rock singer. Whether this indicates Morrison saw death as a friend, was actually accompanied by Rutowski (who was a real life friend of Morrison), or was simply hallucinating remains ambiguous. What is clear is the following: in his great desire to self destruct, Morrison drank whiskey like water and spent an inordinate amount of time on precarious ledges outside Hotel windows thirty stories up.Kilmer's performance as Morrison is easily the finest of his career. Raw, nervy, deliberately off putting and confrontational, moments of sobriety are few are far between for this insecure egomaniac. At times I didn't feel as though I was watching a portrayal of a character long deceased so much as a documentary. From threatening suicide repeatedly to quarreling constantly with police at concerts, scenes of bad behavior are many but moments of insight are few and far between. This doesn't seem a shortcoming on behalf of director Stone so much as an accurate depiction of the highly acidic Morrison as he truly was; this was a man who didn't want to be understood. This was an artist on the constant edge of oblivion; an iconoclast who refused to be loved and was close to intolerable whenever possible. Of course it's less than a pleasant experience following the venomous creature that Morrison became for the film's final hour as he goes from alcohol induced nervous breakdown to drug fueled indecent exposure, but I for one appreciate Stone's refusal to Hollywoodize the life and death of Morrison. Kilmer abandons completely all instinct for self preservation on screen, submerging himself in a performance that can only be described as his magnum opus.Meg Ryan leads the supporting cast as Pamela ""Morrison"" Courson, Morrison's longtime lover and common-law wife. Ryan seems lost in the role but thankfully spends a minimal amount of time on screen as Morrison was a firm supporter of the ""free love"" social movement. Indeed, he spends more time with journalist and witchcraft enthusiast Patricia Kennealy (Kathleen Quinlan), an amalgam of several Morrison lovers who suffered through his frequent alcohol and drug induced impotence. A very fine Michael Madsen is wasted as actor Tom Baker, a friend of Morrison's whose relationship is grossly underdeveloped. The only performance among the supporting cast worthy of praise is that of quirky character actor Crispin Glover in a cameo as Andy Warhol, a scene that is absolutely spellbinding.Some may criticize The Doors for glamorizing a life of excess; this film gives younger viewers the idea that drugs and promiscuous sex are fun, critics may charge. Those who would are missing the point entirely. As are those who would interpret this film as the cautionary tale of a life wasted. Little about the character we view on screen is glamorous. It seems no accident that Morrison died as he did. This was a man obsessed with death; his demise seems more a moment of wish fulfillment than tragedy. My only significant criticism of the film is that the title is certainly a misnomer; this could have easily been titled ""The Jim Morrison Story"" as there is not a single scene on screen without the eccentric singer while the remaining members of the band are relegated to obscurity. Call it art imitating life once more.",8.0,Anonymous,Music
A compelling but seriously flawed film,"My Rating: **1/2 out of ****.One thing you can say about Oliver Stones The Doors is that Stone has no intention of forcing the audience to like the main character. Stone spends almost the entire 138 minutes making Jim Morrison into the biggest asshole that he possibly can. Really, when I first rented this film I had no idea what to expect since Oliver Stone is sort of hit-or-miss with me. I can honestly say the film held my attention completely but at the end I was unsatisfied with what I had seen.The remaining members of The Doors have criticized this film saying that it only portrayed one side of Morrison and that some of the actions in the film were far worse than anything he ever did (throwing the TV in the studio for instance). To be honest, I felt exactly the same way. By the end I was like, ""There has to be more to this man than this!!!!""."" I know Morrison had drinking and drug problems, and thats on full display. Stone makes clear that we see the flaws of Morrison and pretty much nothing else. If Stone wanted to make a film that showed the dark side of a rock star than he accomplished his goal admirably.But the film is just too disappointingly shallow. Morrison was supposedly a very shy front-man at first which we actually do see in the beginning when he sings with his back turned toward the audience. It's a shame Stone didn't explore this ""shy, intelligent"" man that the Doors always talk about instead of the sadistic asshole on display here. If Stone had made Morrison into a more well-rounded character than this could have been a great film.What cannot be criticized about the film is Val Kilmer's electrifying performance. Forget the small little flaws like Kilmer is six inches taller than Morrison was and that Kilmers face is a little fatter than Morrisons and just watch this magnificent piece of acting. I have never been that impressed with Val Kilmer's acting ability before I saw this film so seeing him in this was a mindblowing experience. He completely inhabits Morrison and its hard to believe he was actually the second choice for the role. This will undoubtedly be a career best for Kilmer and it is a damn shame he didn't at least get an Oscar Nomination.The supporting cast is also impressive, particularly Meg Ryan. Ryan excels much more in lighter roles but here she dos a very good job as Morrison's girlfriend, Pamela Courson. Kevin Dillon, Kyle MacLachlan, and Frank Whaley do the best they can with limited screen time as the remaining members of The Doors.Stone's films have always been uneven when it comes to visual styles. In such films as Natural Born Killers, Any Given Sunday, and to some extent, Nixon, they have been exercises of cinematic masturbation with hyper editing and completely unnecessary film stock switches. Fortunately, thats not the case here as the film has a more straightforward look that complements the film well instead of distracting us.Stone can make a compelling film and The Doors is never boring. It has a lot of good points: a tremendous lead performance, impressive supporting work, effective cinematography, and a great soundtrack. Its a shame that the film is hampered by a shallow script. If the script were better it is quite possible The Doors could have been a great film. As it stands, its a compelling, though definitely disappointing film.",7.0,Anonymous,Music
An ordinary film with one extraordinary performance,"Watching Oliver Stone's The Doors can be at times a frustrating experience. Considering the central figure in the film is pretty much always drunk or stoned or both the entire plot seems to unfold in a bit of a haze. Those watching the film may come away feeling a little stoned themselves. Yet through the drug and alcohol-fueled haze this film does have a lot to recommend it. Most notably it has one of the most stunningly brilliant acting performances you could ever hope to see. Val Kilmer, playing Jim Morrison, is simply perfect in the role. It sounds clichéd but Kilmer really seems to become Morrison. The physical resemblance is eerie and their voices are so similar it is fairly impossible when listening to the film's soundtrack to figure out when exactly you're hearing Morrison and when you're hearing Kilmer. Tracing Morrison's journey from shy, reserved youth to manic, drugged-out rock god the performance by Kilmer is mesmerizing throughout.As good as Kilmer is you can't help but feel that his performance deserved to be surrounded by a better film. The film might as well have been titled ""Morrison"" because it is much more the story of one man than it is the story of his band. And therein lies much of the problem because while Kilmer is undeniably terrific, Morrison, at least as he is portrayed in this film, is not a very sympathetic character. That shy, quiet guy we see on the beach at the film's beginning becomes a bit of a monster, at times almost completely unlikable. And since the film revolves entirely around Morrison it makes the film often hard to embrace. Many would argue that Morrison was unfairly portrayed here, not nearly as mean-spirited and hot-tempered as we are led to believe. The truth probably lies somewhere in between but the fact remains that in this film it is very hard to embrace Jim Morrison and as such it is very hard to completely embrace the film.With the focus almost completely on Kilmer's Morrison the rest of the cast comes off as little more than bit players. Kyle MacLachlan as keyboardist Ray Manzarek has the most to do amongst the remaining band members and his performance is fine but it really gets swallowed up by the ever-present and always center stage Morrison. Meg Ryan, playing Morrison's longtime companion Pamela Courson, is allowed only to react to Morrison's antics and never establishes a character and identity of her own. Even when stoned out of her mind, as everybody in this film always seems to be, Pamela comes across as the wholesome girl next door who is, well, rather dull. Kathleen Quinlan has a more memorable turn as another woman in Morrison's life, Patricia Kennealy, who is anything but dull. But again her character is there only to serve Jim. It's always about Jim. Nobody could deny that Jim Morrison was the most captivating figure in The Doors. But as the film unfolds and you watch Morrison stumble from one stupor to the next you'll probably wish we could have spent a little more time with some of the other characters. This film version of Jim Morrison is a hard guy to love.So in the end what are we left with? You get one awe-inspiring, magnificent performance but that performance overshadows everything else going on in the film. You get a fascinating life story but one that unfortunately proceeds mostly in a frustrating drug-induced haze. You certainly get a tremendous soundtrack with all of The Doors' most notable songs. Well, most of them anyway. There seems to be a real yin and yang with this movie. There is plenty that is very good about it, but all that is good seems to be balanced out by something which frustrates. Jim Morrison led an extraordinary life but this film which tells his tale ends up being rather ordinary.",6.0,Anonymous,Music
The Lizard King,"We all know how legendary The Doors were and still are, and sooner or later someone was going to make a film about them. Might as well be Oliver Stone. Given the subject matter, Stone was able to go off the deep end with his imagery here to the point of making one have an epileptic seizure OR think they just dropped some acid. Either way, it's great to watch in my book.The film is flawed in that it's not titled correctly. It's not about The Doors, it's about Jim Morrison and basically just the wild and crazy side of him. That's ok I guess, Morrison was The Doors. Many have criticized Stone for not depicting Jim in the proper light, but given how many people knew him it had to be an almost impossible task to please everyone as everyone knew him differently. I think we all can attest to this through the friendships we have with our friends. Some know us as one way, and some know us as another. I respect Stone for trying and feel sorry for him about the flak people have given him as I know he is a very talented director. I think his intentions were spawned out of true admiration and that he made this film for himself and to pay tribute, and not to win any awards. More of this can be found on the Special Edition DVD from Stone himself.Even if one does not enjoy the trippy qualities of the film such as I do, or any part for that matter, one could not avoid admitting how well Val Kilmer portrays Morrison. It's simply amazing and is one of the best performances that I can bring to mind, and is the best example of how to literally become someone else, bar none. He doesn't act like he's Jim Morrison, he becomes Jim Morrison. He is Jim Morrison. This is no doubt helped by the uncanny facial similarities the two have. Not only that, most of the singing that's in the film was done by Kilmer himself and even a few of the original band members admitted that they honestly could not tell the difference between their two voices. Even if you hate Val Kilmer, this performance jumps in your face and screams for respect while trying to strangle you.As mentioned earlier, some do not like the film for several reasons. One is that it makes Jim look like a monster and that it only glorifies his wild and uninhibited behavior. Two is that it's basically just one big acid trip into bits of history about the band. For one, Oliver Stone said it best....when you have to condense a person's life, a legend at that, into two measly hours you must take the highlights. Everyone lives longer than two hours, even Jim. We all know Jim was crazy, and with so many of the insane stories Stone heard while trying to piece together the script for this, a lot of what he heard was simply what you see. The wild and crazy side. As a result, what we're left with is not an accurate depiction of The Doors or of Jim Morrison. It is entertaining, yes, but it is not accurate. I think it could have been done perfectly, but it would have been excruciatingly difficult...and still not everyone would like it. And as far as the trippiness of the film, well that's Oliver Stone for you. We saw the same thing in Natural Born Killers a few years later. I personally like the style of it and felt that it was in place here but that's just my opinion. The '60's, drugs, and rock and roll equals trippy.Overall a decent attempt at one of the most difficult subjects to cover, legends. And even though it's not entirely accurate and even though Morrison is one of my idols and he deserved a little better, I do enjoy the film greatly. The film should have been named Pandora's Box.",9.0,Anonymous,Music
Mr. Mojo Risin And The Turbulent 60s,"Although less popular now, Jim Morrison was an American pop culture icon during the late 1960s. He liked to refer to himself as ""Mr. Mojo Risin"", an anagram of his name. Oliver Stone's film ""The Doors"" is mostly about Morrison ... his rise to stardom in the 1960s, his personality, and his mysterious death in 1971.Influenced in childhood by American Indians, Morrison grew up fascinated with Indian Shamanism, elements of which he would later infuse into his poetry and music while hanging out in the mid 60s in the hip areas of Los Angeles. Here he would meet musician Ray Manzarek (Kyle MacLachlan). Along with two other band members, the group would form ""The Doors"", a name Morrison borrowed from the title of Aldous Huxley's book on drug use and enlightenment, called ""The Doors Of Perception"". During this time Morrison comes across as sensitive, shy, poetic, and an idealistic dreamer. The film's first hour is quite good. We get some insights into Jim's early years, and we get to hear some of that great music, like ""Riders On The Storm"", and ""Light My Fire"".The film's second half is less interesting. Morrison himself has changed, as a result of his celebrity status. His narcissism, his boozing and drug use, have turned his world into chaos, which is evident in a couple of staged concert events, one in New Haven, the other in Miami. The amount of time that Oliver Stone spends on these noisy, chaotic events is excessive. Some of that could have been edited out.As with most Stone films, the cinematography in ""The Doors"" is excellent, and includes some early CGI. Val Kilmer is a great choice to play the part of Morrison. And Kathleen Quinlan is good as Patricia, the seductive witch. The film's images at the cemetery in Paris, together with Gothic background music, make for a haunting finale.Stone's movie is not to be taken in a literal sense. Rather, it is suggestive of the complex mix of personal and cultural forces that interacted to create a pop culture legend. As a byproduct of this cinematic tribute, the viewer gets to see how the late 1960s really were, with the art deco, the hippie lingo, and all that hostility that existed in society. The film thus counters the political revisionism that later decades have assigned to that period. As such, ""The Doors"" complements and reinforces other films of that era which also ""tell it like it really was"": ""Medium Cool"", ""Easy Rider"", ""Alice's Restaurant"", and ""Zabriskie Point"", to name a few.Despite a noisy, irksome second half, ""The Doors"" is an intriguing film about an intriguing historical figure. Mr. Mojo Risin's ""style"" may have died with the times. But Jim Morrison, himself, lives on ... as legend.",,Anonymous,Music
A refreshing cinematic breakthrough in an era in which cinema seems all but forgotten!,"This film is truly a gem.  The Doors is easily the best film of the rock n' roll genre and at least one of the most important films of its era. Though I am not an Oliver Stone fan I must give credit where it is due.  Stone really does a terrific job with this film, and shows what he is capable of when he actually knows about the subject he is attempting to comment on. A few of the scenes in the film are almost exact recreations of actual events. However, the magnificent thing about this film is that it manages to recreate a certain amount of reality while simultaneously realizing that for a film to possess its own vitality it must transcend the preexisting reality, move beyond the surface, beyond everything that is obvious, and express and explore something deeper.  Val Kilmer delivers a powerful performance in which he almost seems to be channeling the energy of Jim Morrison, and though I've seen many of Meg Ryan's films this is the only one I can recollect where she does such a good job that she makes you really forget about her and focus on the character.  The cinematography of the film by Robert Richardson (Platoon, Wall Street, Born on The Fourth of July, Natural Born Killers, Casino, Bringing out the Dead, and many more) is bold and unique making the film one of the most distinct visual films I've ever seen.  This film is truly one of a kind, and breaks through into new cinematic territory, giving priority to the visual aspects of the film in an era where there are so few films that even give much consideration to the single most important aspect of the motion picture.  The genius of this film is that it is visual-audio as opposed to audio-visual and is more concerned with expressing something than simply impressing the audience.  The Doors is a refreshing cinematic breakthrough in an era in which cinema seems all but forgotten.",9.0,Anonymous,Music
Superb Performance...Incredible Casting,"I totally agree with several before me that at some point in the film, one forgets he is watching Val Kilmer play the late Jim Morrison. This is a marvelous performance by a gifted actor. His physical appearance and voice really capture the essence of one of the top five or six rock bands ever. There is lots of documentary footage of the doors because they came along when videotaping and filming were everywhere, so to capture a realistic display of performances in a film had too be good. We get to watch the guys slowly evolve. We get to see how Morrison held sway over the group. Ray Manzarek had an incredible talent of his own, and yet he kept being dwarfed by the charismatic lead singer. There were times when Morrison's performances were almost transcendent. The music is really good here as well.",9.0,Anonymous,Music
solid biopic,"It's 1965 L.A. Jim Morrison (Val Kilmer), UCLA film student, meets Pam Courson (Meg Ryan). He quits school and forms The Doors with Ray Manzarek (Kyle MacLachlan), John Densmore (Kevin Dillon), and Robby Krieger (Frank Whaley). They become one of the foremost counter culture rock banks of the era. The band drifts apart as Jim travels a different path with witchy journalist Patricia Kennealy (Kathleen Quinlan). In 1970, he faces charges for exposing himself during a Miami concert. He's living with Pam when he dies in Paris at age 27 in 1971.Director Oliver Stone delivers a solid biopic with his cinematic style to depict the drugged out hippie time and the chaotic nature of the band. Val Kilmer delivers his most impressive performance of his career. The movie could probably add some drama but I'm not sure how exactly. The world is burning down and he's a part of the chaos. His end is predictable for fans and newcomers alike. There may be a dramatic story in there somewhere.",7.0,Anonymous,Music
Great visual film that concentrates on one aspect of a brilliant but troubled rock legend.,"Jim Morrison wrote many of the Doors songs and was a complete drunk by the time he died in 1971. This film depicts Morrison in a very one sided view. Yes he was an alcoholic with a disregard for authority, yes he was on self destruct mode and burnt out quickly reaffirming the James Dean ""Live fast Die young"" motif. But what is missing from Stone's depiction of him was his great intellect,his absurd humour and his natural talent as a composer and vocalist. However it is a wonderfully visual film that takes the viewers on a hallucinogenic ride through drug hazed Los Angeles in the late 60's. It was the first of many films that Stone created in the 90's using an almost dream like quality to evoke the feeling of the turbulent times.Although this picture is not a 100% accurate account of who or what Jim Morrison was it is still very engaging and enjoyable. A good place for someone who is new to the Doors to start.",9.0,Anonymous,Music
Good Film,"I Love the doors and Jim Morrison. So I thought that I would love this film too. I thought it was great, Val Kilmer did a fantastic job and I hardly doubt whether anybody else could have done better. But I did get a little bored at times. (I guess I felt how some of his band mates felt about his antics!) There is no doubting that Jim Morrison was a hugely talented individual, but he did have his demons. This film recreated this brilliantly and portrayed Jim as I would have imagined him to be (not being alive at the same time as Jim was!) The film, however, is only a 7/10 because it isn't the greatest film I've ever seen. It does provide an insight into Jim's Life and it was portrayed very well. I have seen better but I have seen a whole lot worse too! I would recommend this film to any fans of 'the doors' but you probably won't enjoy it if you don't like the band!",7.0,Anonymous,Music
