title,content,rating,username,genres
I'm 23 and I still LOVE this movie,"Disney has done it again with a FUNNY FUNNY FUNNY FUNNY (how many funnies is that?  4?...not enough) FUNNY FUNNY FUNNY (you get the point) movie.Picture this.  2 friends and I walk into a local movie rental shop and start arguing over the NEW releases.  Horror movie?  No.  Slasher flick?  No. Drama?  No.  Etc, Etc, Etc.  Finally, as if it were fate, we all walk into the Disney/Children section of the shop.  One suggest ""Emperors New Grove"". The rest automatically agree... and we weren't disapointed.David Spade is brilliant as the voice of the Emperor in this movie.  His humour was definatly evident throughout the entirity.  Speaking of the humour... it was funny.  Ha, ha.  Ain't I a kidder?  Seriously though, I have to say that this is the funniest Disney movie that I've ever seen... and it's definaly because of the cast... who were brilliant in all their roles.  There was a lot of adult humour in this one though.  Nothing gross or sexually oriented or anything, but just grown up... intelligent... making it a fabulous watch.If you haven't seen this, then I suggest you do... and soon.",8.0,Anonymous,Animation
"Maybe not a Disney classic, but a hilarious original worth your time.","The Emperor's New Groove is enjoyable with plenty of laughs provided mainly by our villainess, Yzma, and her dim-witted sidekick, Kronk.The comedy is also the movie's biggest strength along with its vocal cast. David Spade as emperor Kuzco gives this self-absorbed and bratty character a weird likability which is admirable. John Goodman as the peasant Pacha is pretty much your average John Goodman role, but he does that well. They are also good for some great laughs when they are together.As I mentioned at first, Yzma and Kronk are simply hilarious. I slapped my thigh several times watching them. Eartha Kid and Patrick Warburton both do excellent voice-work.Aside from the comedic proficiency I find it pretty average. The animation looks a lot like a Saturday afternoon show, but still better than the later 2D abomination of ""Home On The Range"" (2004).The setting of the story is pretty original, but the story itself is kind of recycled, not bad, just an average ""egotistical-asshole- learns-how-to-be-nice-to-others"" story.But what the hell. It works! The Emperor's New Groove is definitely worth your time.",8.0,Anonymous,Animation
Puts many newcomers to shame,"It is truly amazing what stemmed from The Emperor's New Groove, which at one point seemed like a doomed project. Originally titled Emperor in the Sun, the film was going to focus on a selfish emperor who optimistically switched positions with a peasant look-a-like who would later become the target of an evil witch's plan. She was going to summon a dark spirit to block out the sun to prevent her from aging, almost like a retelling of Dorian Gray.The film developed an untold amount of stress for everyone involved. Producer Randy Fullmer was aggravated that production was moving at a snail's pace and was consistently rushing director, at that time, Roger Allers to speed along, offering him no extensions. The project had to be done as fast as possible in order to meet the strict summer 2000 deadline. Out of options, Disney hired the director Mark Dindal, who had worked on the musical Cats Don't Dance, one of the few animated films not to boast the Disney label, and both him and Allers developed very different story lines for the same film, one focusing on comedy (Dindal's) and one heavy drama and morals (Allers).At the end of the day, Fullmer denied Allers an extension and he abandoned the project, leaving all the weight on Dindal's shoulders. The project did not make the summer 2000 deadline, but went on to be released during the wintertime of that same year, something one must applaud considering the treacherous state it was in for so long. What Dindal managed to do to a project that looked to be a lost cause from there on out is truly astonishing, proving that even the dustiest pieces of work can be polished off to look good. The Emperor's New Groove is a delightful film, occupying a concise runtime, unstoppable action scenes, and fierce and interesting characters rarely striking a wrong note.The story focuses on Emperor Kuzco (voiced by David Spade), the selfish, manipulating emperor of the Inca Empire. After firing his adviser, Yzma (Kitt), her and her dim-witted assistant Kronk (Patrick Warburton, who also voices Joe Swanson from Family Guy) concoct a scheme to kill the Emperor by making him drink a poisonous potion. During a staged dinner, the potion gets switched and Kuzco is turned into an unattractive llama. Hidden inside the bag of Pacha (Goodman), one of the Emperor's peasants, the two realize they must work together, despite being on opposite ends of the food chain, to try and get Kuzco his position back.It is pretty clear that the ""he was a selfish man"" story has been well-played out. It was just six years after this that the Pixar film Cars modified the formula and injected it with a nostalgic rush to put it to use. The story is moved along by its refusal to provide a heavy-handed moral or become bogged down with complications from such a simplistic story. This is a genial exercise in smooth, involving animated filmmaking, moved along by its action and its instantly lovable characters.Also, there is something nice about returning to the wholesomeness of an animated picture from the early 2000's. Ever since the creation of full length CGI pictures, which all started with Toy Story in 1995, it appears hand drawn animation and claymation have been unfortunately pushed to the side, while the easier way is taken out. I love CGI animated features, especially the ones from Pixar, but really, how much of the candy-coated colors and the overly cheery atmosphere can you healthily stomach? The early 2000's animation is one of the few successful hybrids, perfectly blending the simplicity of animation with the digitized color enhanced textures.This is also an elegant reminder to parents and teens who enjoy nostalgia that 3D is a tainted gimmick. Here, the characters pretty much gleefully jump off the screen as if boundaries have been shredded, and they are so lively even without the dim colors or the extra dimension. This is the kind of animated feature Disney should be striving for, and they would be much closer to their competition at Pixar.The Emperor's New Groove is animated slapstick, and functions inside such a rare formula so well. It is elegantly voice acted, expertly animated, and it is nothing but surprising that a picture that one seemed doomed has now gone on to be such a remarkable picture.Voiced by: David Spade, John Goodman, Eartha Kitt, and Patrick Warburton. Directed by: Mark Dindal.",8.0,Anonymous,Animation
High Praise For This  'Kids' Film,"You've often heard the sales pitch, ""adults will love it, too!"" almost always referring to a kids' movie and in particularly, an animated movie for children. Well, in this case I agree. Even as a middle-aged adult, I enjoyed this.The dialog is adult-friendly but at the same time not coarse or crude with no sexual innuendos, no profanity or even a hint of it. Yet, it's hip with some very clever lines.The story is interesting and offers a few unique twists. David Spade does a fabulous job narrating, has a very pleasing voice, one that's fun to hear. I actually do think adults would like this more than children.",9.0,Anonymous,Animation
Hurrah!  Perfection.,"Hard to see why it wasn't a wildly popular mega-hit - I have two theories, one charitable, one not.  The charitable theory is that people were put off by the title.  MY heart certainly sank when I heard it.  I mean, just say it out loud - ""The Emperor's New Groove"" - now how could a good movie POSSIBLY have a title like that?Yet now, I rather like the title.  It fits the story; it doesn't care if it's fashionable or not; it's just so pleasingly RIGHT - but in an almost indescribable way you'll have to watch the film to find out.  Maybe it WAS a marketing mistake.  Who cares?  I never took seriously the charge that Disney's artistic decisions were made by its marketing department, anyway.That was the charitable explanation for why it made considerably less, inflation adjusted, than every other one of Disney's animated features from ""Beauty and the Beast"" on, and failed to even get nominated for a ""Best Picture"" Oscar in a year in which they had difficulty coming up with half-plausible candidates.  The uncharitable explanation is probably closer to the truth.  People are idiots.  This is a classic - but it's also animated - by pencil on paper rather than finger on keyboard - so who will ever notice?Doubt me?  You won't once you've seen it.  Everyone to speak of who did reports that it's very, very funny, and they're right - and trust me, nothing is ever THIS funny unless it's clever and witty as well.  It goes without saying that their character animation is unmatched in its brilliance and ... I've already used the words ""humour"" and ""wit""?  Well, I'll use them again.  In addition there's a charming dottiness that a merely hip film could never quite capture.  Art direction is perfectly judged and consistent throughout, with a pleasing absence of because-we-can computer effects.Here's just ONE example of what I'm talking about.  One side of the emperor's palace consists of this HUGE golden face, and we find out in a funny scene (but they're all funny) that all excess water is drained out through the nostrils.  But that's not all we see.  We see characters crawling out of the nostrils, we see someone dangling like a big booger on a rope out of one of the nostrils - one snot gag after another - yet no explicit camerawork ever draws our attention to them.  Not only do the characters deliver their lines perfectly deadpan, the camera delivers its images perfectly deadpan.  It's just perfect.Two more things I should mention.  Unlike Disney's other recent features, it never, not even for a second, feels as though the story has been unduly compressed - and at 78 minutes it's a trifle shorter than most.Also, despite the constant hilarity, it's rather touching.No movie I've seen in the past six months has filled me with such joy. Well, perhaps there have been a few others, but they were all made long ago.",10.0,Anonymous,Animation
Fun with llamas!,"Although my affection for other Disney movies of the 1990s has decidedly waned, my love for ""The Emperor's New Groove"" is still as strong as ever. In fact, I'm now beginning to think it's a work of genius. It's clever, unpretentious, fast-paced, and- like ""Lilo and Stitch""- you don't feel that the vision of the film was muddled up by the suits. The characters are not constantly breaking into song, and there is a welcome lack of cloying sentiment. No cutesy talking teacups here! The lightning- fast comic timing, sharp writing and constant loony non sequiturs (i.e. ""For the last time, we did not order a giant trampoline!"") improves upon each viewing, and the voice work is uniformly excellent, from David Spade's hilariously bratty emperor to Patrick Warburton's dim boy-toy Kronk to Eartha Kitt's Yzma (an over-the-top screeching Erte-style villainess with an alleged ""secret lab"" who is also ""scary beyond all reason""). You get the impression that everyone involved had lots of fun making this. The art direction, with its whirling cartoon Inca motifs, is simultaneously goofy and gorgeous- and it shows what marvels can be done with nary a pixel in sight. I even love all the local L.A. humor, with even Bob's Big Boy making an appearance. Although I was initially dismayed when I heard that the project, originally entitled, ""The Kingdom of the the Sun,"" was to be changed to ""The Emperor's New Groove,"" I think in the end the changes were a good thing. Did the world really need yet another bombastic Disney musical?No, I didn't think so either.",,Anonymous,Animation
Great Disney Movie,"Disney movies are known for being highly recommended movies for all ages and the original movies(such as Cinderella,The Little Mermaid, Snow White,Aladdin,etc)are enjoyable classics.Unfortunately,Disney has been running out of ideas and fail to recreate the old Disney magic. This movie however,proved me wrong.This movie is about a self-centered,spoiled and seemingly heartless young Emperor named Kuzco.With the snap of his fingers,he can get anything he wants even if it's a summer home.He only worries about himself and his needs and no one's whatsoever.That all might change with Pacha,a generous,thoughtful,and intelligent everyday peasant.He seems like your average peasant with a middle-class family and some farm animals of his own.He and Kuzco have nothing in common and have a bad start(Kuzco demands that Kuzcotopia,his new summerhouse to be built on top of the hill where Pacha and his family live)but they overcome that throughout the story.Yzma,Kuzco's cunning,stubborn and pessimistic adviser was recently fired and she wants revenge.In return,she decides to poison him with a potion with the help of Kronk,her lovable,dim-witted and humorous right-hand man. Unfortunately,he transforms Kuzco into a llama instead and when he tries to get rid of him,Kronk accidentally drops him on Pacha's cart which Pacha brings all the way to his village without knowing that the emperor is actually in a bag on his cart.With Kuzco far from the palace,leaving Yzma to rule the empire and leaving Kuzco and Pacha to triumph over the obstacles to travel to the palace,what will become of the story?Watch it and view good quality comedy with a pinch of drama and be amazed.I believe this movie is a Disney classic.The magic of Disney returned in this enjoyable story.The characters are well-developed and all three dimensional.Kuzco begins as the spoiled brat who can literally get anything that he wants and throughout the story,he learns the value of friendship and generosity.At first when he turns into a llama,the teenage audience want Kuzco to stay as a llama because of his bad attitude yet later in the story,they're rooting for him to transform back into a human.Pacha may not be the best character but there's no one who can hate him.Pacha already has compassion and generosity from his family life and may seem speechless in some scenes but most of that changes when he meets Kuzco.Pacha is also the one who gets him and Kuzco out of sticky situations in the jungle.In most Disney movies,the villains are serious and seemingly boring but this movie changed that Disney law.Yzma was hilarious as an old and ugly woman who is almost as spoiled as Kuzco.She has clever lines and has impatience which is what makes her humorous.However,Kronk deserves most of the credit for the humor.Kronk is the most lovable character in the whole movie.He delivered his humor with enthusiasm.The squirrel scene cracked me up.I'll rate this movie a 7.9/10 for memorable quotes and a deep friendship built.",7.0,Anonymous,Animation
I absolutely love this movie!,"How great is this? A movie about a talking lama. I absolutely love this movie, from beginning to end. I don't know how many times I have watched this movie, but I am guessing in the over 10 area. This is the only movie that I find funnier dubbed in Norwegian than in the original language. It is absolutely hilarious, I don't care what age you are. Although I think adults understands more of the jokes in the movie, but that doesn't mean that kids won't find it funny. The movie is a story of betrayal, friendship, love and lots and lots of humour. It doesn't seem like I can ever get tired of this movie. Why? Because it is absolutely fantastic! I am 24 years old, so there aren't any age boundaries here. I rate this movie 10/10",10.0,Anonymous,Animation
One of the grooviest films of all time.,"It seems a paradox that one film can be loved by both children and adults, and blend todays culture in an ancient setting, making an all-around phenomenal film.The movie begins at the halfway point of the story, then rewinds to the begging to show how we got there. The emperor has complete power over his people, but he doesn't use it to wage wars like your average emperor. Oh no, he just eats and dances and parties in the utmost PG way. Except his horrifyingly ugly chief advisor wants the power for herself, so she transforms him into a lama and throws him out of the palace in the most hilarious and contemporary way. He can only find his way back with the help of a peasant who he previously kicked off his land. So they strike a deal and attempt to find their way back to the palace.The themes are on the surface, a selfish king needs to learn his lesson in caring for his people. We all serve (even kids) in a leadership capacity in some way, so watching something with morals like this is always a good reminder in selflessness and caring for those we are responsible for. Not only that, but we can see what happens when you don't learn from the selfishness and greed of the chief villain. So this movie provides both an example to follow and a stern warning, but it's not in your face. Not necessarily the most complex themes, but it's complex enough for its intended audience. It's good to have a movie that can teach kids good lessons about life, even if they don't realize it. There aren't enough films today that do that.The animation isn't revolutionary, but checks off everything we need plus more. With a fine plot and good characters, I'd say the filmmakers accomplished everything they needed to and then some.At the end of the day, this is simply one of the best kids movies ever, and you can't go wrong with it. Hey, even if your an adult and want to watch something fun, this could be for you.",7.0,Anonymous,Animation
"Boom, baby!","""The Emperor's New Groove"" is a rare hilarious Disney movie.It's very different from any other Disney movie so this movie might also be very watchable to you Disney haters out there. The movie pace is incredibly high and the music by John Debney and Sting are a real surprise. The movie really is a non-stop hilarious comedy with some unique humor. Also the style, both visual and story-wise is different from any other previous Disney movie, which in this case is a positive thing.The characters are great. Kuzco and Pacha are a perfect team. Yzma is a remarkable villain and her sidekick Kronk is hilarious. Yep, Laughs are guaranteed in this very hip and hilarious movie!The story really is of no importance and most of it never makes sense but that's also why this movie is both unique and hilarious to watch over and over again.Highly recommendable to everyone!9/10http://bobafett1138.blogspot.com/",9.0,Anonymous,Animation
