title,content,rating,username,genres
"""Join us""!","Sam Raimi's The Evil Dead is a very original splatter flick for it's time that would be a great start to a series and very influncial to loads of other filmmakers. Pretty serious in tone, 2 couples rent a cabin in the woods and discover The Necronomicon and awaken The Evil Dead. Very different for its time this gory fright film delivers on both scares and horrific make up f/x. This has very little comedy and moves at a slower pace than the other entries in the series. I must admit, I prefer Evil Dead 2 with more Bruce Campbell, the introduction of splatstick comedy. Evil Dead 2 is pretty much a reimagined version of the 1st film that does everything the 1st film does better. But, that is only my preference and opinion. Having said that, The Evil Dead is still very good and the most pure horror movie of the lot. A classic.",8.0,Anonymous,Horror
Marvelously putrid.,"What more can be said of Raimi's legendary cult-classic that hasn't already been beaten to death like a puss-oozing zombie that crosses paths with Ash? Possibly nothing, but I'll try.Before Spiderman and before the countless spin-offs of this movie were made or even conceived, Raimi and friends decided to make a low budget zombie flick mainly for fun, and surprisingly it has become a masterpiece of shock and horror. Possibly a perfect example of how to make an entertaining film on a shoe-string budget, The Evil Dead delivers what it promises, the ultimate in grueling horror. Even with it's mild budget and sometimes shaky acting, TED shocks and spooks the audience through chilling atmosphere and some of the most violent effects ever put on film. Those who are squeamish need not apply. As a matter of fact, just run for your girly life.There are several reasons this film succeeds. First, Raimi's camera work is truly masterful. By using fast camera work and aggressive shots, Raimi has created an eerie world that is sometimes hard to look at but too entertaining to turn away from. His style from behind the camera is absolutely unmistakable. This is perfectly exemplified in the beginning of the film, where the camera alone creates enough atmosphere to leave you biting your nails in suspense of what's to come. You feel at any moment someone is going to get their neck chomped on by some zombie hiding just out of view. One of the most impressive openings I can think of, perfection in pacing and atmosphere. It gets even better once the action starts. Some shots hold for a seeming eternity, and part of you wishes for it to stop for it's unrestrained gore and violence...but the other part of you is getting a sick kick out of it. One of the most impressive shots is where the darkness from the trees begins to chase people, knocking any tree or obstacle down that happens to be in it's way. Truly magnificent technique, however they did it.TED also succeeds because it's self-aware of the fact that it's a simple zombie movie and never takes itself too seriously, and doesn't expect the audience to do so either. It's meant to be campy, cheesy, revolting and chilling at the same time. There are moments in the film where it seems to be making fun of itself and the genre in general. For this fact alone, one cannot hold certain things against it such as sometimes questionable acting from the supporting cast and sometimes the downright implausibility of certain situations. If you can accept this and you're not put off by mannequin ultra-violence, then you should find yourself on the supporter's side of the fence. I think some don't like it because it can be ridiculous and cheesy in parts, although it was meant to be. Even with the fact that it's sometimes cheesy, there are some downright chilling moments in this film that most horror films nowadays cannot begin to muster. Case in point, the zombie screaming from the cellar door. The zombie growls and howls themselves are enough to send shivers up one's spine. And let's not forget the unforgettable tree love scene, ridiculous and hilarious simultaneously.Last but certainly not least: Bruce Campbell as Ash, the badass of all zombie films. Campbell is Ash, period, and always will be.In my opinion, this is by far the best of the trilogy, and although there could have been more of the chainsaw, this is the definitive zombie film and probably always will be. I feel it succeeds over it's sequels due to it's increased violence and lack of humor in comparison. It's blood, gore, camera work, and shock factor are still formidable even today and are what make this such a cult classic. If you've ever liked any horror film, this is an absolute must-see.Love or hate it, there it is.",10.0,Anonymous,Horror
You don't need a big budget to make an accomplished film,"Sam Raimi's feature length debut ""The Evil Dead"" is truly one of the greatest horror films of all time and the start of a magnificently entertaining trilogy of hilarity and some real scares. Made on a budget of only $375,000, the film is surprisingly accomplished on a technical level. The effects, although they do look fake by today's standards, hold up a lot better than you might have expected, and the stop motion sequence at the end, which looks a lot faker than anything else in the movie, was accomplished for its time and budget.""The Evil Dead"" is about a group of young adults who travel to a cabin in the woods and discover a 'book of the dead'. No prizes for guessing what happens next as each character is possessed (except for Ash) and disposed of via an intriguing variety of methods. Considering its budget, unknown director (at the time), and typical slasher plot ""The Evil Dead"" would almost certainly seem headed towards forgotten B-movie status, and yet it has stood the test of time and remains one of the most widely acclaimed horror films of all time. Why? It's simple. Although ""The Evil Dead"" is nowhere near as funny as its sequels, it's still a humorous self-satire while also being terrifying despite its age. This odd combination (only perfected in this film's sequels and ""Creepshow"") works because Raimi crafts a tense and moody environment, puts his characters in there, and then ruthlessly disposes of them, sometimes doing so several times for the same character. What's worse is that there's nowhere to go. Raimi creates a claustrophobic feeling in anyone watching, he wants you to think about being in a situation where you're trapped with nothing but death and destruction surrounding you. For most people, he probably succeeds. As far as acting goes, none of it is really very good but Bruce Campbell is instantly likable as Ash, who just has to be one of the most memorable horror film characters of all time.Gory, desolate, hopeless, and still funny, ""The Evil Dead"" is a horror masterpiece that isn't quite the strongest entry in the series, but is shockingly accomplished and entertaining despite its low budget and inexperienced cast and crew. This is a film everyone must see, along with its sequels.9/10",,Anonymous,Horror
The ultimate in terror,"It's the early 80's, what do you expect?  This is a scary scary film.  And I think I know why films now a days can't hold a candle to films like Halloween and Evil Dead.  And that is because a photo copy is never as good as the original.  That is the bottom line.  Directors don't care about a lot of the material that they are filming today, especially when it comes to horror films and that is because they don't write their own stories.  They do someone elses work.  But not Evil Dead.  This was Raimi's baby from the outset.  When films like the two mentioned were filmed they were filmed by two directors that were complete unknowns.  They had no pressure to make a great film and they did it on an incredibly low budget.  Halloween was made for $150,000 and Evil Dead for $50 000.  So what that meant is that the directors could stick to their visions but they had to find innovative ways to do so.  Their budgets didn't allow a heap of special effects so they had to rely on what they knew.  And that was, how to create atmosphere using the camera.  And Evil Dead is one of the best at doing that.  There is one scene in this film that I will never forget and that is one of the early scenes where the cast arrives at the cabin.  Here we see a long shot of the cabin and it has very eerie music playing.  This shows the cabin as being menacing.  It lets you know that there is evil in that cabin.  And that we are in for a hell of a ride.Sam Raimi made a masterpiece here that I believe stands the test of time. You can put this film up against any of today's so called horror films and I guarantee you this scares you more.  Raimi cares about his movie and he does everything to make you feel the terror that the cabin people feel.  We are scared and disgusted at what happens when one of the women goes outside alone at night and meets a tree that does unspeakable things.  And when the book is first introduced.... that is horror movie history there.  What a brilliant concept.  A book that is evil.  I have often wondered about such books.  We hear about them all the time in movies about ancient Egypt and ancient times.  But here we have a book that has weird incantations from another world and another language, and you just know that as soon as some idiot utters the words that they are not supposed to say, well they won't be around much longer.The Evil Dead is a miracle.  It was made on a rock bottom budget yet it is scarier than any Hollywood movie that is made for 20 million could ever hope to be.  If you want to truly experience a frightening experience, rent this film, it knows what it wants to say.  And it knows how to make you afraid. So be afraid.  Be very afraid.  You may never look at the forest the same again.",10.0,Anonymous,Horror
My teenage self would have loved it. I didn't.,"A group of friends spend the night in a cabin in the mountainsand it doesn't go well.Starring Bruce Campbell, Ellen Sandweiss, Richard DeManincor, Betsy Baker and Theresa Tilly.Written and directed by Sam Raimi.I think my age has a lot to answer for.I'm guessing that if I'd watched this as a teenager I would have loved it or at least enjoyed it more than I did now as an old bloke. It definitely had lots of creepy moments and funny moments.But from an old gits perspective I was actually a little bored watching this. I suppose when it was first released this movie would have been cutting edge and the ultimate horror flick. But I got that bored feeling in my stomach that I get when I'm reading a really boring book that I can't wait to finish so I can start the next one. It was all so repetitive. One demon possessed person attacks and then another and then another and then another. there was nothing new here and it's all been done before.The acting was okay but a bit hammy and the special effects ( although probably brilliant in 1981) showed their age.I'm giving it a 6/10 but my teenage self would have given it much more.",6.0,Anonymous,Horror
A movie everyone should respect !,"A few nights ago, a couple of friends and myself watched The Evil Dead again. It was like the 68th viewing for me ( I think...lost count somewhere around 50) but it still only means one thing to me: PARTY !! Many feeling can occur when watching this delicious masterpiece by Sam Raimi. You can either adore it, be frightened by it or be disgusted by it. But it always leaves a big impression on you and I can't imagine anyone would hate it.And there is ONE feeling that everyone should have towards this movie...RESPECT ! Mostly respect regarding the achievement of Sam Raimi. This guy was 21 years old when he made this film and that's impressive to say the least. I'm around that age at the moment and I sure as hell haven't pulled it off yet...I strongly doubt I ever will, actually. No, when you're able to come up with such an original and dared idea for a horror film, you belong to the greatest minds in the film industry. Sam Raimi did it and his further career only confirmed his status of being a genius with every single movie he directed afterwards. Tons of respect towards Bruce Campbell as well. Sure his performance in this movie is far from great, but at the time, he did it because of his friendship with Sam Raimi. And because The Evil Dead became a big hit, his career was launched too and he certainly grew as an actor. Bruce Campbell is now in the favorite actor-list of many B-movie fans...And I'm one of them.Then there's Tom Sullivan...responsible for the make-up. What a fine job he did. The Evil Dead gave a whole new meaning to the word ""gore"" and we have this man to thank for that. Most nowadays horror films still can't live up to the standard of Evil Dead...not even close.The plot of this film is as simple as can be...but it works. Five friends drive to a small cabin in the woods to spend a small vacation. They find a tape recorder with a message...Out of curiosity, they play it and pure evil is rised in the woods. One by one, they become possessed and turn into horrible demons who try to kill those who're still alive...That's it !!! And that's all there is needed to create a fun and very original horror movie. The same story already came out in 1978 as a short film called ""Within the Woods"". It was meant to fund money for this film and it's great B-movie fun as well. If you're a big fan of The Evil Dead trilogy, it's certainly worth searching for.Anno 2003, Sam Raimi has grown out to one of Hollywood's favorite directors. He became immortal in the eyes of the big budget audience with his movie Spiderman. The sequel of that one is in production while I write this. I'm sure it will be as decent as the first Spiderman was, but I'd still prefer to see Evil Dead 4 coming from the brain of Sam Raimi.A fun trivia element to finish this review with : If you're watching the end credits of the Evil Dead, you'll see Joel Coen is credited as Assistent Editor. Coen now is a famous director as well and may be considered as the best director alive. Back in 1981, he and Sam Raimi were close friends and even shared a studio when they were in collage. Joel Coen made his debut in 1984 with Blood Simple. One of the best cult movies ever made...Join us....",10.0,Anonymous,Horror
A Horrific Masterpiece,"Sam Raimi proved to the world that he could not only direct a movie but that he could create a product that was not only original but that could scare the hell out of you. Since the 1981 release, Bruce Campbell has found work on many film projects due to his break out performance in the Evil Dead. Raimi, has gone on to direct many films. Both have earned much of their career based on this little horror movie, that has been re-produced / recycled by thousands of ""wanna-be"" film makers world wide. This is not your typical ""zombie"" film, let alone your garden variety horror movie as well. The Evil Dead is one of those black comedies / horror movies that overwhelms the audience to either be scared out of their wits or won over by the movie's story and over the top characters. The Evil Dead is what most, if not all horror movies should be, very real and powerful.",7.0,Anonymous,Horror
A marvel what some college film students can do on a shoestring budget,"SPOILER(S) POSSIBLEThe first ever full-on film project by budding filmmakers Sam Raimi and Rob Tapert(then called Bobby Tapert)would prove to be a work of endurance and love and also one of the more entertaining horror films made in the eighties.The plot is painfully simple: Five young adults from Michigan drive off into the woods for a camping vacation,using a seldom-used cabin as their haunt. They uncover a tape recorder and a crusty,dusty and blood-and-flesh-coated ""Book of the Dead"" or ""Necromonicon"",inadvertently incant the chant that awakes a limitless supply of malevolent spirits in the woods,and then one by one get picked off until a lone survivor is left to fight to escape. The story isn't much of an accomplishment:it's the whole physical undertaking that's the real accomplishment.On a small budget that was probably getting smaller as the shoot continued(I don't know the exact amount of time of filming,but it probably lasted at least a year),the filmmakers and stars(all of 'em,most famously budding star Bruce Campbell as the conflicted but can-do Ash)had to make the most of a limited set,claustrophobic settings,gallons of viscous fluids,endless supplies of cakey make-up,a limited amount of lighting(probably NOT an accident,there) and probably a mass-produced amount of fog to create something that has both the feel of a creepily eerie film about the undead and yet had the effects to back up the type of slasher horror pic that the producers were aiming for.The first of an intriguing trio of horror/comedy films that Raimi,Tapert,Campbell and company would crank out over a period of just under fifteen years(and,after seeing this film in full,I'm not sure if anyone involved originally intended to make any sequels),the atmosphere and noticeably cheap effects may turn-off your pickier horror film snobs,but anyone with a sense of adventure and high tolerance for gore will be reasonably pleased--if not greatly impressed--by this first effort film. A keeper,not a renter,not only for repeated viewing but also for the extras.",9.0,Anonymous,Horror
lower expectations make for greater enjoyment,"With 365 other reviews at the time of this writing I find it hard to believe that I have anything new to add but here goes.No movie is ever going to be liked by everybody but I think the fact that The Evil Dead gets so much positive hype from its fans that fewer people in the future will enjoy it.  Hype brings with it a twisted like/hate ratio.  A movie with lots of positive hype will receive fewer positive critiques from future viewers and vice versa, negative will bring more positive critiques.With that said I admire what The Evil Dead brings to horror.  When I first watched this movie as a teen it and it's sequel scared the hell out of me. It didn't help that I watched it in my basement alone but that's part of the fun of horror movies.  I watched The Evil Dead again last night and it still packed a punch for me.  Of course not nearly as much as it did 15 years ago but I still found it enjoyable.The Evil Dead is an uneven movie but that is to be expected being made on such a meager budget.  But it does have enough suspense, shocks and creepiness to it that The Evil Dead can actually claim to be a horror movie. A lot of nay-sayers of The Evil Dead say it's a ""stupid"" movie, which in and of itself is a brilliant critique don't you think?  I for one think it's anything but.  Unlike many horror films it has a story which is easy to follow and for the most part fair to the viewer.Given that The Evil Dead was made for somewhere around $350,000 many of the aspects of the movie are remarkable.  The special effects are nicely done even if at times obvious.  Sam Raimi's camera work makes otherwise dull moments interesting to watch for the viewer.  Raimi knows his way around a dollar and in The Evil Dead he gets everything he can out of every cent he spends.So if you are looking for a good horror film, The Evil Dead is a perfect choice, if viewed in the right frame of mind.  Just remember, it was made on a very small budget, it was made by a first time writer/director and amateur actors.  With this in mind you should have yourself a good time watching The Evil Dead.  The Evil Dead rates a 7 out of 10.",7.0,Anonymous,Horror
"""Join us!"" ""The Evil Dead"" is gruesome fun!","Before ""Spider-Man,"" Sam Raimi started off as the director of the classic fright film ""The Evil Dead,"" which, to this day, is one of the hippest horror films ever.Ash, his girlfriend Linda, his sister Cheryl, and his friends Scott and Shelly head out to an isolated cabin in the woods for some fun. But right from the beginning, strange things happen. Cheryl hears voices howling ""Join us!"" And then, Ash and Scott find a recording of a ritual from a book called The Book of the Dead. Too bad for them, because that ritual releases soul-hungry demons who possess everybody in the cabin. The only way to stop the demons is through the act of bodily dismemberment, and it's up to Ash to return the demons to their resting place. However, it's not gonna be easy.""The Evil Dead"" can be very scary, but it's mostly great fun to watch due to its shameless amount of gore. This movie goes so over the top, it sort of becomes comic, and I dig that.Bruce Campbell has created such an icon out of Ash, a character who has lasted through 3 films. Campbell is a master. The other cast is very good with Ellen Sandweiss as Cheryl, Hal Delrich as Scott, Betsy Baker as Linda and Sarah York as Shelly.""The Evil Dead"" is a movie done with so much love for the genre, and a movie like that only comes once in a while. Hilariously gory, well-acted, and great fun to watch on a nice Halloween night, a horror movie like this doesn't get any better. A classic!****",10.0,Anonymous,Horror
