title,content,rating,username,genres
Nostalgia train,Is it cheesy ? Definitely. Is it corny ? Oh ya. Did anyone deserve an Oscar? What do you think.Is it a cultural icon that has had a decades long lasting impact on pop culture worth your time ? ABSOLUTELY.Back in 2001 this movie was the next big thing. Everyone wanted a graphic'd out rice burner to drive around town in pretending they street raced.Everyone wanted a Mia or Letty. Everyone wanted to have Dom's muscles and Brian's hair.There's not enough to say about how this movie changed everyone in 2001. Just watch it yourself and put yourself in the mindset of 2001.,7.0,Anonymous,Crime
There's something about Vin,"Every summer a film comes around that takes everyone by surprise.  Last year it was Scary Movie and I'm sure in 1977 it was a film like Star Wars and then in 1981 it was Raiders of the Lost Ark.  Now I am not saying that The Fast and the Furious is in the same class as Raiders and Star Wars, just that it surprised everyone on the same level.  F&F is short on plot and dialogue and even some of the acting is lame, but what it is oozes is testosterone.  It pumps your blood, increases your adrenaline and attacks you with fast cars, sexy women and that one invariable that I think it has going for it... Vin Diesel.  There is just something about the guy, something that you really can't put your finger on, but he just has it. Maybe it is charisma, maybe it is charm, maybe it is just that he resembles some of the action heroes from the 80's with his chiseled triceps and his slabs of pecs.  Maybe it is all those things and maybe it is none of those things, all I know is that F&F is exactly what I had hoped it would be and nothing more.  This is the summer movie that I have been waiting for.  It's not that the films that have been out so far aren't that great because some of them are, it's just that this is the one that epitomises what summer as a teen ager is all about.  It is no wonder that exit polls for this film were around 65-70% under the age of 21.  And maybe that is why I enjoyed it so much.  I am pushing 30 but isn't it cool to lose yourself in a film that reminds you what it was like to be in highschool.  And isn't it cool to watch street racers break 140 miles an hour wile they shoot NOS through their vehicles?  Well isn't it?F&F doesn't contain any machinations similar to a film like Mission Impossible and it doesn't dazzle us with special effects of impending doom like Armageddon did, but it takes us into a world where people live life ""a quarter of a mile at a time.""Vin Diesel plays Dominic Toretto, a massive, bald mechanic that owns a garage but street races on the side to make some extra cash.  Paul Walker ( The Skulls, Varsity Blues) plays Brian Spindler.  He is a cop that has infiltrated the street gang to find out who is highjacking trucks and stealing all their merchandise.  There are about four rival street gangs in L.A. and one of them is pulling this off.  He has to figure out which one. Of course along the way he seduced by the life, but that is not what we really care about.  All we want to see is lots of racing, a few crashes, some fights and some sex.  F&F doesn't disappoint.  If what you have seen in the trailers of the film excites and entices you, then you know exactly what you're in for.  This is not going to win any Oscars for anything but what it will do is entertain you.  It will expedite you for 90 minutes into a world where Honda's are souped up to look like Dragons and junkyard scraps are rebuilt from scratch to be better than they were before, better, stronger and faster.  If this film appealed to you in the commercial, it will appeal to you on the screen.And of course there is Vin Diesel.  He first made a name for himself in Saving Private Ryan where he played Capparrzo.  Then he jumped onto the scene with his excellent and grandiose turn as Riddick in Pitch Black.  I think this is the film that got him noticed because no one had even heard of him before this.  Then he did Boiler Room and he showed a different side to him.  But F&F is all muscle and sheer bravado.  I think Vin is going to do great things in the years to come.  He is not a nobody anymore.  This film will take care of that.  And face it, isn't it cool to see the genesis of a new action hero?8 out of 10-  The ultimate summer rush!",8.0,Anonymous,Crime
The beginning of it all,"This is the movie that created a brand new mega movie franchise. Generally when there's movie franchises they make movies in the form of trilogies. But later this year when Fast and the Furious 6 comes out it'll be the sixth movie in the series which shows the level of box office appeal the series has to be able to pump out an average of 1 movie every two years is quite impressive. The only other series doing that kind of productivity with different directors on basically a once every 2 year rate is the James Bond series.Vin Diesel who outside of his other series Riddick movies generally puts out mediocre to bad performances was basically made to play the role of Dominic Torretto. Same goes for Paul Walker, normally when I see he's going to be in a movie I don't bother watching it. But somehow when these 2 guys get together in a movie about driving fast cars with hot girls it turns into a guilty pleasure.",8.0,Anonymous,Crime
Surprisingly good,"Officer Brian O'Conner (Paul Walker) goes undercover in the Los Angeles street racing circuits in order to find out which of the racing crews is committing crimes with their muscle cars. But going undercover is never easy, especially with such affable miscreants.The basic premise is really nothing special. But then again, it doesn't need to be. The point of this movie is in its style. It has fast cars, lots of racing, lots of hot, greased-up babes, muscle-heavy men (and cars) and a killer soundtrack. You don't watch it to be intrigued by carefully orchestrated plot points or tragic backstories or the heaviness of its pathos. No, you watch it to kick back, relax and have a good time.And in delivering that, the movie more than delivers. But if it was just that, I'd probably rate the film a bit lower. What actually elevates this film above its immediate peers and helped launch a huge franchise, is the fact that this film is punching above its weight class and succeeding. And it does that by having some real good actors playing roles they were born to play. Walker is one of them, but I also have to mention Vin Diesel and Michelle Rodriguez.The dialogue is also surprisingly snappy and memorable. The plot, while basic, succeeds in making you care for these characters, and it also manages to make itself feel novel, despite arguably being at least a little clichéd. Once again, the fact that you care for these characters matters a lot.Not a groundbreaking movie by any means, but it has surprising quality underneath all the testosterone being forcibly pumped into your veins.",7.0,Anonymous,Crime
A solid entertainment weel done action heist movie,"The Fast and the Furious (2001) It is solid decent action film of the film franchise. I love this film it is my third favorite film in the series. I wasn't watching this film for the cars or street races this film is about robbery, as a string of high-speed electronics truck robberies rocks the area. The Team stole $1.2 million worth of major electronics and the cops doesn't have any leads who has done it. There is only one team that could be responsible, Dominic Torreto (Vin Diesel) and his gang of street racers. During the night Torreto and his crew of street racers are driving cars in Los Angeles. Brian O'Conner (Paul walker) a undercover LAPD officer under the alias ""Brian Earl Spilner"", is he assigned to find out who is stealing the merchandise.This is my favorite film, it is an decent Action film about heist $1.2 million and not about the cars. Why I love this film? Because It is clever, intelligent, Entertained, fast paced and not boring film. The girls are beautiful in this team. The Action sequences are real and perfectly done. I love that late Paul Walker plays Brian O'Conner and undercover L.A. Police Officer who try's to do the right thing. I am Paul Walker fan and Brian O'Conner is my favorite character of the whole franchise and series. I am saying The Fast and the Furious is better than 2,3 and even 7 so the film is pretty good.Paul Walker, Vin Diesel, Michelle Rodriguez and Jordana Brewster did a terrific job playing their characters.With these players set in motion, it's up to the script to deliver the real substance of the movie. (One often sees great performances in mediocre films..here the story transcends the performances -- an impressive feat.) The script delivers. These themes are reinforced by the fine performances by Paul Walker and, particularly, Vin Diesel. Diesel's Toretto is a tough, no-nonsense, street-smart and highly-skilled racer on the outside, but as O'Conner and the audience come to know him, it is revealed that he is a human being with feelings, a troubled and hard past, and doing his best to get along, even if it means skirting or breaking the law. He's the head of a household, and the patriarch of sorts of a gang that is more family than it is a collection of members. Diesel brings hard-nosed and gritty energy to the role, but compliments that with a softer, more accessible side that makes him an odd sort of antihero, a man clearly in the wrong but not maliciously or spitefully so. Walker, too, is excellent as the undercover officer that finds the world of underground racing not-so-seedy as it seems.On the turbo-charged streets of Los Angeles, every night is a championship race. With intense full-throttle action, awesome high-speed stunts, and full-on pedal to the metal intensity, this fast and furious assault puts you in the driver's seat and dares you to exceed all limits.Los Angeles police officer Brian O'Connor must decide where his loyalties really lie when he becomes enamored with the street racing world he has been sent undercover to destroy.It don't matter if you win by an inch or a mile. Winning's winning.The Fast and the Furious is a gritty and gratifying cheap thrill, Rob Cohen's high-octane hot-car is a true rarity these days, a really good exploitation, the sort of thing that would rule at drive-ins if they still existed. The Fast and the Furious is a good Action movie. It offers a conventional plot but populates the story with well-developed primary characters that draw the audience in and make them care about their stories. In the movie, the line between good and bad becomes blurred to the point that, by the end, it matters not which side of the law the characters call home.I love this film to death! It is my 3d favorite film in the series franchise. The Fast and the Furious kicks ass! Even for PG-13 film they kick ass! Brian O'Conner kicks ass!!!",10.0,Anonymous,Crime
It truly is Fast and Furious,"What makes this film so great? One of the many questions you find asking yourself as soon as you pick up the DVD or Video of this film. Well firstly before you dare to watch this film you must be one of these three types of people to be able to sit and watch this film (in my opinion) 1)A person who knows fast cars, 2)A person who likes to see these cars, and 3)A person who knows why you race them.If you aren't one of these people and just want to watch Vin and Paul in action then I'm afraid to tell you that you won't do this film any justice (although they are great in this film). I believe that the character that Vin plays was made for him and so was Pauls' character. Vin already has the style, the mood of Dominic Tretto (we have seen this in XXX) i personally couldn't have picked a better actor for the job for no one could pull it off like what Vin does. As for Paul i think it's great that they have used a so-called ""tall, lean, blonde pretty-boy"" for the part of Brian O'Conner because it brings out the fact that he is an under-cover cop. He's new in the field, it's his first mission and therefore he needs to look it too. We see his character evolve in the second film, which is also truly brilliant. So from me i think that the film should be at least rated at a 7 or 8 out of 10 even though the story does seem to drag on for awhile it is still a pretty good film and i hope you will agree. So from me watch this film and enjoy it too.",,Anonymous,Crime
"An action movie with a some-what plot, hot babes, fast cars, great action and a meet-expectations.","The Fast and the Furious is probably the first movie to get me into cars while at the same time enjoying myself without having to worry about a plot.Paul Walker plays Brian O'Conner, a hot shot police officer, who goes undercover as a car junkie Brian Spilner to see if a local street racer/mechanic by the name of Dominic Toretto (Vin Diseal) has anything to do with hijacking a bunch of cargo from DVD's, TV's, entertainment sets, and so forth while at the same time falling head over heels for Dominic's sister Mia (Jordana Brewster). Brian comes so close while at the same time gaining trust to the target (Dominic) itself where it's only a matter of time before the truth comes out.The film itself has the best action sequences involving street racing and high octane action where despite a so-so plot to follow, or one that's been seen before (such as Point Break), you don't have to worry about a thing. It's just pure fun.The film also stars Michelle Rodriguez (S.W.A.T.) as Dominic's girlfriend, Letty; Ted Levine (The Silence of the Lambs) as Sgt. Tanner, and singer Ja Rule in a small cameo as a contestant against Dominic.",7.0,Anonymous,Crime
Solid movie... Worth renting,"Today I saw Tokyo drift and yesterday I saw 2 fast 2 furious for the fifth time, but I still find myself drawn toward the original. It stars Paul Walker as an undercover cop who infiltrates the street racing underworld of LA to catch a crook who has been hijacking millions of dollars worth of electronics from 18wheelers, causing the truckers to take matters into their own hands, ultimately ending in deaths and multitudes of money stolen. Now, you would think that because of the semi weak plot, this movie wouldn't be that good, however, the main storyline is just a small part of this movie, the other elements being action and some interesting relationships regarding vin diesels character. Diesel plays a street racing god, one of the best in the LA scene. Walkers character, Brians, way into the world is through Dominic Toretto (Diesel). Toretto has an air about him which draws other in, and Brian is no different. Throughout the movie, Brian is getting to know Dom, earning his trust, etc, but at the end of the movie, both Dom and Brian are forced to make a decision about each other... The whole relationship is interesting to watch. As for the action, there is plenty of it. Besides the many races, there is also some gunplay and some hand to hand fighting, and some interesting hijacking sequences.All in all the cars are hot, the girls are hotter, the cars are fast, the guns are loaded, and for the more serious, the relationship between Dom, Mia, Vince, Letty, and the others is amazing.If you haven't seen this movie, rent it tonight",8.0,Anonymous,Crime
Cars look cool and Babes look hot,"Dominic Toretto (Vin Diesel) leads a group of friends and family to street race in the LA night. Brian O'Conner (Paul Walker) is a cop working undercover to infiltrate his gang of suspected truck robberies. However he finds himself falling under Dominic's charisma and for Dominic's sister Mia (Jordana Brewster).There is a lot of silly action, and unrealistic story lines. This is purely style winning over substance. The cars look cool and babes look hot. But it's the Vin Diesel presence and Paul Walker pretty boy looks that provide the heart of this movie. The boys have amazing chemistry and the gang feels like a real family. The story is almost unnecessary.",7.0,Anonymous,Crime
Cunning Cops,"Could there be a movie made in this world worse than this one? Of course there is but this is still a shocking movie. What chance does a remake of ""Point Break"" seriously have? Neither contained a script worth performing, let alone an idea with originality. They both produced ordinary performances from the cast of alleged actors. They also both contained action scenes that were so ridiculous you could only smile at the the disgraceful way money is handed out to pretenders, sorry producers to make this crap.At least ""Point Break"" mixed the action scenes between sky diving and surfing rather than the mundane street racing over an over. Maybe they could have towed someone on roller skates behind the cars for extra adrenaline.",1.0,Anonymous,Crime
