title,content,rating,username,genres
The Best of 2011,"I thought The Flowers of War was one of the best foreign films I have ever seen. Ignore all bad reviews, movies are not suppose to be perfect, there was a point of view, a story and a plot that were all displayed understandably. I have read a few reviews on this film and I have noticed most people saying ''Its too graphic'', it is a war film and the graphic effect was a great way of showing the audience the true form of war and the violence the soldiers/people experienced.The cast was wonderful, I was amazed by the outstanding performance of the young Chinese actresses, I had goosebumps when they started crying or displaying any form of drama. Christian Bale was wonderful, I have always loved his acting and I still do, he portrayed John Miller's character the way I imagined it. He was capable of making me believe that he was an American without any doubt. Ni Ni (Yu Mo) was an amazing character and actress, I have knowledge that it is her first picture and she had shown amazing talent along with all the other Chinese actresses.Over all I suggest you should watch the film, it is great and inspirational and extremely entertaining to watch.",9.0,Anonymous,History
Don't miss.  This deserves your attention.,"Zhang Yimou has crafted a beautifully shot and compelling story set inside horrific events. About all I knew of this movie was it was set in 1937 China and starred Christian Bale. Not knowing much allowed me to be completely open to the journey of the characters. This is an emotionally powerful story about people caught in circumstances for which there seems no hope of survival. The Japanese soldiers are shown as barbaric, but we do meet an officer who attempts to remain honorable though he must do his duty to his superiors. The violence in the movie is brutal, but not graphic or gratuitous. The choices and sacrifices made by the characters never seemed contrived. The arc of Christian Bale's character may seem 'predictable', but it is never false or 'convenient' to the story. All actors are excellent. Because they're foreign to me I had no idea who they are or their other work. At the screening I attended we were introduced to Ni Ni, who said this was her first film. She is both beautiful and compelling. I wish her a long career. Yimou, through his daughter, told us about his journey to make this movie - based on a novel, based on real events. He has told an amazing story that will stay with me for a long time.",9.0,Anonymous,History
Good Movie is Like a Mirror,"I watched the movie in Beijing, twice. The second time I liked it more. This has to be one of the best Chinese films yet, if not the best. Some scenes are pretty brutal, but really worth watching, to say the least.The director Zhang YiMou told a powerful, touching and beautiful story, while delivering stunning visual effects as always. All actors from different countries did an amazing job in making so many strong characters in 3 languages, not just the American 'priest', but also those prostitutes, the boy George, all the children, Japanese officers, and the Chinese 'traitor'.Good movie is like a mirror, some people might get upset watching it, while others see love for others, respect for life, and the human spirit of fighting for peace out of tragedy. Each audience's reaction more or less reflects his/her personal value. The storytelling is objective so you can judge for yourself. In front of a masterpiece like this, people who ranked it very low deliberately because of stereotypes against China or whatever twisted reason (I KNOW YOU EXSIT ON THIS SITE), you need to sit down and think what's wrong with yourself, no matter how open-minded you claim you are.Some say it is a propaganda production. I have to disagree here. Almost everything in this movie is based on real history, including how Japanese tortured Chinese war victims, how prostitutes stood up to protect other women during the Rape of NanJing, as well as how some westerners resided in China at the time helped local Chinese. Anyone who can pick up a few books or do a bit of research on internet knows it.English is not my mother language so I can't write an review with big words like those professional critics do. However, this is the first time I feel so moved by a movie that I'd write an English review online to recommend it to viewers outside of China. Simply too good to miss.If any Chinese simply walked out of the cinema cursing Japanese, I'd say the movie failed big time. However, both times I saw people left quietly, some still sobbing, and heard them saying how lucky they are to be born in this era and how precious peace is. For that reason, I applaud this film.It is what it is. Horrible things happened in history. Hate and anger won't do any good today. Make peace with yourself and move on. Just like what George said in the movie, life is precious, it is not ours to throw away.",10.0,Anonymous,History
a movie definitely worth seeing,"Honestly,I am not the kind of people easily being touched so deeply as to cry, and I didn't cry much during the movie indeed. I just walked out the movie theater,took a bus,got off the bus,bought a piece of bread, walked home while eating the bread,then all of sudden burst into tears.Till now I still haven't walked out of it. There is so much to say, yet you don't know what to say nor how to say it. My only advice: you walk into the movie theater, forget whatever people said on the Internet, and just watch it with your own heart.It is a great movie.",10.0,Anonymous,History
Unrealistic View of the Rape of Nanking,"In 1937, the cynical mortician John Miller (Christian Bale) arrives at a Catholic Church in Nanjing that is under protection of the Red Cross to bury the local priest during the Japanese attack to the Capital of China. He finds only student girls and one young boy in the convent and he decides to spend the night in the church and travel on the next day. Soon a group of prostitutes from the local brothel by the river breaks in the church seeking a sanctuary and they hide in the basement.On the next morning, a Japanese platoon breaks in the Church and when the soldiers see the girls, they try to rape them. John wears the priest costume and poses like a priest to the invaders. He tries unsuccessfully to stop the Japanese, but the Chinese Major Li (Dawei Tong), who is the only survivor of his troop, prepares traps using bombs and destroys the whole platoon. Now John needs to decide whether he leaves Nanjing in the last ship or stays in the church protecting the naive girls.""Jin líng shí san chai"" is an unrealistic view of the Rape of Nanking in 1937. The plot has the usual exaggeration of blockbusters that spoils the film. John Miller is a cynical mercenary that refuses to escape with his compatriot in the last ship to stay with the Chinese girls in an unbelievable redemption of a character. The two prostitutes leave the shelter to bring a pair of rings and a string for her liuqin is also a ridiculous situation. The attitude of the prostitutes switching places with the student girls is also hard to believe. The best film about this shameful invasion is ""Nanjing 1937"". My vote is six.Title (Brazil): ""Flores do Oriente"" (""Eastern Flowers"")",6.0,Anonymous,History
"A glimpse of WWII in China through one fallen city, Nanking","Please watch this movie to get a glimpse of what it was like during World War II in China. My grandparents were in a different part of China that also got occupied where similar tragedies occurred. Though much much worse. Babies would be thrown in the air and caught on the bayonets as a game. There were killing games. My grandma can never tell her story without crying. The Japanese government deny this ever happened, they never apologized, and payed for their war crimes. They do not even have it written in their history books. All my grandparents want is for their story to be recognized as well as a formal apology. Thanks for reading.",10.0,Anonymous,History
Emotional and heart-warming.,"With ruthless Japanese soldiers killing everyone in sight, a group of students hides inside a church. An American, John Miller (Christian Bale) is a mortician who must go to the church for the Priest's funeral. However, arriving there he finds there is no body. George (Tianyuan Huang), who was raised by the Priest, tells John there is no money to pay him.Unwilling to leave without payment, John decides to stay a bit. A bunch of prostitutes - who were promised refuge at the Church - also arrives, to John's delight. What follows, is excellent character study, with great character development, and tales of heroism.'The Flowers of War' disturbingly depicts the inhumane deeds of humans during warfare. During war, some soldiers, it seems, believe they have the right to completely abandon morals, and act selfishly, tormenting innocent victims. The film is very emotional and heart-warming in equal proportions. This is an outstanding film, focusing mainly on characters and their actions during times of desperation. The action sequences are awesome.Based on fact, this was captivating. The film slows down significantly during the final act, yet remains interesting. Two and a half hours later, I would have liked the film to be even longer still. Very good performance by Christian Bale.",7.0,Anonymous,History
"Great movie, highly recommended","It's a great movie, very touching. The background is Nanking Massacre, at that cruel and desperate history moment, the director finds a special perspective to show us goodness, hope, sacrifice and humanity. Although I've seen so many war movies before, this one is different. I could not help crying through the whole movie, even I told myself ""This is just another war movie, you should control your tears"" But the movie has nothing to do with intendedly giving audience slushy emotional scenes. Even at some dark and sad moments, there is no background music.All the actors and actresses give a stellar performance. Good story, good acting, beautiful scene. My teacher once said ""Audience never cry for tragedy，but they will cry for good things.""Anyway, it's a powerful movie, highly recommended.PS: All the victims in Nanking Massacre deserve a serious apology from Japanese.",10.0,Anonymous,History
Christian Bale in Japanese-occupied China again,"I don't know whether or not you've heard about the Rape of Nanking, but everyone should know about it. Having captured the Chinese city, Japanese forces committed a near genocide against the population and devastated the city. Zhang Yimou's ""Jīnlíng Shísān Chāi"" (""The Flowers of War"" in English) focuses on a Nanking church where an American (Christian Bale) takes up residence and then must protect the inhabitants from the occupying forces. The inhabitants are the schoolgirls, and also a group of prostitutes. Eventually, everyone faces a moral dilemma.There are some very ugly scenes of the occupation. The Japanese occupation of China and Korea has never gotten the attention that the Nazi occupation of Europe has, but it was equally brutal (as was the Italian occupation of Ethiopia). The main focus here is on the events inside the church, but there is ample focus on the atrocities committed by the Japanese. The movie does a very good job in every way. It is always important to tell these stories so that they never happen again. I very much recommend the movie.PS: Bale had previously starred in Steven Spielberg's ""Empire of the Sun"", about a boy who gets separated from his parents in Japanese-occupied China. I also recommend that one.",8.0,Anonymous,History
Zhang's best work In 10 years,"Someone wrote and I quote : ""there was never a moment of this movie that will bring tears in someone's eyes"". Whomever wrote this is not Chinese for sure! I started crying right after 15 minutes in the cinema .This whole movie's dialog is in Nan Jing Hua (local accent mandarin ). Sounds funny at beginning , but it's more easy to bring audience into the story with characters . Zhangyimou's movie are famous for bright colors and nice view since he use to be cameraman. But this movie is so much more than the visual! Color still pretty though, the paper shop, those QiPao, girls make-up , everything is pretty . I guess to ruin the beautiful things defines the tragedy. My friend who watched it before told me do not watched it in the morning , because it will upset you whole day. So I went to cinema in the afternoon, and I could sleep until 5 am this morning. Comparing to Zhang Yi Mou's earlier work like "" hero"", this is definitely his best work in 10years!",8.0,Anonymous,History
