title,content,rating,username,genres
This and the Thing are the best horror remakes ever made!!!,"During the 1980s, horror was rising, with Friday the 13th started the decade with a bang, with sequels, parodies, and ripoffs in its path. Halloween would have a sequel and many more, and Freddy Krueger started a long running franchise by Wes Craven. What the critics really loved was the remakes of horror movies lured to younger audiences who never saw the originals. John Carpenter's The Thing, while it underperformed at the box office, became a favorite on home video and a cult classic. In 1986, director David Cronenberg, who made heads explode in Scanners and made video horror with Videodrome and changed political horror in the film version of The Dead Zone, would take great risks remaking a 1950s b movie classic, The Fly, by casting Jeff Goldblum as the main character and Geena Davis as his love. Coming out the same year as Aliens and produced by Mel Brooks, The Fly became Cron's highest grossing movie ever and spawned a sequel which didn't do well but became a cult classic in its own right and there are talks of another remake, this time with CGI and a bigger budget. Catch it while its on tv and you'll like the practical effects of the movie as well as the memorable music by Howard Shore. Be afraid, be very afraid...",8.0,Anonymous,Horror
Still Fascinating & Very Disturbing,"It's been over 20 years since this movie was made, but the special effects are still amazing and the story is an entertaining - and disgusting - as ever! I watch it about every 5-7 years. It's utterly fascinating, but it is so uncomfortable to watch at times I always wonder, as I am viewing it, why I put myself through this each time! The original movie, with Vincent Price, is ""dullsville"" compared to this re-make.Things can get really disgusting as Jeff Goldblum ('Seth Brundle"") slowly turns into a huge fly. The transformation is very gross in certain spots, and certainly gut-wrenching to witness. You can just feel his girlfriend's anguish and horror as she witnesses Goldblums' incredible physical and mental change. Geena Davis gives a convincing performance in that roles as ""Veronica Quiafe.""The story is not just a dumb horror-creature movie, but an intelligent science fiction tale with both leading actors excellent. I don't Davis ever looked prettier, too. John Getz also is good as her magazine boss, ""Stathis Borans."" Those three characters dominate the film. I can't even remember anyone else in here.The ending is stunning, almost leaving the first time viewer in shock. In fact, by the nd, this movie will have you emotionally worn out.",9.0,Anonymous,Horror
next-level stuff going on here,"I saw this movie for the first time a few days ago, and I took away two thoughts.  1. This is just about the most depressing film ever made.  2. This is not really a horror picture, or a sci-fi picture.  Those elements are present, but the story itself is really an existentialist drama.  The most fascinating moments, to me, involve Brundle's metamorphosis, and his total disability to figure out who he is, to make any sense of his continually changing identity.  It really makes you think while you're being grossed out.  You don't get a lot of that anymore.",,Anonymous,Horror
Better than the original and one of the best horror films ever made,"David Cronenberg redefined what we think of as creepy with this brilliant film. The makeup special effects and grossouts are top notch, but what is most surprising about The Fly is that it turns out to be a very well acted and emotional love story. It greatly surpasses the original '58 version.The film focuses on the relationship between Jeff Goldblum and Geena Davis at the top and once it takes its turn towards horror it really pays off. It's not just scary, it's a tragedy too. Jeff Goldblum is phenomenal. He is mesmerizing as he delivers great dialogue and once he's barely recognizable he still breaks through the makeup and you can feel the human inside. I can't believe he didn't get an Oscar for this, it's easily his best performance.I can't express how much I love The Fly. It's more than just horror, and it's proof that you just may find a truly great movie where you least expect it.My rating: 10/10",10.0,Anonymous,Horror
Does one thing well,"Most science fiction films are big on ideas and special effects, but weak on coherence and character development; most horror films are just the same, except without the ideas. But David Cronenberg's 'The Fly' takes one simple idea, develops it properly, and eschews (its genuinely terrifying) special effects until its truly horrific climax. And by paying some attention to the personalities of its protagonists, it actually makes you care about them (Jeff Goldblum is excellent in the lead role), and adds a level of serious reflection on the very nature of human mortality to the raw shock. The mix amounts to a gruesomely good film.",8.0,Anonymous,Horror
Successful transition of Cronenberg's brand of 'body horror' to the mainstream...,"Why is it this film that will always be his REAL 'breakout', and not any of the others before or since? The truth is, beneath all the biological yucks and makeup (there is plenty of both) lies a strong emotional core. Goldblum is enthusiastically likable as scientist Seth Brundle, and Geena Davis is just how Geena Davis seems to be in real life... sweet. It is how the events change both characters EMOTIONALLY, not physically, that inspires the true horror.The blending of both the above elements makes this remake appeal simultaneously to the 'gross out' crowd, and those in the mood for a more cerebral horror experience. A concept of B-movie stature, electrified by the skills of A-list talent.",7.0,Anonymous,Horror
Scientific fears,"Have a lot of admiration and appreciation for David Cronenberg. His films are technically very well made and while his films are very disturbing a good deal of his films also have either a dark or subtle wit, poignant emotion or even both. He is for me one of the most interesting and unlike any other out there directors, despite being known for body horror and originating it his films are much more than that.Like what was said for 'Dead Ringers', one of my favourites of his, all this couldn't be more apparent in 'The Fly' and actually even more so. Despite really liking the 1958 version of 'The Fly', count me in, having seen this film since watching that, as somebody who considers this remake superior by quite some way and by far one of the remakes ever made. This is a rarity when it comes to remakes, with a lot of which deservedly held in low regard and considered as pointless. Yet 'The Fly' feels much more than a remake, one would not know it was one really. It is also a fabulous film on its own merits, a landmark of its genre and one of Cronenberg's best, still is his most acclaimed critically, for sure from personal opinion. Some may not be able to get past the gore, of which there is aplenty and it does churn the stomach, but it was not a problem for me now and do feel one is missing out if not able to get past.'The Fly' still looks great. Cronenberg's films are seldom less than well made, he always is a very technically accomplished director and 'The Fly' is one of his best looking. Very accomplished and showing a mastery of visuals and effects, with some truly atmospheric, remarkably elegant and clever photography (if not as complex as that for 'Dead Ringers' for example). The special/make-up effects are not just pretty darn impressive, they made me go wow, a technical achievement back then and they hold up extemely well now. Why else would 'The Fly' hold the distinction of being the only Cronenberg to win an Oscar, which was for the makeup (richly deserved, though certainly would have had no problem with 'Legend' winning as the makeup was also amazing in that film)?Cronenberg regular Howard Shore, the director's ""composer of choice"" even, provides one of his best scores, which is like its own character and like a character of its own in the film. It is very haunting without being obvious, but what is especially memorable about the score is how it makes something beautiful out of the visual intensity going on, without ever being at odds, and how it goes for the emotional core of the story as well. The orchestration is also some of his biggest and most complex, brought to vivid life by the London Philharmonic, a prime example of this is the opening which has always left a big emotional impact on me.Some of Cronenberg's best directing can be seen in 'The Fly'. The atmosphere is unnerving in unmistakable Cronenberg style with nail-biting tension to boot. There is a lot of gore and it churns the stomach, but to me the film wasn't too over-reliant on it and didn't use it gratuitously. Even more impressively, as well as being a visual master, he achieves a balance of horror mixed with tense thrills, humour and emotion. The script has delicious dark wit, provokes thought and truly heartfelt and never cloying emotion, not many films achieve this balance so well and Cronenberg was one of the masters at this. The storytelling is some of the most disturbing of any Cronenberg film and of any film, but 'The Fly' is also the film of his that connected with me emotionally the most. The tragedy of the story is truly poignant stuff, and it is genuine, not forced or manipulative.Not many films of this genre have had me really caring for the characters, and again in a way that was genuine. 'The Fly' did this and is an example to all film, the characters here have depth and well-defined and distinct personalities and character traits and not once did they bore or irritate me. The acting is terrific, as good as Geena Davis is, and she is extremely good, Jeff Goldblum is pretty extraordinary in a very unsettling and sensitive portrayal that disturbed and moved me. Goldblum is always worth watching but he in my mind has never been better than here, one of the best performances in a Cronenberg film.Altogether, fabulous and one of Cronenberg's best as well as a genre landmark. 10/10",10.0,Anonymous,Horror
"The terrifying ""Brudlefly-project""!","Truly great – but very nasty – update of the classic 1958 sci-fi film with both Jeff Goldblum and Geena Davis in the roles of their lives. Technically, this is a remake, but with a genius like David Cronenberg in the director's chair, it's obvious that this isn't anything like the uninspired and irritating remakes that are being released nowadays (""The Amityville Horror"", ""The Texas Chainsaw Massacre""). Cronenberg's interpretation of this ultimate terror-tale differs greatly from the original. In fact, the only resemblance is the basic premise of a fusion between an obsessive scientist and an ordinary housefly. Goldblum is terrifically cast as the brilliant, but slightly confused mastermind Seth Brudle, whose lifework are ""telepods""; funny looking machines capable of transmitting matter through space. Journalist Davis, with whom he has a romantic adventure, closely observes the progress of his work but when he teapot's himself through space, the catastrophe happens. Mentally as well as physically, Brudle undergoes a horrible transformation into a fly and it cannot be stopped. ""The Fly"" is a very devastating film. Powerful enough, but not exactly pleasant to look at. Like only the greatest directors can pull this off, Cronenberg overwhelms the audience with a sublime mixture drama, misery and repulsiveness. You feel as helpless as the characters themselves and you painfully wait for the unhappy ending to come! The screenplay is filled with genuine metaphors and the romance between Goldblum and Davis is beautifully illustrated. The special effects, mainly created by Chris Walas (who went on directing the 1989-sequel) are definitely still staggering and they don't look the least bit dated by today's standards.",9.0,Anonymous,Horror
A very terrible film to see,"David Cronenberg's version of ""The Fly"" has little in common with Kurt Neumann's 1958 film of the same title, one of the cheaply made 'creature-features' of the 1950s Instead, it reveals many of the director's obsessionsJeff Goldblum is Seth Brundle, a Mad Scientist who is working on 'teleporting', a means of transporting objects through space Geena Davis is Veronica Quaife, a magazine writer who becomes interested in his work, and in him They start an affair, but Seth believes Veronica is still seeing her former lover In a rage he tries to transport himself, and his genes become caught up with a fly that gets into the machine Slowly Seth takes on the features of an insectAs in other Cronenberg's films, sexuality is seen as a dangerous force that leads to disaster Seth cannot get his amazing machine to transport living creatures until he has experienced the delights of sex with Veronica, but then almost immediately his jealousy leads more like a fly he develops a raging libido; the more physically repulsive he is, the more he wants sexLike many successful films of the 1980s, ""The Fly"" is a hybrid, fusing elements of both horror and science fiction Considering that the plot is from the latter genre, the elements of fear and disgust with the human body are traditional to horror Both genres, as this film will illustrate, benefited greatly from the increasing sophistication of contemporary special effects technique, and the make-up abilities The success of the film led to sequel in 1989, in which the son of Seth and Veronica begins to display familiar symptoms",7.0,Anonymous,Horror
One of the best horror movies ever made,The Fly is more than a horror movie it's a statement of the eighties. I remeber seeing this film for the first time when I was five years old and telling my friends about the gore scenes but as I got older and viewed the film again I realzied how much of a tragic love story the film was. Jeff Goldblum gave an Oscar worthy performanc of ill fated scinenits Seth Brundle and Genna Davis gave an equally good performance as his love interest. The special effects were very good for the eighties and the film does have some scary moments. If you've never seen the film you should.,10.0,Anonymous,Horror
