title,content,rating,username,genres
"Sadly, they don't make movies like this anymore.","All star casting and performances, creative and suspenseful writing, excellent directing, and spot on cinematography and score. A little far fetched you say? Maybe not if you're RICH rich. Either way, that's the point, and why it was so fun! Maybe one day we'll see a Part 2. A well deserved 9/10 from me.",9.0,Anonymous,Mystery
Michael Douglas at his very best,"""The Game"" took me on one psychological thrill ride after another loaded with twists and turns scene after scene.Michael Douglas pulled off his best performance as Nicholas Van Orton a man who is approaching his birthday. Upon which he receives an invitation to play a game given to him by his brother Conrad played by Sean Penn. Nicholas reluctantly agrees and soon finds out that the game is more than he bargained for.I thoroughly enjoyed this film because I never knew who was trustworthy or what was going to happen next, this truly was one film that must be seen by those who enjoy never knowing for sure how a movie will turn out.""The Game"" is all Michael Douglas and how well he pulls off his role of being the innocent who happens to be in the middle of a game he can't control. However, a really good movie can not be pulled off by one actor, a whole lot of credit should go to Sean Penn and Deborah Kara Unger for their convincing portrayals in this film.",,Anonymous,Mystery
An intelligent tale from start to finish.,"Let me just tell you that, as a middle aged film buff, I have seen my share of flicks, good and bad. Very few rate as high as ""The Game"" in entertainment value. ""The Game"" is most definitely one of the ""most fun"" movies to hit the silver screen in a long time. Filled with plot twists and turns, this film takes the movie-goer on a psychological roller coaster ride from the tile screens to the final credit roll.""The Game"" is truly an intelligent tale, sort of a brain teaser that you get to watch and listen to, with a time limit. You have just 128 minutes to solve this, and chances are, like me, you'll be hanging on the solution to this puzzle until the very end.The script was well written by a writer who clearly understands the needs of an adult audience. Yes, we like our fun but we like to exercise our brains once in a while also. And let there be no mistake about the great performances offered here by Michael Douglas and his co-stars. I was engrossed by all and couldn't take my eyes of the screen.There is plenty for everybody here. Fun for all. A big winner in my book and definitely on my list of all time favorites. Get it and enjoy the ride!",9.0,Anonymous,Mystery
As gripping as it gets.,"Whether you love it or hate it, The Game definitely will not bore you.  By far the most engrossing movie I've ever watched.  I saw this on the big screen and throughout most of this masterpiece I kept asking myself, ""where is this movie going?""  For 128 spirited minutes The Game takes your mind and twists it ruthlessly, contorting it in any way it so desires.  Michael Douglas is the perfect actor for this role, he played it flawlessly.  I love this movie, it's definitely one of my personal favorites.",10.0,Anonymous,Mystery
A classic thriller that is aging well,"I remember liking it a lot when it came out and upon recent viewing, it holds up very well. An excellent classic thriller that will keep you on the edge of your seat.",9.0,Anonymous,Mystery
I was surprised how much I enjoyed this one.,"Sean Penn is not the most popular celebrity and has created a few enemies over the years. However, this does not make his performance nor the film ""The Game"" something to avoid...and considering I am no fan of him as a person, the fact I loved the movie so much says a lot. THE GAME is exceptional...and you'd be doing yourself a favor by watching it. THE GAME is one heck of a great film, as I give it a well-deserved score of 9 because it's so well written and entertaining. It is one of the most exciting and riveting films of recent memory. You've got to see this film! I'll say no more because I don't want to spoil it.",9.0,Anonymous,Mystery
The Game is ON.,"I was hungry like anything when I started watching this movie and that was the only time I felt hungry. 2 hours and 3 minutes passed like you are playing your favorite GAME and could not concentrate anything else. If you think Micheal Douglas is an over rated actor then this movie is enough to prove you wrong. Sean Penn does full justice to his cameo. This is not a movie that leaves you with puzzles after watching unlike many mystery thrillers, instead it solves itself and relaxes your muscles after a rough ride. This is a movie with an engrossing script, excellent acting and flawless direction. If you have not watched this movie yet then PLAY it. You wont regret it all. Entertainment at its best. Now I can have my snacks and you go watch it. 8/10",8.0,Anonymous,Mystery
"Twists upon twists, amazing filming, stunning acting, and a preposterous end","The Game (1997)The steely intensity of Michael Douglas comes to play once again here in a role where that determination keeps getting waylaid by the mixed-up birthday present he's been handed, somewhat against his will.Or against his better judgement, at first, because he does sign off on playing ""The Game,"" which is an experience with a bow. That is, without any good clues about who the players are or why it's quite happening, except that his birthday has come and gone, events begin to happen around him that are inexplicable. And that he can't ignore.Intensity rules. Douglas, playing the obscenely wealthy Nicholas Van Orton, gets led further and further into the madness and crime and murder of this huge huge charade. Or so it seems.In a manner the director, David Fincher, is cozy with, reality bends but psychology seems to be solid. That is, you are secure, somehow, in the main actor's head as the world distorts. The main example is of course ""The Fight Club,"" the distortions are almost literal in the more ordinary ""Panic Room,"" and the world is somewhat friendlier in ""The Curious Case of Benjamin Button."" Yes, these are all Fincher films (as is the brand new American version ""Dragon Tattoo"" flick and the riveting ""Se7en"").The production and the shooting and editing in particular are all first rate, classic Fincher. Douglas plays his part with conviction and you end up not quite sympathizing with him (he's a spoiled jerk even as his world evaporates) but you certainly are in his shoes, wondering what is going on. It's crazy and exciting and certainly baffling for a viewer--which is part of the game, actually. The viewer is another layer in the layers of perceivable reality.And then it just goes too far. In a way, the film is preposterous from the start, but yet you go along with the idea because very rich people have very unusual lives, and maybe this kind of mind-trip birthday present with lots of people participating could happen. Money moves mountains. But when things get almost comically absurd, when the twists of identity and loyalty keep happening, you want to just say, walk away. Get a grip. Refuse to play, or maybe (at least) refuse to believe things like this are possible.This is where Michael Douglas is perfect, and maybe does what few actors could pull off. Because as it gets insane, his character toughs it out. He's the type to take a challenge, to get extreme, to be risky, to protect his self-interests without surrender.In some ways it's a great movie, so watch it as if it'll never let you go. And when it's just too much, be glad you went along for as long as you did. And enjoy the rest of the show for its theatrics. It remains really well made all through.",7.0,Anonymous,Mystery
"Tight, twisted and tense - one of the most interesting thrillers of the '90s","Having conquered the critics (and the box-office) with Se7en, David Fincher could have ""sold out"" and kept delivering more of the same. Fortunately, he was wise enough to try different paths, and although all his movies can be classified as thrillers there's no real similarity between them, except maybe a common theme of alienation and solitude.In Fincher's third film, The Game, that solitude is physically incarnated by Nicholas Van Orton (Michael Douglas), a wealthy businessman who is so obsessed with his job he has forgotten everything about the simple joys of life. The only person who still stays in touch with him is his younger brother Conrad (Sean Penn), who is Nicholas' polar opposite in terms of attitude. One night, when they're out to celebrate the elder brother's birthday, Conrad mentions a ""game"" that changed his life and suggests Nicholas participate too, as it would be ""fun"". Though initially hesitant, the latter eventually gives in to curiosity and decides to give it a shot. Within a few hours, however, he will regret it: the ""game"" is actually some sort of conspiracy involving everyone in town. With his assets frozen, his apartment no longer a safe place and no one left to trust, Nicholas must figure out how to solve the problem before it's too late - for him or someone else...As usual, Fincher makes sure the film works on a technical level, cleverly using camera angles, lighting (shades of red and brown being the dominant color) and editing to keep the suspense alive and the atmosphere conveniently murky. It is mainly this masterful handling of film-making tools that keeps the viewer from questioning the logic of the nonetheless brilliant screenplay, some of the twists giving the impression of a dystopic set-up rather than a plausible situation (and yet the script is supposedly based on a real event). Two other elements contribute to elevating The Game above the average mystery tale: a truly unpredictable, phenomenal ending, in pure Fincher tradition (well, at least until he made Panic Room), and the great work by the leading men, Douglas' paranoid desperation slyly erasing all hints of typecasting (after all, this is not the first time he has played someone who is being manipulated; in fact, one scene explicitly spoofs one of those previous movies) and Penn's smug anarchy anticipating director's masterpiece, Fight Club, and its central character, Tyler Durden (without a doubt Brad Pitt's best role to date).In short, those looking for a ""different"" cinematic experience should give The Game a try: it might come off as overly cold or contrived at first, but like all of Fincher's movies it deserves a re-evaluation (Fight Club wasn't exactly a hit when originally released) and stands the test of time as one of the most original, smartest films of the '90s.",9.0,Anonymous,Mystery
"....and when it was all over, I was blown away","Very few films have captured my attention the way The Game did. Every turn, every corner seemed to have some hint of intrigue and deception. This film would be the life's work for any major film maker, but then again, this David Fincher were talking about.Years from now, when Fincher is honored with his lifetime achievement award at the Academy Awards, his true fans will always remember this film. It put a whole new twist on the idea of ""plot-twist."" One of the few films me and my father both liked (we never agree on any film).",8.0,Anonymous,Mystery
An extremely underrated movie,"After the great success, both with critics and with the public, of ""Seven"", Director David Fincher turned to this film. It has often been said that this movie was one he'd wanted to make for a long time and upon viewing you can really see his belief in both characters and the story- overall an excellently directed movie.Although several people argued that ""Seven"" was gory, in my opinion it wasn't, for example, there is a total lack of blood in the Lust scene, something which I particularly admired- the fact that a director could make a chilling and shocking movie without resorting to piling tons of blood onto the screen. Fincher continues this streak in ""The Game"" by drawing the tension and shocks of the film by using psychological terror.Unfortunately, the movie could not parallel the success of ""seven"" upon its release and also received mixed critical reviews, however since then it has become somewhat of a cult movie with far more success on DVD than in the box office.Perhaps most notable about the film is the fact that (apparently) Fincher himself often seems to direct his actors in a detached way, the way one might move around chess pieces in a game. Whether this is 100% true or not his direction, the acting and just about everything else is superb.",8.0,Anonymous,Mystery
The ending..,I would have given it an 8 but that ending is one of cringest thing i ever seen. The movie is thrilling and becomes interesting. But it takes everything for granted. What kinda mega multimilionary agency takes to remove every single trace by the police or secret agency of a millionaire man? And the ending.. they almost killed him multiple times predicting to actually make him stay alive until the end. There's one thing that can't be predicted and that's someone death: what if he shot himself in the head?,5.0,Anonymous,Mystery
