title,content,rating,username,genres
Unjustily Criticized,"I stayed away from this film for a long time, doing a dumb thing: listening to the well-known film critics.When I finally got around to it, I was very surprised. It was a good film. Not great, not intense as the first two Godfather flicks, but definitely a lot better than advertised.Many people said this was filled with anti-Roman Catholic propaganda, but I didn't it find that way. Yes, the ""Vatican bank,"" whatever that is, was portrayed as not on the up-and-up, but it was a little confusing to follow, maybe too confusing to get offended! Actually, there were some positive things, religious-wise, with Al Pacino's character, who sought forgiveness for his past sins and made a few very profound statements such as, ""What good is confession if it isn't followed by repentance?""Anyway, Pacino's acting talents are the main attraction in the lower-key, more cerebral Godfather film. There isn't that much action but when it occurs, it's pretty violent. As with the other two films in the series, it's nicely photographed with a lot of nice brown tints.Finally, director-writer Francis Ford Coppola took a lot of flak for putting his daughter in such an important role but I thought she (Sofia Coppola) was fine and - like this film - unfairly criticized.",7.0,Anonymous,Crime
It really isn't that bad..,"Having heard the endless amount of critique and insults that the last part of the Godfather saga carries.. I have to disagree. Although people seem to love to hate Sophie Coppola and say she ruined the film, I think her part alone wasn't that frail it'd ruin the entire cinematic experience. Saying that is just humorous. Also, the absence of Tom Hagen played by Robert Duvall is really a loss and even I think this film would've been a lot better if there was him in it.. but he got too greedy and couldn't make it into the movie, and that's that. I'm not going to judge a movie by what it could have been, but what it is and how good it ends up being.Despite some shortcomings, Godfather Part 3 is a decent ending to the trilogy. While it may have been an attempt to cash off the audience, they still have Coppola bring us his finest directing. I found Al Pacino's performance extremely satisfying and even terrifyingly so. He embodies the mistakes and losses of his life with excellent skill, showing us a don that has lost his health, the loved ones of his life and even the respect for himself. While I never found Diane Keaton's performances in the saga that good, she still fills the spot required, same goes for Talia Shire, whose role in the ending finale of the film really came as a surprise to me - which was a good thing. I didn't find her role in Part 2 too appealing but in this one she has more character, more importance. Sophie Coppola was OK, like I said a lot of people have complained about her acting skills and I gotta admit she was a little ""stiff"" or sorts in some scenes but it's not notable all the time and it didn't spoil any moods for me. Andy Carcia was just excellent, my favorite add to the saga cast, playing the son of his father with excellence.So, umm.. this film is perfectly fine. The ending finale was tremendously well shot and very climatic, filled with a lot of excitement. I'm telling you this movie is a great ending to the saga even because of that one particular scene so just go see it, despite what a lot of people have said about, badmouthing it for faulty reasons.. it brought a tear into my eye. It did.",10.0,Anonymous,Crime
This movie is greatly misunderstood and it has become popular opinion to say it is bad.,"The Godfather Part three is a great movie but many would contest. This final installment of the greatest trilogy ever made is misunderstood by most because they do not see what this film is really about. G3 is  not about hits and gangland killings, but rather, G3 is about the end of Michael Corleone's legacy of crime in America. This movie shows him stepping out of the gambling and the other rackets because they have hurt him so badly. This movie is a masterpiece because it shows the conclusion to an incredible story. There had to be an end to this trilogy and this thoughtful way to do it exemplified the trilogy as an unbeatable one. Just because it doesn't end with a violent scene like the murder of the heads of the 5 families does not make it a bad movie, but in this case, a beautiful one. Please, don't feel you have to agree with the common view by proxy, but think on your own about what this movie really means and how it concludes and consequences the first two.",10.0,Anonymous,Crime
It simply doesn't work very well,"Being an optimistic fellow I wanted to enjoy The Godfather Part III the first time I saw it - this was easy, since its a competent piece of film making, generally well paced, acted, it's coherent, Al Pacino's in it, Coppola has made this film from A to Z and on its own terms the film doesn't have any inexcusable flaws. (Not even, I might add, the notorious Sofia Coppola; she's bad, but her performance is benefited by the character she's playing, which is also weak). So for a long time I was one of those guys going ""Hey, Godfather part III isn't as bad as everyone says. Sure, its not as good as the first two but not many movies are!"" Later in life, presumably with heightened standards and a better sense of criticism, I started to suspect that the opposite could be true - that part III was really nowhere near as good as I'd recall - and after seeing all three films pretty much back to back I have to be honest (an approach I think wouldn't hurt the more enthusiastic defenders of this film) and conclude that The Godfather Part III, despite certain qualities, simply doesn't work.(Excluded passage due to word limit; concerning how Coppola did the film for the money, and that it actually makes the film a little easier to appreciate)I think the film really, on a whole, is perhaps not 'bad', certainly not horrible, but definitely a failure. The plot is underdeveloped and not engaging - Michael Corleone suffers from guilt. Its not unreasonable to say he did that at the end of Part II already. Where does his search for redemption lead him? Do ""they"" really pull him in again? Does his character do or say anything really memorable? Once or twice. But the script really is a long filler-session. And while everybody seems to just automatically praise Pacino because, well, he's Pacino I don't think his performance in this film is particularly good either, at least not by his merits. He's a great actor, and this is as fine a performance as any other he's made, but when you consider how truly versatile Pacino can be (compare Godfather part II with Scarface, with Serpico, Devil's Advocate, you name it, he's right there in character) its a disappointment that the aged Michael Corleone has turned into... well, Al Pacino. Obviously the character is not the same man that he used to be, but I never once really believed that I was watching Michael Corleone. He looked, and acted, too much like Al Pacino.Not to mention Andy Garcia being nothing more than Andy Garcia, Joe Pantanglio, Eli Wallach, Talia Shire in a strangely awful performance (she's not a bad actress at all, but whatever happened here?). And of course Sofia Coppola; she isn't the crucial problem, but in the end she does become responsible for a lot of misfiring. The only one still doing a prime job is Diane Keaton as Kay - truly an unsung hero in these films, and to me one of the main reasons the drama work - and the film's best scenes were the one's she shared with Pacino. Why? Because then I felt like I was even watching a Godfather movie.Much of everything else simply doesn't work. Whereas the original films were subtle and ambiguous, part III filters the story with melodramatic punches that are un-inspired and obvious. Michael's son, played by Franc D'Ambrosio, seems taken from Days of Our Lives and so many of the questions we ask ourselves - what does he remember from his childhood? What does any of the characters feel about Michael's marriage in Sicily? Did Tom Hagen ever move to Las Vegas? etc - are left completely by the road, as if Coppola truly isn't interested in telling this story. There are instead near-insulting reminders to the audience that the other two movies still exist (like the pointless scene where Michael have kept the drawing Anthony left at his pillow when he was nine or so; ""I remember this"" he smiles, though I'm not sure if we are to understand this as ""I also remember they shot up the bedroom that same night""; once again, it seems Coppola simply forgets his own story). There are also awkward attempts at creating dramatic highlights in line with the horse-head scene and that very shooting in the beginning of Part II, involving a shooting during a parade in Little Italy and a stupid and ugly scene involving a helicopter. Making a Godfather sequel formulaic is truly a depressing insult to the originality of the first two films. The attempts Coppola takes on the Vatican are also pretty flat when you think about how Italian cinema has been doing this for half a century.There's no reason to watch this film have you not seen the first two. And there's really no reason to watch it if you have seen them either. When you think about it, I don't see why the film's few merits are worth talking about. Movie newbies having seen Part I and II will naturally see III too, and I think many of them will come to the same conclusion. It's not all bad, but so what. It simply doesn't work very well.",6.0,Anonymous,Crime
A Passionate Requiem,"I finally saw it ! As a total devotee of the two previous installments, I avoided seeing the third one, on purpose, people I respect had told me about the disappointment and, quite honestly, I didn't go there. Last night I did and surprise, surprise, it moved me no end. Maybe because I haven't seen the other two in four years. Yes at times is more Ken Russell than Francis Ford Coppola and in my book that's not a bad thing. I was, however, a bit taken aback by the healing in Pacino's Michael as far as Keaton's Kay is concerned. As it nothing had ever happened, while in Diane Keaton the memory of that pain is always present. Talia Shire is a lot of fun as a sort of Madame Sin. Raf Vallone, superb as the doomed Pope John Paul I and then a bit puzzling casting choices that I think they me code for something. George Hamilton, for instance, takes over from where Rubert Duvall left off. Helmut Berger plays the head of the Vatican Bank. Helmut Berger! Just as curious as to find Troy Donahue in The Godfather Part II - All in all, I'm really glad I've seen it and I'm sure I'll see it again.",8.0,Anonymous,Crime
"Disppointing, but not as bad as it made out to be","First off, I adore the first two Godfather films. They were wonderfully made, scored, directed and acted with compelling elegiac stories. However, while I do not think it is as bad as it is made out to be, The Godfather Part III is a disappointment. I did like it in general, but in comparison to the first two it is like a distant relative.Starting with the good things, it does look splendid. The cinematography is beautiful and the settings are superb. The music is also outstanding, and the direction is good. The acting is uneven, but not all of it is bad. Al Pacino does have a lot of fine moments as a more gentler Michael, while Andy Garcia is electrifying too.However, I didn't like the story as much here. It lacked the elegiac feel of the first two, it has a lot of loose ends and there was a number of times I didn't know what was going on. The script isn't as thoughtful, intelligent or as sophisticated here, instead some of it is quite stilted. As much as I do love Diane Keaton I personally don't think she was necessary here, she served her purpose perfectly in the first two. Finally I have to concur about Sophia Coppola. She never convinces as the ""symbol of innocence"", and just comes across sometimes as embarrassing. Much has been said about the climax in the opera house, some loved it, others didn't. I think it was a mixed bag. I had no problem with Pacino, the way it was shot and the music but it did come across as very protracted.So all in all, not awful, not great. 6/10 Bethany Cox",6.0,Anonymous,Crime
The Godfather Coda: Don't waste you money,"I was extremely excited to see the new cut of The Godfather Part III. I bought a digital copy. As I was seeing the movie, I could barely notice any changes.By the trailer of this movies, I was led to believe that Sofia Coppola's role was going to be drastically cut; that was not the case. As you probably now, her acting has been the biggest point of contention against Part III.After the movie ended, I felt that I was cheated. The differences in The Godfather Part III and The Godfather Coda are just too small to make a big deal out of them. I was expecting to see a big improvement that take this movie closer to the level of the first two parts, but was very disappointed.",7.0,Anonymous,Crime
"Stands out On its Own, Weak in Comparison to its Predecessor,","The Godfather: Part III is a good movie with a reasonably well developed plot and a terrific cast. It certainly stands out on its own, Al Pacino shines as Michael Corleone here, being his first time playing the character in 16 years, it is as if he never left the role. Francis Ford Coppola's direction is still on point, though the writing may not feel as passionate, he still manages to bring the world to life in s splendid manner, the only way he knows how.The dialogue and overall story is far less inspired than the previous two, it never manages to make much of an impact. Having no Vito Corleone in this one was a big loss, I understand that his story came to a close in the second film, but he was the heart and soul, as well as the highlight, of these movies, there was a gaping whole without him. I was not a fan of Andy Garcia's character, merely a repeat of the same type of role Pacino had in the first Godfather, but never as effective. While its flawed and certainly not a pleasing finale to the trilogy, The Godfather: Part III is still a must watch for fans of the first two, you might as well form your own opinion of it.Michael Corleone confesses his sins while trying to legitimize his business to keep his family safe as he ages.Best Performance: Al Pacino / Worst Performance: Sofia Coppola",7.0,Anonymous,Crime
Not as bad as everyone says  but suffers from the pressure of the first two,"Michael Corleone has sold his illegal business in an attempt to win back his family.  However he must still contend with up and coming mobsters such as Vincent, who wants to work for him and Joey Zasa, who wants to fully take over the Corleone family's territory.  When the Corleone family begin to deal with the Vatican and plan to buy out their share of an multinational corporation he finds that the Vatican is just as corrupt as his illegal operations were.  Despite his best efforts he finds himself sucked back into the world he has tried to leave behind.Easily one of the most hated films ever made  or at least you'd think it was by the critical mauling it got for a raft of reasons.  However watching it now it isn't that bad and really it only suffers from comparison with the two films before it.  But lets be fair, Coppola has made 3 or 4 of the best films ever made  did we really expect another one from him?The film has a reasonable plot and brings the trilogy to a logical end.  The plot however does have it's weaknesses  for example it starts well with Michael's attempt to `get out' being hampered by other families on their way up.  But when it starts to get involved with money laundering through the Vatican and the corruption therein, it starts to lose it's way and it's focus on Michael.The main weakness comes in the characters.  Would Michael really go straight just to get his family back  and how come he managed to do it so easily up till the time of the film?  Worse still is Connie who seems to have become some sort of Mafia widow when that was not part of her character in the previous films  would she really have got that twisted or influential? Little problems like these just bugged me and they also fed into the performances.For such a great cast the acting was very average.  Pacino is good but I sensed he didn't see Michael turning out this way and he didn't convince occasionally.  Keaton has little to do and again I felt that her approach to Michael was too forgiving, although maybe I'm not allowing for time.  As I Siad before Shire was doing some sort of `Bride of Frankenstein' act as Connie and I didn't buy it for a moment.  Garcia was OK and faces like Wallach, Hamilton and the like helped.  The two worst performances were sadly two of the main ones.  First Joe Mantegna..now it wasn't that it was bad  it was more that I've seen him do so much better.  Here all I could think of when I watched him was how his character and his acting was very like his Simpsons' character of ` Fat Tony'.  Bare in mind Fat Tony is meant to be a spoof of the Mafioso characters and you'll see why I didn't like it.The worse performance was Sofia Coppola.  Now she was vilified at the time for her role  a bit unfairly and cruelly but she was still bad.  She has this strange scowl on her face for most of the film and she acts like a spoil little girl.  She also has no realism in her voice and speaks in the same constant tone  that Vincent would fall for her was just a leap of faith too far to accept.  The cast does have others who are unused or underused  Fonda being the best example.  Why did she bother with that role!?Overall, this is miles behind the other two Godfathers and it has plenty of weaknesses.  However at it's heart it's a good try as the concluding part and the story is watchable.  It's not bad, it just is average and it feels like the director and large sections of the cast felt they just had to turn up to make a third classic film.",,Anonymous,Crime
Underrated,"Godfather III is generally underrated because because it is more intellectual, subtle, and psychological than the first two.  There's lots more Italian language, operatic venues, references to subtleties like the P2 masonic lodge, and there is the inner revelation of Michael Corleone's soul. Pacino should have won an Oscar for his performance.  The movie would be a good staging point for a Godfather IV, with ""Vincenzo Corleone"" and Connie Corleone running things, while developing further the relationship between Michael, and his wife and son.",10.0,Anonymous,Crime
