title,content,rating,username,genres
An incredibly complex work and one of 06's finest...,"The Good Shepherd 3.5/4 4/5The Good Shepherd is an incredibly complex work and one of the finest films of a quality ripe 2006. Oscar winner Eric Roth continues his brilliant work with this original screenplay, named one of the best unproduced scripts in Hollywood in the late 90's. A film about one of the CIA's founding officers isn't a dream project commercially for a studio but thankfully, the quality of the script was too great to ignore.Shepherd follows the life of Edward Wilson (Damon) through his college years at Yale to his ascension as one of the CIA's founding officers and trusted veterans. His extraordinary dedication to his work comes with an unbearable price as he must sacrifice his family to protect his country. At one point in the film, Wilson faces an enormous choice- does he abandon his ideals for what he believes is right? Would this abandonment render his life, almost solely devoted to his country, meaningless? This, as well as a depiction of the result of Wilson's decision, are just two of the moments of brilliance in The Good Shepherd.Wilson inhabits a world of betrayal and secrecies only enhancing the irony of the biblical quote inscribed on the CIA's wall- ""And ye shall know the truth and the truth shall make you free"". While we are given a glimpse into the life of a younger, more vital Wilson, the world he occupies creates the characteristically stolid, humorless man we come to know.With its vast emotional core, the film seemingly effortlessly navigates one of the most volatile periods in the history of American intelligence while remaining character based. At 165 minutes, it is overlong but remains engaging for the vast majority of its running time. Had a few relatively insignificant scenes been cut, Shepherd could have retained the thrilling and energetic pace it often possesses. However, the length is justifiable as the scope of the film is incredibly large and very few scenes can be deemed unnecessary or dull.Robert DeNiro's direction far exceeds that in his debut, 1993's ""A Bronx Tale"". Normally portrayed as a brute, here, DeNiro assuredly handles every moment with an innate tenderness we rarely see in his work. He appropriately treats Shepherd with a precise attention to detail often attributed to some of the greatest directors of our time.A silently haunting Matt Damon carries the film on his shoulders. Edward Wilson is completely introverted and while Damon internalizes his thoughts, some of the films greatest moments are when emotion unknowingly pours out of Wilson through a mere flicker in his eyes. Angelina Jolie and Michael Gambon deliver very strong turns amidst a one of a kind cast topped off by the return of Joe Pesci, whose last acting stint was 1998's ""Lethal Weapon 4"".The Good Shepherd is a film that demands to be seen. It is surprisingly apolitical as Wilson's life and its disintegration are the true story of this epic. While some call it ""unsentimental"", exactly the opposite is true. It is a testament to Roth's script that a film with such an introverted protagonist provides such a visceral, affecting experience. Shepherd is an intelligent, poignant look at the cost of blind dedication and constant secrecy. The effect this has on Wilson's life is irrevocable as we are taken on a remarkable cinematic journey, one that should be remembered as one of 06's greatest.",8.0,Anonymous,History
Excellent,"Excellent.The good shepherd is an excellent film. The reason this film was dubbed the ""Godfather of spy movies"" is because ala the ""Godfather"" De Niro uses real life situations involving the CIA and blends them together creating a story around the lead character played by Matt Damon. In addition,several great performances in character parts complement Damon's performance, notably Michael Gambon and John Turturro were both superb. You shouldn't view this film expecting to be blown out of your seats, it is deep, and requires strict attention to detail. My wife and I viewed this film in a packed movie house and we were very certain that half the people in the audience didn't understand or appreciate what they had just seen. I am not saying you need to be of great intellect to enjoy this film, but one of the things De Niro manages to do is bring back a thinking man's drama that is often not seen in today's attention deficit, shoot them up, bang  bang movies. This film makes it obvious that Directors Bertolucci and Leone have left a huge impression on De Niro and the result is a movie that both would be proud of.",8.0,Anonymous,History
"Too much like the agency it portrays: slow, murky, unclear and emotionally distant","Speaking as a viewer who had been eagerly anticipating the release of this movie since way back in the days when Leonardo DiCaprio was attached to star, I can honestly say I was very disappointed in the final outcome. Perhaps the film had simply become too hyped, with everyone proudly boasting it as ""De Niro's comeback"", but... suffice to say, no matter how hard I tried to enjoy this movie, it completely failed to entice me in any way, shape or form.Director Robert De Niro tries a bold new touch by attempting a ""CIA feel"" for the film, in the sense that an element of mystery is present throughout the entire plot, attempting to better immerse us in the world of lies, deception and uncertainty that was the early CIA. Unfortunately, this method backfires very noticeably, as the plot seems to weave all over the place and we are presented with flat, uninteresting characters who are denied the further development or screen time which might actually have made them appealing. We are simply presented with a slew of famous faces in tiny roles, appearing and disappearing so quickly we barely have the chance to register their presence, but there is no connection with the characters, nor the long, overly confusing convoluted plot they play a part in.But the film's real weakness is the apathy factor. In a recent interview, De Niro acknowledged his intent that the plot should be more elusive and less obvious, to make the viewer work harder and appreciate the film further. He then proceeded to mention how viewers should be emotionally affected and connect with the characters, even if the plot may not always be clear, and we may not always what's going on, or who's killing who, or why. This is where De Niro's film really loses its viewers; the fact that not only is there not enough emotional connection to coast by, ignoring a lack of plot continuity, but the fact that there is no emotional connection whatsoever. Not only do we not know what is going on, nor are able to keep up fast enough to catch onto what few plot clues we may, but we can't invest enough interest into the film to do so. After a few scenes of brief, murky, unexplained and unrelated plot excerpts and confusing flashbacks from present to past times (made more difficult by the fact that James Wilson, Matt Damon's character never seems to age, and appears the same even 20 years later) we lose interest entirely, and find ourselves unable to care for the characters, nor care what is happening. We are kept at such a distance, both through an intentionally unclear plot and by uninteresting flat archetypes of characters that any interest we might originally have retained in the film quickly evaporates.It's a shame that the film is so emotionally distancing though, as on the exterior it does appear to be a very stylish and classy piece of work. The cinematography is superb, capturing many unique, innovative shots and scenes, and the costume and set design are simply sumptuous, perfectly capturing the feel of the time period in a glossy, picturesque fashion. It is a shame how fully the apathy factor permeates the film though, because Eric Roth's script seems to be terse, tight, and engaging, but many lines are inaudible through muttering or fast speaking characters, and we are simply kept at such an emotional distance it is beyond us to make an effort to follow the rapid fire, confusing exchanges. We want to like the script, but it is so twisty and clouded with uncertainty, much like a CIA document itself, that we find ourselves also left in the dark.De Niro has assembled a stellar cast here, but he seems content to reduce most of them to very un-flashy cameos, giving us little chance to connect with any of the characters. Matt Damon is an effective figure as the film's star, James Wilson, remaining admirably cold, detached and stoic throughout the film, but the plot backfires once again - a lead character who is meant to be, all pretenses aside, boring, still comes across as boring, no matter how strongly they are played. Angelina Jolie seems a bit out of place as Wilson's spunky yet abandoned wife; she plays the part well enough, but fails to submerge her star power and charisma in a role where a much less noticeable and subdued female lead would've been far more effective. John Turturro stands out as a vicious CIA interrogator, one of the few flashes of emotion or engaging character action in the entire film, and Joe Pesci makes good use of his far too brief cameo as a mob boss. There are also noteworthy appearances by Michael Gambon, Billy Crudup, Alec Baldwin, William Hurt, Tammy Blanchard and Timothy Hutton, but their parts are reduced to far too brief and uninteresting segments for us to really connect with or care about their characters. De Niro himself almost steals the show with a tiny role as a military general who constantly complains about his feet.All in all, the Good Shepherd comes across as a tremendous disappointment, considering the incredibly successful film it was poised to be. Maybe I had too many expectations, having looked forward to the movie for so long, or maybe the film was overly hyped, but either way, the film falls flat as far too long, self indulgent, emotionally distancing and just plain uninteresting, wrapped together in a bundle of self-imposed apathy. All except for fans of Robert De Niro or the rest of the cast willing to sit through an extremely long and un-engaging movie should give this one a pass, lest De Niro's self confidence be flattened forever.-6/10",6.0,Anonymous,History
The murky world of CIA deception as seen by one family man...,"Before I go on to praise the good points of THE GOOD SHEPHERD, I should mention at the start that the film badly needed some judicious editing. There are many scenes that go on for too long a time and are badly in need of some artful editing to get the point across just as well.Aside from length, everything else about the film is on the plus side--the handsome cinematography, the vast amount of settings, the background score that adds to the drama, and the performances of the entire cast which are uniformly good. I'm not a great admirer of ANGELINA JOLIE as an actress, but here I think she demonstrated skill at suggesting the loneliness, frustrations and jealousies of a woman whose life has to remain outside the boundaries of her husband's job with the CIA. Through a series of detailed vignettes, the murky world of an agent's life of deception within the government is sharply observed.More of a character study of Edward Wilson (played in stolid, very serious fashion by MATT DAMON) than a straightforward spy yarn, it manages to hold the interest even though it uses the flashback method of storytelling that is apt to confuse a viewer if it isn't done well. But here again, there is a flaw--it covers a span of twenty or more years but the aging of the central character is never quite convincing enough. Damon never looks that much older than his grown son--whereas a few gray hairs might have helped considerably. As his grown son, EDDIE REDMAYNE does reasonably well as the man seeking his father's approval.As for the supporting players in this story about one man's experiences in the newly developing CIA, JOHN TURTURRO does an outstanding job as a tough inquisitor and MICHAEL GAMBON is outstanding as a security risk with homosexual tendencies. ALEC BALDWIN has little to do but is intense enough as one of the agency's top men and others in the cast maintain credibility all the way through.The story itself is rather problematic in that nothing is what it seems and not all the information is readily given to the viewer in a way that makes sense. This is partly the fault of the script and partly the fault of director Robert De Niro who also assumes a small role effectively.But still, despite the handicap of being too long (and a bit too involved at certain points), it makes for fascinating viewing and is the kind of film you dare not divert your attention from for a moment. If you do, you are liable to miss an essential plot point.Summing up: Highly recommended for anyone with a keen interest in espionage dramas.",7.0,Anonymous,History
Edward Wilson Shepherds the Citizens of America,"""The Good Shepherd"" is my second best film of 2006. A lot of people who have seen it will think differently and I can understand that. This film is not for everyone, but the viewers who have a love for US History, The Cold War, CIA, Espionage, or Spy films should be pleased with ""The Good Shepherd."" It is very subtle, but extremely effective.""The Good Shepherd"" is told from a series of flashbacks during a two week mission to find the significance of a document that was sent to the house of Edward Wilson by an anonymous person(s). We see the rise of Edward Wilson (Matt Damon) from his ranks as a Skull and Bones member to the head of the Counter Intelligence section of CIA.Robert De Niro directs this epic, near-masterpiece, of the creation of CIA through one mans eyes, Edward Wilson. Matt Damon gives a great performance and one of his best along with ""The Departed"" and ""Good Will Hunting."" Damon plays Edward Wilson who starts off as a Yale graduate and Skull and Bones member. He is recruited by an FBI Agent (Alec Baldwin) to spy on his poetry professor Dr. Fredrick's (Michael Gambon), who is believed to have set up a Nazi organization and is enlisting students and faculty members. Edward agrees to spy on his professor after some talking into and gets the names of the people Dr. Fredrick's has enlisted, which leads to his firing on the basis of his political beliefs.On Deer Island (Skull and Bones retreat) he meets Margaret ""Clover"" Russell (Angelina Jolie) who seeks out Edward immediately and finds something about him quite intriguing. Matt Damon plays ""the man made out of stone"" giving little to no emotional reaction to anything and just about everything. Edward Wilson is a man of few words, but he chooses wisely what few words he speaks.Edward Wilson falls in love with Laura, played wonderfully by Tammy Blanchard- a deaf women- but their relationship comes to an abrupt end as Edward finds that Margaret has become pregnant with his child and Edward is to do what is expected of him. This means he will have to leave Laura and marry Clover. A week after their marriage Edward has to go overseas during WWII, mostly working out of Germany, but is sent to London and joins the OSS (Office of Strategic Services), by General Bill Sullivan (Robert De Niro).After the war Germany is crumbling and Edward Wilson is climbing the ranks garnering more and more trust. The Soviets are now looking to acquire as many scientists as possible. In Berlin, Edward Wilson meets his adversary, codename ""Ulysses,"" and the back and forth battle between Wilson (His codename is ""Mother"") and Ulysses is something to really behold and some of the best scenes in the film take part during their back and forth battle of disinformation and counter intelligence and deception and infiltration of spies sent into one another's operations and then each adversary takes out these spies, then sends the ""message"" that these spies were found and disposed of. Was that confusing? Neither seems to gain much of any ground on each other until the end of the film where Ulysses sends a spy into Wilson's Agency and get's valuable information from someone very close to Edward Wilson. This information ruins the ""Bay of Pigs"" invasion which turns out to be a costly loss and damaging defeat. Wilson has to make a tough decision between his family and his country.Edward Wilson was a man of selflessness who put his entire life into his country and did what he could do with his son. He makes sacrifices for his country and for his son. He sacrifices his time and relationship with his family for his country. He sacrifices his true love with Laura and marries Margaret for his son. If you were going to sum up Edward Wilson it probably would be best to use the term ""selfless."" Everything he does is for his country and the future of it. We never see him do much of anything for his own personal joy. This kind of behavior leads to a marriage that crumbles and falls apart. He plays the protector and is forced to do things such as have people killed and interrogated for the greater good. All over an idea- Communism.I loved it. It may take a few viewings to fully understand the complexities of this film, but it is well worth it and an intense film with some great action and conversation throughout the film.9.7/10",6.0,Anonymous,History
Finally a film that doesn't assume you're an idiot,"After enduring trailer after trailer with endless stings of explosions, ridiculous CG-assisted stunts and mindless action, I felt very rewarded with an intelligent and intriguing film that defies the status quo of bigger and louder is better.The Good Sheperd doesn't insult your intelligence, it stimulates it, sometimes confuses it, and forces you to look several layers beneath the surface. It feels like a throwback to another era of films when the complexity of a character was of greater importance than spectacle.De Niro took a page from his producer's best work, Francis Ford Coppola, emulating films like The Godfather, The Conversation and Apacalypse Now. The drama rises not from the usual blatant conventional devices but rather by raising questions because of what we're not told and not shown. It requires a great deal of courage to use this style as films have gravitated more and more toward assuming the average moviegoer is of substandard intelligence. The scope of the film is enormous, yet the point of view is narrowly focused to be seen through the eyes of one man. There are a dozen of subplots, but all are carefully tied into the through-line of the story to match the main character's progression.The film may require some understanding of American history from WWII through the Kennedy administration. It starts with the later years of the story, The Bay of Pigs debacle, and traces the steps that lead to it, one of the more embarrassing moments in the history of U.S. foreign policy. I found it a bit annoying that Matt Damon's character, Edward Wilson, barely seemed to age in the film while others around him did (the best way to determine his age is whether he's wearing wire-rimmed or horn-rimmed glasses), but it didn't ruin the film for me.Overall though, definitely one of the best films of 2006. A rare film that makes you want to think and understand, rather than forget.",9.0,Anonymous,History
"Tries to be great, but ultimately fails.","I found the core storyline not hard to follow, but because they chose to include so many under-explained tangents (it came off as a lame attempt to make it seem like it had more depth and girth than it actually did), the overall result is that the movie felt muddled. Add that to the problematic pacing/awful editing job, and this movie becomes the epitome of potential without successful followup.I saw it in a theater, so I got the chance to watch it intently, without interruption, but I kept asking my friend what time it was.... even as early as only an hour in! Not a great or even remotely interesting movie by any means, and some seem to be fixated on the idea that it *must* be great because it's a movie about the CIA directed by De Niro that doesn't have explosions/car chases or romance/sentimentality. But in the end, this movie is totally forgettable. It's not a deep or extremely intellectual movie, but rather just a simple story in a convoluted veil, attempting to hide that there's not much substance to this.Also, depth-less performance by Damon.",4.0,Anonymous,History
Interesting but overlong.,"Spy movies really aren't my thing. The slow ones I can respect when well-made, and the more explosive ones can be fun if they have good action set pieces, but I don't tend to go out of my way to watch spy-related films. But The Good Shepherd looked interesting because of the strength of the cast, and because it's one of two movies Robert De Niro's directed. He also has a supporting role here, and it's hilarious how almost every time he's on screen, he's sitting down. If a director wants a certain character to always be in a comfortable position, who can protest?Comparing it to A Bronx Tale, it's also a bit funny how that one feels like it pulls a little from Goodfellas, and The Good Shepherd pulls a bit from another recent (at the time) Scorsese film: The Aviator. It's got the same kind of glossy look and color scheme, and it's not surprising to find out they both had the same cinematographer.Look, rambling aside, The Good Shepherd is quite competent as a spy film, and it's interesting (if a little heavy-handed) how it uses a story that takes place between 1939 and the early 1960s to reflect all the U. S. conflict of the 2000s. Outside of acting, De Niro is politically outspoken, so I can see why this story would've appealed to him at this time.The Good Shepherd is just too long though, being 167 minutes in length. It drags at times, but again, going back to the whole me and spy movie thing, I often feel like these sorts of movies drag. I guess the huge runtime here just compounds that. It's nicely presented, and the performances are generally good. I felt a bit mixed on Matt Damon in the lead role, but that might be more of a writing problem. He's a character whose journey should be interesting, and kind of is on paper, but the execution leaves a lot to be desired.So, the film looks and feels good, it has thematic weight, and features a good cast, but it's also too long, narratively dull, and sometimes heavy-handed. It's interesting, and would be a recommendable oddity within De Niro's body of work if it had been 30 to 45 minutes shorter; that's really the biggest hurdle to enjoying The Good Shepherd, rather than merely having a decent amount of respect for it.",6.0,Anonymous,History
What is wrong with the critics???,"Though this movie was hailed as one of the greatest movies of this year, the Godfather of spy movies, I must say... poor spy movie genre. Is this really the best it's seen?Overall, what little strength this film had came from the minor acting parts, namely the performances by Tammy Blanchard and Michael Gambon. Though to be fair, the major actors didn't have much to work with. Matt Damon and Angelina Jolie were both flat and boring. I wanted to smack all the actors (except Gambon and Blanchard) in this movie at one point or another. Perhaps this film would have been better with more interesting dialogue, a more exciting plot. Maybe it was doomed from the start. I don't know.I really wanted to like this movie. I came into the theater expecting an exciting, well-executed dramatic thriller, but came out almost completely empty-handed. My whole family thought it was a disappointment. We all agreed DeNiro should stick to acting. But there's little to do now except pray this movie doesn't get an Oscar.",6.0,Anonymous,History
Damon is a Puzzle,"I had some mixed feelings about this film. First of all, it is so long that to sustain an interest in the frozen expressions of Matt Damon's characters through almost three hours is quite a challenge. At times I believe that he is actually becoming human. I'm not sure that we are really privy to his ghosts, even considering the letter from his father. When a movie makes the human beings so very cold, it begs some big questions. First of all, would be psychosis. Yes, I know there are patriotic zealots. This is just too much. On the other hand, this is a really interesting part of history. It is in the period where media didn't have its tentacles in everything; where spies could play at being spies and politicians didn't have to look over their shoulders. We also had the Russians and their potential on the minds of everyone, including school children. I think if Damon's character had just had a second dimension, it would have played a lot better. Even when his son comes into the picture, we know who his real child is. Like Jean Hackman in ""The Conversation"" the paranoia runs so deep that he couldn't get out if he could. He has sold all his options.",7.0,Anonymous,History
