title,content,rating,username,genres
Anachronistic soundtrack spoils an otherwise great movie,"The use of modern music (rap, EDM, etc.) that sounds nothing like the Roaring '20s is jarring. It rips you from the story, and it's hard to get back into it afterward. In some scenes, it's like watching a parody because the mismatch is flat-out laughable. Using era music for an era piece would've added a lot of character to the movie. And this movie, which I otherwise loved, deserved better.Don't get me wrong; I do like those songs, and I get why the soundtrack was a hit. They just shouldn't have crashed a movie that's set in the 1920s. The distraction they caused did nothing but damage -- lots of it.",7.0,Anonymous,Romance
Maybe Someday!,"Maybe it's not possible to portray one of the greatest books ever written on the silver screen. This is at least the third time and I've been really disappointed all three. Neither DiCaprio or Redford (both of whom I really like) catch the true sense of the mysterious Gatsby. At least Redford was a bit detached. His failures of the past are in his head. DiCaprio (or the script he must follow) make him seem like a giddy love soaked schoolboy. He is so obsessed as to appear weak and maudlin. Another issue, however, is with the portrayal of Nick Carraway. Tobey Maguire is just too cute. I never pictured Nick as the little boy seen here (Sam Waterston, while not perfect, at least seemed like a possibility). Again, I like Maguire in other roles, but here he seems nothing more that Gatsby's toy. He's still physically lacking as a leading man. Mostly, it just lacked a bit of pizazz. Luhrman seems to think he can do it all visually, but this is a story of lost souls, trying to recover something they can't seem to reach. It fades and fades and in the end, it's hard to care much. Also, the portrayals of Daisy and Jordan just don't seem to draw us in.",6.0,Anonymous,Romance
Film was good except the annoying music/soundtrack,"I like Luhrmann's take on films and soundtracks usually - but this film's strange annoying choice of music style was really off-putting. It was so mismatched like they were trying to MTV it with advertising Coke or something mainstream. Shame, would be great to see this with a soundtrack that suits the style of the storytelling/theme.",6.0,Anonymous,Romance
The soundtrack made it unbearable,"Whoever decided that blaring modern pop/ hip hop music into a story of the early 20's was a good idea needs their heads examined. It not only removes you completely from the story but jolts you so far out of it that you need a few minutes to try and refocus yourself back into the story. (and that's not a knock on this genre of music, it just has no place here..)After an hour, I could stand no more, the acting and story seemed great, but the soundtrack was too much to take.So much great music was made during this time period that if used effectively could have elevated this story. Such a waste.",,Anonymous,Romance
"Good film, bad musical score","Only a poor soundtrack filled with contemporary music spoiled this latest version of The Great Gatsby for me. In a tradition of blond Gatsbys, Leonardo DiCaprio steps into the shoes of Alan Ladd and Robert Redford in essaying the part of the social climbing bootlegger from the Roaring Twenties. All that will make Jay Gatsby's life complete is the love of Daisy Buchanan whom he courted before his service in World War I. The problem is that she's slightly married to upper class Tom Buchanan. Daisy is played by Carey Mulligan and Buchanan is played by Australian player Joel Edgerton.In fact except for DiCaprio and Tobey Maguire as Nick Carraway the whole cast is mostly Australian which is to be expected since most of the production was shot there. I have to say that the Australian studio did a marvelous job in recreating New York of the Twenties and the ritzy and glamorous part of Long Island where most of the story takes place.As the book is written in the person of Nick Carraway it was also a good move to have Maguire narrate the story. Tobey's narration gives us the background of the story and Carraway's character functions as he should.Leonardo DiCaprio does a wonderful job playing the social climbing Gatsby who weaves his own legend as he gives fabled parties on Long Island where the illegal liquor flows freely. Beneath his self assurance there is a bit of a frightened edge like this is all going to be taken away from him so enjoy while you can.Perhaps the producers thought that no one would see a film with old music in it. There is some there, Gershwin's Rhapsody In Blue comes to mind. But the contemporary music on the soundtrack is jarring and out of place.But overall this is a good telling of F. Scott Fitzgerald's tale of the Roaring Twenties.",7.0,Anonymous,Romance
An intriguing story re-told again with attention to mystery. 8/10,"8/10.I know a lot of the other reviewers will compare this film to the older one and also the book, so if you're interested in a comparison, stop reading here. I want to review this film as a movie that tells a story, like every other film. I don't want to review this as a film that tried to beat its preceding film adaptation.I myself have read the book and have always been so intrigued with the character of Gatsby, and when I heard a few years back that he would be portrayed on the big screen by DiCaprio, I couldn't wait. The character carries such a mystery about him that was delivered so excellently by Leonardo DiCaprio, and made it so fun to watch. It was almost like I didn't know what the ending was because I was so immersed in 1920s New York, and in the lifestyle of The Great Gatsby.The film itself, as a film, was awesome! The visuals and soundtrack were captivating and lavish. The acting was great overall, as you can trust these actors to deliver.I read somewhere on IMDb (message board or another reviewer, I can't remember) that Leonardo wasn't a good fit for the role of Gatsby. I think this statement couldn't be more wrong. If you have read the book, you must have some idea about the depth of Gatsby's character, the depth of his mind, his desires. The false smiles, the phony handshakes, the uneasiness in being in public, the way Jay Gatsby conducts himself in front of Daisy, and in pursuit of her. All these things are delivered so well by DiCaprio. His nerve, his frustration, his determination...all so eloquently portrayed. But most of all, his passion, and as Nick Carraway, our narrator so emphatically reminds us, his hope. The character development of Jay Gatsby, and the development of all those surrounding him gives us such a deep look at the relationships of such a diverse category of people.The storyline is obviously interesting: A man realizes his new neighbor is a mysterious, and incredibly wealthy man. Like how awesome is that? Throughout the whole film, as the relationships between all the few main characters become deeper and deeper, and the questions become answered, you just can't help but feel so into the characters' lives. Great writing for the characters, great directing, great great great acting.Overall, this is just a great film. If you go into the theater thinking ""oh this'll suck compared to Robert Redford"" or ""I bet the book is way better"", you're setting yourself up for a bad 143 minutes. Don't be so close minded and try to view it as just another film that tells a fictional story, and a great one at that.",8.0,Anonymous,Romance
The Modern Music Ruined it,"OK, when I read this book, I hated the Gatsby Story. But I loved that Fitzgerald made me feel like I was in New York in the summer of 1922- the heat, the droning of fans, the smells, the ashes...Knowing that I didn't care for the story, THAT was what I wanted, to feel like I was there. I wanted to see 1922 New York, to be a part of a party in the Roaring 20's, to sweat with the characters, to feel the wind in my face during a ride in an open 20's era car...It almost did it for me... except the music. The pounding bass and the rap just ruined it for me. I wanted some amazing jazz. I wanted a real Roaring 20's party. The Rhapsody in Blue was cool, but I was already disappointed.The cast was great and the acting superb.Leonardo was impressive, maybe one of his best roles. Mulligan, breath-taking, she looked like an angel. Toby McGuire was a great choice for Carraway- who else could pull off an awkward mixture of likable guy, wallflower, and main character? They did a great job of sticking to the plot and emphasizing famous lines of the book.Overall, everything was done really well... but why couldn't we get era-appropriate music?",6.0,Anonymous,Romance
Worst soundtrack ever,The sound director of this movie should never find work again.,6.0,Anonymous,Romance
Nothing exceeds like excess,"THE GREAT GATSBY There is no movie I have been more prepared to dislike than this one. How dare some Aussie come over here and tell us about the meaning of one of the great works of American literature. Especially this Aussie, Baz Luhrmann, who is known to overload, over-hype and overcook his theatrical product into a glittery miasma of small meaning and little consequence. (i.e. Moulin Rouge)But I was wrong.Jay Gatsby has achieved success in a fashion beyond most imaginations, excepting his own. In true Horatio Alger tradition he has worked hard to improve himself, but when his past creeps up on him and threatens his well crafted self image, he suavely and effortlessly changes it, his past, and he inhabits the change until it becomes the reality. He is the self made American man in every way. He is the American success myth both personified and perverted.Unlike Alger's heroes, he has not followed the straight and narrow. He has acquired his fabulous wealth through bootlegging and stock swindles.This belief, that he can change his past, to correct it as it were, has given him a veneer of respectability that has put him in good stead with his underworld connections. But it is not for them that Gatsby has made this remarkable metamorphosis. No, he did everything, and I mean everything, for the love of a woman.Daisy was Gatsby's great love, but he lost her, and now in one final herculean effort he is going to correct his past this one last time. He is going to win her back and make things as they should have been.Leo DeCaprio is the only actor of this generation that could play Gatsby, just as Robert Redford could only play Gatsby the previous generation. Redford's Gatsby seemed reticent and insecure about his past; regretful that he must live a lie in order to accomplish his goal. DeCaprio's Gatsby is forceful, decisive; he is a determined man of significant accomplishment and great ability. He has a plan and he is going to execute it and as far as he is concerned, for all the right reasons. For myself, it is DeCaprio's best and most powerful performance.This decision (both DeCaprio's and Luhrmann's) to take Gatsby down from some ethereal literary icon into a flesh and blood human being gives the movie an intensity that the 1974 version and most of the literary criticism of the book that I have ever read, never perceived. This is not a shining white knight rescuing a damsel in distress; this is a bare knuckles brawl for the hand of Daisy, and she is going to have to choose.Tom Buchanan (Joel Edgerton) is Gatsby's antagonist. He and Daisy were married when Daisy could no longer wait for Gatsby to prove himself worthy of her. Tom is as rich, maybe even richer than Gatsby, but his money is old, he is an aristocrat with a deep sense of entitlement. He has status and wealth because he's supposed to have status and wealth, and he's not about to give up all that, and certainly not his wife, to this new money usurper Gatsby, without a fight.Bruce Dern played Tom as a kind of loopy (Dern's specialty) racial conspiracy nut, but Edgerton gives Tom a much harder edge. When Tom espouses his vile racial philosophies one might think that someday he might actually do something about it.Daisy (Carey Mulligan) is a tough role. For all the time that Gatsby spends trying to prove he is good enough for Daisy, the audience, for the book or the film, is led down the path that she is not good enough for him. Mia Farrow played Daisy as an airhead and a dingbat, but Mulligan gives Daisy a bit more spine, and fashions a character that has a pretty good idea where her self-interests lay.Luhrmann and co-writer Craig Pearse stay pretty close to the text with a few additions and devices, most notably, to those of us who read the book, know that it is Nick Caraway (Tobey Maguire) who tells the story, and is a firsthand witness to all the events, but we never knew from where he tells the story. Luhrmann tells us it is from a sanitarium where Nick is drying out from excessive alcoholism.As for Luhrmann's reputation for excess: Well, he certainly visualizes Gatsby's parties as excess, but they are supposed to be excessive, excessive materialism is part of the point of the story. There are times when Luhrmann can't resist himself and feels the compulsion to punctuate matters with some visual flourish, but I did not find it too distracting. His decision to go 3D however, I think was wise. The characters seem to come out of the screen and get next to you. You get to know them personally, and after all this is a very personal story.I think this story has survived the test of time so well because it is basically a love story. Whatever the viewers or readers opinion of the characters are, Gatsby and Daisy do love each other, but Fitzgerald was not interested in boy meets girl, boy loses girl, boy gets girl and they all live happily ever after. Where Fitzgerald reached his own aspiration of creating high art is in wondering if living happily ever after is even possible in an age of class consciousness, even class warfare, that is driven by a compulsive materialism in a world changing so fast that we can't even formulate the question before we have to come up with an answer. Luhrmann stays true to these themes and displays an avid curiosity about them himself.What he has created is a work of art that stands very well on its own.check out http://blognmovies.tumblr.com/",9.0,Anonymous,Romance
"""I wasn't actually in love, but I felt a sort of tender curiosity.""","I watched this film with a sort of tender curiosity.It was deliciously excessive and exaggerated, as expected from a Baz Luhrmann production. Leonardo DiCaprio made Gatsby his own (""Old spor'!"") while retaining a feeling of familiarity. The screenplay was a faithful adaptation and even helped me understand some of the novel's themes more clearly. And though you'd think hearing dubstep during the Jazz Age would be jarring, the soundtrack worked very well.But I couldn't love it. And it's (mostly) Tobey Maguire's fault.Gatsby loomed so large in the original story that it's not hard to forget all about Nick. But it can be argued, and often is, that it was Nick and not Gatsby who was the protagonist of the novel. Fitgerald's story, told from Nick's first-person point of view, was only as good as Nick's narration; Gatsby was only so great because Nick viewed him that way.Unfortunately, Maguire fell completely flat in his role as narrative guide. There was always so much else going on and so much of Luhrmann's dreamscape to absorb that Maguire seemed to get lost in it all. And — with him — so did the viewer. Without a strong presence from Maguire, Nick was relegated from having a role as interpreter of events to being just another character (and a rather unimportant one at that).Luhrmann tried to maintain Nick's narrative frame by having him tell the story — first as a patient speaking to his doctor at a sanitarium, then as a writer trying to explain his grief through prose. But those scenes came across (at best) as heavy-handed expository or (at worst) as Maguire's uninspired take on an abridged audiobook version of ""The Great Gatsby.""I wanted to love this film. I really did. It had so many wonderful qualities. But with no Nick (only a Tobey) to help make sense of the people and events, ""angry, and half in love with {it}, and tremendously sorry, I turned away.""",6.0,Anonymous,Romance
