title,content,rating,username,genres
Re-hashing of Old Material,"I was really optimistic going into the theatre, I didn't expect it to as great as the original, but I thought it would still be good movie. But most of the material was stuff taken from the original only tweaked, and I hate to say it but I was actually bored for a good part of the movie. Some of the jokes/scenes dragged to long, to the point where I didn't find them funny anymore. There were some good moments, but the truly outrageous/original scenes that made the original so great were too few and far between. Some of the scenes were more outrageous in the sense that there was some full frontal nudity, but I'm not someone who finds that super entertaining. Overall it felt to me like a re-hash of stuff that had already been done with some naked people thrown in, and it just wasn't enjoyable like the first movie.",5.0,Anonymous,Comedy
It' Happened Again ... And Again,"Greetings again from the darkness. Two years ago, director Todd Phillips presented a highly creative, hilarious, raunchy, unique film comedy called The Hangover. And now, he does it again. He presents that SAME film again. I am unsure whether this is a sequel or remake. The only substantial change is the setting ... Bangkok instead of Vegas.Now I fully understand WHY most sequels follow the formula created by the successful original film. Filmmakers want to keep their audience satisfied. If it worked once, it will work again. Especially when the first film grosses a half-billion dollars! So the chances are very good that if you liked the first one, you will also enjoy this one. But for me, I get excited for creative filmmakers ... not re-treads.The key characters are all back and played by the same guys: Bradley Cooper (Phil), Ed Helms (Stu), Zach Galifianakis (Alan), Justin Bartha (Doug), and Ken Leong (Mr. Chow). All of these guys have worked constantly since the first film, but it makes perfect sense to return to the scene that put them on the Hollywood map.This time around, Stu (Ed Helms) draws the long straw and has the storyline based on his pending marriage to Jamie Chung (Sucker Punch). Stu's ""wolfpack"" buddies agree to a one-beer bonfire beach bachelor party, but of course, something goes very wrong. The next morning finds our boys staggering to regain consciousness in a sleazy Bangkok hotel with no recollection of the previous night's events. The only clues are a monkey, a severed finger, a facial tat and international criminal Mr. Chow.No need for me to go into any details or spoil any moments. You know the drill if you have seen the first. What follows is nearly two hours of debauchery and moments of varying levels of discomfort, gross-out and comedic skits.Supporting work is provided by Paul Giamatti, Jeffrey Tambor, and Mason Lee (Ang Lee's son). There is also a cameo by Nick Cassavetes as a tattoo artist. This role was originally meant for Mel Gibson, and later Liam Neeson. Cast and crew protests kept Gibson out and Neeson's scenes were cut when re-shoots were necessary.I feel tricked by Mr. Phillips. The first Hangover had me excited that a new comedic genius had entered Hollywood and would quickly blow away the Judd Apatow recycle jobs and copycats. Instead, we get Todd Phillips copying Todd Phillips.This is certainly an above-average comedy and there are plenty of laughs from the characters we kind of feel like we know - though, wish we didn't. Just know going in that are witnessing a clear attempt at cashing in, not a desire to wow.",6.0,Anonymous,Comedy
"A raunchy, funny roller coaster you've already ridden before","Select All. Cut. Open New Document. Paste. Thesaurus. Print. I can nearly guarantee you this was the process in writing the sequel to the most successful R-rated comedy of all-time. In one of the craziest and most blatant filmmaking moments of carbon copying an earlier installment I have ever witnessed Hangover II paces, moves, and delivers in the exact same method, style and speed as the original. The musical transitions are the same, some of the set-ups are the same, some of the conflicts and revelations were eerily alike and worst of all, the entire third act felt like the original----and they are thousands of miles from the United States. Every strength in this movie is deterred by the fact that Todd Phillips and company put no effort in trying to change things up a little aside from setting.Is the movie still funny? Yes, it is funny and there are indeed some standout moments. But, all the freshness and originality of the first Hangover is definitely not present here, and it hurts more because they could have fixed some of the setbacks of the original. This time Stu (Ed Helms) is getting married in Thailand in order to gain approval from his fiancée's father. During a night of drinking with the ""Wolfpack"" (Bradley Cooper, Zack Galifianakis, Justin Bartha) and the fiancée's brother, something went wrong, and the crew is many miles away in Bangkok. And of course, one of them is missing. And of course, they don't remember anything. And of course, they are mixed up in multiple situations occurring within the city. The difference between this one and their stint in Vegas is that the stakes are much higher, as the adventure in Thailand is much more grim and dark than in Sin City.Hangover part one was hilarious, unique, and had flair of comedic originality. However, it needed a few polishes in order to become a true comedic classic. Zach as Allen is the biggest of the flaws. His characterization in the original was very uneven, too random, and just didn't deliver as much sympathy as the other characters. In the sequel, he is ruder, crueler, and an absolute pain to witness. In the original his actions are mildly justified because of his stupidity. Here however the stupid act gets old extremely fast. It doesn't help that Galifianakis doesn't have the comedic timing that superior funnymen possess. The rest of the cast throughout the movie was great, with Ed Helms and Ken Jeong being the best examples.Todd Phillips should have known better, as he is a good director with a nice track record. I am extremely disappointed that instead of taking an approach to trying something new while still offering the same type of R-rated college humor, he chose to stick to the formula far too close. You can copy some of the jokes and get away with it, but to imitate the entire three-act structure of the original Hangover is nothing more than lazy and uninspired filmmaking. He still has a few tricks up his sleeve with a few raunchy and hilarious surprises, but far too much potential was wasted in order for me to forgive him.Bottom Line: You will most likely have a good time watching this if you enjoyed the original. That being said, it will feel exactly like the original---except it's in Bangkok and the setting is much darker. They cranked the ante in conflict, but failed to improve anything or change anything from the 2009 comedy smash hit. Playing it safe hindered this movie, as part of Hangover's appeal was its inability to stick to a formula. Hangover II is funny, but lacks the satisfaction, zaniness, and appeal of the original. Hopefully they can spice things up for the third installment (you know it's coming out, stop lying to yourself) otherwise all I have to do is copy this review and paste it to the third chapter.diac1987.blogspot.com Entire Planet Observed on Daily Basis",6.0,Anonymous,Comedy
They're baaack...,"I enjoyed part I quite a lot and so I was looking forward to seeing part II, and it didn't disappoint me. It was actually quite a surprise, as I found part II to be better than part I.Why? Well the story for starters, it was more clever and it had more adrenalin rush to it. There was always something really strange going on and the guys were chin-deep in trouble. I was laughing a lot through out the movie, and had my toes curling as well because of the awkwardness of some of the scenes.And having the story set in hectic Bangkok was brilliant, because it really spiced up the movie quite a lot. However, I would personally have liked to see more of the seedy places that exist in Bangkok. There was too much focus on the rich and glamorous places. Not saying that they didn't use the seedy places, far from it, but they could have used it more, as Bangkok is well-known for them.Bradley Cooper (playing Phil), Ed Helms (playing Stu) and Zach Galifianakis (playing Alan) really have great chemistry and together they really carry the movie with excellence. Each of them make the other stand out and support the comedy of one another. They are so well-cast for these movies. And I must admit that this was the best part I have ever seen Ken Jeong (playing Mr. Chow) portray. His quirky blunt manner was so amazing in this movie.Be prepared for an adventure like none other. An adventure with amnesia, drug-muling monkey and lots of fun. ""The Hangover II"" is a great comedy.",7.0,Anonymous,Comedy
Unfortunately Predictable Relying On Same Gags,"What made The Hangover fun and entertaining unfortunately leads to predicatability in The Hangover II. The only reason I got any enjoyment out of this movie at all was because I liked the characters in the first movie. I wish they had tried to do something fresh with the story and the characters, but it was the same old gags.When I first saw the original Hangover, I thought the movie might become a classic comedy. But honestly after watching it a few times, it seems less funny where as many comedies you pick up on small things on multiple viewings that make the movie even funnier. With the Hangover, the element of surprise is lost the next time around and the story loses its appeal.So taking what I just said into account, if you've watched the first movie multiple times and then have expectations that the second movie will be a fun adventure with fun surprises around the corner, you will be somewhat disappointed. The writers even wrote in another animal with the Monkey (Tiger first film) and baby with the old Monk (baby first film). The gags just didn't seem quite as funny the second time around.There was a lot of hype leading to the release of this movie. In fact, right after the first film was released rumors that a second was on the way already surfaced. Really a disappointing film of what might have become a pretty fun movie franchise. Rating 6 of 10 and this is being nice because like I said, I got some enjoyment out of the film simply because seeing some of the same characters from the first movie was nostalgic.",6.0,Anonymous,Comedy
"Funny, but don't expect the original","Remember that one movie that came out in 2009 called The Hangover? Of course you do. It was only one of the most talked about films of the summer, surprising everyone as one of the funniest comedies in a long time. Two years later it was only fitting that a sequel be made so that we could relive the original Hangover fervor and kick off summer 2011 with a bang. Well, the basic rule of thumb for a sequel is that it either a) needs to be a continuation of the story from the first film or b) tell a new story with the same characters. The Hangover Part II decided to invent their own option c) which is to tell the exact same story all over again, but just changing a few details.And that is what The Hangover Part II is. This time Stu, Alan, and Phil are in Bangkok, Thailand for Stu's wedding. The wolfpack reunites for another awesome bachelor party, this time brining along Stu's sixteen year old brother-in-law, Teddy. Stu promises only one beer and then he is calling it a night, but of course that isn't what happened or this wouldn't be The Hangover Part II. Nope. Once again a crazy night ensues and the boys wake up the next morning with absolutely no recollection of what happened the night before. They only have small clues to go off of, but they have no choice but to use these clues in order to find Teddy, who has gone missing. From here things play out much like they did in the first film with the same elements as the original. Instead of a tiger we have a monkey. Instead of a baby we have a monk. Instead of a regular Las Vegas hooker we have, well... I won't spoil that.I, like so many others, loved The Hangover. I was happily surprised by how funny and just how well made it was for a film that looked like it would be another silly comedy movie. Of course it was that but it had something great about the raunchiness of the jokes and the cleverness of the mystery story that unfolds. The Hangover Part II doesn't quite have that and it only seems to try as hard as possible to outmatch its predecessor. It is this excessive one-upping of the first film that also drags down the films story. For one, it is just the same story all over again, but I can get past that because it worked in the first film. I won't say it wasn't annoying seeing so much of the same things happen all over again, but I'll get over it.I was disappointed though because I loved the mystery aspect of the first film. The process of finding out where Doug was in the first film coupled with the incredibly entertaining humor was done just right. The Hangover Part II just tries so hard to go even further over-the-top that the mystery aspect here falls flat. It isn't nearly as interesting, thus the thing that made The Hangover more than just another comedy is lost in The Hangover Part II. The film does everything in its ability to be raunchier and more over-the-top than the first film, affecting all aspects. The obviousness of this effort actually ends up being distracting and it just reminds me why sequels too often suck, especially comedy sequels.But The Hangover Part II doesn't suck. It definitely hasn't lost all of the magic that was there in the first film. Bradley Cooper, Zach Galifianakis, and Ed Helms obviously love these characters and you can see it come through in their performances. The hilarious trifecta are just as great in this film as they were in the first, and I never thought for a second that they were losing touch with their characters in the film's attempts to one-up the original. And honestly, this film really is funny. I laughed hysterically at plenty of moments throughout the film and there is never a dull moment. Each moment just gets raunchier and and more insane, keeping you laughing from start to finish. The comedy in this film isn't as clever as the first film, and it really sort of boils down to fart, poop, and dick jokes, but I love the characters of this film too much to not be entertained by that.I won't say that I wasn't thoroughly entertained for the 102 minutes this film ran. I still think Zach Galifianakis is one of the funniest human beings currently on this planet and I think Todd Phillips still knows how to make a funny movie. But The Hangover Part II certainly doesn't live up to the hype and it doesn't even come close to the first film. As much as I laughed during this film I really just can't think of it as much more than just another comedy.",6.0,Anonymous,Comedy
"Gang is back, crazier than the first","The gang is back. This time Stu is getting married to Lauren in Thailand. After a quiet night, Stu, Alan and Phil wake up in a seedy apartment in Bangkok. Doug is back at the resort, but Lauren's brother Teddy is missing. There's a monkey with a severed finger, Alan's head is shaved, Stu has a tattoo on his face, and they can't remember any of it. And Mr Chow is back.This is just like the first one, except this one is crazier and in Bankok. Everything is bigger. Alan is crazier. Mr Chow is more ridiculous. The humor is cruder. It's essentially repeating the same story and some dismiss it for that. I personally don't.",7.0,Anonymous,Comedy
Great comedy sequel,"Whilst the plot is basically the same as it's predecessor, The Hangover Part II is still a great comedy sequel. Once again, Bradley Cooper, Ed Helms and Zach Galifianakis are all great with really good chemistry and Ken Jeong is also great. Todd Philips' direction is fantastic and it's extremely well filmed and well paced. It's consistently really funny. The soundtrack is great and the music by Christophe Beck is good.",8.0,Anonymous,Comedy
Not All Sequels Are Forgettable,"The premise of The Hangover: Part II is nearly identical to the first – the same ""wolfpack"" from the first movie, Phil (Bradley Cooper), Stu (Ed Helms), Doug (Justin Bartha) and the not entirely welcome man- child, Alan (Zach Galifianakis), throw a wild, out-of-control bachelor party that results in the loss of an important character.At first blush, it seemed as though this movie, with its recycled premise and familiar characters another painfully obvious attempt to wring the last few cents out of a Hollywood cash cow. However, director Todd Phillips, easily quiets these criticisms by playfully mocking the similarities and by upping the raunchiness, insanity, and humor of the movie.Galifianakis once again steals the show as the perfectly crafted weirdo Alan, who's sporadic and bizarre interjections enliven momentary lulls in the movie. Alan's antics are further accentuated by the return of the humorous and insane criminal, Chow (Ken Jeong). Combined with new, shockingly outrageous situations, the duo keeps the laughs coming and in doing so gets the audience to forget the movie's lack of originality.Regardless of my strong recommendation, wholesome moviegoers and those who are wholeheartedly convinced that this movie is nothing but a remake should skip The Hangover: Part II because, to be honest, this isn't a movie to be taken seriously. It is not a cinematic masterpiece by any stretch and the storyline is weak at best, but if you're willing to venture into the bowels of Bangkok for a raunchy, silly, sophomoric, and extremely amusing movie, call up your wolf pack and head to see an amusing movie you'll never forget – hopefully.",7.0,Anonymous,Comedy
Hilarious! A worthy sequel to a comedy classic!,"After seeing The Hangover in 2009, I could not wait for Part II to be released and it was worth it. I really don't get why people are saying this movie sucks because it has the same plot. What do they expect? Of course Todd Phillips is gonna use the same formula as the original but it works with this one. I can honestly say while Phillips did take this one a step up with how crude and nasty the jokes are, it still made me fall out of my seat laughing, especially Alan's new attitude in this. To me, the only thing that would make The Hangover Part II a failure is if Alan was the one the trio ended up losing the night before. Without him, The Hangover movies would suck! Sure, we got Phil's sarcasm and the craziness of Ed Helms but Alan is the one with it all. Overall, I give it a 9/10.",9.0,Anonymous,Comedy
