title,content,rating,username,genres
This is an underrated gem that gets overshadowed by the greatness of Lord of the Rings,"The Hobbit: An Unexpected Journey (2012) is a movie I originally saw in theaters, is in my DVD collection and I recently rewatched with my daughter on HBOMAX. The storyline for this picture involves our old friend, Bilbo Baggins, as a youth when Gandalf the wizard shows up at his door about an adventure. Bilbo says no but that night 12 dwarfs show up at his door and tells him a story about a dragon that stole their homeland and gold. They would like to return home, regain their kingdom and need Bilbo's help to make that happen. Bilbo will try to say no, but we all know he can't.This movie is directed by Peter Jackson (Bad Taste) and stars Martin Freeman (Black Panther), Ian McKellen (X-Men), Andy Serkis (Dawn of the Planet of the Apes), Richard Armitage (Into the Storm), Graham McTavish (Rambo) and James Nesbitt (Match Point).The settings, cast, special effects, attire and props in this are absolutely out of this world. The introduction of the characters is hilarious and very well done. I adored how well the perception of the characters of each other is depicted and how that evolves over time. There's some war scenes in this that's awesome and every scene with the orcs riding the wolves is tremendous. The goblin king sequence in the cave is well executed and it's impossible not to love the riddle game with Gollum. The final battle at the cliff was perfect.Overall, this is an underrated gem that gets overshadowed by the greatness of Lord of the Rings. I would score this a 9/10 and strongly recommend it.",9.0,Anonymous,"Adventure, Fantasy"
It keeps getting better every time I see it,"I've seen ""The Hobbit: An Unexpected Journey"" quite a few times now. I like it a lot. The first few times I watched it I found it hit and miss. The movie still takes a couple of dips here and there but those parts don't bother me as much as they used to. Now the only demerit I give this movie has to do with its length. It's a about twenty minutes too long. Otherwise, ""The Hobbit: An Unexpected Journey"" is a very exciting and emotional ride. It's also a great looking movie with very good music. This movie is always a welcome visit.",8.0,Anonymous,"Adventure, Fantasy"
An Unexpected Movie,"Let me start by saying that i have never watched any of the Lord of The Rings movies before.I was told to start with the hobbit. I was amazed at how cool this franchise must be as i loved every minute of it.I kinda feel ashamed for not giving this series a try earlier. 8/10 from me ,yeah that good.",8.0,Anonymous,"Adventure, Fantasy"
A visual feast but yet I wasn't gripped by the story or characters as much as I should have been,"When I heard that there was to be a film version of The Hobbit, I was quite looking forward to it as the big finish of Lord of the Rings was still in my mind and, unlike LotR, I had actually read The Hobbit several times many years ago. When I heard that it might be two films I wasn't surprised but the news that it was to be three did rather dampen my spirits as I don't know if I had the interest for this story to be concluded as 2016 rolls into town. Regardless I did of course watch the film because it is still a large blockbuster and, at a time of the year normally filled with overly earnest Oscar contenders, I did quite like the idea of returning to this world again.With this in mind I did wonder why I watched it with a surprisingly detached air and why I wasn't able to get into it like I should have done. I had some reservations with the first film in the LotR trilogy but this seemed different because it certainly wasn't a lack of action and forward motion that gave me a problem here. Quite the opposite actually because, once the first 45 minutes or so are out of the way then the action set-pieces come thick and fast and noisy. The opening hints at the power of the dragon to come before settling down for a gentle reintroduction to the Shire and then the characters we will follow; this section I found a little longer than it should have been and I could have done with a bit less noisy banter from the Dwarfs, since the film would provide much more from them. The majority of the film is the journey (or at least that bit of it that this film covers) and it produces plenty of action with great special effects really well integrated into the live action. So visually and technically there is plenty here. Problem is that little of it felt urgent or tense and actually the delivery of the constant action does rather detract from it.With Fellowship of the Ring, the group was smaller and the development of the plot better; additionally the action was more scaled down and comparatively simple. Here we have set-pieces where it feels like everything has been thrown at the screen and every inch of every frame has been filled with movement wherever possible. This tended to overwhelm me rather than draw me in though and in effect the noise prevented me really getting into it. Likewise by the time I had seen the characters survive impossible situations and defy gravity for the third or fourth time, the film sort of lost the ability to make me believe there was danger involved – which is a problem given I was already being pushed away by how busy and noisy it all was. Tellingly the scene that worked the best for me was with Gollum; this scene had tension, had uncertainity, had threat and did it all with small movements and dialogue; also worth noting that while Gollum is of course another special effect, you don't notice it in that scene because you are focused on the content instead of the visual.The cast sort of fit into this approach as well. While everyone is fine and does as required, at times they do tend to become part of the noise and effects rather than being characters. Freeman is a good Bilbo and his mannerisms work well (which helps negate his limited range) while of course McKellen is always welcome. The dwarfs didn't make much of an impression on me though, even if they all looked the part and delivered a few laughs. The rest of the cast are all fine but to be honest the effects are the main stars here and technically it is very impressive even if it is a bit overdone at times.I didn't dislike The Hobbit but at the same time I was disappointed in it. The action is noisy and busy but there isn't enough to draw me into the story or to make the action thrill me so much as it did overwhelm me. Hopefully the second film will see the characters and plots grow me on so that I am more emotionally bought into the films, but for this first one I must confess to being surprised by how much the film seemed content to have me watch from a distance rather than draw me in and engage me.",,Anonymous,"Adventure, Fantasy"
The Hobbit: An Unexpected Journey,"A very good start to the series. Very sensitive for the rest of the process, even though the movie was slow for the first half hour, it didn't affect my experience that much. The story is fun and interesting. Most of the film's protagonists were fun and watching Gandalf bring back memories of The Lord of the Rings. Filming and directing dazzles you and makes you wish to live in the world of cinema, especially in the Elf area. Although the film is not at the level of The Lord of the Rings, it is still excellent.",8.0,Anonymous,"Adventure, Fantasy"
"""The world is not in your book and maps. It's out there!""","Ten years ago, I laid eyes on Peter Jackson's Lord of the Rings: The Fellowship of the Ring, and instantly fell in love. I realized pretty quickly that it was the perfect combination of style and substance: a film so loaded with story and detail, but also had enough style and action to make the experience truly epic. This experience would only be supplanted by The Two Towers and The Return of the King, the latter of which has taken its place as my personal number-one favorite movie.After so many years of legal battles and creative turmoil, The Hobbit is finally adapted for the big screen. If anything could displace the Lord of the Rings as my favorite film trilogy, I was certain that it would be The Hobbit; if for no other reason than I found Tolkien's The Hobbit is a far easier and funner read than LOTR, and I always knew that there would be moments that would make for excellent cinema.Despite the underwhelming reviews and reception, I found The Hobbit: An Unexpected Journey satisfying; it met my expectations perfectly. I won't deny, however, that the film overall feels like a long-labored attempt to force lightning to strike twice. Not only because of all the story padding, connections to LOTR, returning stars, and the splitting of the story into three films, but also insomuch as trying to craft new iconic characters out of Bilbo and Thorin to mirror Frodo and Aragorn respectively. I think the thing that really gets on people's nerves is the sheer audacity in taking a single book (one that was previously adapted into a humble, bite-sized 79-minute cartoon) and exploding it into a 500-minute franchise. Thus follows the common complaints that the films are too long, too padded, too big for their own good.Personally, none of these factors really affected my enjoyment of the film. The only real drag I felt was in the opening act; the Shire scenes seemed to take a good while to wrap up. Once the party hit the road, the film explored the big plot points I remembered well from the novel's first third, complete with awesome rip-roaring action. The film's final act is pretty jam-packed with loads of orc-slaying mayhem. Above all, however, the film has a nice sprinkling of humor and character throughout, keeping things lightweight and even. I think the most memorable and satisfying of scenes, however, will be the major encounters that I remember fondly from the novel: outwitting the three trolls, for example, or the riddle scenes with Gollum, are all brought to life perfectly on the big screen.The story for The Hobbit is as quintessential of a fantasy adventure as, well, Lord of the Rings. The film not only does a fine job of packing in loads of events, characters, and fine details from The Hobbit's original narrative and story, but it also ties in some content from The Silmarillion and the appendices of Tolkien's books. A lot of this is incorporated to make tangible ties with LOTR, allowing the film to serve as a proper prequel, while digging up additional subplots, conflicts, and details to layer onto all of Peter Jackson's Middle-Earth films. Yes, the film could have all these extra scenes cut out, making the film trimmer. Frankly, I liked it the way it is. Some of the scenes helped me understand certain nuances of The Hobbit's politics and backstories. Some helped in the nuances of established characters and events (especially in regards to chronicling Gandalf's whereabouts, who would otherwise just pop in and out randomly, like in the book, but it would have probably alienated audiences further). Some is purely invented for the film series to streamline the continuity (purists might be outraged when they see Radagast on screen). It's a bit early to tell where The Hobbit is going with all the threads it has grabbed, but it does serve a purpose in the long run. If nothing else, it'll help average audiences connect and understand the Middle Earth on a deeper level, and set things up for later events in the next two films.As expected, the film looks splendid, with quality photography and editing. I'm especially pleased to see that the filmmakers dropped the shaky-cam effects that were dispensed in the fight scenes of LOTR; just about every shot in The Hobbit is solid and steady. Acting is pretty decent from the whole cast; aside from all the familiar faces, Martin Freeman plays Bilbo with the right amount of nuanced uptightness, while Richard Armitage plays it tough as Thorin, and every other dwarf actor does their best to make their characters stand out in their own neat ways. Writing is great; the script adapts as much as it can from the novel, while allowing the film to breathe on its own. This production is loaded with excellent sets, props, costumes, and special effects. Music is nice too.Perhaps I'm biased, because this is another film where I see nothing really wrong with it. If anything, it feels like more of the same as LOTR, with the same construction as Fellowship of the Ring. Even if it is a blatant cash-grab, drawing out the material across three movies to maximize the franchise, it is still a fair crowd-pleaser. Given that we still have the desolation of Smaug and the Battle of the Five Armies to witness on the big screen, I'm certain that An Unexpected Journey is but a small taste of greater things to come; things that may prove to be as epic, if not moreso, than LOTR! At the very least, the film does perfect justice to the original novel, while delivering a fine spectacle. I couldn't ask for a finer film.5/5 (Entertainment: Very Good | Story: Perfect | Film: Perfect)",10.0,Anonymous,"Adventure, Fantasy"
The Ring: Beginning,"I never came around to read the LotR books before watching the movies and I actually haven't done that until now (so maybe shame on me), but I did read 30-40 pages of the Hobbit. And it seems, like almost everyone of those pages turns out to be in the movie. It's a big scene and it feels like Peter Jackson put almost everything in it. He apparently also put other Tolkien related stuff in it.Which he must have done, because how could you make 3 movies/parts out of one book? That is smaller in size than the original Rings trilogy that is. But what about the movie? It feels fun and it looks good (once you get used to the HD framing, which makes a few props look very plastic). Also the very HD 3D (or should I say the extra FPS) we got served made the movie feel like it was on fast forward. I think your eyes have to get used to that (in comparison to normal frames per Second that every other movie uses).Apart from the technical point of view, this is a well made movie, but it never completely touched me. It is well played and it has the beginning of a great adventure, but it feels a bit over bloated. I will obviously watch the other parts too and I'm pretty sure they will up the anteEdit: rewatching it a decade later, I realize I may have been a bit too harsh on the rating. I guess I do that with big budget movies. I can attest that I reckon I got used to the Higher Frame Rate the movie uses. Not that many movies have adapted that style (I reckon Avatar 2 will), but it is what it is. Technically you can fault the movie and the extended version was quite nice to see (so I guess it wasn't a literal rewatch - no pun intended).",8.0,Anonymous,"Adventure, Fantasy"
The Hobbit turns out to be a rather unexpected delight,"Firstly, I have to make a statement- the LOTR movies, for me, have set an impossibly high bar both in this universe and within the movie world as a whole. Their cinematic beauty and value cannot be denied.The Hobbit: An Unexpected Journey, however, is an entirely different movie. Sure, it's set in the world of Middle Earth, but that's really about all it holds in common with the aforementioned trilogy, alongside a few familiar faces. Many members of the audience I was in complained that the movie took a long time to get going, but it actually was paced rather well, with a suitably sized introduction with Ian Holm and Elijah Wood making way for the current storyline. The first thing you notice as a viewer is that this movie is notably funnier. Whilst the LOTR trilogy had it's lighter moments, The Hobbit revels in the lighter side of life, with lots of genuinely hilarious moments interspersing themselves with scenes of real peril.The visually stunning moments are still there, and whilst I saw this movie in 2D, some moments would have been absolutely perfect in 3D. At first, it's a little difficult to get into, especially when the light-hearted opening with the countless visiting dwarfs gets underway. However, if you can remind yourself as a viewer that The Hobbit was a book written for a much younger, impressionable audience, then you'll likely have a good time watching this. That said, it is far from childish, and although it is a lighter, more fun affair, there are still many parts within the story that an adult audience can relate to.Martin Freeman has been a firm favourite of mine since his humble beginnings on British terrestrial television, and seeing him here on the big screen is both a welcome and bizarre experience. That said, his demeanour and technique are perfect for the role of Bilbo Baggins, as he exudes the homely, simple manner of a Hobbit very effectively. Ian McKellen is perfect as everyone's favourite wizard, and Richard Armitage (another former British television star playing his trade to the silver screen)is a brilliant Thorin (son of Thrain!), mixing a toughened heart with a tortured soul. If anything, Thorin may turn out to be the true hero of the piece. The rest of the dwarfs are also brilliant, and many of them are the highlights of the movie.The special effects are once again spectacular, with the eye wateringly stunning rock giant battle a particularly memorable moment. The makeup effects are up to the job, too, and the attention to detail is ridiculous, right down to the individual scratches and weathered look of the weapons the characters wield. If you enjoyed the LOTR trilogy, then Peter Jackson will have you in awe again, although The Hobbit trilogy looks set to be a much more relaxed and 'fun' adventure. At the end of the day, the only complain to be made about the movie is that it simply isn't LOTR. Those movies set such a high level that even Peter Jackson himself can't seem to top them with this effort, but that's a minor complain for what is otherwise I very well made movie.Cinematic, adventurous, enjoyable and epic- The Hobbit: An Unexpected Journey knows its audience and caters to them very well indeed.",8.0,Anonymous,"Adventure, Fantasy"
I feel both love and respect towards this story!,"Beautiful cinematography, beautiful design, make-up, special effects. Everything is perfect. The cast is a joy to watch. Martin Freeman is great as Bilbo Baggins, Ian Mackellen can't be described in words, he is perfect as Gandalf as always. I actually thought he was even better here than in ""The Lord of the Rings"". He captured the atmosphere more. I loved that Elijah Wood reprized his role as Frodo even for a short period of time. He broke my heart in ""Return of the King"" with his powerful performance. He nails the character and I hope he will make an appearance in the next two movies as well. Oh, and the famous Gollum! How could I have missed him from my review? It's great to have Andy Serkis back.Please people don't listen to the critics, they are the ones who influence the public, but they are not always right. It has the same magic. Maybe in a less darker tone than the previous movies had been, but in a way, that's why I really liked it. It's like a deep breath from all the stressful situation the hobbits had been in ""The Lord of the Rings"". It's been a though year with a lot of good movies, but in the end, this still is among the best ones.Worth watching!10/10",10.0,Anonymous,"Adventure, Fantasy"
Why Does it Fail?,"With nearly the same creative team behind the masterfully made Lord of the Rings trilogy, why did The Hobbit trilogy fall so flat for most viewers? Was it merely that the bar had been set too high by LOTR? Here are the most plausible reasons I can come up with.1) They Tried to Remake LOTRThis is the single biggest problem with The Hobbit movies, the kernel of their woes. If not for this, they might have let del Toro remain as director. If not for this, they might have had good original score instead of derivative music with not a single memorable track. If not for this, they might have kept it as one or maybe two movies instead of stretching it into a trilogy. The money people wanted another generation-defining hit and, in their greed, they ruined any hope for The Hobbit to be good. The tone of the films does not at all match the tone of the source material. They used the source material as a plot guide while overlaying the tone and epic scale of LOTR - it just doesn't work. The Hobbit was a wonky children's story but the investors wanted another mature, adventure fantasy epic. The whole adaptation process was confused by this contradictory creative impulse.2) Poor Source MaterialThe Hobbit is an inherently challenging book to adapt to the screen. For one thing, there are too many Dwarves in Thorin's company. I consider myself a hard-core Tolkien fan but I can hardly remember more than half of their names. I certainly can't connect names to the faces of actors and it doesn't help that, unlike the Fellowship, their names all sound alike, all derived in some form from the Poetic Edda. The Dwarves in the company don't really do anything in the story either. They're just sort of there because 13 is an auspicious number. The only real characters in the company are Thorin, Bilbo, and Gandalf (Balin's role in the expedition to reclaim Moria having been retconned later on). The Battle of Five Armies isn't the climax of the story either, it's more like a dessert, a bit of action for the kiddies. It's described in all of like two pages but in the movie they tried to portray it like the Battle of Minas Tirith. The Hobbit simply does not exist in the same universe as LOTR or the Silmarillion or etc. - the lore links were penciled in later by Tolkien for those other works. The episode with Galadriel, Saruman, and the Necromancer doesn't even show up in The Hobbit.3) Over-Reliance on CGIThe LOTR trilogy was already suffering from this before it was through. In Viggo's words, The Hobbit was at least 10x worse. Characters feel weightless, their movements lacking the subtle imperfections of real people. The CG orcs look too clean, too crisp and the fact that there is not a single practical effects orc in the trilogy subconciously tells us there is no real antagonist - our heroes are just fighting a render (or worse, a dude in a suit with little balls all over it). There is no synchronization between action and audio. Weta Workshop's concepts are still just as good as the first trilogy, maybe a little high-fantasy by comparison, but their realization mostly or exclusively in CGI is extremely disappointing.4) Creative Exhaustion with the Source MaterialThey should have let del Toro direct. We would have gotten an original take on Tolkien's work which is exactly what was needed because, as previously mentioned, The Hobbit and LOTR don't exist in the same universe. PJ poured his soul into the original trilogy and he didn't have any gas left in the tank for The Hobbit - the money people brought him in because they thought it would make the investment safer. As it turns out, lightning doesn't strike twice even when you reassemble the same cast and crew. I think this is probably the least important of the reasons why The Hobbit failed, the financial pressures of the studios and the political situation in New Zealand might even have been more important factors, but I won't get into that.",5.0,Anonymous,"Adventure, Fantasy"
