title,content,rating,username,genres
A Mile a Minute,"After reading some of the previous reviews, I wonder what it takes to engage the modern viewer. It seems we have become so jaded that we see the necessity of giving a one star review to something as phenomenal as this film is. It is filled with action, sets of remarkable creativity, amazing characters, in a complex plot that made me long for the conclusion. I know it doesn't follow the book religiously. Get over that. Even a fifteen hour miniseries based on a novel fails miserably. Of course, every English teacher on the planet knows that we are working in two entirely different mediums. Books and movies are different! What Peter Jackson has done is taken the primary plot and allowed his script writers to take what is given and supplement it with their own creativity. The first film, though imperfect, does set the stage for this superior second effort. What we get is nonstop action, moving the characters toward the object of their quest. Tolkien's rules are followed if not the letter of the plot. The first film was criticized for being too talky. Now this one is being criticized for not being talky enough. For me, the scene where the gang must escape an elven prison and face the orcs is one of the most delightful fifteen minutes I've ever spent in a movie theater. I don't expect an action film based on a book with voluminous characters to have character development like ""Driving Miss Daisy."" See the film for what it is and count yourselves lucky to have the luxury of being able to see the amazing accomplishments of the Peter Jackson's of the world.",8.0,Anonymous,"Adventure, Fantasy"
"Great fun, but forget the book","Bilbo Baggins and assorted dwarfs continue their journey to Erebor, overcoming various obstacles on the way (including hostile elves) before Bilbo has to try to fulfil his engagement as burglar under the fiery snout of antisocial dragon Smaug.The second Lord Of The Rings movie suffered from Middle Film Syndrome: Hobbit 2, despite occupying the same position in a trilogy, does not suffer to the same extent, and perhaps this is because it is exciting all the way through, yet follows on from a film which was pretty slow throughout its first half.It also contains large chunks which do not come from the novel - I'm pretty sure Legolas wasn't in the book. He is great fun here, as a much angrier soldier in the Elf Army. And new creation Tauriel is hugely enjoyable, resembling nothing so much as Uma Thurman's character from Kill Bill, albeit attractively played with the hint of a smile by Evangeline Lilly.Apart from being a more engaging movie than part 1, pretty much everything I thought about that movie still holds. I still have reservations about the dwarfs - their faces and hair feel obviously prosthetic and wigged, and it's still pretty difficult to tell them apart from each other except for the old one, the one wounded by the orc arrow, Thorin, and James Nesbitt's Irish one. I still have reservations about CGI orc faces - the prosthetic orc faces work noticeably better. I still have reservations about some of the action sequences, where more is not necessarily better (one sequence, in particular had the audience laughing because of the extent to which the Elvish derring-do was over-derring-done). And there are times when Bilbo looks cut out and pasted into a scene. And, once again, the 3D is indifferent.Otherwise, this was great fun. Loads of action, some nice character work, an excellent and nasty spider fight, a well-voiced and visually realised Smaug, and not the slightest yen to look at my watch.And a cliff-hanger. You swine, Jackson.",8.0,Anonymous,"Adventure, Fantasy"
Improves upon the first one just about enough to cover the weaknesses it shares with it,"After seeing the first Hobbit film I must admit that I could have cared less about seeing the second and indeed it took me a minute to get back into it and I was grateful for the film giving me a ""12 months earlier"" scene to sum up what I am supposed to be following. It wasn't that the first film was bad (it is too expensive to be bad) but more than constant action and movement with no consequences or realism to engage me, really left me looking at a video game that I had no investment in (and I say this as a gamer). I didn't hope for much better when I went to see this sequel and, as Theo Robertson has said, perhaps this helped me enjoy the Desolation of Smaug more.The plot has more to it than one encounter after another and connecting it to the later films was a good move that made me feel there was more content here – although I think that was artificial, I will not deny that it worked. The action sequences retain the same problems as the first film, which is that nobody ever feels like they are in real danger no matter how long the fall, how low the odds or what is happening. The good thing is that because the film isn't one escape sequence after another, I didn't feel this so often – although it is undeniably still a problem in these films. The characters were a little better than before although perhaps I was just more interested in them. Smaug in particular is a great creation – visually and stylishly; just like the first film where my favorite parts were the still and tense sequences with Gollum, so too here the high point of the whole film is where Smaug is toying with his potential victims and it is such a shame that this was not done longer.Visually the film remains a feast – although, befitting the time of year, it is a Christmas feast where everything is good but it is endless and eventually just feels indulgent and gluttonous. This remains the case because the film almost never feels like it was shot wholly on a location. I remember the LotR films impressing me with their natural beauty but here even a shot of people walking across a field seems to have been digitally enhanced and, as good as it looks, it does remove me from the film somewhat. Visual effects are impressive but it does really hurt to see Jackson leaning towards the George Lucas ""if we can do it then we should do it"" school of effects management. The cast do solid jobs – I liked Freeman and McKellan when they were allowed to be more than just special effects The dwarfs made more of an impression on me this time but the elves not so much – Bloom remains stiff while Lilly sports the only unconvincing effect in the film in the shape of her ears. Cumberbatch was strong as the voice of Smaug and I enjoyed Fry and McCoy in supporting roles (shame the latter missed out on more time due to his Doctor Who efforts during the 50th anniversary year!).The Desolation of Smaug is a solid blockbuster; lots of action, a decent story and strong special effects – this is not the same as saying it is a great film though, but it does still entertain. The story remain distant due to the invincible characters and consequence free (but very seriously presented) action, which does prevent one being drawn into it. Of course I'll be there for the final film, but I really do hope than they focus on danger rather than spectacle and build the tension instead of just increasing the noise.",,Anonymous,"Adventure, Fantasy"
"A very good movie, slightly reminiscent of the Hobbit","Peter Jackson's ego that was held at bay all through the previous installment breaks free in this one. The lighthearted atmosphere from the book, that shone so brightly over the 1st part of the his version of the Hobbit, is no longer here, the strange story lines that were added to tie every thing together so no loose end is left and everyone watching the film knows that Peter Jackson did tell us all there was to know. An exact opposite of Tolkien's original who kept always saying (or implying) that middle earth has much more to it than he could ever cover with his stories. It's a difference in egos that doesn't always work for Jackson. Even though he did create a magnificent fantasy epic. Much darker than the first part, much more action packed very high quality of acting performances by all involved. The sins against the original book aren't as grave as those he committed with his LoTR trilogy, mainly because the Hobbit as I already said is a simpler story that doesn't allow for miss representations of the author's intentions. Jackson simply had to invent all these from scratch.I'm all for re-imagining a story, but if you do so at least be honest and tell us that's what you did, like Tim Burton did when he made his version of Alice. Jackson never said any such thing, if he did it was kept a secret from most of the viewers, which is plain shame as far as I'm concern. I know everyone is going to hate this review to pieces, so many ""Jacksoners"" are following every bit of film he creates trampling in their wake over all those who dare oppose him. But I personally think that had he kept himself closer to the original, he would've ended with a better movie. It was so with the first part, but I feel like his ego couldn't share the credit with the original author anymore, so that's what we got. It's fun to watch - it's just a different story we're watching than the one we were promised.",8.0,Anonymous,"Adventure, Fantasy"
"A Fantastic, Exciting Adventure","While I enjoyed the first Hobbit film, it did feel like it left a bit to be desired. This was no surprise, as everything that I loved about the book was in the second half. I knew that I would be waiting for all the good stuff with the second and third films. And sure enough, the second film delivers where the first film didn't quite excite as much as I had wanted. While it isn't perfect and does unnecessarily deviate a bit, this is easily better than the first film, giving us a bigger, bolder adventure and a more interesting Bilbo Baggins this time around.Before I get to the good stuff, let me get my complaints out of the way. My biggest complaint are the unnecessary plot threads. There seems to be a big need for this series of films to tie into LotR, and I really don't understand why. A great deal of time is taken in this film to introduce us to things we already know the outcome of. We're, at points, taken away from the dwarfs and Bilbo to follow Gandalf as he goes off on his own adventure to uncover the growing evil of Sauron and his armies. Like the first film, it's completely unnecessary, but unlike that film, it's jarring. We're ripped from a fantastic adventure to a story that we don't really need to know and has no real relation to the dwarfs and their adventure. In fact, any time we're taken out of the company of the dwarfs, it almost feels cheap. The almost romance between Evangeline Lily's elf and the dwarf Kili feels something of the same, the whole lot of these stories coming off as filler in an effort to make time for three movies instead of just two. It feels like a stretch and brings a screeching halt to the momentum of the main story.That said, the rest of the film is an excellent and expertly crafted adaptation. There is a definite sense of character growth, especially from Bilbo, who seems to struggle with the power of the ring and it's greed. We already know where this goes, but it is none the less fascinating considering who he was when we first met him. The dwarfs seem to almost take a back seat here. They are less prominent, with the exception of Thorin and Balin, who take front and center. That isn't to say they aren't entertaining, as they usually are every time they are on screen. Thorin is the real standout though, as he goes through similar changes as Bilbo, which lends them an interesting comparison in their mutual struggles. The actors are all excellent once again in their respective roles, with Freeman once again being the standout. Evangeline Lily is also a pleasant surprise in an original role as an elf created for the film. She adds a much needed feminine touch to an otherwise predominantly male cast. She proves herself to be a fine silver screen presence and hopefully this will net her some further film roles.While the film does an excellent job of not simply being the middle film, something The Two Towers struggled with in the LotR trilogy, it is the action, set pieces, and effects which are the true stars. This may not be a LotR movie, but it's close. We almost immediately start out with a bang and it rarely lets up. Of course, much of what happens early on, as exciting as it may be, pales in comparison to it's explosive and lengthy climax. Smaug is quite possibly the best creation of any of the film, Hobbit or LotR. He is as awesome as you could have hoped for and Benedict Cumberbatch is excellent in the role. While effects have been applied to his voice to give it more boom, he does a fantastic job as the sneering, wise, and boastful dragon. Watching and listening to him face off against Bilbo is a delightful treat, and that is before we get to any fire breathing and chasing. What follows is a lengthy conclusion to the film that will excite and delight all. I have no qualms in saying that Smaug makes the entire film worth the admission of price. But don't go in expecting a solid conclusion. This is, after all, the second of a trilogy, so you can surely expect the film to leave you salivating for the next one.While this new Hobbit film still doesn't reach LotR heights, it is superior to the previous film, especially when it comes to being an enjoyable adventure. It feels like it matters to the trilogy and delivers on being an epic. And I simply can't rave enough about Smaug. If you didn't enjoy the first film, you may find yourself feeling about the same here. But at least this one has a cool dragon.",8.0,Anonymous,"Adventure, Fantasy"
"A Fun Film, Particularly in 3D","The second Hobbit film connects you better to the characters than the first in an entertaining ride with more danger, excitement, and humor. The action is well done, and the 3D adds to it, especially in the ""whitewater rafting"" scene. That part and the whole movie has good editing. In this one, two of the non-King dwarfs' presence is stronger (Balin and Kili). The she-elf warrior Tauriel and what comes with her works, adding some heart to the film.Besides Richard Armitage leading the way as the King under the Mountain with his great chemistry with fellow castmates, there are three actors who give specially noteworthy live-action performances. Lee Pace is one of the true highlights as Thranduil, who is an Elf King that deals with foreboding in a way that is different from Elrond. Ian McKellen's acting is comparable to him in The Lord of the Rings trilogy, as he takes advantage of Gandalf getting his own storyline and heart-pounding action scene. Martin Freeman is good once again as the brave titular character, and actually slightly better.The confrontation with Smaug is very enjoyable. It is a long movie, but the finale is the high point. Benedict Cumberbatch does an excellent job with the arrogant beast's voice, and the dragon looks really cool in 3D. I personally think that they ended it at the perfect place. When they divide a book up, it will inevitably result in a cliffhanger feeling. But, I am satisfied with how they handled it.",8.0,Anonymous,"Adventure, Fantasy"
Excellent!,"In the words of J.R. Tolkien - ""Things that are good to have and days that are good to spend are soon told about, and not much to listen to; while things that are uncomfortable, palpitating and even gruesome, may make a good tale, and take a deal of telling anyway""(The Hobbit, Chapter 3, paragraph 26).""The Desolation of Smaug"" is sure to satisfy those who thought the first installment dragged its feet. From the first frame to the last, the movie is a thrilling achievement of Peter's. The action is none like we've seen in any middle-earth installment. The visual effects are much improved, the pace is seamless, and the danger is ever more present. Yet through it all, Bilbo and the company's journey to reclaim the Lonely Mountain is not forgotten as the driving force of this tale.",10.0,Anonymous,"Adventure, Fantasy"
"The Hobbit The Desolation of Smaug: Alike the first, impressive but not ground breaking","The Lord Of The Rings trilogy blew me away, they were truly outstanding masterpieces that deserved every bit of recognition they got.The Hobbit I delayed due to a laundry list of concerns, all of which are being confirmed now I'm finally getting around to them.They look beautiful, they are a lot of fun, but compared to LOTR they are alike Mythica movies.The whole franchise has become a cash grab, the Hobbit should have been one single movie and without all the excessive alterations. Yes I know LOTR had changes, but not to this devastating extent.Desolation Of Smaug certainly has it's moments, I especially enjoyed the spiders and the not so jolly romp through the cursed forest. Thankfully the film isn't as goofy as the first either which was a welcome relief.Alas it's no better, it still feels lackluster. This is The Hobbit, one of the greatest tales ever put to paper! So why do these movies feel so underwhelming? I enjoyed this I truly did, but not as much as I should have and that right there is the problem.The Good:Forest scene was greatLooks stunningThe Bad:As neat as the barrels scene is it's about as realistic as Tara Reeds boobsSecond movie, second stock screamThings I Learnt From This Movie:Bilbo Baggins has never seen Arachnophobia (1990), don't.....pluck.....the webWalnuts make great pillowsWhatever Cumberbatch was paid it was FAR too much",7.0,Anonymous,"Adventure, Fantasy"
*Awesome film and there are some idea's I would like to address in this review*,"*THIS IS TO HELP PEOPLE UNDERSTAND THE WAY THE HOBBIT WAS MADE TO STOP THIS GREAT FILM'S NEGATIVE OUTLOOK BY MANY*I loved LOTR and equally I love the Hobbit films thus far. I am writing this to help people see the idea and thinking behind the Hobbit films, so people can have more of an appreciation than a negative view. Firstly the thing behind the LOTR was their was three books, three long detailed books, so almost everything required for script writing was already there and could be interpreted into script and into of course, 3 films. On the other hand the Hobbit was written as a children's book, so, if you have read the book you realise things go by at a very fast pace (like really fast). So when Jackson was writing the film he didn't have much to work with, and yes, there are a lot of events in this short book that people are forgetting about, lots of events but only summarised by Tolkien, too summarised for a comprehensive film. People say he needed one film, but when you think about how fast, the film would go by, you would hardly see anything, and you could miss out on some key scenes and characters. So Jackson had to expand the sequences by using information he brought in from Tolkien's other related texts. My next big issue is pacing... seriously, what a stupid argument, where movie ""critics"" have to find something to be critical about. For instance in the first film in the Shire, where people said it took to long, for god's sake, the movie is called 'THE HOBBIT', and Hobbit's live in The Shire, I enjoyed this scene immensely as it provides more than adequate characterisation, which for a quality film is important, it provided us with Bilbo's character flaws and habits, the dwarfs mannerisms, beliefs, ambitions, quirkiness, and importantly, individual character points and differentiation. Also showing us Gandalf and Thorins power of presence and importance. The movie breezes along at a steady pace for a first film of a trilogy, which is expected. Also people say that the LOTR is more important, or interesting, thing about it... one is to save the whole world, the other to kill a dragon and take back a kingdom, so please stop comparing the two films, they have their similarities but also have profound differences, pros and cons. People have been saying he (Peter Jackson and his associates) verged too far from the books but what he did was really quite clever, he allowed us to see more of Middle Earth than ever before, and in an entertaining, clever way. Thank you Sir.So please before you go and say something negative about these great films (which I highly recommend above all other films at this point), just think about what has gone into these films and why and also show a certain appreciation for these magnificent films.And once I again I would like to re-iterate that you go see The Hobbit Desolation of Smaug, filled with awesome characters, mind blowing scenery, fantastic acting and direction for Peter Jackson. This film,is great fun for all ages and I urge you to see it.Thankyou",10.0,Anonymous,"Adventure, Fantasy"
The Desolation of J.R.R. Tolkien's Spirit.,"When The Hobbit: An Unexpected Journey premiered on silver screen as the first in a trilogy of films based on J.R.R. Tolkien's The Hobbit, the response it received was mostly positive to mixed. The majority of criticism was targeted at the needless expansion of a single film story into three features but, in my opinion, it did commence this latest Middle-Earth adventure on the right note and, despite its sluggish pace, ended up providing a largely satisfying experience.The Hobbit: The Desolation of Smaug is the second chapter of The Hobbit film series & picks the story right from where it was left off in An Unexpected Journey. Continuing the adventures of Bilbo Baggins who's accompanying thirteen dwarfs on their quest to reclaim the kingdom of Erebor, the film covers the journey ahead for these fellows which is full of dangers and even if they manage to get away with it & reach the Lonely Mountain safely, they have a stupendous dragon to deal with.One thing I have always admired about this Middle-Earth franchise is the filmmaker's strong intent to keep the story very much within the realms of Tolkien's spirit. But this latest chapter marks a significant departure from such faithfulness & ends up being an immensely frustrating experience. There are a few things The Desolation of Smaug gets right but there are also way too many things that are wrong with it. Let's start with the things it gets right first.Since the previous chapter was criticized for its sluggish pace, the filmmakers have vastly improved the pacing in this middle chapter with addition of many more action sequences to keep the entertainment going throughout its runtime. Production design continues to amaze. Cinematography encapsulates the picture with a darker layer which suits its tone. Visual effects has its share of highs n lows & Howard Shore's score is good but it also stumbles a little for the very first time.Now coming to what's wrong with it... First, it slaughters the book in a manner that's plainly insulting to Tolkien. Second, the absurdly introduced love triangle, overindulgence of Elves & eye-rollingly cheesy dialogues are poor filler substitutes. Third, this film had a great opportunity to further develop its characters but thanks to its rushed pace & more emphasis on over-the-top action over a riveting narration, we still have difficulty in recalling the correct names of all the Dwarfs.And that's not all. Martin Freeman is brilliant as Bilbo Baggins but his character is demoted into a secondary role for the centre stage is taken by Richard Armitage's Thorin. The remaining Dwarfs get only as much screen time as they did in the last chapter. Elves have never been as annoying as they are in this film for Legolas wasn't even needed in this adventure & Tauriel, who doesn't even exist in the novel but was created to bring a feminine energy to the series, is given a stupid love story to work with instead.At last, I would like to talk about Smaug. Exquisitely designed, remarkably portrayed & meticulously detailed, this splendid beast of CGI is a jaw-dropping wonder to look at & the painstaking work that went into bringing this magnificent dragon to life truly deserves a bow. But thanks to its inefficient handling by the filmmakers, the cunning, proud & intelligent dragon of the novel is turned into a foolish creature here which is a shame because Smaug could've been as memorable to this trilogy as Gollum was to The Lord of the Rings.On an overall scale, The Hobbit: The Desolation of Smaug is an emotionally unappealing but visually spectacular sequel which features a much more exciting, fiercely paced & action-packed entertainment that'll satisfy most filmgoers but for the devoted fans of Middle-Earth, it's a heartbreaking disappointment that adds even more insult to injury by abruptly ending at one of the most frustrating cliffhangers in cinema history, thus leaving the experience very much incomplete in the end.",,Anonymous,"Adventure, Fantasy"
