title,content,rating,username,genres
That 'The Imitation Game' was so acclaimed is hardly an enigma at all,"Alan Turing was a fascinating, complex person who deserves to be better known to the world. Likewise his story is important and deserves to be told rather than forgotten. Had high hopes for 'The Imitation Game', after hearing so many good things about it, and it ended up being one of my favourite films of 2014.That 'The Imitation Game' is historically inaccurate and has distortions didn't offend me as much as some reviewers, biographical dramas are notorious for this so it's come to be expected by me (not that that is meant to be an excuse). All that was wanted was a film that made me think, moved me, was well made and well acted. 'The Imitation Game' was all those things and more.It isn't perfect, the political elements are on the preachy side and there are a few strands that could have gone into more detail, Turing's sexuality should have gotten into more depth than it was.However, 'The Imitation Game' is exceptionally well made. It's immaculately photographed and has some of the best production design of its best, especially in the costumes. The direction allows the film to be absorbing, while the music score is often hauntingly beautiful and never intrusive.In terms of the script, 'The Imitation Game' does a wonderful job in provoking thought and providing emotional impact and nuances and fleshes the characters out with remarkable complexity. What could have been potentially dry treatment of the subject matter turned out to be fascinating, thrilling and very moving.Benedict Cumberbatch gives his best performance of a very solid career, an outstanding portrayal that won't be forgotten for years to come. Keira Knightley is a sympathetic confidante and Charles Dance is excellent as always as his superior. The supporting cast are without complaint.Overall, wonderful film and its acclaim is a long way from an enigma. 9/10 Bethany Cox",9.0,Anonymous,"Biography, Drama"
The Turing Test,"Alan Turing, Mathematician, Logician, Wartime Codebreaker and father of Computer Science. A great British Hero. A great hero in the fight against prejudice.This film tackles themes of prejudice against the feminine, against homosexuality and more generally against anyone who is different. How? By simply pointing out, using the example of Alan Turing and his colossal achievements, that it takes someone different to do something amazing.And an amazing story it is, packaged in a beautifully tight screenplay without a wasted scene, that keeps the audience fully engaged throughout. All the cast are on top form, in orbit around a stellar performance by Benedict Cumberbatch that layers humour, complexity, sexuality and the palpable frustration of a brilliant mind not quite able to communicate with his fellow humans.A film that depicts a man who perhaps fails the test he invented, that is now named after him. The Turing Test. Can he fool you that he is a real human being and not a super intelligent machine? The stress of playing that Imitation Game is set into every micro twitch of the central character.Should you go see it? No special effects. No interstellar spaceships. Why not wait for the download?Go see it! Because otherwise you would be missing the chance to see a most remarkable film, performed to perfection. A film about a story that matters, about events that changed history and simply about a man without whom you might not even be able to read this review on your Turing machine.",9.0,Anonymous,"Biography, Drama"
Compelling and Enthralling from start to finish.,"Truly excellent film and definitely Ocsar worthy material for both the film and the actors. The entire cast are amazing.As Cumberbatch says near the start of the film ""are you paying attention"". You should pay attention, Alan Turing deserves your attention, his story deserves to be told.I went to see this at the London Film Festival last week and I am going to be one of the first ones in the cue to see it when it comes out next month. It is an excellently paced and executed script that has you gripped from beginning to end. The whole audience were laughing and applauding and crying in places, including the man next to me who had to borrow a hankie from his wife.The film switches between the drive of the team of code breakers to solve the Enigma code, young Alan Turing and the events after the war that destroyed his life.It is truly heartbreaking in places, and Benedict Cumberbatch's performance as Alan Turing is outstanding. He really deserves an Oscar nomination for his performance.It has been a very, VERY long time since I enjoyed a film so much, that when I came out of the Cinema I wanted to turn right round and go back in and watch it again. A lovely script that had you switching back and forwards between tears and laughter.I know some wanted a more in depth and in detail look at Alan Turing's life and have commented frequently that this does no focus enough on his sexuality or the events after the war.In this case I think less is more, this film highlights the man and the mind. It shows us the genius that was destroyed by a society that was seriously homophobic. It brings to life the man behind the facts and we laugh at his interactions with his fellow code breakers and cheer as he proves his theories and our hearts break as we watch him try to cope after his court case.One of the best films I have seen in a long time. Go and see judge for yourself.",10.0,Anonymous,"Biography, Drama"
Morten Tyldum's espionage thriller about Alan Turing is purely sensational with a performance for the ages by Benedict Cumberbatch...,"It took a little over 24 hours before I weighed in on my official thoughts on Morten Tyldum's The Imitation Game from The Weinstein Company. My initial reaction upon leaving the screening room was it was astonishing, a magnificent achievement that stands tall as one of the year's best movies. As the film continues to settle within my cinematic soul, this very well could be the best film of the year, anchored by a career best performance from the amazing Benedict Cumberbatch.Full disclosure, I'm fairly oblivious to European history and the heroes that had a hand in one of the deadliest wars in history. I've heard the name Alan Turing from high school and college but either didn't care enough to learn or have no recollection of his contributions. Minutes following the screening, Amazon.com got $15.82 from my bank account in order to read ""Alan Turing: The Enigma,"" the book in which screenwriter Graham Moore based the story upon. Telling the story of Alan Turing, a mathematician who in 1939 led a pioneer in cracking one of the most difficult codes in history. His contributions paved the way for essentially the way we exist now. However, Turing, who is a homosexual, has to wrestle with his secret in order to keep his status and his work years later.Masterfully told and encompassing an emotional complexity, Tyldum's film is both engrossing and disturbing. It has genius aspirations in which it wants to exist in the cinematic world. It's an impeccable thriller, taut and brilliant, exploring the horrors of war along with the choices that doom mankind for all eternity. Tyldum is methodical and precise in which he decides to unravel the story, Turing is one of the fallen heroes of our history and his story stands as one of the most tragic. Screenwriter Moore crafts a murky, dark, yet totally enjoyable spy film that stands taller than any James Bond film ever released. It's a sure-fire Oscar contender for several Academy Awards including Best Picture. They should feel so lucky to have the gumption to choose something this methodical and majestic.Benedict Cumberbatch continues to climb the ladder as one of the best actors working today. After impressive performances August: Osage County, 12 Years a Slave, and TV's ""Sherlock,"" this is the role that will make him a bonafide movie star. Oscar-winner or not, this will be looked upon like the greats such as Gene Hackman in The French Connection or any legendary 70's movie that you love today. Cumberbatch hones in on all of Turing's character flaws and good qualities that make him a real person. He constructs him from the toes up, inflicting mannerisms and behaviors that all ring true. He stimulates all the sensual beats that keep us fixated on a performance. I can't help but go back to someone like Joaquin Phoenix in The Master, who delivered a construction of epic proportions. Though based on a real person, the talented Cumberbatch ignites his own masterpiece performance. He follows the demons of Turing down to his bones. Unsure, arrogant, and dismissive to the world around him, Turing shows only what he must, what he chooses, and every once in a while, we get a front seat to his soul. Thank you Cumberbatch.The rest of the cast is completely on their game. It's probably a contender for the SAG Ensemble prize. Academy Award nominee Keira Knightley, as the feisty and fiery Joan Clark, is as loose and comfortable as I've ever seen her. She wears Joan like an old coat from the back of the closet. Remembering it fondly and seeing that it fits just perfect. She has all the things that make up an Oscar nominee; a scene that will likely bring you to tears, plenty of scenes that play as the comic relief in a dark tale, and being simply charming in every part of the film.I don't know when it's going to happen but the world needs to make Matthew Goode a mega-star. In his brief time on-screen, Goode makes his mark, becoming essentially a co-anchor with Knightley of the supporting players, showcasing a reason to give this guy his own leading role sooner rather than later. As our resident sleazy authority figure, Charles Dance shows that he's still got it. Mark Strong and Allen Leech also deliver memorable, fascinating scenes, both getting an opportunity to shine.Technical merits are no shortage of excellence on display. Oscar- winning Editor William Goldenberg (Argo) shows that tension is his second language. Cutting the film to perfection, and forcing your heart into throat, this espionage thriller succeeds for general audiences because of Goldenberg's efforts. It's something that anyone can seek out and get fully immersed into. Alexandre Desplat tacks another impressive composition to his already thick resume. With films like The Grand Budapest Hotel already in his arsenal, I assume this to be another Oscar citation in his future. Shot by the talented Oscar Faura, responsible for painting the canvas that was J.A. Bayona's The Impossible, he utilizes the standard brilliance of capturing a moment. Knows when to pull back and get close. Let's not forget the Production and Costume Design by Maria Djurkovic and Sammy Sheldon Differ. Those two will surely be mentioned for the rest of the film year.The Imitation Game is assertive and makes a serious claim as one of the best spy thrillers ever made. There are sub plots that all resonate and never feel forced. This will not only keep your tension level at a fever pitch but could leave you in tears to walk home with. It's a complete realistic view at the spy game that stands as one of the best films of the year and a performance for the ages from Benedict Cumberbatch. A captivating achievement that I'll likely remember for some time.",10.0,Anonymous,"Biography, Drama"
An Eminently Well-Made Biopic,"Brilliant adaptation of the story of Bletchley Park and the cryptanalysis team, ran by Alan Turing, that cracked the code of the German Enigma Machine during World War II. Featuring an outstanding starring performance from Benedict Cumberbatch as war hero Turning and supporting acts from a brilliant cast including Keira Knightley, Charles Dance and Mark Strong, 'The Imitation Game' is a powerful and eminently well-made biopic that illuminates the facts whilst respecting the story it is based upon. The English-language debut of 'Headhunters' director Morten Tyldum, this British World War II thriller is a highly conventional story about humanity that creates a fascinating character, anchored by a hypnotically complex performance.",,Anonymous,"Biography, Drama"
Hello Best Picture frontrunner. Consider me satisfied.,"There is something appropriately mechanical about The Imitation Game. It has a theatrical rhythm and attention to detail that ticks like a clock. That's not to say that it's necessarily overly dry and hard to connect to, this biopic of the extraordinary and tragic mathematician and inventor of the digital computer, Alan Turing, played by Benedict Cumberbatch, is emotionally engaging and utterly endearing. With a slick exquisite script and an eclectic ensemble strong enough to deliver, it's an accessible film that although may feel familiar, is thoroughly refreshing, bringing laughter, tears and thrills. It will undeniably be a huge contender at the big awards this season, perhaps going all the way.Director Morten Tyldum's film follows Turing's journey to break the Enigma Code, the form in which the Germans communicated during WWII to conduct surprise attacks. He attempts it by building the first computer, a passion project of his that was frequently criticized for devoting so much Government time and money. He deals with a social ineptitude while also accepting his own homosexuality, which lead to unforgivable persecution and depression that caused Turing to take his own life. The film focuses on his life achievements rather than his demise, though it does explore that part of his life, if not illustrate it as much as it could have done.It's easy to root for Turing, even if his arrogance and standoffishness repel the other characters. Benedict Cumberbatch is a real crowd pleaser here. I've only seen him in short supporting roles such as last year's August: Osage County and 12 Years A Slave and I'm certainly quite impressed, if not quite as astounded. There's a very rehearsed quality about his performance, similar to Anne Hathaway's Oscar winning turn in Les Miserables. Every stutter and nuance feels perfectly placed rather than organic. But this isn't necessarily a turn off, it fits the tone of the film. He could go all the way to the Oscar but it depends on buzz and the competition.The highlight of the film is the writing by Graham Moore, adapted from Andrew Hodges novel 'Alan Turing: The Enigma.' It's not groundbreaking, but it has the right ingredients and the perfect recipe. Even if somehow it's the only film's nomination, it's still a frontrunner for the win in Adapted Screenplay. This will be a film known for 'ticking boxes,' but it does it in a way that all films should. It's economical without ever feeling like it's rushing or only scratching the surface. It constantly pummels the characters with adversity, presenting heart-wrenching moral dilemmas, particularly for Keira Knightley's Joan Clarke. It turns something complicated and bleak quite lighthearted, especially with the casual approach to war outside of moments of justified despair.Knightley will certainly get awards attention for her fine supporting role as Turing's counterpart. Her role may not be as meaty, lacking the highs and lows Cumberbatch has, but she makes the most of her relative sparing use, becoming the heart of the film. Thanks to her, their relationship is completely believable, given that Turing is a man who struggles with connecting to people, and the way she manages the choices her character is set upon is dealt with deft conviction. Charles Dance, Mark Strong and especially Matthew Goode are commanding side presences who bolster the film's charm. The titular 'imitation game' is essentially the Replicant test from Blade Runner, something Turing has practiced on himself. However, all the characters are human here, if with a confidence you only find in the movies.Instead of a linear structure, the film chooses flashbacks to flesh out the full story of Turing. It does seem a little extraneous to go back to school with him, but fortunately the focus of their objectives and the performances of the young actors make them worthwhile, as well as showing the origin of something that changed the world as we know it. The scale is further expanded with newsreel footage and scenes of the world at war, even if the special effects are relatively primitive compared to what can be achieved these days though that doesn't hold the film back as such. It's very easy to get suckered into films that convince you that you're watching one man change the world and The Imitation Game achieves that effortlessly.Although it's dense in character and plot, The Imitation Game flashes more on the surface than it has to offer beneath. Kinetic energy in the editing brings an instant gratification, especially in the edge of your seat sequences. There are liberties with the tone for such a somber event and protagonist that most likely doesn't reflect the honest emotions involved, but obviously it's easier to digest for audience. I was unsure at first, but then it had me under its spell. This also may be Alexandre Desplat's best bet at finally winning an Oscar. It adds to that whimsical cinematic tone, almost reminiscent on his work on Harry Potter sans the magic. It will certainly be warmly embraced in the mainstream. The film is poignant, but not powerful. Entertaining, but not enlightening.I'm content calling this the Best Picture frontrunner until further notice. The film feels like a combination of Argo, with the secrets and the camaraderie of the unit, and The King's Speech, with its Britishness and charming partnerships. It depends whether the Academy fall for the ambition of Christopher Nolan's Interstellar or the Chariots of Fire + The Bridge on the River Kwai formula of Angelina Jolie's Unbroken. Either way, The Imitation Game will belong amongst the most deserving winners, but the test of time remains to be seen. It's not like it'll be alone in that group. Nevertheless, with Queen Elizabeth II's pardon for Turing last year, there's never been a better time to educate the masses on his legacy that we use everyday.8/10edit: guess it isn't. Oh well. Boyhood and Birdman are better anyway.",8.0,Anonymous,"Biography, Drama"
An instant classic,"A movie which oozes Britishness from every frame, The Imitation Game is an instant classic. Wartime Britain is depicted vividly, if a little caricatured, with an autumnal palette and a jaunty air.A true story, sympathetically told, with good performances all round and a stand-out Turing from the indefatigable Mr Cumberbatch. The young Turing is also extremely well realised by Alex Lawther.Meandering through Alan Turing's life since school until shortly before his death, the script demands your attention and regularly makes you smile.Highly recommended.",9.0,Anonymous,"Biography, Drama"
"Well-made, but enragingly inaccurate","Let me start this review off by saying that the movie is mostly good. Cumberbatch has been able to show his acting skills and Knightley is great in her supporting role. The historical inaccuracies, however, are unforgivable.It is completely understandable that a movie based on a true story has to, in part, fictionalise some events, in order to be more exciting or moving. But what the filmmakers failed to understand, in this case, is just how extraordinary Turing's life was. Does one really need to distort the life of the man who created modern computer science as we know it and who was one of the most impactful people in the second world war?This movie is filled with inaccuracies from beginning to end. For example, Joan Clark wasn't hired with a crossword on a newspaper, the machine was never called ""Christopher"", Turing never hid his sexual orientation and there never was any reciprocal love with his friend Christopher Morcom. Many others can be found on the IMDb page. Most of these mistakes are relatively minor by themselves, but the sheer number of them feels manipulative in the extreme.The most blatant one, however, is the depiction of Turing as lacking social skills. In fact, most people who had the opportunity of working with him regarded him as a sociable man with a good sense of humour. Why did they have to portray him according to the typical Hollywoodian cliché of the mathematician? If, for any reason, a filmmaker believes that a socially inept protagonist is more compelling, then they should tell a fictional story, instead of abusing an actual lived experience to push a stereotypical image.I will give ""The Imitation Game"" credit for telling an important story and, if you want to see a well-crafted drama set during the second world war, watch this movie, by all means. But if you'd like to discover more about Turing's life, please just read more about him. To think that Turing's impact hasn't been recognised for decades and what made him known to a wide audience is a woefully inaccurate movie is saddening. Sorry Alan, you deserved better.",6.0,Anonymous,"Biography, Drama"
The best British movie I've saw in a long time!,"I went to see this movie at a screening. I have to admit, I went into this movie not knowing anything about Alan Turing and Enigma, but I love movies based on true events; especially those about the history of our country.Despite not knowing anything about Mr. Turing or the events of his life, as soon as I left the movie theater, I went home and looked him up and spent the next few hours learning of his life, everything he did for this country and the invention of what we now call 'the computer'.I want to start by saying that Benedict Cumberbatch in this movie is outstanding. He plays Alan Turing perfectly; his accent, his movements and just the way he plays the character on screen is beautiful. I can honestly say that this is the performance of his career!The movie focuses on different aspects of his life: it shows him and his team trying to break Enigma, it shows Young Turing during his time at boarding school, and the events after the war.There's a quote at the beginning of the movie: ""are you paying attention?"". Throughout the movie, that's what I did. It's all that I could do because the story and the acting kept my eyes glued to the screen and I couldn't take them away. It's emotional, it's exciting and it is truly heartbreaking in some moments. It was a very comedic movie, too. There were some scenes that had me in fits of laughter and that's what makes it a beautiful script; despite the movie being based on the darkest days of World War 2, they added comedy into it which brought the movie alive.I remember getting home and after researching Alan's life, I wanted to go back to the cinema and watch the movie again. It's rarely that happens to me but when this comes out in November, I will be straight to the cinema and purchasing a ticket to watch it.I've heard reviewers mentioning that this film doesn't focus enough on Turing's homosexuality. Now, be that as it may, it focus' enough on the subject. Remember: this movie is about his mind, about the man himself. He was a genius!This is the best British movie that I've saw in a long time, and it's probably one of the best movies that I've ever had the pleasure of watching, period.I would recommend going to watch this movie when it comes out because it will take you into the world of Mr. Turing and the struggles and successes he made in his short life.",10.0,Anonymous,"Biography, Drama"
Fine acting but an highly inaccurate story,"The story of the breaking of the German ciphers during WWII is a significant one, deserving of an accurate telling. The story of Alan Turing, a key member of the team that developed the methods and machines that broke those ciphers is an important one, also deserving of an accurate telling.""The Imitation Game"" is neither of these films. The story told by this film is watchable, Cumberbatch renders Turing sympathetically and, somewhat to my surprise, Knightley takes the thinly written role of Joan Clarke and turns it into something with a fair bit of heft. However, this film's story takes such liberties with the facts that it really cannot be recommended. This is *not* how the German ciphers were broken and it is not even a reasonable depiction of Turing's life, particularly so when it comes to the atrocious way he was treated after the war.You will not find Harold Keen or Gordon Welchman in this film, the writers preferring to insinuate that Turing was wholly responsible for the design and building of the bombe machines (except that Hugh Alexander is credited with the idea for improving their working that was actually Welchman's). However, you will find a Soviet spy in Turing's hut when in fact he did not work there. I could go on and list other inaccuracies.If you are unaware of the stories of Enigma and Turing, you may find this a quite interesting film to watch. If you are aware of these stories I think you may find it difficult to swallow the gross misrepresentations of both.I consider that filmmakers, when depicting real people or events, have a responsibility to tell the truth and not distort things simply for dramatic effect. When this responsibility is ignored the filmmakers have decided to, in effect, spread lies in the name of entertainment. ""The Imitation Game"" may be entertaining but it makes this dismal mistake and cannot be recommended.",6.0,Anonymous,"Biography, Drama"
