title,content,rating,username,genres
"What more animated movie should be: a thoughtful, funny, touching story.","After seeing this movie, I was overcome by a strange feeling. I realized that I had found a treasure where I had least expected it. The Iron Giant is intelligent, funny, touching, and visually superb, and should show the world that an animated movie does not need to be A) computer-animated, or B) based on a fairy tale to be successful. One of the best American-made children's movies I have seen in a decade:8.5/10.0Now, I'm a 17-year-old who is slowly transitioning into the domain of movie buffdom, which basically means that I am watching a stream of movies based on recommendations from friends, critics, and the IMDb Top 250 list. I got this one almost by accident after the local rental place could not find the movie I was really after, choosing it basically on the knowledge that it was the previous project of Brad Bird, director of The Incredibles (a personal favorite). After watching it, I felt like calling up every mother I knew and telling her to have her children (and herself) watch this.The Iron Giant revolves around an adventurous young boy in 1950s small-town America who discovers a gigantic robot out in the woods that has arrived on Earth from goodness-knows-where. He befriends the robot, while trying to keep him safe from a nosy government agent. The story seldom lags, with a series of comical adventures connected by the boy's growing relationship with his friend.This movie is very appealing as entertainment. The voices are well-done, and the scenery is also terrific. Most importantly, though, is the animation, which is a bright spot from this time period. The characters are well-drawn, especially the Giant, who through terrific design, lifelike movements, and clever small touches (i.e., the eyes) seems both alien and human, imposing and childlike. Furthermore, the animation is comical. I don't know when I have ever seen slapstick or punchlines so well-complimented by the animation. The script, written by Bird and based off the book The Iron Man, is also very well done. Though the movie relies upon a few minor crutches common to children's movies, it is still very original and clever.One thing that I must point out about this movie is its morals. Throughout the movie, the main moral of the story, about the Iron Giant learning and choosing to be good, is actually fairly adroitly handled. At no point when the subject comes up, including standard sentimental climax, does the idea seem contrived. Throughout the movie, evidence of Bird's influence by comic books is quite evident, and his ultimate message about heroes (variations of which will resurface in The Incredibles) is relevant and sincere. However, I do have to say that the secondary moral, about the evils of xenophobia and paranoia, both of which are embodied by the movie's antagonist, the government agent and the military, are very politically charged. While this may sound initially controversial and politically charged for a kids' movie (the second of which I do not deny), I noticed that it was in large part a thoughtful spoof of Cold War America, with jokes as well as valuable lessons about ""duck and cover"" and 1950s nuclear edginess that I found very clever.On a final note, I do have to point out that this movie had me laughing hard, but more importantly, it brought me closer to tears than any animated movie I can remember (including Bambi), closer than I like to admit. I wish that I had discovered it sooner, and I hope that everyone gets the chance to experience it the way I did.",9.0,Anonymous,Animation
Great movie,"I have only just recently rewatched this classic and it is as good today as the first day I saw it.I love the setting of this, back in the 50's during the height of cold war tension and fear of alien invasion.This movie has a great balance, just enough character development, enough action scenes and enough tension to keep you glued for the hour and a half play time.It is aimed at kids for sure but adults would enjoy watching this one just as much.The characters are all endearing that you really get attached to them. The bad guy is less evil and more of an authoritarian trying to do their job regardless of emotions involved. It makes for a fun movie for all ages.",9.0,Anonymous,Animation
Much More Than a Cartoon,"Sometimes when watching an animated feature, I spend my time saying, ""What great animation."" When this happens, I wonder if I am doing what the producers wanted me to do. Like so many things, should I be so enamored with the technical part of the movie that I am distracted from the content. As I watched ""The Iron Giant"" I realized I had forgotten it was an animated feature. Don't get me wrong. I knew the enormous title character was animated, but the relationships among the characters and the intelligence of the script caused me to forget that these weren't actors. The movie is filled with tender moments, especially as they relate to our feelings of our own mortality. What I enjoyed is that the grownups aren't treated as garden variety bad guys. Even the military, which is nearly always portrayed as evil, finds itself in a contradictory position--having to go on faith. The animation is wonderful, but so are the ""performances."" No spoilers here, but I think the ending is a lovely tribute to the spirit of the life force in all of us--even those of us not made of metal. See this. It is one of the better movies of the year.",8.0,Anonymous,Animation
"a masterpiece, plain and simple","I'm 25 years old.  I have no children.  So why am I praising a 'kid's movie' which nobody saw?  Because I have never seen a film pack the emotional wallop 'The Iron Giant' provided.The film's plot is similar to 'E.T.' - a young boy meets an alien robot from outer space, who is stranded on earth, and runs afoul of paranoid government agents.  Not to knock the Spielberg film, but what makes 'The Iron Giant' the better film is that the young boy is the teacher.  It is he who has to teach the Giant about the beauty of life, the difference between good and evil, and choices we have to make.  The Iron Giant, it turns out, is a weapon, who has to struggle against his own nature.  The film has an obvious (and timely) gun control message, but its real message is about the choice we make when dealing with other people.  We can use our powers for good or lash out at everyone around us.I dare not give away the climax.  All I will say is that it features a sacrifice absolutely breaktaking and emotionally shattering (albeit somewhat blunted by the ending).  The animation is gorgeous, Michael Kamen's score is perfect, and the film beautifully evokes the 1950s.Sadly, poor marketing kept audiences away in droves.  All I can say is, to heck with the box office gross.  Despite Warner's appearant desire to pretend the film never existed, the word is getting around about what a magical film this is, and I have no doubt it will join 'It's a Wonderful Life' as a film which bombed in theatres but became a classic over the years.  See it now, so you can say you discovered it before everyone else did.",10.0,Anonymous,Animation
A delightful surprise,"""The Iron Giant"" is the kind of animated film you wish there was more of. It respects the audience's intelligence, it has genuine emotion without resorting to schmaltz, and best of all it balances fantasy (well, science fiction) with believability.  I think Warner Brothers animation has out-Disneyed Disney by adding thoughtful writing to clean, understated animation.  What a concept!The story is deceptively simple: Iron Giant falls from the sky at the dawn of the Space Race and befriends a young boy.  But within that framework we get a double story, one for the grown ups and one for the kids, but the message is essentially the same one: paranoia and violence begets violence. I appreciate very much, as others who have commented, that no one burst into incongruous song and that there were no cutesy animal sidekicks.  I should add that there were no clever yet implausible plot twists, nor were there any stock characters.  The bad guy gets a little overheated, true, but he is never the embodiment of all things evil.  The townspeople are your average small town Americans, not bumpkins.  Mom is, well, mom-ish, caring but neither shrewish nor prone to whimpering outbursts.  And our hero is plucky but not annoyingly precocious.A BIG plus for this film is how well it weds the computer animation to the hand-drawn animation, a feat that the Big Mouse hasn't mastered yet.  Even as recently as ""Tarzan"" it is glaringly apparent what parts are computer graphics and which aren't, and the contrast is very distracting. ""The Iron Giant"" makes a virtue of streamlined animation that draws your eye to the beauty of its color and motion.It was a very VERY distinct and unusual pleasure to be treated to a film such as this.  Give us more . . . please!",,Anonymous,Animation
The Best of Two Worlds: Adult and Kid,"All too often, ""family films"" are only infantile, simplistic formulas with a few self-referential and pop-culture jokes thrown in to try and keep adults awake.  But then along comes  something like ""The Iron Giant"", which is sophisticated enough to demand respect while maintaining a mythic and pure-hearted tone that actually does appeal to the kid in everybody.""The Iron Giant"" is refreshingly non-Disney in no end of ways.  Characters seem real and chosen to fit the story, instead of being a superficial reshuffling of an old formula.  The animation definitely has its eye-popping moments, but there are also scenes of great wonderment, pathos, and humour that only top-drawer animation can convey.  The Giant itself is a great character, who only becomes MORE interesting as the film continues (another huge break from Disney).  No scene is wasted in this film, either; every set piece, even the really funny ones, helps either to establish the ""world"" of the movie, or to advance the plot.  At no time do you feel that you are merely waiting for the story to crank up again.""The Iron Giant"" is funny, exhilarating, and touching as well.  It's sad to see it failing at the box office, as a blunt reminder that the success of films is often in direct proportion to their publicity budget.  Hopefully, though, word-of-mouth will come to its rescue.  Go see it!  Tell your friends!  Then go again!  (Repeat as necessary.)P.S.  I find myself comparing the Iron Giant character to Martin Donovan's character in ""Amateur"".  If there is anyone else on earth who has seen both films you may wish to entertain the notion yourself.",10.0,Anonymous,Animation
YES!!!!! NO SONG OR DANCE NUMBERS!!!!!!,"What a GREAT movie! Not just for kids, but adults as well. Kids will love it on one level, and adults will love it on another level. Even adults who are not parents will love it!There's humor, there's action, there's nostalgia, there's the perfect capture of being a child, there are positive messages (be yourself, don't kill, etc.), there's satire, there are adults who are not stupid and not comic relief....there's GREAT WRITING!AND NO SONG AND DANCE NUMBERS! Also, there are NO COMIC-RELIEF ANIMAL SIDEKICKS! Take that, Disney!I know some people might be resisting this movie, because it looks like it's aimed for kids - and they might be expecting a Disney clone (and we all know the bad results of Disney wannabes).....but TRUST ME. Give this movie a chance - you'll love it!Is there ANYTHING wrong with it? Well, the only thing that bugged me (just a little) were some close-ups of the characters - these certain close-ups had a ""sketchy"" look a la the movies ""We're Back!"" and ""Balto"".Fortunately, there's very little of this. Other than that - this is a PERFECT MOVIE!",10.0,Anonymous,Animation
An Absolute Wonder Which Cherishes Its Influences - The Best Animated Feature Ever !,"Animated movies have long been considered strictly for children.  The old Disney classics that started it all are indeed aimed at kids, but are still very watchable, even for adults.  With the advent of TOY STORY and its countless mimics,  animated feature films have taken long strides to be considered worthy of serious attention.  THE IRON GIANT is just such an animated piece.  The 87 minute wonder is, to put it mildly, incredible. Everything about it is good.  I've also never seen so many influences and references in an animated film before.This is a movie with a heart the size of the title character.  A gentle, gigantic robot is rocketed to earth and befriends a 10 year old boy.  The kid has a single mother (voiced nicely by Jennifer Aniston) and he is just looking for a friend, whether it be a squirrel, or even a 50 foot tall machine.  The familiar premise is obviously out of Spielberg's E.T.  One scene even has the giant reaching out his finger to the boy in much the same way ET did to 10 year old Elliott when he departed this earth.  E.T. was an out of this world fantasy that took place on this earth.  Here, it is animated and almost just as effective.IRON GIANT takes place during 1957 in a small town in Maine.  The 1950's was a time when the American public was fearful of atomic bombs and the possibility of alien life off the earth.  Live-action sci-fi films of the 1950's always depicted the arrival of ""dangerous"" alien life and our efforts to destroy it.  THE DAY THE EARTH STOOD STILL is an influence on this film for evident reasons.  Ultimately, the characters in that classic learn from the extra-terrestrial being and realize the dangers of the A-Bomb.  It is amazing to see an animated feature which can relay this same type of message some 50 years later.A beautiful and touching ode to BAMBI is witnessed about halfway through. It also brings back some tearful moments from the key scene in that great, hand-drawn film.  Here, we see both hand-drawn imagery coupled with a computer-generated ""iron giant"".  The title character is actually a 3D composition done digitally, mixed with the 2D action surrounding him.  There are some highly imaginative shots of the robot mixing in with the film's environment.  At one point, he appears to be a lighthouse until the lights begin to blink.  I guess robots must blink too.Enough analysis.  I loved this movie.  It is ranked #81 on the top list by other user authors for a reason.  Not only is it escapist, fantastic entertainment for kids, adults, and seniors alike, it is an animated picture like no other.  It combines the joy of SNOW WHITE and PINOCCHIO, the commentary of 1950's science fiction, and the wizardry and laughter of TOY STORY and its sequel.  Do not miss this enchanting flick.RATING: ****",10.0,Anonymous,Animation
Outstanding on all levels!,"The Iron Giant was a beautiful, funny and touching movie, that is one of the best non-Disney animated movies I have seen along with The Prince of Egypt, The Secret of NIMH, Watership Down and Castle of Cagliostro. There wasn't a single thing I hated about the movie, for me it was outstanding on every level. The animation was absolutely gorgeous, with stunning colourful backgrounds and brilliant character animation especially on the Iron Giant himself. The music by Michael Kamen was consistently excellent, and never overpowered the story. In fact at times it even enhanced the drama. And the film has a beautiful message not to mention a sweet story. The characters were delightful, Hogarth isn't annoying at all and the Iron Giant isn't scary in the slightest. Strictly speaking he has to be one of the most gentle and poignant characters in an animated film. There are plenty of effective scenes like the explosive climax and the scene with the dead deer is a real tear jerker. I will admit I was worried initially when I saw the voice cast, but everybody involved did a superb job. Jennifer Aniston and Harry Connick Jnr were perfect, in their most understated performances. Both get stick about being untalented, but for me their vocal contributions in this film suggests otherwise, while Christopher MacDonald almost steals the film as the FBI agent. Eli Marienthal is very sweet and likable as Hogarth too, and watch out for John Mahoney and Cloris Leachman. All in all, an outstanding film, that if you mind me saying so is the best animated film of 1999 and one of the best films of that year too. I may be wrong but I do think it is highly underrated on IMDb. 10/10 Bethany Cox",10.0,Anonymous,Animation
Stunning and magical,"I had heard many great things about the iron giant in the last few years but was one of those films I never got round to seeing. I picked up a copy of the special edition DVD expecting an entertaining animated film. What I actually got was not just one of the best animated films I have seen but one of the best films ever. It takes you to another world but never strays from reality and when watching it you forget it's animated. The characters are so well written it puts most live action films to shame. If you pass this off as a kids film you will be missing out on one of the most immersing and emotional experiences you can get from a film. The voice cast are perfect, the animation stunning and the fact this film flopped when released is nothing short of criminal. I urge anyone even with only a passing interest in cinema to watch this film and prepare to be amazed. Brad Bird must be one of the best directors working in animation and after seeing the incredibles the iron giant was no fluke.",10.0,Anonymous,Animation
