title,content,rating,username,genres
Slick and lots of fun,"Charlie Croker (Mark Wahlberg) assembles a crack team to pull off one last job; a daring heist of a safe which contains $35 million dollars worth of gold bars. However, shortly after the heist has been completed, one of the team turns against the others and escapes with the gold and leaves the remaining members of the team for dead. Following this betrayal, Charlie and his crack team which includes computer genius Lyle (Seth Green), explosives expert Left Ear (Mos Def), and getaway driver Handsome Rob (Jason Statham) set to work in recovering the gold back from the 'rat' in the group with the assistance of safe cracker Stella Bridger (Charlize Theron).I saw the 1969 version of The Italian Job some time ago and remember finding it reasonably enjoyable (although I recall it having a rather bizarre ending). However, I have to admit to possibly enjoying this remake/reboot slightly more....I think the biggest strength of this film lies with the characters and their dialogues; as we're introduced to each character we're given a little bit of background information on each character in order to explain away their relevant 'expertise' but it's done in a way that was both funny and clever. I quite liked the way that each character was set-up in this way. I also felt a great sense of camaraderie between the cast; the whole production was done in a very slick and tongue in cheek manner; I thought the scenes between Green and Statham were the funniest and strongest scenes, but the rest of the cast were all great as well.Another big strength with this film is that it's just so much fun; some heists films have a tendency to become over-plotted and throw in twist after twist. However, with the Italian Job we're just given a straight-forward plot, but yet it's still entertaining enough to keep you interested.The chase sequences are fun, the direction, editing and basically all technical areas are also excellent resulting in a film that's not only fun, but it's also quite a good looking film too.Perhaps having low expectations helped here - I thought the original was a good film rather than a great one so I wasn't expecting much here, but the plot moved along almost as fast as the Minis, the script and the camaraderie between the cast were also top notch and above all else it was fun. Definitely worth watching (especially if you were a fan of the original).",7.0,Anonymous,Crime
"Maybe not the most original movie, but a very good one in the genre of the heist / action flicks","A few years ago I saw this remake of the sixties classic with the Mini Coopers for the first time and I remember liking it a lot. Now, about two years later it was shown on television and I just wanted to know whether I would still like it as much as when I saw it in the cinema. Well, the answer is yes.The movie is about a team of robbers that will do one final job in Venice, Italy. The plan is flawless and the execution perfect. They escape and won't have to work for the rest of their lives. But there is one problem they didn't take into account: Someone within their own ranks doesn't like to split the loot, but wants to keep it all for himself, even when that means he will have to kill the rest of the crew. But all but one survive and they are out for revenge. One year later, in Los Angeles this time, the surviving team members create a smart and devious plan to steal back the gold and get their revenge on the traitor...The story on itself is of course not very original, since this is a remake of the original 1969 movie, but it has plenty of goodies to offer to make you forget about that. This is a typical heist / action movie but it certainly is one of the better ones in its kind. The action is very nice, the landscapes and Venice are real eye-candy, the story is OK and the special effects are stunning. Even the acting is very good, something which you'll not often see in an action movie. I must admit that I really liked what I saw and I give this movie a well deserved 7.5/10.",8.0,Anonymous,Crime
Highly entertaining,If you are looking for a film that is quick witted and won't bore you then this is the place.  It is fast paced and funny with some decent acting comeing from the characters.  It is always hard for me to see Mark Walhberg as anything except Marky Mark.  That image is burned in my mind forever.  As an actor though he is pretty good.  This movie is a must see for action fans who like to see a few little twists and turns.  I will have to pick this movie up one day and buy it.,7.0,Anonymous,Crime
"Forget the Coopers, I want a Charlize","Greetings again from the darkness.  Today's giant movie screens and earth rumbling sound systems make action films an exhilarating experience.  Throw in a nice story and some eye candy and it is truly a blast.  OK the story is just a reshaping of the original with Michael Caine, but the added humor - mostly supplied by Seth Green (""Austin Powers"" and ""Knockaround Guys"") and the super cool guys - Jason Statham, Marky Mark and veteran Donald Sutherland add a punch to this one.  Who am I kidding?  The big difference here is the eye candy!  The mini-Coopers and Charlize Theron add a touch of Bond.  Whether the stunner is driving the fun cars or cracking a safe in her hotel room, she is captivating.  The films weak link is the usually dependable Edward Norton who seems to be sleep walking through his role. Maybe he has reached the point where he feels he deserves more screen time. His role is important, but his lackluster performance doesn't ruin the film at all.  Would have enjoyed seeing what a meatier performance could have added to the film, though.  Anyway, enjoy the ride and the view!",7.0,Anonymous,Crime
"Slick, amusing caper film; Gray's best movie featuring  Davis' best soundtrack","My reaction to this remake of ""The Italian Job"" is probably hopelessly mixed up with the events occurring in my life when I saw it; This is the first movie I saw after I had just landed a job after 8 months of unemployment and going back to school for retraining. Money was still tight, but I no longer had to choose between seeing a movie in the theaters and paying bills (or eating lunch), and the sense of relief and gratitude I was feeling at the time was enormous. In consequence, my enjoyment of ""Italian Job"" was probably far out of proportion to its actual worth.Still, I picked it up used on DVD a few weeks ago and watched it again, and I still enjoyed it immensely. I have never seen the original (though I have heard it is an absolute classic), but its modern day counterpart is eminently watchable if you have a taste for modern day production values applied to older films plots and themes.What initially won me over to this movie was the soundtrack - IMO Don Davis writes some of the most supple, textured and aurally pleasing soundtracks around. IJ opens with a sly, witty, pulsing arrangement that combines strings, guitar harmonics, brush work and quiet moments - it won me over completely from the opening seconds. And the whole movie is like this - I haven't heard this kind of ringing, chiming, pulsing soundtrack music since Stewart Copeland left the Police and started doing soundtracks for movies like ""Rumble Fish"". There are at least a dozen irresistibly scored motifs in here, along with some pop song remakes that range from ""all right"" to ""inspired"". For people to whom the soundtrack is important, this movie is a delight.On to the movie: I can take or leave Mark Wahlberg, but he's okay here as the leading man, and the movie doesn't ask him to do anything he can't do well. He's the weakest ""major"" actor in the film, but that's because the rest of supporting cast is so strong, especially Donald Sutherland in a bit part. Mos Def, Jason Steadham, Ed Norton, Seth Green and Charlize Theron all turn in solid, fat-free performances. Norton seems to mostly be phoning it in (rumor has it that he didn't really want to be in the film), but he's still a natural even at 1/2 power. My one quibble with the casting and acting is with the character ""Wrench"", who seems to be a male model pretending to be an actor. His part seems to be shoehorned into the movie, and he has little chemistry with the rest of the cast (although you can blame some of that on the size of the part and the ""late walk on"" nature of the character). If I were a cynical sort,I would wonder who the actor slept with to get put into this movie in such a supernumerary role? Nah, never happen...Production values, camera work, stunts, plot...everything cooks along quite nicely and Gray and his production crew pull things together pretty seamlessly (with the exception of the ""Wrench"" character, see above).The dialog has a nice, light touch that rewards your indulgence, and there are several satisfying major and minor plot payoffs along the way. (My favorite moment - when Norton's character tells Wahlberg's character that he's just lost the element of surprise. Wahlberg proceeds to cold cock Norton with a right cross, and then asks him, ""Were you surprised??"" Hmmm, maybe you had to be there...)Of course the movie requires a certain level of ""suspension of disbelief"" to work, but if you just relax and go along with it (and don't think too hard about the mechanics of cracking a safe underwater, or the likelihood of anyone being able to successfully hack and manipulate LA traffic via a laptop, etc), you'll have a fun ride.""The Italian Job"": it's lightweight summer fluff, but it's very good for what it is, and it doesn't try to be anything else. It isn't good enough for an ""8"" but I'd give it a ""7.5"".",7.0,Anonymous,Crime
"Great, fun, caper flick","The Italian Job is a real blast to watch. It's a genuinely entertaining film, something you watch just for the sheer enjoyment of it. It's not heavy with drama or emotional hand-wringing, it has no cosmic statements about life, and it's not violent or profane. It's just a fun movie. Between watching the little Mini Coopers fly around the crowded streets of L.A. and the great bits by stereotypical computer geek-turned-crook (played gleefully by Seth Greene), I had a lot of fun watching this film.Special kudos to the background music. They truly set a masterful tone for such a movie, so subtle yet keeps you on the edge when needed. Apparently a lot of artists contributed to the music, I found it to be the classiest part of the film.8 out of 10. Not awe-inspiring but a great film to watch at the end of a lousy day at the office.Barky",8.0,Anonymous,Crime
The Italian Job,"Aside from carrying through the ""Bridger"" name (and he had nothing to do with the robbery either, being incarcerated during Her Majesty's pleasure), this has nothing at all to do with the 1969 film of the same name. This is just an excuse to assemble a decent cast, and have some fun. To that end, it works OK. A gang of clever thieves plan end execute a daring heist to steal a great deal of gold from an house in Italy. On their way out of the country, though, they are betrayed and left for dead in an icy reservoir. Spin on a year, and our gang - minus their leader Donald Sutherland (""Bridger"") have tracked down the traitor, and are determined to get their loot back. It's quite a charismatic effort this - Jason Statham as ""Handsome Rob""; Seth Green as they nerdy ""Lyle"" and Yasiin Bey ""Left Ear"" work with well the daughter of their murdered comrade ""Stella"" (Charlize Theron) to mastermind and execute this audacious theft. Sadly, though - Mark Wahlberg is pretty charm free, as is Edward Norton and the film takes far too long to build up anything like enough pace to get it interesting. The last twenty minutes are quite exciting, but for my money it was all too little too late. Good looking production, though - pity even the minis could not spice it up.",6.0,Anonymous,Crime
FAST PACED EXCITING MOVIE,"I went to see THE ITALIAN JOB with mixed reviews in my head.  I was pleasantly surprised with an entertaining close to 2 hours.  I thought the cast was just great and so were the special effects, with the safe and truck just dropping out of sight.  If you like fast paced action movies, this is the one to see.",8.0,Anonymous,Crime
Ocean's Five.,"John Bridger's gang of thieves are double crossed and left for dead after a daring gold raid in Venice. The surviving members regroup and convene in L.A. to enact revenge and recapture their gold ... the job is on!This could have been a complete disaster, I'm British and the wave of revulsion that boomed in my homeland upon hearing of this remake was explosive; ""how dare they remake a British institution"" was the cry. Things were not helped in the run up to the film's release by main star (and draw card) Edward Norton, proclaiming that the film was a contractual obligation and that fans of his work would be better advised to give The Italian Job a miss...Had to be a stinker then surely? Actually no it isn't. Director F. Gary Gray hasn't remade the ""Italian Job"" of 1969, in fact he hasn't even re-imaged it, the minis are in there, the gold is in there, but all the stand out moments so beloved by many in the 69 film of the same name are not to be seen at all. So what we get is a very cool heist-come revenge movie, that's maybe a tad too glossy at times, but it has got a pretty sharp script, tight action sequences and a group of actors working very well as a team. Mark Wahlberg, Mos Def, Jason Statham, Seth Green and the delectably delicious Charlize Theron all come out smelling of roses, whilst Edward Norton really had no cause for concern because his portrayal as Steve is a smarmy delight.I have jokingly titled this film ""Ocean's 5"", but that is in no way detrimental to ""The Italian Job"", it lacks the jazzy coolness of ""Soderbergh's Ocean's 11"", but it's a fun and enjoyable picture all in its own right, thus the rating of just under 7 IMDb is actually spot on. 7/10",7.0,Anonymous,Crime
non-stop action film,"I enjoyed the movie very much. Everything in The Italian Job is simple. An explosive guy, a safe-cracker, a computer genius, a wheel-man and a man with a spectacular plan of stealing 35 million without using a gun. This film is entertaining although it has no central idea. It is a non-stop movie with lots of actions. All the stunt work is gorgeous. From the speedboat chase in Venice at the beginning to the chase on the busy roads in Los Angeles involving three mini coopers and even a helicopter. The best boast chase I have ever seen. I like the mini coopers. The expert thieves used mini coopers for the getaway cars. The chase between the mini coopers and the motor-bikes is amazing. They chased underground. I can say there was not a moment I was bored. Mark Wahlberg (Charlie Croker), Charlize Theron (Stella Bridger), Donald Sutherland (John Bridger), Jason Statham (Handsome Rob), Seth Green (Lyle), Mos Def (Left Ear) and Edwin Norton (Steve) really did a good job. I like the actors in this film. I have seen a lot of heist movie but The Italian Job& is one of my favourites. A great Hollywood action movie without a drop of blood. After all, I do love this kind of movie.",9.0,Anonymous,Crime
