title,content,rating,username,genres
"Thrilling story about loyalty , friendship and political intrigue during the horrible war in Cambodia","Thoughtful and thought-provoking war-drama based on the memoirs of N.Y. Times correspondent named Sidney (Sam Waterston) and his relationship to journalist assistant and guide named Pran (Haing S Ngor ) . Extraordinary feature debut for Ngor who won Best Supporting Actor Academy Award . Haing S. Ngor a real-life doctor who had never acted before and who lived through the deeds depicted at the movie , he became the first Southeast Asian , and the first Buddhist , to win an Oscar ; furthermore also first film for John Malkovich who gives an awesome portrayal as an intrepid photographer . Ngor's own experiences (in real life he lived Cambodian war ) echoed those of his character and usually played Vietnam roles (Tortures of war, Heaven and Earth , In love and war , Vietnam Texas , Eastern condor) until his violent death by an Asian band . This exciting story depicts the war chaos , Cambodian turmoil and primal bloodletting , but most of the movie is a shattering re-creation of hell on Earth . Marvellous cinematography by Chris Menges who also deservedly won Academy Award and filmed in Phuket , Railway Hotel , Hua Hin, Thailand and Royal York Hotel , Toronto, Ontario, Canada . Screeching and sensitive musical score by Mike Oldfield that accompanies perfectly to the film . Roland Joffe's direction shows a generally sure-hand with a bit of melodrama at the end . Alain Resnais's seminal documentary ¨Nuit et Brouillard (1955)¨ was a touch-point for both director Roland Joffé and prestigious producer David Puttnam when they were preparing this magnificent movie .This excellent movie contains a relentless criticism to Pol Pot regime , but also US and an exact description about historic events . In power , the Khmer Rouge carried out a radical program that included isolating the country from foreign influence, closing schools, hospitals and factories, abolishing banking, finance and currency, outlawing all religions, confiscating all private property and relocating people from urban areas to collective farms where forced labor was widespread. The purpose of this policy was to turn Cambodians into ""Old People"" through agricultural labor. These actions resulted in massive deaths through executions, work exhaustion, illness, and starvation. In Phnom Penh and other cities, the Khmer Rouge told residents that they would be moved only about ""two or three kilometers"" outside the city and would return in ""two or three days."" Some witnesses say they were told that the evacuation was because of the ""threat of American bombing"" and that they did not have to lock their houses since the Khmer Rouge would ""take care of everything"" until they returned.Money was abolished, books were burned, teachers, merchants, and almost the entire intellectual elite of the country were murdered, to make the agricultural communism, as Pol Pot envisioned it, a reality. The planned relocation to the countryside resulted in the complete halt of almost all economic activity: even schools and hospitals were closed, as well as banks, and industrial and service companies.During their four years in power, the Khmer Rouge overworked and starved the population, at the same time executing selected groups who had the potential to undermine the new state (including intellectuals or even those that had stereotypical signs of learning, such as glasses) and killing many others for even breaching minor rules . The Khmer Rouge forced people to work for 12 hours non-stop, without adequate rest or food. They did not believe in western medicine but instead favoured traditional peasant medicine; many died as a result. Family relationships not sanctioned by the state were also banned, and family members could be put to death for communicating with each other. In any case, family members were often relocated to different parts of the country with all postal and telephone services abolished. They committed crimes against humanity , the Khmer Rouge government arrested, tortured and eventually executed anyone suspected of belonging to several categories of supposed ""enemies"". Today, examples of the torture methods used by the Khmer Rouge can be seen at the Tuol Sleng Genocide Museum. The museum occupies the former grounds of a high school turned prison camp that was operated by Khang Khek Ieu, more commonly known as ""Comrade Duch"". Some 17,000 people passed through this centre before they were taken to sites (also known as The Killing Fields), outside Phnom Penh where most were executed (mainly by pickaxes to save bullets) and buried in mass graves . Of the thousands who entered the Tuol Sleng Centre (also known as S-21), only twelve are known to have survived.",9.0,Anonymous,History
It's not about Vietnam folks!,"I've read only 20 comments so far, and it was surprising to learn that some viewers (namely 'gregory.messine' and 'RBarse', both of US of A ) think it's set in Vietnam. Come on lads, I've heard that education in America is not great but I didn't expect it to be so bad. Have you ever opened an atlas. Maybe the sound in your theater didn't work or sth. THIS FILM IS ABOUT A WAR IN CAMBODIA. Cambodia is a neighbour of Vietnam. It's set in 1973-79, just after the Vietnam War!!!!!Anyway, back to movie. It's brilliant, not too sentimental, not too cold. The acting is simply marvellous (to be honest I didn't know any of the actors except for Malkovich), cinematography is a touch of genius. Some people complained about the score. Well I can agree, that the lyrics of ""Imagine"" in the context sound like a Khmer Rouge anthem, but the rest is beautiful (Oldfield did a good job).The scene when Schanberg watches some TV programme about the Cambodian War while listening to Puccini's opera is so moving, just like the sight of thousands of Cambodians being ""evacuated"" by the Khmer out of Phnom Pehn.9/10",9.0,Anonymous,History
"Honest, Worthwhile film-making...","I saw this film a while back and just saw it again on TV. If you are interested in seeing a great, tense drama this is a good start. Honest and unapologetic directing from Roland Joffe and fine performances from Sam Waterston & John Malkovich (plus nicely played small parts by Craig T. Nelson & Spalding Gray.) Above all of them, however, is Haing S. Ngor as Dith Pran, the Cambodian journalist assisting the New York Times reporter played by Waterston during the conflicts in Cambodia around the time of the Vietnam war. This was Ngor's first film and had no previous acting experience. Quite a performance from Ngor, earning a well deserved Academy Award. Interesting note, Ngor himself led a very similar life to his character. Wonderfully touching film, you should see it.",10.0,Anonymous,History
"All-time, no-holds-barred, 100% favourite","I can't put my finger on exactly what it is about this film that gets to me so much, but it is THE most haunting, emotional film experience... and I've only ever seen it on video.Excellent performances from Waterston, Ngor and Malkovich.  A brilliant score by Mike Oldfield.  Scenes of high emotion, tension, drama, horror and even one or two pieces of light relief (well, it has got Australia's Graham Kennedy of comedy fame).The stand-out scenes for mine are those in the French Embassy; I can never watch the final scene from this sequence with a dry eye.An excellent film and the soundtrack is not a bad investment either.",10.0,Anonymous,History
Joffe's best work to date,"Based on the Khmer Rouge revolution in Cambodia, this is an excellent tale of hardship and friendship. Basically director Roland Joffe` did an wonderful job in exposing the detailed facts so simply in the film that you believe that you are in that time in person. The two actors, Sam Waterson and Haing Ngor both displayed godlike pieces of acting. It's unfortunate Waterson couldn't join Ngor in Academy Awards. In addition, the director's credit is to highlight both the characters' points of view. That's why the movie became so interesting to watch. John Malkovich brought out a fine performance as a photographer.In the course of the story of adventures of the two men, the film also has vivid descriptions of the public life during the war. Several detailed scenes of war violence are presented here so indifferently that you are bound to be convinced about its historical accuracy. Here we find the magical cinematography of Chris Menges. Again, during the time of Dith Pran's suffering, it never seemed that the director is showing too much.One of the most important, and my favorite, aspects of the film is its ending. You cannot imagine of a better alternative of this happiest ending possible in a war drama. And with the fantastic use of Lennon's ""imagine"", it has got to an enormous height of perfection. 5/5.",10.0,Anonymous,History
The best war film ever made.,"Rating: **** Out of ****Hard to say, but I believe when it comes to the war genre, The Killing Fields manages to edge out even Saving Private Ryan, and without a doubt, there's no better war film out there that's done a better job of capturing the realistic details and emotional loss of the time period (that being, the 70's in Cambodia/Vietnam).Thus, I've always considered it a little odd that no one I know has even heard of this film. When lists of the greatest war films are decided, I don't believe I've ever seen this film crack any list. And the reason is simple: The Killing Fields is often ignored because it doesn't come from a soldier's point of view, and neither does it feature any adrenaline-pumping battle sequences. The fact that a strong portion of the film (about 2/5's) comes entirely from a Cambodian man's viewpoint might throw off a few viewers here and there. And yet, the film does just as fine a job as any anti-war film in creating a frightenining, chaotic world.The performances all around superb without exception. Haing S. Ngor, who was tragically killed a few years ago, delivers a riveting, emotionally wrenching turn as the guide who is trapped in Cambodia and forced to fight for his life. He deservingly won the Oscar, though it's a shame he was snubbed for the best actor award. Inarguably, he's the film's central character and he also has more screen time than top-billed Sam Waterston. Despite my complaint on that matter, Waterston is also excellent as the journalist with a guilty conscience.The Killing Fields is a suspenseful and exhilarating experience, a journey through an apocalyptic landscape that features one shocking image after another. Watch, and you'll see why the film is so acclaimed.",,Anonymous,History
The Ultimate Ugly American Movie,"Oh, this brings me back alright. It was the last days of 1984, and earnest college students like me had much to talk about. Wasn't it wonderful that Walter Mondale had chosen a strong woman like Geraldine Ferraro to be his running mate, and wouldn't the Democrats sweep the Northeast at least for that brave move? Does buying a Coke at the local convenience store signal support for the apartheid government in South Africa? Did anyone else see that amazing film about the human price of American involvement in Southeast Asia?It's nearly 20 years later, and I've managed to shake the ill effects of my youthful liberalism easily enough in most cases. This film, however, packs the kind of punch that isn't explained away by political trendiness.""The Killing Fields"" is a great film that tries and succeeds in capturing much of the carnage and tragedy of Cambodia as the radicalized Khmer Rouge and the U.S.-backed regime of Lon Nol controlling Phnom Penh clash in a fight to the death to be/not be the next domino in the Communist rollover in Southeast Asia. By particularizing the conflict to that of the true-life relationship of two men, New York Times reporter Syndey Schanberg and his Cambodian apprentice and aide-de-camp, Dith Pran, the film forces a level of empathy that is at once uncomfortable and absorbing. It is possible to walk away from this film hating the manipulation, the America-bashing, the easy liberal guilt. But it's impossible to walk away from the human experience borne witness to before the movie's done, if one has any pretense of being human, and that's its great strength.Oh, it's polemical alright. We hear comments about how the Khmer Rouge's excesses were the direct result of Nixon's secret bombing campaign. (U.S. Counsel: ""After what the Khmer Rouge have been through, I don't think they'll be exactly affectionate toward Westerners."" Schanberg: ""Maybe we underestimated the anger $7 billion in bombing would unleash."") It makes its point, absolves Pol Pot and condemns Kissinger with the same broad brush, and it feels a bit jaded and hollow for that, but I don't know. Schanberg betrays the attitudes of a knee-jerk liberal, and I outgrew that, and maybe I feel superior for that, but Schanberg had AK-47s pointed at his head by 12-year-old brainwashed boys, and I didn't, so shut up already, know what I mean?The performances are incredible in their verisimilitude, particularly the leads. Sam Waterson burns with righteous anger as Schanberg, and I like his performance for what it is and how he creates that extra level of tension, but he's a butterfly compared to the condor that's Dr. Haing S. Ngor, one of the Academy's most obscure best supporting actor recipients (there was even a joke about it in an episode of ""The Simpsons"") but someone who didn't just walk the walk. He relived his experience surviving a holocaust that was, per square mile, even more savage than the Holocaust itself. The fact he won a Best Supporting Actor award (Waterson instead was nominated for Best Actor, and lost to F. Murray Abraham for ""Amadeus"") is one of those perversities of film history, given he carries more of the film than Waterson (who slinks to the background two-thirds of the way in) but also that he personalizes the story in a way that makes the incomprehensible immediate and involving.We lost Ngor to a senseless murder a few years ago, and have little left to explain what was going through his mind as he relived an experience that cost him his wife and child when he actually lived through it. Roland Joffe does a nice job in the DVD commentary, though, a commentary I put up there with P. T. Anderson's ""Boogie Nights"" and William Peter Blatty's ""The Ninth Configuration"" for being worth the price of the DVD and then some by itself. He recalls Ngor's reaction to one child actress whose hard face in enacting a scene convinced Ngor she wasn't just pretending to be Khmer Rouge, and Ngor's request that Joffe participate in one critical scene by muttering real torments Ngor suffered at the hands of the ""KR"" as a way of enhancing his performance. At one point, trying to convince him to come aboard, Joffe said something about Ngor owing it to his country to bear witness to his story, and that of Dith Pran, and that did the trick, though Joffe seems to wonder if the same sort of manipulation Schanberg pulled on Pran wasn't going on here, too.It's a great movie because it doesn't shy away from uncomfortable truths, because it never loses sight of the human dimension, and because it gave a pretense of understanding to one of the great human traumas after World War II. We never wallow in gore, but the cost of this war is always with us while we watch. The experience is both endurable and humiliating.I just wish they reshot that ending, with ""Imagine."" Joffe in his commentary even notes the lyrics are the sort of thing Pol Pot would have gone along with. It feels forced. Did Yoko Ono give her approval after they explained the scene her dead husband's song would appear in, or after they told her the first nasty execution scene would be shot while ""Band On The Run"" issued forth from a soldier's radio?A great movie, of an awful moment in human history. If we have any chance of overcoming man's sorry past, it will be because movies like this one get made once in a while.",9.0,Anonymous,History
The Irony!,"This is a good film. You should watch it. It starts a bit choppy, but really gets good as it goes, and tells an excellent true story (as close to true as you ever get from Hollywood films, I'm sure).But there's something we need to talk about, and it's really pretty bad. At the end of the film we get updates about some of the real people from the story, as well as the ""current"" situation in Cambodia (circa 1984).And playing over all of it is John Lennon's anthem and love song to Communism, ""Imagine."" Seriously. What the hell was director Joffe thinking? This is literally a story about Communists committing one of the worst genocides in human history, 1.5-2 million people killed, roughly 25% of the entire population of Cambodia, and they decided that the appropriate song to play as they describe the genocide is a love song to the very Communists who were responsible for killing all those people?It's rare that words fail me, but I'm not sure what else I could say about this. How do you make a film drawing attention to (yet another) Communist genocide, and then play a pro-Communist anthem over the closing shots? Talk about mixed-messaging. This has got to be the most bizarre and perplexing choice in film history.",6.0,Anonymous,History
poignant,"I watched this movie with my father shortly after it came out on video, so I would have been only 9 or 10 at the time. I did not see it again until this year, but I could still remember the scene of a lone man stumbling across a field strewn with the skeletons of his countrymen. Watching it again was both a moving and a worthwhile experience.There are so many scenes which will, as the movie case says, haunt the viewer long after watching. The scene already mentioned, Waterston and Ngor wandering through the remains of the homes of Cambodian civilians destroyed by American bombs, a little girl, her hands over her ears, crying and screaming, surrounded by explosions and gunfire.The acting performances are top notch all round, particularly, of course, by Dr. Ngor. The team of Joffe and Menges is superb, as they also are in The Mission. Both films are in my video library.As an aside, whatever happened to Joffe? Super Mario Brothers? The Scarlet Letter? The Mission and The Killing Fields are such rich, well-crafted films. It's a shame that actors and directors are pulled towards Hollywood. Artistic integrity is priceless. Perhaps that's why it's given away by so many.",8.0,Anonymous,History
Review,"The Killing Fields is one of the most influential films of the 20th century. Its provocative and dangerous subject matter stresses the importance of communication and the freedom to communicate. Based on the Khmer Rouge occupation and genocide of Cambodia in the 1970's, the film tells the story of two men, catapulted into chaos and peril.The movie is first and foremost, a historical account. The events are based off the true story of Dith Pran and Sydney Schanberg. Given that I had not known much about the Cambodian genocide of the 1970's prior to seeing this film, I must herald the piece as a successful feat of cinematography that served as both informational as well as inspirational. The film is believable, realistic, and heart wrenching. I immediately felt for the two main characters as they quickly exchanged trust and fell victim to the powers of political violence. While it is slightly romanticized, The Killing Fields still manages to produce a message with real life implications.",,Anonymous,History
