title,content,rating,username,genres
"Spectacular recounting about the D-Day landings at Normandy on June 6, 1944, based on Cornelius Ryan novel","This an important, interesting movie depicting the Overlord operation with monumental logistic and means of effecting the Normandy landing , the most difficult campaign of war . The picture brings to life the famous images of WWII and splendidly the most sensational military operation of the history in an Allied hard-fought effort . The film develops the previous days to the D-Day invasion , such as the landings and the advance over France . The film is magnificently produced in big budget by the great 20th Century Fox producer Darryl F. Zanuck . Evocative cinematography by Jean Bourgoun and catching song by Paul Anka with musical score by Maurice Jarre . Excellent casting by a great plethora of stars . Special mention for John Wayne as Lt. Colonel Benjamin Vandervoort , he's top-notch as a tough , valiant officer in this believable war film and terrific acting by Richard Todd as Major commanding Us paratroopers dropped to protect the flanks of the invasion and taking strategic bridge . Furthermore , known Generals and officers played by prestigious players , as Germans : General Gunther (Curt Jurgens) , Field Marshal Erwin Rommel (Hinz) , Field Marshal Von Rundstedt (Paul Hartmann), and Allied : Brig. General Theodore Roosevelt Jr (Henry Fonda) , Brig. General Norman Cota (Robert Mitchum) , General Haines (Mel Ferrer) , Brig. General James Gavin (Robert Ryan) , General Raymond Barton (Edmond O'Brien), Lt General OMar N Bradley (Stuart) , General Bernard L Montgomery (T. Reid) and General Dwight D. Eisenhower played by Henry Grace . Grace was a famed set designer , while he worked extensively for many films , his only appearance was an uncredited performance as Eisenhower ; despite not being an actor , he was cast for his uncanny resemblance to the General . This famous event from how was orchestrated the dangerous , risky landing maneuvers was professionally directed by a magnificent trio of directors , Ken Annakin , Bernhard Wicki and Andrew Marton.Adding more details along with the well developed on the movie , the events that happened on June 6, 1944 were the following ones : Shortly after midnight on June 6, about 23.500 US and British paratroopers landed along the edges of the landing beaches . Their mission was to seize vital bridges and communications centers. They also had to hold off any Germans counterattacks until they were relieved by the amphibious forces. The Airbone landings were largely successful. Some US troops missed their target and end up scattered over the countryside. The main amphibious landings took place after an artillery bombardment from some 200 Allied warships at German positions also came under attack from Allied medium and heavy bombers. They were part of the 11,500 aircraft committed to D-Day. They bombed the Germans on and behind the five landing beaches. US troops landed on Utah beach. Strong currents and inaccurate navigation meant that they were a little away from their precise target. They landed about 1 mile (1,6 km) south. The beach there was relatively undefended. The troops soon knocked out the only concrete gun position guarding the beach.Demolitions teams cleared paths through the obstacles the beach and the first tanks crossed the Atlantic Wall. They fanned out into the countryside to link up with the paratroopers. By nightfall of D-Day some 23,000 men and 1,700 vehicles had gone ashore. The beach had been highly congested for much of the day. Utah was a triumph ,however Omaha beach was nearly a disaster, the fight was the most difficult. The Us troops were unable to get off the beach to make room for later waves of invaders. There were better defenses there than on the other beaches, and the German defenders were positioned on high ground, from where they could pour fire down on the attackers.The allies also made mistakes. The naval bombardment ended too soon, and the bombers missed their targets and launched landing crafts and amphibious tanks too far out from the beach, may were sunk. When the first assault wave landed ,it faced a bar-rage of fire , some men were thinking of evacuation. However small groups began to make it off the beach to the high ground beyond. By dusk, some men were ashore, most were still crowed on the beach. The high ground beyond was only thinly held by exhausted survivors waves. Some 2300 US troops had been killed in the landings. The operation had come close to disaster. The three Anglo-Canadian beaches-Gold, Sword and Juno stretched fore some 25 miles. They were wide and open and ideal for amphibious landings. The British on Gold and Sword quickly crashed though the Atlantic wall. Their success was due partly to a range of specially developed armored vehicles known as Funnies. The Canadians at Juno had a tougher time. They faced rough seas and alert defenders .By late morning ,they were also pushing inland. Despite the horror of beaches , overall Allied losses were far lower than expected. Some 6000 US personnel were killed, wounded, or missing, along with 4300 British and Canadian troops. German losses totaled between 4000 and 8000. By the day's end ,some 128000 Allied soldiers were ashore and many more were on their way.",8.0,Anonymous,History
Still a classic after 42 years!,"Invariably compared with ""Saving Private Ryan"" (SPR), this scores over the more modern work because of the focus on all the major sides of the action (British, American, French and German).All languages are used (with subtitles as appropriate - eg the Germans speak in German, etc).While true that the battle scenes are not gory as SPR's, and that the sounds of battle are muted during the dialog (unlike SPR's), it should be borne in mind that in '62, the audience rating of the time *was* a General Release (""G"" in the US, ""A"" in the UK (I'm guessing for the UK, but it is now PG)) - which more detail would not have allowed.I think part of the purpose of this film is to allow *everyone* to see what happened 18 years before!",8.0,Anonymous,History
Shaving Ryan's Privates,"True, the first half an hour of Spielberg's ""Saving Private Ryan"" is truly mesmerizing but then it degenerates into a soap opera of sorts and all the angst and horror of war evaporates until the truly sentimental finale. ""The Longest Day"" doesn't depend on special effects but on the minute by minute horror of its moment. It's also, if I'm permitted to say it, a lot of fun to watch. Strangely enough the all star cast is not distracting at all. It was much more in ""Saving Private Ryan"" with a cast of up and comings headed by Tom Hanks himself. In ""The Longest Day"" there are real moments, film, cinematic moments that are intimately connected with the profoundest sense of drama: The clicking of the rifle. Richard Burton, Richard Beymer and the boots of the dead German. Red Buttons hanging from the Cathedral. Paul Anka, Fabian, Robert Wagner, the landing in Normandy. This film remains one of the best, from every angle, films of its kind.",9.0,Anonymous,History
"The last good WW2 film made by people ""who were there""","This is perhaps one of the most ambitious, epic WW2 films to have been made; certainly it is the last of the classic B&W films made about the subject. Featuring an all-star cast (John Wayne, Richard Burton, Kurt Jurgens... even a cameo by Sean Connery!), it comprehensively details the build-up and execution of the Normandy landings in 1944, taking care to show how the event was perceived by Allied and Axis soldiers and commanders, as well as the Free French resistance.  This is a film that takes great care in documenting the events of the day, without lapsing into sickly sentimentalism or getting distracted with fictional characters' personal lives (a failing of many WW2 movies since about 1970), or over-emphasising any one nation's importance in the operation (although, admittedly, Canadians may feel a little short-changed).Classic moments abound, notably the landing at St.Mere-Eglise and the soldier who gets caught in the church steeple, the frustrations of the front-line German commanders and fighters, and the numerous cameos for film nerds to keep track of.If you want a wartime romance, or an appearance by Matt Damon or Ben Affleck, or long, loving shots of the Stars & Stripes in slo-mo, or a gritty blood'n'guts fest, you'll be disappointed.  This film has broader concerns, and was made with much more thoroughness.  There is no agenda at work here, pro-war or anti-.  It is solely concerned with documenting Operation ""Overlord"" for the film-going public, and succeeds brilliantly; a shame then, that it has not made the top 50 war films list.A must-see for any fan of war films.",,Anonymous,History
"""Gentlemen, We Start the War from Right Here.""","Simply put if things had gone differently on June 6, 1944 we would be living in a very different and very much uglier world than we have now. The Longest Day is Darryl F. Zanuck's tribute to all who were involved in Allied invasion at Normandy.Even viewing it now as opposed to the theaters back then back then I am staggered at Zanuck's incredible eye and grasp for the detail of the Normandy invasion. He did the smart thing and not only bought Cornelius Ryan's standard account of D-Day, but got Ryan to write a very coherent screenplay. Even one who has absolutely no grasp of military history will be able to follow exactly what was going on.Several of the people who are portrayed in the film also served as technical advisers of it. When you Peter Lawford as Lord Lovat or Robert Ryan as General James Gavin and many others these people aided in recreating the project.Zanuck may have had the largest movie set in history to work with, at least up to that time. You are seeing the film photographed in the places it actually happened. The beaches, the towns of St. Mere Eglise and Ouisterham, even the embarkation areas in the UK. I doubt you could do The Longest Day today because of the changes in all these places now. Lots of cooperation from the British and French governments was necessary.You also couldn't do it because the budget would be the size of the U.S. national debt today. This was the last days of the all powerful studio system and even with a lot of the stars free-lancing at that point, Darryl F. Zanuck was still a most powerful man in Hollywood with a lot of favors owed. One example was Richard Burton who was shooting Cleopatra at the time The Longest Day was also shooting. For his two brief, but memorable scenes as an RAF pilot, they shot around him on Cleopatra also a 20th Century Fox production while he filmed his part for Zanuck.Even the Germans came in for a portrait of them as human beings. Curt Jurgens as General Blumentritt, who was also a technical adviser, put it philosophically best about how after he can't convince Chief of Staff Alfred Jodl to wake up Hitler to move the Panzer Divisions, breaks open a bottle of cognac and decides to drink it before the Allies arrive.I have several favorites in The Longest Day. Richard Todd who actually was at D-Day and was a decorated hero himself, plays commando leader, Major John Howard who is asked to paratroop into France and capture and hold a key bridge intact. Todd is channeling his own as well as Howard's war experience into the film and gives a performance of unusual depth.Norman Rossington and a pre-James Bond Sean Connery who was just making his debut as Bond in Dr. No, give some good comic relief as a cockney and Irish soldier landing on Sword Beach. So does Kenneth More as a British beachmaster with his bulldog Winston.The French are well represented by Arletty, Bourvil, Christian Marquand and by Irina Demich. Being that three of these play civilian roles they get the only two women's parts of any substance in The Longest Day. I do like the scene where some Germans checking Irina out in a low cut dress, fail to properly search her. Irina also demonstrates how much the women were equal partners in the Resistance. Marquand as a captain of a Free French company is involved in a particularly bloody battle for a coastal town.Of course the American cinema is well represented. Charlton Heston was to originally play the part that John Wayne does, but he couldn't get free of some commitments of his own and when Wayne became available, Zanuck grabbed him. Heston was later quoted as saying Wayne did a better job than he would have in any event. Wayne's best scene was when he saw some American bodies dangling from roofs in St. Mere Eglise. As I've said many times, John Wayne had one of the best faces for movie closeups ever. One look at the horror expressed in his face tells you all you need to know.Henry Fonda plays General Theodore Roosevelt, Jr. who would within a month after the invasion die on Normandy Beach. Had he lived, Roosevelt might have picked up the pieces of a stalled political career. But that was not to be the case. Roosevelt was found dead of a heart attack in his tent after the invasion when the Allies were trying to break out of the beach.The heaviest casualties on D-Day were on Omaha Beach where Robert Mitchum plays General Norman Cota a division commander. Mitchum is involved at the climax of the film where American GIS after being hung up for hours, break through and insure the invasion's success.The Longest Day is not only great drama and a great war film, but it is as accurate a film as you will ever get depicting the Normandy invasion, good history as well.",10.0,Anonymous,History
A splendid film by all counts.........,"I'm old enough to have seen this epic when it was first released and, even as a nine year old, I was impressed. It was the great Daryl Zanuck's last hurrah and a fitting one (not his last film - just his last worthwhile film).This is a great film. It's not perfect but its faults are few and minor. For me the most glaring fault is the amateurish delivery by the actor (a near ringer) portraying Ike. Also, the very beautiful actress portraying the French resistance fighter is wearing a very 1960s hairdo (a common problem with Hollywood films).I see this film every memorial day. It helps me to remember my father, a Navy gunner's mate in the Pacific theater and my maternal grandfather, an island-hopping Sgt. in the Marine Corps. Personally, as a veteran, I find this movie as realistic as I think it was possible to be in 1961.Is it the best American war film? No. I would place it in the top 10 alongside the following:1. All Quiet On the Western Front (1930) 2. Platoon (1986) 3. Tora! Tora! Tora! (1970) 4. In Which We Serve (British - 1943) 5. Patton (1970) 6. They Were Expendable (1945) 7. Twelve O'Clock High (1949) 8. Paths of Glory (1957) 9. Grand Illusion (1940?) 10.The Longest Day (1962)",10.0,Anonymous,History
The Cast & The Actual Event: Overwhelming Numbers,"This was an another one of these all-star casts that you don't see in more modern times, in which about everyone who was actor made an appearance....or it just seems that way. For those unfamiliar with this film, take a look back on the main page here and check out the famous names in this movie. Click the ""more"" under the cast overview and you'll see all the names. It's unbelievable. Some of them, to be fair, had very short roles in here, such as Henry Fonda, Rod Steiger and Roddy McDowell, but this is a real ""Who's Who"" of the acting profession in 1962. There are also a lot of German actors in here speaking German (with subtitles provided), perhaps numbering even more than the English-speaking stars. That's because the famous day of June 6, 1944, is seen from both sides of the conflict.At three hours, it gives you plenty of D-Day World War II action. Almost two-thirds of the movie involves action from that famous invasion. In some spots, it just gets to be too much. Frankly, the whole film is too much and almost bogs down in too many areas....and it shouldn't, but it is a very technical film. And, for a film 45 years old, the action is pretty realistic. I thought the best shots were the overheads during one particular scenes when the Alies were going through a town.I am anything but a WWII expert so how much detail of the infamous 'D-Day"" here is correct, Since they went into such detail, I'll assume they were fairly accurate. I can't say but this movie educated me on the size of the task. I had no idea ""D-Day"" was this huge in scope: three million men and 5,000 ships??!!! Amazing.",8.0,Anonymous,History
Allow Yourself A Long Day To See This All-Star War Pic...,"Darryl F. Zanuck's THE LONGEST DAY is indeed long, has over 48 international stars, 3 directors, and took about 2 years to make.  1962 was the year of the epic as far as the 1960's were concerned and this exceptional film is no exception.  No cost was spared.  Some good war sequences mixed with stock footage of WWII effectively present a version of D-Day, June of 1944.  We see it from the German perspective (in sub-titles), the American plight, and the rest of the Allied forces.  One problem:  If you are seeing the film for the first time AFTER watching SAVING PRIVATE RYAN, you may come out disappointed.  The war scenes are well-crafted, however, the piercing reality is missing.  I tried to watch it as objectively as I could, but it is hard, considering the impression Spielberg's version of D-Day left on me.The soldiers are led by a variety of huge name actors.  John Wayne is a no-holds-barred Captain who will fight, broken foot or not.  Henry Fonda plays Teddy Roosevelt, Jr. looking not to be treated as the son of an ex-president.   Bob Mitchum is great as a cigar-smoking officer of the U.S. raid on Omaha Beach.  The only problem is authenticity.  The actors look good and realisticly war-like, however, they are kept in frame to showcase their talents and they never seem to be near death.  This is by no means an anti-war film like RYAN.  It can be harrowing at times, but watching Richard Burton, Sean Connery, and Rod Steiger deliver cameo-like performances (meaning they know they are only on-screen for a short time) was a bit contrived and distracting.Overall, I did like the movie.  It is greatly detailed and it lets you know exactly who each actor is playing.  This is pure American propaganda, but it is still exciting.  Too many fearful war experiences are handled with kid gloves.  The grand spectacle of the top-notch production values as well as non-stop action  make the picture watchable, if only once.RATING: 7 of 10",7.0,Anonymous,History
Almost Like Being There,"Quite simply the best film ever attempted on this subject. The events leading up to the D Day invasion in France are meticiously viewed from the French, British, German and American sides. The dialogue is spoken in the national languages of the countries taking part in the invasion and this aspect alone elevates it high above most other films. The superb black and white photography adds yet another layer or realism . Cast features many international stars, but never stoops to a ""spot the stars"" formula like too many of these films tend to do.Clichés are avoided and the people portrayed are realistically drawn. Even the Germans are presented as actual military leaders and not the stereotypical Nazi villains . There are massive invasion scenes, quieter scenes at the villages before the raid, and a commando raid on a German howitzer emplacement in the basement of a casino, a scene that follows the attacking Allied group from an ariel perspective while they move through town past the docked fishing boats and destroyed buildings. The overhead shots of the beaches with hundreds of troops, tanks and landing craft gives the viewer a very accurate picture of the massive scale of the invasion, something that Spielberg just could not pull off in ""Pvt Ryan"".A three hour film that is up for repeat viewings. You will discover something new each time you view it. The screenplay was by the author Cornelius Ryan from his own book.No silly romantic subplots, just the facts. I remember seeing this film after it opened with my father and uncle. It was impressive then, and it holds up beautifully today. In my humble opinion, this is the best WW11 film ever made. One of the greats.",10.0,Anonymous,History
"An editing masterpiece, an epic day, lots of great filming, but also diffused and imperfect","The Longest Day (1962)This is an ambitious movie, extremely well photographed, filled with stars and secondary actors of fame and talent. And it covers roughly at 24 hour period leading up to and into the epic and dramatic June 6, 1944 invasion of German-held France known as D-Day.On all these levels, the movie almost has to succeed. And it does. It's a popularizing account of an important event. It's history made simple, for sure, but it compresses the complexity with good intentions, and with some fair handling of both the German and non-German sides of the battles, inside and war rooms and on the beach.The movie is filled, however, with so many characters (maybe fifty who are given enough camera time to take on some small meaning, though the poster advertises ""42 International Stars"") and shot in so many locations (Germany, France, London, on boats, on beaches, in villas, by the bridge, in the bunker, in the strategic commands, along the roads, flying overhead, on and on) it is truly impossible to engage in any one part of it fully. Many scenes are superb, even short ones, sometimes with great actors like Robert Ryan playing with a light on his face (in a comic scary way) and sometimes with unknowns who for a moment shine in their terror. But it's necessarily fragmented and dispersed.There are, furthermore, attempts at humor that are a welcome break to the seriousness but are sometimes too silly and improbable to really make sense. It's like the humor that perks up little moments in a Chris Nolan Batman movie--except this is real life, this is the real D-Day and not an entertainment. You don't expect a documentary, exactly, but the levity--even if as cute as a young Sean Connery goofing on the beach as bullets fly around--is a bit off target.The fact that this kind of movie works this well is probably amazing. It even got divided between different directors, and so the unifying qualities show a kind of logistical planning that paid off. (There are only two cinematographers and, crucially, one editor.) And of course there is history holding it together.And this is a history that is getting lost. Fans of WWII movies (or of WWII history) will have no trouble feeling the grand, world-changing nature of D-Day. I grew up on American movies and around my parents and grandparents who had strong feelings about the war and about D-Day in particular. But young people, like the students in my classes at college, often born fifty years after the fact, have sometimes not even heard of D-Day. Many don't know a Nazi from RAF officer, even in concept. (I'm not kidding. I ask, routinely.) This is just life. Blame education if you want, but it's a natural movement forward to more recent and still living world events. We had D-Day, they have 9-11.I watched the movie with my girlfriend who is not from the States, and who knew only the outline of the war. (Her country wasn't involved in it enough to make a dent on its own history.) And so she watched with a kind of dulled boredom. The cameos by famous people were fun for both of us, and filming was to be appreciated, but the drama I felt even with the opening credits I saw was dependent on knowing the larger scope.And so this movie will have a shrinking audience and shrinking appreciation over time. It's a long watch--three hours--and it has a steady stream of great moments. But it's not a great movie in movie-making terms. Exciting and important and with a wikipedia page to make this all clear, but it's unlikely to fully integrate and take total form as a whole.",7.0,Anonymous,History
