title,content,rating,username,genres
A Timeless Classic,"This movie, and trilogy in general, is a cinematic (and literary) masterpiece, and simply refuses to get old. I love this movie so much it's become a tradition to watch the Lord of the Rings series at least once a year! It's just as good as Christmas",10.0,Anonymous,"Adventure, Drama, Fantasy"
15 years on... Still the greatest,"I've just re-watched The Lord of the Rings trilogy for the 1000th time tonight... nearly 15 years since the Fellowship of the Rings was released... I still haven't seen a movie that's better, nor close, to any of these three films. The casting is perfection as well as the incredible acting by everyone in the movie. I can still watch these movies back to back and not get bored. They are a light to this world and wouldn't be the same without them.I miss the good old LOTR's days. The best movies ever created. The Return of the King was the best way to end a thrilling journey through middle earth!",10.0,Anonymous,"Adventure, Drama, Fantasy"
Nothing better,The greatest tragedy of the human race is that they will never make a better movie than Return of the King.,10.0,Anonymous,"Adventure, Drama, Fantasy"
The best trilogy in the history of cinema,Best movie in the trilogy and sealed in the best possible way,9.0,Anonymous,"Adventure, Drama, Fantasy"
All Good Things come to an End!,"All the threads of Tolkien's magnum opus come together in the most elegant of fashions in the final part of Peter Jackson's adaptation. Humanity makes a last stand at Minas Tirith, the Hobbits travel through Mordor, our heroes try to by time for Frodo to complete his mission and the Evil Sauron gets tired of the whole game and lashes out with all his might and fury.""Return of the King"" is 4 hours of payoff, a third act in a gigantic epic rather than a mere film of its own. As such it is intensely dramatic and dynamic and you can very much sense that though peter Jackson spared no effort on the previous episodes, this is clearly his favorite. the film floats by at a thunderous pace, taking us through unforgettable moments such as the battle of Minas Tirith itself, a marvel of seamless animation and epic film-making, it demands to be seen, as it has too many jaw-dropping moments to choose from. The quieter character moments keep gaining in potency and the full weight of the stakes and their heartbreaking consequences is never in doubt.The cast of these films have played their parts to perfection and again Jackson deserves overall credit for choosing actors that so perfectly match Tlolkien's creations: Ian McKellen and Christopher Lee are their own usually excellent selves, and the hobbits remain endearing, but of all the uniformly great cast, the true standouts are Viggo Mortensen and David Wenham as the tragic Faramir, whose relationship with his brutish father is the most traumatic of the film. Jackson pushes them even further by having them sing at a few key moments (a practice employed to powerful effect by Tolkien in the books), a daring undertaking that works wonders. And though he may offer one ending too many, he does have the decency to show off each surviving character with the appropriate screen time and respect.Now that the trilogy is complete, it can be viewed as one big film, as it should be. After 8 years, Jackson has done the impossible: he has taken Tolkien's huge legend and made films that stand on their own and have revolutionized film-making, setting the new benchmark for cinematic epics. Changes have been made to Tolkien's source novels, but they make for better, more fluid films, more faithful in spirit to Tolkien's myth than anyone had the right to hope for.A masterpiece, whether as part of a bigger whole or on its own. Well deserving of all the high praise thrown at it, and then some...",10.0,Anonymous,"Adventure, Drama, Fantasy"
Still the greatest movie ever made,"Nothing even comes close and I may well not see it personally topped. Every single scene is magnificent. The acting is superb as is the direction, script, hauntingly beautiful music, cinematography and the incredible battles; especially the hour long battle on the Pellenor Fields and Minas Tirith. The characters
are some of the greatest ever created and to root for. The movie is simply perfection from beginning to end and the 4 hour version is just as majestic. There's not a single negative thing I can say about a movie that deserves all it's nominated Oscars. My family and I watched it 4 times in its first 12 days of release. A joyous experience every time. Magnificent!!!!!!",10.0,Anonymous,"Adventure, Drama, Fantasy"
Great,"Wonderful on every level. Love the characters and special effects. One of the biggest, most massive battle scenes ever put on the silver screen. A great end to a monumental epic.",,Anonymous,"Adventure, Drama, Fantasy"
Pretty much outstanding,"I admit it, I love all three Lord of the Rings films. People may say Return of the King is the best of the trilogy, some may say it is the worst. I personally think Two Towers is the best for its scope and better exploration of some of the characters, but while it is still great Return of the King is better than Fellowship of the Ring.My only slight disappointment is the ending, it does feel overlong and bloated for me, almost as if there was more than one ending filmed. That said, what does make the ending at least watchable for me is the way it is shot, the marvellous score and the performance of Gollum.Despite this minor discrepancy, Return of the King is extremely good and in my view one of the better Best Picture winners last decade. Peter Jackson's direction is very impressive here, and the scope is massive and just dazzling to watch. All three films of the trilogy are very well made, but Return of the King defines the term epic. The cinematography is mind-blowing, the scenery is superb, the costumes and make-up are well tailored, the effects are superb and don't distract too much and the lighting is authentic.The score is phenomenal. Fellowship of the Ring had some ethereal, rousing, haunting and charming themes, whereas Two Towers was somewhat darker and more complex. Return of the King merges these together and the result is a perfect mixture of charm, darkness, etherality and complexity. The story is compelling with themes of friendship, strength and loyalty, the screenplay is well-written and literate and while the film is very long the three hours or so fly by seamlessly. The characters are engaging, Aragorn is even more interesting here than he is in the previous films while Gollum continues to steal every scene he appears in.The acting is very good. Orlando Bloom(who I can find dashing yet uncharismatic and bland) and John Rhys-Davies are given less to do but do carry their parts very well, and Elijah Wood is likable enough. Sean Astin captures Sam perfectly and provides the heart of the picture, and Viggo Mortenssen is at his charismatic best here. Ian McKellen is perfectly cast, while the design of Gollum is still superb and Andy Serkis is equally phenomenal. I was slightly disappointed by the lack of any Sarauman, but I was more than I was satisfied with the final result.All in all, an outstanding entry to a great trilogy. 10/10 Bethany Cox",10.0,Anonymous,"Adventure, Drama, Fantasy"
They saved the best for last,"Obviously, I'm aware of the fact that the Lord of the Rings trilogy is actually one giant movie, but since it was released in parts, that's how I'm judging them. The Return Of The King is the final chapter, and since it is the climax and resolution of the epic journey, it has a little more intensity and urgency than the previous installments.At this point everyone has come to know and love all of the characters, and the stakes have become tremendously high. Kingdoms are at their knees, and the only two characters who can save the day are getting weaker and weaker. The tension was very high in this episode and I can honestly say that out of all 3 this was the only one that had me on the edge of my seat. There were many memorable scenes (one of my favourites including the part with the giant spider)that made this the classic that it is sure to stay for decades to come.This is the longest of the series, mostly because of the ending that seems to last a while. This was a good ending, and I can see why Frodo did what he did. He, and us the audience, have gone through an incredible ordeal and I think we needed that 20 minute linger. When the battle is over, and the celebrations have ended, there is a sad emptiness felt. The films spanned over 3 years, there have been the extended cuts of course, but after that, it's all over. Peter Jackson gave us an ending that was both appropriate and admirable.These were some amazing movies and this one in particular is the best, in my opinion. As whole, the Lord Of The Rings is a phenomenon. An absolute phenomenon. Much more than just movies. They have a universal appeal and have touched the hearts and imaginations of millions. I'm one of them.Sorry if I'm being all fanboyish and kissing this movie's ass, but I really admire it. It may not be among my personal favourites but generally this seems to be the movie event of the century. There will never be another Lord of the Rings film, and that's a bit depressing.My rating: 10/10",10.0,Anonymous,"Adventure, Drama, Fantasy"
Best Picture of the Year? Give me a break..,"Man, and you thought Titanic was cheesy?! When I first saw this film on the big screen, the multiple endings bothered me only a little. Now that I saw it for the second time, they simply outraged me. Best adapted screenplay, best director and best picture of the year all went this way. This time: not deserved. The Return of the King ends five times. FIVE TIMES!! I don't give a good goddamn if it was that way in the books too. I never read them. And that gives me a good position to rate this as a film and not a screen adaptation.Every single time Elijah Wood laughs in this movie (in the entire trilogy actually), I almost throw up. Couldn't they make it any more cheesier?! Especially stomach turning is the scene at the end of the RotK, where they all laugh and hug by Frodo's bed. OF COURSE in slow motion to add a little more sappiness. Plus the scene where their journey has ended and they all sit in the pub and skål their pints together.. check out the expression on Wood's face. So cheesy I laughed my a** off.The most worrying thing about all of this is that without the cheesiness and the multiple endings, this would've really been a great movie. I don't love them, but I do like these films. And it was such a tasteless display of drama from the academy to pretty much dismiss the two previous movies and award the last and most tasteless one in spades. It made the whole thing feel like the ""Russell Crowe-syndrome"", as I like to call it. They didn't award him the statue for The Insider, but instead for Gladiator the next year, because they probably felt so guilty. Maximus after all was clearly a more easier role than Wigand and didn't deserve the award as much.I can see why so many love this film and embrace it, but people, eleven Oscars? No.** / *****",7.0,Anonymous,"Adventure, Drama, Fantasy"
They read a different book...,"There was so much love and hate from me and my friends for the first two movies: Nearly perfect visualization, but some really bad interpretation of the main characters. Watching The Return of the King was unbearable and I left the cinema when I saw Gandalf and Frodo giggling after the fall of the ring and making themselves ridiculous.I guess Return of the King totally missed the spirit of the book. All the highlights of the third book went wrong in the movie: The fight of Eowyn against the Lord of the Nazgul; Aragorns and his way of the death; the relationship between Gandalf and Denethor; when Gandalf saved Faramir of the Nazgul; the relationship between Pippin and Denethor; the meeting between Gandalf and the Lord of the Nazgul; Aragorn healing the people of Minas Tirith after the battle; ...But mostly I was disappointed about the behaviour and attitude of some of the main characters: I think that Gandalf, Legolas, Eowyn, Pippin, Merry and Denethor don't match with the characters in the book. And that is really a great disappointment for me.Sorry for my bad english...",3.0,Anonymous,"Adventure, Drama, Fantasy"
This movie has marked my childhood!,It is the best movie I can remember I've watched while I was a kid!,10.0,Anonymous,"Adventure, Drama, Fantasy"
