title,content,rating,username,genres
"Great location, Great actors, Great music","In 1750, Spain ceded part of Jesuit Paraguay to Portugal. The Jesuits had converted many of the Guaranis. The Guaranis above the waterfalls still reject the church sending a crucified priest over the falls. Father Gabriel (Jeremy Irons) climbs up the falls and converts the tribe with his music. He confronts slaver Rodrigo Mendoza (Robert De Niro) who is now hunting above the falls. Mendoza returns to town to find his fiancée and his brother Felipe (Aidan Quinn) are now in love. In a jealous rage, he kills his brother. He is despondent and Gabriel offers him work with the Guaranis as penance. Together with Gabriel and other brothers like Fielding (Liam Neeson), they make the mission thrive. Papal emissary Cardinal Altamirano (Ray McAnally) arrives to decide if the church will continue to protect the missions from the slave running Portugese now that the land has been transfer from Spanish protection.The location is magnificent. The actors are terrific. And the music score from Ennio Morricone is both epic and haunting. This is an amazing historical drama. The story ends in a heart wrenching battle. Director Roland Joffé pulls together one of the best movie of the year.",8.0,Anonymous,History
To fight for a cause in a time of slavery and greed,"THE MISSION is a history drama about the expulsion of the Jesuits' missions in South America in the middle of the XVIII century. By what I've learned the plot's background is accurate to history and all we see in this movie truly happened in real life, unfortunately! The search for slavery work was continuous at the time by Portuguese colonists and the Spanish in spite of slavery not being directly allowed by their crown they also used the indigenous slaves. The Spaniards which had been creating Indian reductions since the middle of the XVI century, as a form to convert and control those indigenous people, were followed by the Portuguese, and both built Jesuit reductions in their territories. But after the 1750 treatment the Jesuits would be expulsed because they refused to leave their missions where their lived together with the indians, in peace. And the indians themselves they didn't want to abandon the reductions too because they knew that in the main jungle they would be an easy target to slave traders (known as ""bandeirantes"" in Portuguese colony).So it's just the main plot's topic of this movie which then focus on the personal story of father Gabriel (played by Jeremy Irons), a Jesuit missionary, and Rodrigo Mendoza (Robert de Niro) a former slave trader which was converted to the Christian faith (and to the Jesuits) after kill his brother (because of a woman). The movie has good moments, especially in the last hour, and it describes very well the feeling of injustice and desperation those native people felt by the furious anger of the greedy imperialist armies! There're a few scenes, which focus the sad and empty native children' eyes, that worth more than a thousand words!I enjoyed this movie and the plot's main topic which portrays a sad period of our history (unfortunately empires were always built under massacres and the subjugation of other people, and I know Portuguese empire was no exception!).",7.0,Anonymous,History
Awe-inspiring to see on the big screen,"I had the good fortune to see The Mission on the big screen in 1986 when it was first released. I went into the theater knowing only the title, the two lead actors, and that it had something to do with South America. Two hours later I was a puddle of tears, both from the subject matter and from the knowledge that I had just witnessed a cinematic masterpiece. It is perhaps the most intelligently spiritual film I've ever seen. The cinematography is gorgeous throughout, the settings are stunning, the acting is top-notch across the board, the musical score is breathtaking, and the screenplay is brilliantly eloquent. Roland Joffé did a fantastic job directing The Killing Fields, but this one is even better. I just watched it again on DVD, and nearly 25 years later, the film has not aged or lost any of its power. Still one of the greatest and most underrated films of all time.",10.0,Anonymous,History
"Final Victory in Might or in Love? Unique, profound, unforgettable movie","Father Gabriel: ""If might is right, then Love has no place in this world...""The movie by Roland Joffe was not popular in my country when it was released since such movies were censored by the communists. When, however, the situation changed in 1989, I remember that I saw THE MISSION for the first time on Polish TV in 1995 as a part of cinema's 100th anniversary celebration. The movie moved me so much that I have come back to it several times since then. Each time I see it, I find something new in the film. Therefore, I consider THE MISSION one of the very best films ever made, a film where history meets single individuals, where sadness is conquered by joy and disbelief and skepticism by profound thoughts on humanity.The content of the film, though historical, applies perfectly to modern times. The universal struggle of two spirits, the one of might and the one of Love, has always been noticeable wherever and whenever people live. Let us look briefly at the gist of the content: the Jesuits build a mission in the core of a jungle in South America, they understand the heart of the Gospels: Love without looking for reward. Yet, the politics of the conquerors (Spaniards and the Portuguese) steps in and destroys the mission... However, not everything dies even though goodness seems to be conquered... This story, presented here in a condensed way but developed in the film is so powerful that it leads to reflections: what, in fact, reigns in our lives; why good people have to suffer, why we are forced to do what we hate, it is so effortless to destroy while to build requires so much strength, why the world turns our good deeds into evil, etc. This aspect is the pearl of the film and the feast for the soul even though such thoughts require some courage from an individual. I reflected on the fact if I am willing to support the weak or if I rather choose might which is my master I attempt at in my actions? It's strange but we will never get to know our personalities completely... And that is what the film also shows. Altamiro (Ray Mc Anally), for instance, is a person of different psychological states hard to evaluate.The performances are exceptionally powerful which makes THE MISSION a very nice piece of film art. Jeremy Irons gives a very powerful performance as Father Gabriel expressing all values a good Christian should own: goodness, gentleness, patience, courage, and purity. He has this blink in his eyes that makes his portrayal particularly memorable. Robert De Niro... I would say frankly that this is his very best acting. People concentrate on different films when they hear of De Niro's performances, particularly in Michael Cimino's THE DEER HUNTER (1978) or in Martin Scorsese's CAPE FEAR (1991). Some of them skip THE MISSION. Yet his portrayal of Rodrigo Mendoza is a masterpiece in its own. This role is difficult to portray since Mendoza is a man of two contradictory spirits: from a slave trader to the devoted Jesuit. Nevertheless, De Niro does a marvelous job. One moment caught my attention from the first view of the film: Mendoza's death and this nostalgic look at Jesus in the Eucharist (even while writing about this moment a tear appears unintentionally in the eye). Ray McAnnally portrays Altamiro, a bishop who is forced to do what he actually does not intend to. He seems to be touched by the mission and in spite of that, he finally allows for slaughters. In the final shot, he expresses one thing powerfully: a face of a man whose conscience will forever suffer. ""Thus we have made the world...thus have I made it,"" which are his words said at the end by him clearly show what kind of person he was.Another powerful aspect of the film is music. Ennio Morricone is famous for having written music to many films but here, in THE MISSION, he did something absolutely sublime. I bought a CD listening to music alone and it was an unforgettable experience for me. People who heard it and did not see the film asked me where I got such wonderful tunes. Indian rhythms combined with Christian spirituality and ecclesiastic chorus - UNFORGETTABLE! I promise you that having seen this film, you will never forget, among other things, these lovely tunes.The filming locations, which obviously constitute an additional aspect in any film, add a thrill and authenticity to everything. It is hard to imagine other places in THE MISSION. The movie is shot mostly in the places where the historical events took place. We see the mighty Iguazu waterfalls, the jungle where Guarani Indians live, the city of Cartagena in Colombia as well as the hills of the Brazil-Argentinian border.What more is there to say? I think that most readers will agree with me that THE MISSION is a masterpiece, a film that opens people to new horizons of understanding the profound thoughts that are there in our lives if we are willing to reflect on them or not. Speaking religiously, Christ has once died on the Cross but then all was conquered by Love.The final scene gives an answer to Father Gabriel's thought that I entailed at the beginning. A silent sunny day in the jungle... we see a small group of Indian children who have survived the destruction. A little girl picks up a violin that she finds in the river and they begin to row a small boat towards the future...Father Gabriel, you are right. It seems that Love perhaps has no place in this world and might may seem to be right but it is always Love that wins since ""the spirit of the dead will survive in the memory of the living.""",10.0,Anonymous,History
A revisit is long overdue,"After hearing a quick clip from the soundtrack recently I decided to have another look at 'The Mission' which I hadn't seen for more than ten years. Interesting viewing in these days when epics abound: Lord of the Rings, Gladiator, Troy etc.The first thing that struck me was the intelligence of the script which often seems an afterthought in today's big budget jobs. Robert Bolt weaves an intriguing web of characters; mercenary, slavetrader, starcrossed lover, papal emissary and man of faith. The passion of Robert de Niro's Mendoza beautifully contrasts the quiet firm conviction of Jeremy Irons' Gabriel. And the moral dilemma facing the Catholic Church, whether to abandon influence abroad for the sake of power at home, is ably brought to life in the tortured mind of Ray McAnally's Altamirano. This man sent from Rome by the Pope himself has the power of life and death over the Guarani Indians and the Jesuit priests who have dedicated their lives to Christian service in the deepest regions of the South American rainforest.The film isn't perfect by any means: I would have liked better representation of at least one Guarani character but the integrity of Joffe's direction and Chris Menges' spectacular camera-work make this one film you have to see. And there's that lovely soundtrack by Ennio Morricone.We may be more sophisticated these days in terms of technology, sound engineering and special effects but the lesson from 'The Mission' for today's directors has to be: it's the story, stupid.",,Anonymous,History
A Slow but Powerful Film,"""Rodrigo Mendoza"" (Robert De Niro) is a slave trader in South America who kills his own brother in a fit of jealous rage. Although he is not convicted by any court he still regrets his action and because of that he shuts himself out of society in a nearby church. Eventually, he decides to seek forgiveness by doing an extremely difficult penance. When that is finally accomplished he becomes a Jesuit monk working at a newly built mission far inside the jungle helping the same tribe he had tried to enslave. Unfortunately, time doesn't stop and all too soon other slave traders appear with the main goal of tearing down all of the missions in the area thereby ending any refuge for the unfortunate Indian tribesmen. Now rather than reveal any more of this movie I will just say this was a slow but powerful film which manages to capture the beautiful scenery of South America along with the power and greed prevalent during this particular time in history. It also won several awards including the Palme d'Or at the Cannes Film Festival along with being nominated for ""Best Picture"" at the Academy Awards. Again, while it's rather slow at times, it's still something worth viewing for those who might be interested in this type of film.",7.0,Anonymous,History
"Lush Visuals, Score & Fascinating Story All Rolled Into One","The more I see this film the more I like it. First off, it has magnificent South American jungle scenery, filmed in an area that features multiple gorgeous falls. This is one of the prettiest films you will ever watch - guaranteed - and please see it on widescreen DVD. ""The Mission"" won the Oscar for Best Cinematography in 1986 and that award was well-deserved. There is just one stunning scene after another.The story is very interesting, too: a supposed true-life account what happened back in the 1700s when a few dedicated priests tried to bring Christianity to the natives. It shows what occurred when a combination of the Catholic Church and the Portugese slave-traders and politicians attempted to put a halt to their missionary. This is a drama, not an ""action film,"" but the movie has extended violent ending, and sometimes is shocking in that finale.Jeremy Irons, as the dedicated Jesuit who heads the mission, and Robert De Niro in a surprise role as the killer slave-trader-turned-repentant priest are both excellent in their leading roles. It was interesting to see a young Liam Neeson, too.To some, the story might be a bit slow I found it very involving. After several viewings, I began to fully appreciate to lush score by Ennio Morricone. This is simply one of the prettiest and classiest movies I've seen and it's highly recommended.",10.0,Anonymous,History
Feast for the Eyes and Ears,"Roland Joffe's period film is breathtaking to look at and listen to, but it's directed with a heavier hand than his breakout film from two years earlier, ""The Killing Fields.""I had trouble with the casting too. Jeremy Irons feels right for his role, but it's tough to accept Robert DeNiro in period films -- he's such a remarkable contemporary actor, and he's created such iconic representations of modern urban life, that he feels out of place in something like this.The film is a feast for the eyes and ears though, with Chris Menges, who had won an Oscar for photographing ""The Killing Fields"", adding a second trophy to his mantle for his work here; and Ennio Morricone providing an instantly classic score.Grade: A-",7.0,Anonymous,History
The audience sat in silence...,"I will not describe every aspect of this masterpiece - you should just see it. It can not be told. You can (and you should) read R. Bolt's book, but it is not enough: you would not see nor hear it. Everything in ""The Mission"" is just perfect, from the first to the last scene. Perfect script with very convincing history, with serious and deep topics involved. Perfect acting (of every single actor). Perfect scenery and shots. Perfect music (the soundtrack on CD is a no-brainer purchase). In my opinion this movie deserves every award possible. I will just say one thing, which I experienced only once in my life: when the movie was over, all the audience in the cinema sat in complete silence. Nobody moved for several minutes. That is how powerful ""The Mission"" is. The best film I've ever watched.",10.0,Anonymous,History
Interesting but not Spectacular,"The Mission is a film that boasts, above all else, breathtaking scenery of the South American continent, including the massive Iguazu waterfalls of Argentina (near its border with Paraguay). Underneath this eye candy, however, is an unevenly directed, and straightforward, though occasionally intriguing, story, topped by somewhat tepid performances from the cast.Based loosely off of true events, The Mission is set in the 1750s in the regions of Argentina, Brazil, and Paraguay, when Spanish and Portuguese colonial forces were continuously seeking to expand their territories and constantly fighting one another. Wrapped up in these colonial skirmishes are the indigenous people of the region, namely the Guarani Indians. Jeremy Irons plays the Jesuit priest and missionary Father Gabriel, who with his comrades seeks to peacefully convert the natives to Christianity and teach them the finer aspects of Western Civilization. Compromising these efforts, however, are Spanish soldiers, particularly the mercenary Rodrigo Mendoza, played by Robert De Niro, who see the natives as savages and no better than animals, useful only as slaves for the Europeans and as occasional hunting targets.Through a tragic sequence of events, however, Mendoza is convicted of murder, and in his grief attempts to seek repentance. Father Gabriel decides to take Mendoza under the wing of his Order, and the group heads back from the Spanish settlement to the missions of the Guarani. Mendoza lives among the peaceful natives and is born anew as a Jesuit priest.The Guarani's and Jesuit's troubles are not over, however. The Portuguese are encroaching on the Guarani missions, seeking to enslave them and create profit for their overseas colonies. The Spanish and the Papacy's emissaries are unsympathetic to the Jesuits' concerns for the Guarani; the official Church, in fact, still does not really recognize the Guarani as human beings. This leaves Father Mendoza, Father Gabriel, their Jesuit compatriots, and the Guarani on their own, and a conflict arises between the Jesuits' views of nonviolence and the increasing necessity of preparing to do battle with the Portuguese, who will certainly destroy them if they do not resist.As stated earlier, the film has a fairly straightforward story. This of course would not be a negative if the story instead chose to focus on character development, but it only provides surface level insight into the main characters played by De Niro and Irons. The Guarani have no prominent role in the film; they are entirely props, background fodder to the white leading stars. In this sense The Mission takes the same path many films about the civil rights movement do: making white characters the main protagonists and leaving the black characters as supporting voices at best, often in order to appeal to a presumably majority white audience. We learn very little about the Guarani themselves beyond the fact that they have spears and seem to readily give up their own beliefs and traditions for Christianity. What are their thoughts and feelings concerning the warring Europeans? Do they truly believe what the Jesuits are telling them, or do they sometimes have doubts? The conflicts between the Papal authorities in South America and the Jesuits are handled well. Historically the Jesuits have been the ""thorn in the paw"" of the Catholic Church despite their nominal allegiance to the Pope, and this is quite evident in the film. The missions are designed in a style similar to the French radicalism of the period (the film is set decades prior to the French Revolution of 1789), where the Guarani share everything in common. This socialistic style is reminiscent of the Marxist liberation theology many priests chose to take in the 20th century, including the American Daniel Berrigan, who in fact has a minor role in this film.The film is beautifully shot and features lush cinematography; however, the battle choreography of the film's climax is somewhat ragged and unrealistic; the relative lack of character development adds to the ""ho hum"" feeling one gets while watching the Portuguese and the Guarani-Jesuit team fight it out on land and in kayaks.The performances are decent though not spectacular. Robert De Niro seems occasionally uncomfortable in his role as Mendoza. Jeremy Irons does a good job as Father Gabriel and the other actors perform adequately. The dialogue, however, is such that none of the performances, except perhaps for Mr. Irons, are very memorable.Apparently The Mission also seeks to give the audience a moral lesson about modern day transgressions against the Guarani and other indigenous people in the Americas, but this is not particularly effective and comes across as cloying and, frankly, patronizing towards the natives, who, as stated earlier, are simply props in this story.Those with an interest in colonial South American history will find this film watchable, as will anyone who enjoys gorgeous scenery. But aside from a few memorable moments, The Mission doesn't stand out as truly brilliant cinema.",6.0,Anonymous,History
