title,content,rating,username,genres
Winslet Impressive In This Two-Movies-In-One Story,"Kate Winslet is just outstanding in this very interesting film that is almost two stories-in-one. The first part is a sexual story of an older woman having affairs with a teenage boy and the second part is her war crimes tale and what happens afterward. The first is a somewhat happy jaunt of a short story and the second is a very serious and depressing story. That's where Winslet really shines. Obviously, she's developed into an an outstanding actress.The second part is what most people, I assume, will remember about this film. Can ""Hanna Schmitz,"" a Nazi employee (so to speak), who was part of concentration camps, be a sympathetic character? To me, that's what it looked like that's the question the story was asking. The answer may have come in the final minutes of the movie when her ex-lover ""Michael Berg,"" now grown up and played by Ralph Fiennes, confronts a survivor of the camp. That, too, was very intense and interesting scene. Lena Olin is riveting as ""Rose/Illana Mather.""""The Reader"" was full of quiet, but intense scenes. This is a very thought-provoking film, especially for one that doesn't start off that way but look almost like some soft-porn flick to get our attention. It is anything but that.For Germans, this film must bring out many emotions and thoughts. Guilt and forgiveness are just two of the issues that are dealt with in this unique film. ""Hanna Schmitz"" turns out to be an incredibly simple-yet-complex person, unlike any I've encountered on film in a long time. You see her in all kinds of light, both good and bad.Kudos, too, to David Kross' acting as the young Michael Berg. It must be strange for someone his age (barely turned 18) to do the scenes he did with 30-something Winslet.Overall, a very different and excellent film that stays with you and makes you ponder its main characters.",9.0,Anonymous,Romance
Right and Wrong,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg (Ralph Fiennes) re-encounters his former lover (Kate Winslet) as she defends herself in a war-crime trial.The film raises the question of whether we should judge someone by the law or rather ""the laws of the time"". And there is a big difference. Of course we know that killing is morally wrong, and those who sent people to death in World War II were morally in the wrong, even if they were only following orders.But were they legally wrong? One could argue not. That is a difficult topic. Like the women of this film, those at the Nuremberg Trial were tried and convicted under laws invented after the war. Laws written by the winners. This makes one wonder: is it right to put someone on trial for something morally wrong, even if it was not legally wrong? And who should decide the laws? Had the Axis won, they could have just as easily declared it illegal to drop atomic bombs on innocent villages and then try, convict and execute Harry Truman.Right and wrong is no easy topic.",7.0,Anonymous,Romance
An insight into the humanity of the inhumane,"Before I start reviewing, let me say something personal: As a German, one can hardly watch movies about the Holocaust, WWII or any related topic unbiased. As I have discovered myself, no German family is without a history related to the Third Reich, almost none are without grave guilt, or at least the fear thereof, and most who say otherwise either lie knowingly, or simply try to evade further inquiry.Reading some of the other reviews, I realized that for me, the movie conveyed something slightly, but decisively different: It is not so much about understanding HOW people could ever do the things they did, but rather how it is possible, that people we love, and people that have been loved by people we love could be so guilty and so loving, so despicable and lovable at the same time. It is about how we expect the guilt to show up somehow, how we expect to know the killer, the monster, at first sight and say: how could anyone not have seen it? Yet we have to admit sooner or later, that we were wrong, or were we? The question really is: How could I have ever loved someone who did things as horrible and disgusting as Hannah did? And just as much: If I am unmerciful now, having learned of their guilt, is it because they did what they did, or because they disappointed my own belief in their innocence?At one point, Hanna Schmitz asks the judge: ""What would you have done?"", and I think that therein lies an even more disturbing and unsettling question: What would I have done? What would you have done? How can anyone know for sure what WE would done? It is too easy to think of oneself as morally sound, with a firm belief in what is right and wrong. It's what Germans call the ""mercy of late birth"" - the luxury of not having been in the position to make that choice.So, what made this movie worth giving the full 10 points out of 10? It is well-crafted, well-played, believable, at times even beautiful. It captures both the fascination Michael feels with Hannah, and his disbelief, even disgust while exploring the ugly truth about her past. It conveys the struggle between our compassion and the reluctance to show mercy against the ones who did not. It leaves the viewer with the same, disturbing questions that have not been answered sufficiently in the past 60 years (nor will they ever be). It does not provide simple answers, but rather raises more questions, left to be unanswered. As Lena Olin's Character says: ""If you want Catharsis, go to the theater!""Other than providing beautiful, well-toned cinematography, a well-written script, love of detail and convincing performances even by the supporting cast - what more can you expect from a truly great movie?",10.0,Anonymous,Romance
"The Reader is a brilliant, sexually charged, and oddly heartbreaking tale about the complexity of human morality and the lifelong repercussions that result from our actions.","There's an urgency in human nature to understand. When it comes to the Holocaust, history's bleak, unsettling period, it doesn't matter what book you've read, film you've seen or account you've heard; in the end, your response it halted by its incomprehensible conclusion. How could humanity course its way towards such a violent, destructive path? How could people knowingly send men, women, and children to their impending doom? Most puzzling, how could the world allow it? Even though its been 63 years since the blood-drenched annals of World War II, its aftermath today is still bone chilling.After a six year celluloid dry spell, Stephen Daldry returns to the director's chair in a brilliant, sexually charged, and oddly heartbreaking tale about the complexity of human morality and the lifelong repercussions that result from our actions. Adapted from Bernhard Schlink's best-selling German novel, ""The Reader,"" Daldry's visual translation is a powerful, emotionally absorbing film that is one of the year's best. It's superbly crafted.With World War II over, Germany, in 1958, is still recovering. Deep within Heidelberg, Germany, Michael (David Kross), a young pubescent teenager haven fallen ill, is comforted by Hanna (Kate Winslet), a hard working woman who is twice his age. Taken by her generosity, Michael revisits Hanna to offer his gratitude. What begins as an awkward reunion escalates into a seductive, forbidden affair that intensifies when Michael begins reading to the distant, empty Hanna, who is deeply awakened by Michael's spoken literature. Too young to understand love's complicated implications, Michael is emotionally devastated when Hanna suddenly disappears. Nearly a decade later, unable to forget his passionate summer while studying law, he attends a Nazi trail, and to his dismay, hears Hanna's distant voice.""The Reader"" is a complex film; maybe a little too complex for some. Though the film pertains to Nazism and the ""sins of our fathers,"" in essence, ""The Reader"" is a film that reflects the emotions inside all of us. During a lecture, Michael's professor comments, ""Societies like to think they operate on morality but they don't."" In this cynical age, how far from reality is that statement? During Hanna's trial, she's questioned why she participated in the Nazi party's horrendous war crimes, broken she replies, ""It was my job."" Oddly enough, that seems to be the justification most people use. Surprisingly, though, ""The Reader"" isn't about her exposure as a war criminal, but an exposure on an individual who took the wrong path. She's not a bad person; she's simply made wrong choices. However, when it comes to having involvement in the Nazi's liquidation of the Jews, how ""wrong"" can you get? ""You ask us to think like lawyers,"" cries on student, ""what are we trying to do?"" A distraught Michael replies, ""We are trying to understand!"" But, just who exactly is trying to grasp a deeper understanding: the court or Michael? How can Hanna's past be forgiven? Director Stephen Daldry brings the much needed emotional layer that a character such as Hanna Schmitz desperately needs. Although her actions are beyond unforgivable, strangely, we sympathize with her. Maybe it's her other shameful secret. Maybe it's superb character development.""The Reader"" is a film that is driven by it's raw performances. In one of her finest hours, Kate Winslet gives the performance of a lifetime. It's a haunting and heart-breaking. David Kross, who's only 18, is impressive as the teenager with raging hormones; it's such a daring performance. Winselt and Kross bring this picture together. Their performances are jaw-droppingly brilliant. Completing the role of Michael, as the tortured grown man, is Ralph Fiennes, who balances Michael's despair through his melancholic emotion when he encounters a grown Jewish woman, played by Lena Olin, who was also at Hanna's trail. Although her scenes clock in less than 10 minutes, Olin, too, is breathtaking.When ""The Reader's"" credits rolled, I sat quietly shaken by what I had witnessed. It's a film that is impossible to forget. When a grown Michael asks Hanna, ""Have you spent much time thinking about the past?"" Heartbroken, she replies, ""It doesn't matter what I think. It doesn't matter what I feel. The dead are still dead."" She's right.",10.0,Anonymous,Romance
Never underestimate the power of guilt,"Kate Winslet, I absolutely adore her, she's my favorite actress of all time. I still can't believe that she hadn't won an Oscar, her first nomination was in 1995 with Sense and Sensibility. Finally after 14 long years, she finally won the coveted award with the movie The Reader. I finally was able to see this movie the other day and it blew me away, I'm still debating if this really was my favorite Kate Winslet performance, but once again with a strong cast telling a powerful story, The Reader was definitely one of the best films out of 2008. So many holocaust films have been made, it's hard to make another that stands out, but we really haven't had a story where the Nazi guards were on trial. A lot of people debate if this movie is trying too hard to push sympathy on Kate Winslet's character, but my love for this film is to just show that they were human as well, hard to believe, but that our mothers, sisters, friends, whoever could have done something so shameful.Michael Berg in 1995 Berlin watches an S-Bahn pass by, flashing back to a tram in 1958 Neustadt. A teenage Michael gets off because he is feeling sick and wanders around the streets afterwards, finally pausing in the entryway of a nearby apartment building where he vomits. Hanna Schmitz, the tram conductor, comes in and assists him in returning home. The 36 year old Hanna seduces and begins an affair with the 15 year old boy. During their liaisons, at her apartment, he reads to her literary works he is studying. After a bicycling trip, Hanna learns she is being promoted to a clerical job at the tram company. She abruptly moves without leaving a trace. The adult Michael, a lawyer, at Heidelberg University law school in 1966. As part of a special seminar taught by Professor Rohl, a camp survivor, he observes a trial of several women who were accused of letting 300 Jewish women die in a burning church when they were SS guards on the death march following the 1944 evacuation of Auschwitz. Hanna is one of the defendants. Stunned, Michael visits a former camp himself. The trial divides the seminar, with one student angrily saying there is nothing to be learned from it other than that evil acts occurred and that the older generation of Germans should kill themselves for their failure to act then. But Michael is conflicted on what to do, if to speak out on Hannah's behalf on some of her innocence in the murders or keep quiet.This is one of the most powerful movies I have ever seen, it was so incredible and just heart breaking. One of the things I respected about the film was the way they handled the awkward ""love story"" between Michael and Hannah, she's older, he's younger, but it's not even a perverted thing, so strange to say that. I don't know how to put it exactly, but their connection was real and in some sense they both needed each other. If you have the chance to see this movie, I seriously suggest that you take it, the powerful performances really make this film captivating. The story is so heart wrenching and painful, but was told so well. Kate now finally has the award she's deserved for so long and pulls in a terrific performance with The Reader.10/10",10.0,Anonymous,Romance
"Reading, Writing and the Wonderful Kate","David Hare wrote one of my favorite female characters in ""Plenty"", Meryl Streep brought her to life in the most extraordinary way. Here, Hare writes another power house female character. It doesn't have the intellectual aspirations of ""Plenty"" but there is also a form of mental illness in his character. Kate Winslet is magnificent. Her early scenes with the wonderful David Kross are filled with compelling, contradictory and totally believable undertones. My misgivings are to be pinned on Stephen Daldry, the director. His sins as a filmmaker start to become a sort of trade mark, visible and palpable in the moving ""Billy Elliot"" and the shattering ""The Hours"" I can't quite pinpoint what it is but in ""The Reader"" that element is more obvious than in the other two. Maybe it has to do with loftiness. There are moments so frustratingly long and slow here that he lost me in more than one occasion. In any case, the cast makes this film a rewarding experience. Besides Kate Winslet and David Kross. The tortured Ralph Finnes has a couple of wonderful moments as well as Bruno Ganz and Lina Olin in a dual role.",7.0,Anonymous,Romance
A victim's guilt,"The film is a series of profound moral dilemmaswhile contrived by the author, they are fair questionsthat resonate deeply in the 21st Century: The role of guilt in victims, perpetrators, individuals and collectively, as well as justice, forgiveness, redemption, shame and, of course, literacy and its role in Western thought.All this is a pretty heady mix for a film, but Stephen Daldry (as with ""The Hours"" ) makes literary conceit play very naturally here. David Hare's screenplay and the remarkable cinematography of the always remarkable Roger Deakins together with a sensitive score by Nico Muhly, this is indeed rarefied film-making.But the actors are what drag the audience into this story. David Kross is amazing as the young Michael who has to play a range of virginal innocent to wizened and bitter. It's the key role in the film, and we're all lucky he was found to play this role. And the ever confounding Kate Winslet. What an amazing career for this young actress! Running through a list of her credits, she has some of the best performances of the last decade: ""Holy Smoke,"" ""Eternal Sunshine,"" ""Iris,"" ""Finding Neverland,"" ""Little Children."" But here she does something very different. Playing what amounts to a monster, we see that they too are human. Not many actresses could bring this off, but it may be her greatest accomplishment to date.Ralph Fiennes brings a continuity to the work David Kross begins, and there's a brief appearance by Lena Olin who commands the dignity the role deserves.I'm puzzled at the lukewarm reception to this film. I almost missed seeing it. And it turned out to be one of my favorite and the most heart-rending films of the year. All involved should be very proud.",10.0,Anonymous,Romance
I'd rather re-watch the Reader than re-read The Watcher.,"It's taken me a while to review this...You know, it's rare for me to watch the film (that means ""movie"" in German) and THEN read the book, no disrespect against intended against literature and the films thereof.I was in what British people call ""college"" but was actually high school and I had a free period last thing on Friday. I would try to get all the homework and reading out of the way so I could read something and at one point I read this.The book has kind of skewed my vision of the movie and I suppose I owe it a re-watch to that end.First things, first: elephant in the room: there is exactly one language this movie should be in and ever should have been in and that language beings with a G and rhymes with ""merman"". This cannot be said enough.But it's good though. I was bemused to find out that my dad had watched it and sort of liked it. In any case he called ""disturbing"" and I suppose it is in a way that doesn't really activate until you are going over it in your mind days later and I suspect, love or hate it, it will burrow into you.The novel is sort of a parallel of a young boy's disillusionment with the woman who quote unquote ""made him a man"" with the struggle of the Teutonic people to come to terms with the whole Hitler thing.The wonderful thing about a lichtspiel (that means ""film"" in German) is how it can seem to fill your whole world or at least your evening but is still on the whole a very efficient non-committal medium of narrative so you're getting a much less chunky experience than the book (I forget the German word for that).But it's all there: act one is the ""dear penthouse"" part which in Act 2 develops into an adorable age discrepant romance that in Act 3 suddenly gets pretty grim.I suppose it's ultimately a retrospective on how good things never really last and there's something bad within every good thing (and vice versa).A curiously lyrically but oddly sobering experience.At least it's still in German accents.",7.0,Anonymous,Romance
A thoughtful and plausible examination of guilt.,"Very well acted and presented and a faithful representation of the main points of the novel on which it is based. This film encourages us to look closely at very difficult issues surrounding the atrocities of World War II. I am at a loss to understand why so many critics have been so damning of it. Perhaps it is too subtle for them to understand. It seeks to outlaw the false and intellectually lazy theory to explain the holocaust, namely that the horrors were committed by monsters. In its place we are offered contextualization, not as excuse but as explanation of how quite ordinary people were able to do extraordinarily dreadful things. We avoid these uncomfortable facts at our peril.",10.0,Anonymous,Romance
The Kind of Film to Admire Rather Than Fall in Love With,"""The Reader"" is full of interesting ideas, but it suffers from lacklustre execution.The central question at the heart of the story is whether or not we'll ever be able to distance ourselves enough from the Holocaust to understand how it was allowed to happen. Categorizing every person who played a role in it as a monster is easy and it provides an emotional catharsis, but it also prevents us from learning from history. After all, not every person who worked in a concentration camp was evil -- many of them were just people doing their jobs without any of the historical context we now have. And if we disregard them as something inhuman, we won't be able to know how to prevent something similar from happening again.This question plays out in the story of Hannah, a former concentration camp guard (played by Kate Winslet), and Michael, played as a young man by David Kross and as an older man by Ralph Fiennes. Hannah and David have an affair before David knows of Hannah's past, and comes across her again years later when he's a law student and she's on trial as a war criminal. David must reconcile his loathing of what Hannah did with the fact that he knows she's not a monster. Hannah's real shame are not her crimes, but rather the fact that she never learned to read, and the film's best moments come in the third act when Michael, as a way of expiating some of the guilt he feels at not coming to Hannah's defense when he knew information that would have helped her case, records himself reading some of Hannah's favorite stories and sends them to her in prison.""The Reader"" is a solid piece of film-making, but it has that ever-so-slightly-embalmed quality that comes when a director and writer feel the need to be too respectful to the source material. It's sombre and tactful and always feels more like a filmed book than a movie. It never comes cinematically alive. It boasts good performances, especially from Winslet and Lena Olin, who has brief dual roles as mother and daughter concentration camp survivors. And it has one all-too-brief thrilling sequence in which Winslet's character decides to spend her time in prison learning to read -- just watch Winslet's face as Hannah recognizes the word ""the"" for the first time. Otherwise, it's the kind of movie to admire rather than fall in love with.Grade: B+",7.0,Anonymous,Romance
A good second half,"The first half of this movie, which focuses on the relationship between a young man (16 or so) and a middle-aged woman, is beautifully shot but pretty empty. It is as if the talent behind something like a Merchant-Ivory film (minus the script writer) had grabbed the first story that came to hand and filmed it just to keep busy. It's beautifully done, but apparently pointless.Then, once the trial starts, the movie gets MUCH more interesting. Kate Winslet gives a truly first-rate performance as a very difficult character whom we only come to understand over time. This second half held me.Yet, after it was over and I discussed it with the person with whom I had seen it, I found weaknesses as well as strengths. Michael, the young man who has an affair with Hanna, is studying law and guilt, but he really never has interesting things to say on Hanna's involvement. His conversations with his professor could have been much more interesting and better written.In the same sense, Hanna's preoccupation with order and fear of chaos, which play so important a role in the second half of the film, could have been developed in the first half. As could have been her shame over her ""deficiency.""Not the great movie some critics seem to be hailing it as, therefore, but still worth a viewing, especially for Winslet's truly impressive performance.",7.0,Anonymous,Romance
About As Unbiased and Objective As Any Form Of A Medium Can Get,"The Reader is one of my favorite movies from the year 2008. It is incredibly complex in the way you react to the characters of the movie. It carries many emotions from sensuality to anger all the way back to that of sympathy and resolution. Many moves advertise themselves as unbiased and fair but nothing gets close to that like The Reader which is able to build sympathy for a character you would never think you could feel towards.The acting in the movie was phenomenal. Especially that of Kate Winslet who draws out many emotions from whoever is watching. She plays an ex-Nazi guard who has an affair with a 16 year old boy played very well by David Kross. Her bitter, cold attitude, random behavior as well as her past history seems unjustifiable and deplorable. Yet you can do nothing more than feel empathy and compassion towards the shame and humiliation she feels about her one well kept secret. In the course of her affair she ask for one thing, to be read to. From this do you see the humanity within her. Ralph Fiennes also gave quite a nice performance as an older Michael Berg who looks back on his life and then later finds a way to open himself up through his time of self reflection and sudden realizations towards life. David Kross plays the younger Michael Berg whose performance was undoubtedly a very good one, maintaining his presence in not letting himself being totally overshadowed. Overall the performances are very deep and will keep you thinking long after you have seen the movie.The directing and writing also was very key to the emotions felt in this movie. Every scene had to be done precisely and consistently to feel genuinely touched rather than feeling falsely drawn in. Stephen Daldry did that under his great subtle direction. The writing by David Hare allowed actors such as Ralph Fiennes, David Kross and of course Kate Winslet to give such stunning and deep performances and take the film to another level.I found this movie to be very compelling in many ways. The emotions felt here were not cheap gimmicks but that of feeling true sympathy and forgiveness towards what we would normally describe as something wrong, shameful and reprehensible. I can't remember another film that made me feel these emotions for a character especially after learning one startling secret after another. This film succeeded in ways that almost movie would likely fail in, it did not come off as generous or light but as remarkably fair as a film or any type of medium can get shedding light on both sides of the spectrum. This is a film that is amazingly thought provoking and will bring out the humanity within all of us and should not be missed.",10.0,Anonymous,Romance
Evil often has a human face,"Directed by Stephen Daldry and written by David Hare, ""The Reader"" is a thought-provoking and surprising drama that takes the viewer in several different directions. Though some reviewers on this site are critical of Daldry and the film, in lesser hands, ""The Reader"" would be a total, erratic mess.The story is told in flashback as the adult Michael Berg (Ralph Fiennes) remembers his youth. As a 15-year-old boy, the young Michael (David Kross) has his first forays into sex with an older woman, Hanna Schmitz (Kate Winslet) in 1958 Berlin. She helps him when he winds up on her doorstep, ill with scarlet fever; he returns to thank her when he's well. The two enter into a sexual relationship. As part of their time together, Hanna has Michael read to her. One day, Hanna simply disappears. The next time Michael sees her is in 1966, when he is a law student in Heidelberg and his class travels to watch a trial. It is then he realizes not one secret that Hanna carried with her, but two.""The Reader"" is, above all, a very human story of real, conflicted human beings, and the brilliant performances reflect this. David Kross is exceptional as the young Michael, in the throes of first, blinding passion, who, in the face of the truth about the woman he loved, endeavors to understand her nonetheless. Kate Winslet is magnificent, and that's the only word for her. Hardened by life and her unsentimental and uncompromising view of the world, she is cut off from people due to a secret she considers shameful. With Michael she allows herself some softness, and gives in to not only passion but emotion, sobbing when Michael reads a sad story to her. Winslet shows us all of this, her need to connect with someone, and her strict view of life. Ralph Fiennes turns in another excellent performance; Michael's world and his own isolation were shaped by Hanna. As an adult, he still grapples with a decision he made and his own guilt; he still tries to understand not only her but how he could love her, and in the midst of all of these complex emotions, he believes he owes her something. He ends up giving her the greatest gift he could - her dignity.As with ""Dead Man Walking,"" there is more to a person than his or her actions, reprehensible though they may be. We are not, after all, what we do but who we are. While some crimes are unforgivable, there is, shockingly, at times a connection with the perpetrator that allows us to see the person and extend a consideration that person never gave another. Thus murderers have loving parents and family, and someone who showed inhumanity to others has a little humanity shown them.A very remarkable story.",9.0,Anonymous,Romance
Sympathy for the devil,"The Reader is a film which for the first half of its running time goes to great pains to make sure the viewer sympathizes with the character of Hanna Schmitz. Nevermind the fact that Hanna, a woman in her mid-30s living a quiet life as a tram conductor in Germany in 1958, is carrying on an obviously inappropriate love affair with a 15-year old boy. And in actuality there is not much love at all in this supposed love affair, this is pretty much all about sex. Well, sex and reading as Hanna makes her young lover, Michael Berg, read to her before they get down to business. The reading angle is curious to say the least but that will make sense in time. Anyhow we watch as Hanna seduces the young, innocent Michael. And watch and watch and watch again as this movie certainly doesn't skimp on the sex scenes. And despite the nagging sense that this relationship is obviously wrong the film makes no bones about the fact that we're supposed to feel empathy with Hanna, to be on her side. And then just like that Hanna disappears. Eight years later we see her again. But now Hanna Schmitz is on trial. And we learn her dark secret. Hanna Schmitz was a death camp guard, responsible for the deaths of countless innocents. Are we still meant to have empathy for this woman? It's a lot harder now that's for sure. If we pity her maybe it is because of her other secret, the one she keeps hidden as she finds it to be even more shameful than her death camp atrocities. Sorting out our feelings for the complex character of Hanna Schmitz will not be easy. And we're just watching the story, Michael Berg is living it. His coming to grips with the truths with which he is confronted is what it seems this movie is ultimately all about.This is a movie which asks a lot of questions to which it appears there are no comfortable answers. Most centrally, once we learn the truth about Hanna's horrible past should we not be repulsed by this character? She is pure evil, isn't she? Or was she just, as she rather coldly explains it, doing her job? After spending so much time embracing Hanna is it so easy, for us and for Michael, to all of a sudden perceive her to be some sort of devilish monster? There is no doubt that the story this movie has to tell is a unique and thought-provoking one. And with Kate Winslet playing Hanna you know you can count on a thoroughly professional and powerful performance in the key role. Perhaps even more impressive than Winslet is David Kross in his portrayal of young Michael. We expect Winslet to be brilliant, we also expect that she may thoroughly overpower and overshadow her young counterpart. Many young actors, matched against one of the leading actresses of our time, would have been completely in over their head in this thoroughly challenging role. But Kross holds his own. Ralph Fiennes bookends the film with his portrayal of the older, adult Michael and it almost seems as if he is in an entirely different movie than everybody else. He's there at the beginning, he's there at the end and he has a moment or two sprinkled in the middle but wherever he is there's a sense that in his scenes things are somehow a bit off. No fault of his performance which is fine for what he is given to do. But this movie belongs to Winslet and Kross. As the story plays out these two performers create characters you can't help but feel for. Even if in Hanna's case you ultimately find yourself questioning what exactly it is you should be feeling. And truth be told Michael will not be found to be faultless either. Maybe he doesn't always do the right thing. Sometimes though it is not crystal clear exactly what the right thing is.There is no denying that this is a powerful film. And Winslet and Kross are certainly excellent in it. Perhaps it doesn't all come together as well as you might hope. The flashback structure doesn't always work perfectly. The pace does drag at times. And when the movie finally comes to its end there's a bit of a sense of anticlimax. It's as if the movie has reached its natural ending point but there's still another scene to be tacked on, a scene which makes sense for the story but by that point all the drama has really played itself out. But for whatever flaws there may be along the way there is no doubt that the story this movie tells is a fascinating and powerful one. And that story makes the movie well worth seeing.",7.0,Anonymous,Romance
Warning: This Review Contains Full Frontal Nudity,"Warning: this review contains full frontal nudity. But that's okay, because you really can't get a grip on the Holocaust until you've had a gynecologist's eye view of Kate Winslet's naked *&^%s.""The Reader"" is pretentious cheese. It isn't honest enough to be straightforward soft-core coming-of-age porn, or to be a hard-hitting, revelatory Holocaust movie. Rather, it's a clunky and silly film that attempts to graft the one onto the other and succeeds at neither. ""The Reader"" brings the viewer in, and then teases him, with a half hour of almost uninterrupted simulated bodily functions, combined with nude bathing. It's all a great big, high school literature class metaphor about the washing off of guilt, dontcha know. Then ""The Reader"" devotes its remaining hours to scenes of well-dressed, attractive young Germans sitting around asking and declaring, ""Who's guilty? Aren't all our parents guilty? I hate my parents."" Overlaying every boring, banal, scene and vapid line of dialogue with ponderous, self-important gas, ""The Reader"" ultimately succeeds at neither serious discussion nor eroticism.From top to bottom, the cast is first rate. David Kross is achingly poignant as teenager Michael Berg, who, in the 1950s, loses his virginity in an affair with Hanna Schmitz, a 36-year-old, former SS concentration camp guard. Kross is both intimately human and vulnerable and also larger than life and every bit the compelling, big screen movie star. In that he reminds the viewer of the young Peter O'Toole. May Kross have a long and bountiful career.In the ""deleted scenes"" reel on the DVD, there are three fine scenes that could have served as centers of three fine movies. In the most gripping, Thomas Thieme is a truck driver who gives Kross a ride on a backwoods road where a large horse is transporting logs. Thieme is repulsive, terrifying, and also clearly human and in need of understanding. In another deleted scene, in a conversation with his professor (the always brilliant Bruno Ganz) an attractive German boy admits that his father was an SS guard. In a third deleted scene, a prisoner painstakingly learns to read in a prison cell. That these three fabulous scenes were deleted, while endless scenes of nude bathing were kept, informs you of the filmmakers' eye on the box office.In the DVD commentary, the film's director Stephen Daldry, CBE (Commander of the British Empire), script writer David Hare, and novelist Bernhard Schlink smugly pat themselves on the back. Wearing professorial clothing, tweeds and nubbly sweaters, these graying white men express how mah-velous, perfectly mah-velous it is that they've made such a big, fat, profound film that will finally get people to engage in some serious thought about the Holocaust. Significantly, they never mention a single other of the, by now, millions of works of art that got to the topic before they did, nor do they ever address their pimping out Kate Winslet's &^%*s to make their contribution to the body of Holocaust lit stand out.Check out the IMDb discussion board for ""The Reader."" Most threads are devoted to such deep and heavy topics as clinically detailed examinations of the tautness and firmness, pendulousness or sag of Kate Winslet's #*&^'s, the straightness or curvature and length of David Kross' %$#^*, the specific acts that the characters engage in, and what bodily orifices are employed.This review is not a protest against erotica; it's a protest against BS. This review isn't even a protest against the disturbingly burgeoning subgenre of Holocaust porn. In fact there is a brilliant, scathing, unforgettable scene in ""Schindler's List"" where Nazi concentration camp commandant Amon Goeth (Ralph Fiennes) menaces his Jewish slave, Helen Hirsch (Embeth Davidtz) as she bathes in a cramped basement. That scene is so powerful and unforgettable because it has two things ""The Reader"" completely lacks: psychological insight – the viewer knows exactly who Goeth and Hirsch are and what their relationship is to each other, and, thus, complexity and depth, and stylistic sophistication – Goeth does all the talking. He imagines Helen's replies.Look, there is worthy art out there about the Holocaust. Read Elie Wiesel's ""Night,"" Borowski's ""This Way to the Gas;"" Rufeisen's ""In the Lion's Den,"" see ""Schindler's List,"" ""Europa Europa,"" ""The Gray Zone,"" ""Shoah,"" or ""The Shop on Main Street."" There's also really good soft-core porn out there, much of it free on the internet. ""The Reader"" gains nothing, and says nothing, in its pretentious, but commercially shrewd, attempt to combine the two genres.",1.0,Anonymous,Romance
A Great Read,"We don't know. We think we do but we don't. We make decisions or sometimes decisions are made for us but we think we've made them. Then suddenly, there we are. We can't be certain how we got there or where we will be when everything settles but we do know that we are alive. Some experiences are life altering and we can run from them or embrace them. Staying to see them through though can bring incredible bliss but also tormented turmoil. We just never know. One such experience was had by a young Michael Berg (David Kross) and is chronicled in Stephen Daldry's THE READER. How could he know that when he pulled into an alley to be sick that he would meet the woman who would shape his entire life? How could he know that getting close to her would pull him the furthest he's ever been from himself?Of course, when you're a sixteen-year-old boy and a woman who looks like Kate Winslet disrobes in front of you in the privacy of her bathroom, how much thought really goes into the decision that has presented itself? However little it is, it is certainly less than is warranted. This is especially true in West Germany of 1958. This is a Germany that is uncertain how to proceed, how to be its new self in the eyes of the world and the eyes of its very own future generations. Winslet plays Hanna Schmitz, a compassionate woman but also abrasive and stern. Winslet strikes the perfect balance between directness and desire in Schmitz, making her complexities part of her appeal. She is a good fifteen years older than the young Berg and she knows much better than he of her country's history. What he knows, he has read in books, been taught in school. What she knows, she lived first hand. So when the two come together, naked in each other's arms, the meeting is as redemptive as it is passionate. Berg is just happy to be in love and having sex but Schmitz is washing herself clean with the youthful vigor of Germany's tomorrow.The summer ends and so does the affair, as one would expect. Just when it would seem that the two would never meet again, life steps in to ensure that past decisions, perhaps made in haste, can come to see their consequences. Berg has grown some and is a college man, studying to be a lawyer, when he catches sight of Hanna Schmitz again. Their latest chance encounter is far less exciting though as he sees her on a class outing to a courthouse. Schmitz is on trial for crimes against humanity for her time as an officer in the Nazi party during the Second World War. Berg's memory of his first love would now become a question of his own morality. How could he love someone who was now accused of such atrocities? How could he be so intimate with someone he apparently never truly knew? And yet, now that he knows her past, does he really know how her past came to be? After all, what is the face of evil? Is it Hanna Schmitz or is it something incredibly bigger than her?Ralph Fiennes is the future of Germany. He plays Berg as an adult. His life is orderly, very clean, crisp and cold. He made decisions that made him the man he is and he can never say whether they were the right ones or not. What he can see is that we all make decisions that either hurt or harm other people and that the atrocities committed by his past generations are not as far outside the realm of understanding as he might have originally thought. More importantly, redemption is not that far either.",8.0,Anonymous,Romance
