title,content,rating,username,genres
One of the best horrors of the 2000s,"'The Ring' is one of the few horror films that still makes me jump after multiple viewings and is probably up there as one of my favourites of the genre. I've always admired the way this film seems to sustain a high level of tension from practically start to finish. I can't think of many films that have done a better job at creating an eerie atmosphere and a level of creepiness that never seems to erode away no matter how many times you watch it.Part of the reason I like this film so much is it has a storyline you can actually buy into. Too many horrors focus too much on trying to scare the audience without giving enough thought to plot. For me an eerie horror like this with a convincing plot trumps anything that relies on gore and jump scares. Personally I would consider 'The Ring' is be one of the best horror films of the 2000s. Strong story, solid acting, successfully creepy and just as effective on second and third viewing.",8.0,Anonymous,"Horror, Mystery"
All is Not Well That Ends Well...,"If you watch the video and then the phone rings, you've got a week to wait, to find out what it will bring, or rather what it will take away, as it's quite a significant price you have to pay, just for pressing play, to see Samara spring.Still a great piece of horror film making.",8.0,Anonymous,"Horror, Mystery"
One of the scariest films I've ever seen!,"I've been watching horror movies for a long time, and I always consider myself to be some what desensitized. When I saw this film when it was released in 2002, I was terrified. Whereas other scary movies I had seen before it tended to be predictable, this one wasn't. Certain images were unexpected and shocking to me. The plot is well-placed and the setting dark and dreary. Such natural things in the world are given new meaning within the film's context.Watching it again 18 years later, I know what to expect, but it still gives me shivers. This is a solid horror/suspense film and I appreciate it in light of the tendency towards gore which followed.",8.0,Anonymous,"Horror, Mystery"
A Big Scare,"I must say that I consider myself to be a lover of horror, but much too often, sex and gore is subsituted for real horror and you don't get that feeling of genuine fear in the pit of your stomach.  Not so with ""The Ring"". Never have I seen a film that has affected me so.  The images seem to tug at your subconscious, at the dark things we keep inside.  I haven't been able to close my eyes without replaying bits of the film behind my eyelids. I have slept with the light on since I've seen it, and we can't stop talking about it.  Hands down, it was the best, the scariest, the creepiest, and the most intense horror film ever.  The audience in the theater all gripped their armrests, breathed heavily and felt everything the characters were experiencing.  It was excellent!  But beware.... don't expect to leave ""The Ring"" in the movie theater, it will certainly be with you for a long time.",,Anonymous,"Horror, Mystery"
Visually intense creepfest--different purpose than the original,"This film is the American take on the Japanese original and while it absorbs its source material intact, it twists around its formula a bit in order to make it fit its new surroundings. The story is the same: a journalist, after losing her niece to a mysterious circumstance, investigates and discovers a cursed videotape, which gives a viewer only seven days to live.Like its predecessors, the film doesn't spend that much time on the supernatural elements, but focuses more on the mystery. However, The Ring features a lot more supernatural elements immediately and throughout the film than either previous version, perhaps to make more obvious and visceral the impending doom that faces our protagonist. Visually, The Ring has been injected with a shot of adrenaline, being less the brooding mystery of the original and more immediate and menacing. The color palette is colder than Ringu and the story is also more detached and focused on the ghostly mechanics than the human story, which leads the film to be more recognizably intimidating.The story itself is a little more mysterious in that the backstory of our villain is rather thin and unexplained. Furthermore, the villain is clearly portrayed as senselessly malevolent; this weakens at least two significant scenes. The ending, I think, is more clever than the previous versions. I like that there is something to the relationship between the protagonist, Rachel, and her ally, Noah, but it still seems a little weak when compared to Ringu--where one line can effortlessly show the development in the relationship.As far as a horror movie goes, The Ring is a blunt, but nonetheless creepy example. Losing some of the trappings of its predecessors helps simplify the story for faster flow and to create room for more visual creepiness, but also loses some of the complexity that helped the story have more depth. It's more of impressive frightfest than Ringu, but is a little weaker in story resonance. In the end, that makes The Ring just as effective overall: if you want more chills, catch this version. If you want more meat, catch Ringu. Decent entertainment. 7/10.",7.0,Anonymous,"Horror, Mystery"
Undeclared Horror Masterpiece,"The Ring usually gets a bad rep for being ""too slow"" and some people even say that ""nothing happens"" in the movie. Unless you have ADD or something, you have to at least appreciate what Gore Verbinski achieved in 2002. What he did was he basically took the premise of Ringu, a good suspenseful Japanese horror flick and made it more suspenseful and filled with creepy visuals.I am a huge horror fan, and this is one of the movies that unsettles me the most. The suspenseful pace, the incredible, beautiful but haunting visuals make this a unique experience. I love gory films, but this one relies a lot more on psychological horror and imagery to create scares. No jump scares, just good story telling.The movie may not answer all the questions it creates, but the viewer, if he pays attention accordingly, will be able to figure them out for himself.Unsettling to the bone, The Ring is one of my favorite horror films of all time. Truly underrated.",10.0,Anonymous,"Horror, Mystery"
The Ringu,I think Aiden is way more frightening than Samara.,6.0,Anonymous,"Horror, Mystery"
Great!,"This movie makes you realize why so many other movies fail to be scary...not enough psychological elements. What this movie does right is that it skips the gore, and blood, and over-the-top overacting crazed lunatics that seem the norm in horror movies.I saw this with a friend in the theater and 10 minutes in we were sinking into our chairs with fear. Not even the annoying teens making their phones ring to scare their friends (when you see the movie you will understand why) were a powerful enough distraction to undo the terror we felt.Definitely see it, make sure you have as big a TV as you can get your hands on when you rent it, and that you watch it at night in the dark...if you want the full effect. Also, make sure you rent it on DVD and NOT cassette...you know, just to be safe ;)",10.0,Anonymous,"Horror, Mystery"
"scary, thoughtful and satisfying which is fine with me","These last years, apart from the rendering of popular comic strips and the adaptation of TV series for the big screen, American cinema feels a vivacious interest for Oriental culture, especially the Japanese one. Quentin Tarantino's violent and hollow ""Kill Bill"" (2003/2004) was supposed to be an homage to the samurai movie (but I'm not a Tarantino buff by a long shot). In the derivative ""the Last Samurai"" (2003), Tom Cruise discovered the secrets and treasures of Japanese civilization while Sofia Coppola used the city of Tokyo as the backdrop for her triumphant ""Lost in Translation"" (2003). Gore Verbinski chose a more direct and easy way to get interested in Japanese culture: to make a remake of a Japanese movie which became a sleeper: ""Ringu"" (1998). Against all odds, he made a killing with it although he's an uneven director. ""Mousehunt"" (1997) was a formulaic but enjoyable comedy but ""the Mexican"" (2001) was a lame movie. Some friends had told me: ""don't watch ""the Ring"", it's a hokey movie"". I think they misjudged it and I found this supernatural thriller quite intriguing and gripping. It has enough commendable stuff in store to grab the audience. I haven't seen the original movie and so I will avoid any comparison.The starting point promises great things and Verbinski will deliver them throughout his flick. The main character, Rachel wants to investigate about a mysterious and cursed videotape which causes the death of the viewer seven days after the latter watched it. What do these outlandish and eerie images mean? What lies beneath them? At her own risk, she and her son watch the video. She has one week to find out the meaning and the omen of the video. ""The Ring"" could well illustrate this famous premise: ""to understand evil, we've got to go back to the sources..."".What distinguishes ""the Ring"" from other horror stuff of these last years is that there's a solid scenario which holds water until the very last minutes of Rachel's adventure and shelves quite an important number of formulaic ingredients. Special effects which have seemed to become the backbone for many horror flicks are used only when necessary and without flashy effects. Still better, Verbinski shows respect for the audience by clarifying as much as possible obscure points of the story. On an unhurried pace, Verbinski takes all his time to film Rachel's investigation. His directing is also worth the price of admission. It is well-crafted and set with clockwork precision for the schedule of spooky moments. Besides, what is notable in ""the Ring"" is that Verbinski delays as much as possible chilling sequences to better play with the viewer's nerves. This entails an unsettling aura which helps to convey a latent tension. Lighting and makeup shouldn't also be forgotten.The thrust of ""the Ring"" isn't only to entertain and to make shiver. It is also doubled by a reflexion on the power of the image. One of the images of the film depicts a woman in front of a mirror looking at the camera. So, she's also looking at the viewer. This is unhealthy voyeurism that the movie denounces like the insensible media which expose to the mainstream, woes and sorrows of the victims and so manipulate the viewers' fears. The sequence during which Ann Morgan's husband is incensed by Rachel's will to learn more about Samara rings thoroughly true. Moreover, these seemingly maladjusted images embody symbols: the chair and the lighthouse illustrate loneliness, the figure at the window (a hint at ""Psycho""?, 1960) might symbolize parental severity.That said, Verbinski's genteel piece of work isn't exempted of drawbacks. Rachel's little boy is a cardboard character, a vague cousin of Haley Joel Osment in ""the Sixth Sense"" (1999). When Samara gets out of the well and the screen to kill Rachel's companion, it's nearly Punch and Judy and the first sequence with the two female students in their twenties something, all alone in a house in which strange phenomena and false alarms occur... well, you get the picture. But they're minor quibble and don't overflow too much on the thrill of the vision.I repeat it: I haven't seen the Japanese ambassador but when a remake is able both to scare with reserve, without flashy special effects and to make the viewer think about what he watches, it can be gratifying. And in the case of ""the Ring"", rightly so...A sequel ""the Ring 2"" opened last year. Is it worthwhile?",7.0,Anonymous,"Horror, Mystery"
"disturbing, unsettling and downright creepy.","I first watched this movie with a couple of friends. To be honest, I was expecting a teenage, slasher flick, I was proved wrong.The film circles around a cursed videotape that causes it's viewers to die in seven days. Investigative journalist, Rachel Keller, begins to uncover the secrets of the videotape, and must race against the clock to save herself.The movie was very unsettling and disturbing, which worked more effectively than some teens getting slashed with axes. The videotape was nightmarish and disturbing, and the images will stay with you long after the movie. The setting was gloomy and atmospheric, which enhanced the mood. Naomi Watts portrayed Rachel perfectly, her emotions are believable and haunting.So if you are looking for a horror flick to watch on Friday night, be sure to watch The Ring, just make sure to watch it at night with the lights off.",9.0,Anonymous,"Horror, Mystery"
