title,content,rating,username,genres
Highly Recommended,"I was lucky enough to see The Rocker at a free screening and laughed all the way through the movie. Very funny. I enjoyed the movie so much, I saw it again at another screening, and it was just as funny the second time. Rainn Wilson turns in a very good performance as Robert ""Fish"" Fishman in his movie debut, however the part could have just as easily been played by Jack Black. Wilson plays a rock drummer who is kicked out of his band just before they make it big. Fast forward 20 years and he has a chance to live the rock-n-roll dream again with a new band. If you liked ""Almost Famous"" or ""School of Rock,"" then you will like this movie more. While rated PG13, the movie contains no F-bombs or sex scenes and is a movie parents can feel safe letting their teen and pre-teen children go see. Parents will want to see this movie as well.",7.0,Anonymous,Music
"The Rocker has a really funny beginning, even the middle is fun, but the conclusion was horrible","I don't know why, from the trailer I didn't really want to see The Rocker, it looked like another silly teenage comedy, but I had the opportunity to see it for free and decided to go ahead and give it a fair chance. So I saw it yesterday and honestly, I thought it was a pretty decent comedy, much better than I expected. But it fell flat and became a predictable movie, I don't mind them every once in a while, but this story could have had a better ending that surprised us all. I love Rainn Wilson, ever since I saw him way back in House of 1000 Corpses, I just thought something strange stood out about this guy, he eventually became bigger in the hit TV show The Office. He's now the new male lead in a comedy, now he's decent, he did make me laugh like crazy in a lot of his scenes, but I think he could have held his own a little better, he's good, but he's not great as a leading comedic actor.He plays Fish, a drummer for a rock band that later goes platinum after kicking him out. His life as an adult isn't so great, the band is doing very well even 20 years later. Fish moves in with his sister, his nephew asks him to play drums in his band when their drummer can't play with them any more, but later Fish gets in trouble with his sister and can't live with her any more. But his nephew sets up a way through the internet and camera's, but when Fish doesn't know the camera is filming him naked, a new internet era is born of the Naked Drummer. ADD, the band he's playing with his nephew, becomes huge and fame takes a tole on the kids as well as Fish's old age.Now over all, I did like The Rocker, I think it's worth a matinée price, it's a fun and silly comedy that gives you a few good laughs. Mainly by Rainn Wilson, I couldn't help but laugh hysterically when he finds out the band is kicking him out and he jumps on the van that they're driving away in and is holding on by his drum sticks, sounds stupid, but when you see the look on his face, it reminds you of The Terminator 2: Judgement Day with the T-1000. Like I said, the ending flops a bit though, I think they could have done something different, but it's a good movie for laughs. Like I said if you want to see it in the theater, I'd recommend the matinée, but otherwise it's just a rental.6/10",6.0,Anonymous,Music
Feel Good,This movie is as close as you can get to 90 minutes of feel good film. I'm a fan of Rainn Wilson from (obviously) The Office as well as Super and My Super ex girl fired which are also pretty decent films. Its a shame this bombed at the box office because it really had the potential to be a really GOOD summer movie.Everyone in the cast does a great job. All the band members have their own 'story' and explored personality which makes you feel much more invested and care about whats actually happening to them. There's 1 or 2 laugh out loud moments with Rainns physical comedy but most of all this is a film to smile and feel good about. Nothing makes you cringe or think that obviously isn't funny and i would definitely recommend it.,7.0,Anonymous,Music
We Want More Rainn Wilson! Rock On!!,"As a metal/rock musician with a desk job myself, I could really appreciate this simple inspirational story as well as the many laughs it dished out. One line plot summary: Washed up former drummer turned office drone joins nephew's band, gets his mojo back and gets the chance to show the former band, an obvious AC/DC parody/homage, who betrayed him, that he can make it to the top without them. OK so that was a bit of a run-on sentence but anyhoo, with a great setup like that, plus choice casting of Rainn Wilson in the lead, the comedy pretty much writes itself. The story reminds me a little bit of the Dave Mustaine (Megadeth) / Metallica rivalry/hatred what with Mustaine kicked out of the band for his wild antics only to make it on his own without ever selling out. There are several cameos from familiar faces, the casting is perfect. The younger kids in the band are believable characters, not totally reckless and sensationalized like The OC but not given the wuss WWJD treatment of other TV fair like 7th Heaven. There is some underage drinking and pot references, but nobody becomes an alcoholic or a drug addict, just kids experiencing the time of their lives and living their dream as rock stars. The movie never takes itself too seriously but it has plenty of heart and is more than just a vehicle for Wilson's brilliant penchant for playing strangely aloof, yet obsessive characters. One of the comic bits I really liked was where The Rocker is humoring the singer of his Nephew's band, telling him how sweet his mopey, whiny ass lyrics are in this sort of underhandedly sarcastic tone. The movie is not afraid to poke fun at the frivolousness of modern youth's current popular music. That's not to say the songs are no good, but they are definitely a tad emo and gay for this rocker's taste, and I think Rain Wilson's character secretly agrees, but is too excited at the chance to play again to voice his opinion. On the whole, I felt it delivered more laughs than School of Rock with Wilson giving an equally energetic performance to that of Jack Black in said flick. I would recommend one if you like the other for sure. If I have one complaint about this movie it's this oddly treated subplot of the chick in the band getting knocked up, presumably by the singer. It is sort of brought up and never really dealt with or resolved. Not that I care about whether or not they had a baby or whatever, just saying why put drama in a movie just for drama's sake and then not take it anywhere? Should have just left that out it was kinda irking me I think they threw that in there because they realized hey the movie's halfway over and nothing remotely serious has happened. The first ten minutes or so of this movie are yispecially hilarious, excellent opening. I would easily rank the chase scene in the top ten funniest movie moments of 2008. ""Dude...he can't be killed...He can't be killed dude! Drive! Drive!""",,Anonymous,Music
"More like a chick flick, but a good one","What brought me to the film was really just Rainn Wilson playing a rock-star. I kept imaging Dwight having been a failed rock-star and knew that it would be nothing less than epic. 'The Rocker' tells the story of Fish, a failed drummer who joins a band filled with high-school goers and sees his second shot at pursuing his dreams. Halfway into the film, you could tell that it was a bit of chick flick. A funny, enjoyable one, but a chick flick nevertheless.The acting in the film was good, and they were all likable characters. I almost missed Bradley Cooper in a black wig and a tacky vest with a fake British accent, but in case you wonder watching the film, it is Bradley Cooper. The music was not too bad either, in a Disney sort of way.Overall, 'The Rocker' was funny and cute and it's worth a watch, but not to be taken too seriously.",6.0,Anonymous,Music
Effective film launch for Rainn Wilson,"Rainn Wilson effectively steps away from his Dwight character with this teen comedy. Parts of this comedy are intelligent, and it's certainly not a crude comedy. But it does sway into the teen category more than I would have liked. However, this film should be a good launching pad for Wilson to star in more films (fingers crossed!) The film's plot has often been compared to School of Rock. And there are definitely some similarities that cannot be ignored. However, the film's plot does stand on it's own. It's a fun comedy about facing the past and living in the present.Overall, the film is fun entertainment, and great for the whole family. I left the theater with a smile on my face and rock in my heart!",7.0,Anonymous,Music
Enjoyable light movie,"So, when I watch movies, I don't look into their depths. I either enjoy them, or I don't.The start of the movie really brought me into it. It was so over the top it was funny. You kept thinking his band was done with him, and he came back to attack them. Classic.OK the story is totally unrealistic. Who cares. I laughed. That's all that matters.You have to like rock and roll, rock and roll clichés, and you have to watch this with no serious intent. If you don't appreciate the rock and roll clichés or light humor, go watch something serious.I realize some people complained that Wilson was channeling Jack Black a little. But I think he had a bit of his own thing too. Aging rocker trying to relive his youth. Those of us old enough to understand that get it. Some of you won't.The cast who played the teenage kids did great. The ""nerd"" could have had a little more personality, but he did fine. The emo guy was great. The girl was great too.I gave this a 6 out of 10 for being entertaining, which is more than many movies manage. I laughed out loud quite a few times which most movies can't manage.",6.0,Anonymous,Music
A great cast make this a silly but very entertaining comedy,"On paper this doesn't look promising. Failed aging rocker gets second chance via his his school nephew. All sounds a tad lame however despite this, The Rocker ends up being entertaining and at times funny.A lot of the charm of the film is down to one man. Rainn Wilson ( he of The Office fame). There is something about Wilson that just makes you watch. It's not even that he plays likable characters but there is something about him that is fascinating. Put say Jack Black in this role and I'm pretty sure the results would be far less desirable. Add in the gorgeous and very talented Emma Stone and really there isn't a lot to hate about this film.Yes in parts it's fairly predictable but it's always enjoyable as the downtrodden Wilson finally gets his shot at the big time. If you are in the mood for some silly but entertaining fun then this is the film for you.",7.0,Anonymous,Music
Decidedly average,"I saw this when it was shown as the ""Surprise Movie"" at the Edinburgh Film Festival. However, the choice of movie was the only surprise I got that night, as this turned out to be an average movie with an entirely by the numbers plot.Comparisons with ""School of Rock"" and ""Dewey Cox"" are inevitable, but in reality you've seen this movie many times before. It's the classic story of the down and out who get's a second chance, almost messes it up, but pulls it off in the end. In this case, ageing rocker 'Fish' (Wilson) is still bitter about being dumped as drummer by hit rock band 'Vesuvius' some 20 years ago. At a low ebb, Fish finds himself being recruited in to his nephews band to the play their high school prom. One serendipitous moment later and the newly formed 'A.D.D.' are off on tour.Does the expected hilarity ensure? Almost. Unlike some other recent American comedies, this one remembers that it's supposed to make the audience laugh, but it does so too infrequently and without any stand out moments. The real problem is that, barring a few side plots, the entire course of the film can be predicted from the first ten minutes, and the occasional snigger is unlikely to be enough to hold the audiences attention. A few hours after the movie I struggled to remember one memorable scene - not the sign of a classic comedy.None of the cast offer anything other than a solid performance, although Emma Stone, and especially Jason Sudeikis as the band manager, do stand out as providing most of the good scenes and laughs. The band as a whole have little charisma, especially the moody lead singer, and I felt little desire for them to succeed.To some extent this movie is saved by its songs. To the best of my knowledge the score is original, and both the tracks played by the heavy metal band 'Vesuvius' and the more mellow, teenage angst of 'A.D.D.' are great. In the end it is the gig scenes that end up providing the films best moments.This film is best described as ""School of Rock"" without the school, or the screen presence of Jack Black. And without that there's not a whole lot left. This movie is not offencive, but there'll always be something better to see when you go to the cinema, and it's all the more disappointing when you consider that the director is capable of better things.",5.0,Anonymous,Music
Comedy - for laughs - not irony or sarcasm - and all the better for it.,"This was the biggest surprise of the year - bar none.A great comedy - as in laughs, feel good, and just plain enjoyable.The plot of the loser who makes good at rock'n'roll second time around is very Jack Black and Rainn Wilson does a GREAT job - there is no recourse to gross or sarcastic humor here - rather it plays on its rock roots, chucks in some stupidity, and some kick-ass tunes, and lots of excellent one liners and like I say totally surprised us as to how genuinely funny and warm-hearted this is.Great cast and a great script - sure it's not perfect, but after all the pseudo-comedy and angst of 2008 it was refreshing just to sit back and enjoy an entertaining movie.we loved it and are normally really cynical about comedies - but this rocks and would recommend to anyone as a real effort by all involved to stop being smarter than the audience and just enjoy life - in two and a half words? - it rocks!",8.0,Anonymous,Music
