title,content,rating,username,genres
"Beautiful people, big box office, zero story","Okay here it is, New Moon is not unwatchable (thought some parts come close). Twilight was a bit better mostly cause it had some direction. This one is severely unfocused, with a plot that denies motivation and has lazy acting across the board...well not quite.New Moon may have one edge over its predecessor which is that Taylor Launter puts more into the game than Rob Pattinson. At times, it feels like Jacob may be the better match for Bella. Their interaction which takes up the majority of the movie in fact, feels less broody than the Bella/Edward connection. Unfotunately, around the beginning of the third act we grow out of Jacob almost as fast as we grow into him. Wheras Edward is quite blatantly shy, Jacob by contrast is angry. The reasons for this however seem largely unjustified by the story. Like all bad stories, this one advances by making up its own rules on the spot, resulting in a movie that makes very little sense.I'm truly not sure what it is about the Twilight saga that demands such a plastic style of acting. Why is everyone so lazy about this? it actually degrades the quality of the material. If this is the kind of Romantic chemistry that sells on the market (a chemistry where two people act like kissing is more pain than pleasure) then Romance itself could be a dying genre.But perhaps that is an overstatement. New Moon gave me something to watch on TV when there was nothing else on, I wouldn't recommend it for any other purpose.",6.0,Anonymous,Fantasy
inert and drippy,"We've all dealt with unrequited love before, but ""New Moon,"" the second installment in the popular ""Twilight"" series, takes it to a whole new level. Bella Swan, the moody high school student who found herself in love with a vampire - the brooding Edward - in the first film, now finds herself attracted to a werewolf, her long-haired Native American childhood pal turned cropped-haired, muscle-bound super-hunk, Jacob. Now, that's a love triangle you don't come across every day of the week.This disappointing, time-marking follow-up to the flawed but often imaginative ""Twilight"" is a tedious, slow-moving bore, consisting of little more than endless conversations about which of Bella's two ""monstrous"" beaus loves her the more and which is more likely to protect her from the danger posed by his rival and the assorted associates and kinsmen who come with him. In fact, so focused is the story on the romantic travails of the three main characters that the movie ultimately stalls out in a puddle of its own sappiness. And on a purely technical level, even the CGI werewolves are not as impressive as we'd expect them to be, given the massive amount of cash clearly lavished on the project.Actually, the thing that strikes one the most about ""New Moon"" is just how much of a rehash it is of the previous film, with Bella's predicament simply being played over, only this time with a lover from a different species (especially as Edward voluntarily removes himself from much of the action this time around).Kristen Stewart and Robert Pattinson return as the human/vampire lovers, while Lautner gets to run around with his shirt off a good deal of the time (despite the damp, rainy climate). That may be enough to keep the movie's targeted audience of teenaged girls awake and glued to the screen for the duration, but the rest of us will have no trouble snoozing our way through to the next installment.",4.0,Anonymous,Fantasy
Very disappointing,"I loved the Twilight movie, that's how I started reading the books in the first place. I've read them about ten times each and I still like them. But New Moon's big screen adaptation was a huge let down.One thing that was improved was that many of the characters actually smiled or laughed naturally when the moment called for it, as opposed to the ""I don't crack a smile cause I'm a seriously deadly vampire"" routine in Twilight.I liked the portrayal of Alice, she seemed more like what she should be according to the book, Charlie and I also liked the wolves and the rest of the special effects.But I couldn't feel the bond between Edward and Bella. I couldn't believe that they loved each other. Hell, I couldn't believe they even liked each other. Even at the end, after their ordeal, after deciding that they would never let each other go, they were frigid. The actors just delivered their lines, they didn't feel them.The score ranged from awful to non-existent. It seems as though it was not written specifically for New Moon. Carter Burwell's score brings to memory specific scenes in Twilight. This one is an indifferent, generic one, I guess it would fit in whatever movie you threw it in.However, the most important flaw was that the entire movie seemed very rushed, like it was originally supposed to be much longer but somebody edited it heavily and really, really badly. For example, in an instant we are informed that Edward is going to commit suicide thinking Bella's dead, she drives off with Alice *bang* next thing you know you see a plane in the air, *bang* next thing you know Alice and Bella are already inside the stolen car on their way to Volterra and it carries on like that until the end.No character development, no bonds between them, no space to breathe, no explanation whatsoever of how things happened or how decisions were made, nothing but a hastily chopped up summary of the book.Is the actual movie coming out any time soon?",4.0,Anonymous,Fantasy
The Beast Within...,"What would you do, if a wolf should fall for you, when rejected by your lover, spending months under the covers, he wants more than to be friends, an outstretched paw he's keen to lend, scratch his back and he'll scratch yours, just be careful of those jaws, as the lupine are not supine, and returns from certain bloodlines, can increase the curdling pressure, and then you may just need a tether.",6.0,Anonymous,Fantasy
No as we expect,"I too expected this movie to be better. I read the 4 books. The thing is they cut out the best lines from the books which can add SO much to the movies. I was looking forward to some seens in the movie: Edward proposal for Bella, when they talk while they are waiting to get out the Volturi, very romantic and whilte they are in plane going back home. I think the scenarist must be replaced or the writer should oversee the script. The only reason movies are hit cause of the books only. Most people who did not read the books did not like the movies. Hope they'll do better in the 3rd one. But I really hope they'll do much much better in the 4th movie cause this is the book I'd like most. In general, if you read the books you must watch the movies, its nice to have the characters & seens a life.",5.0,Anonymous,Fantasy
Cannot understand the low ratings?,I honestly cannot understand the low ratings. It's just a great movie. 🙏💚,7.0,Anonymous,Fantasy
Wait--what?  People are upset??,"Ahh, what a fickle bunch Twilight fans are. I remember the release of the first film last year, and the incredible backlash from fans of the series--can't even remember the number of comments saying ""Stick to the book!"" Incredible liberties were taken with the plot (or did we all forget the butchering of the much-beloved meadow scene in the first movie?), and too much of Hardwicke's own film-making style was imposed upon a story that was not hers to fiddle with.Then New Moon comes out. Obviously, the screenwriter and director went to great lengths to painstakingly recreate the second book in film form, undoubtedly due to the response to Twilight. I am hard-pressed to think of any really pivotal plot points that were excluded from this film (and, no, the flights to and from Italy don't qualify as ""pivotal""). But suddenly fans come out in droves to complain on the Internet that the dialogue is cheesy? Hello, have you READ the books? Any actor is going to choke on the ridiculous dialogue that Stephenie Meyer came up with (I doubt even Robert De Niro could sell that tripe). Her dialogue only sounds remotely reasonable on the page. At least this movie didn't include such horrendous lines as ""I hated you for making me want you so much""). And people saying it's slow? Again, take a look at the book--the vast majority of the story is devoted to Bella moping over the imaginary hole in her chest. It wasn't exactly an action-packed thrill ride.I for one thought this movie was a vast improvement over the first, primarily because it stayed so true to the book. And Weitz, unlike Hardwicke, wasn't itching to impose his own style on the story by using crazy camera angles and other weird stylistic elements that were nowhere suggested in the pages of Twilight. New Moon was fittingly glossy and stylistically neutral, appealing to a wider range of tastes. It was filmed beautifully and, to my great relief, had a much wider color palette than the first film.As for the acting--let's face it, Kristen's never going to be an impressive performer until she realizes that scoffing doesn't qualify as ""emoting."" And Rob just seems flat-out wrong for this role, but I think he did tap into Edward's inner turmoil better than in Twilight. I thought the performances were, overall, a huge improvement over the first film, especially from Taylor, who fits the sunshiney role of Jacob to a T. The Cullens were, yes, sadly underutilized, but making the movie longer just to give them more screen time isn't going to appease complaints about it being boring and slow as it is.Hopefully this film will get the credit it deserves after the initial tsunami of unreasonable outrage. It's obvious that the filmmakers are trying incredibly hard to please the fans of the book by staying closer to the text. Here's hoping they don't throw up their hands in frustration upon discovering that loyalty to the book is apparently not good enough either.",8.0,Anonymous,Fantasy
Speechless.........,"Admittedly I have only in the last 2 days watched Twilight and New Moon and I am totally baffled by the popularity of these movies. Especially New Moon this film was TERRIBLE. Taylor Lautner cannot act to save himself, yet next to Kirsten Stewart and Robert Pattinson he looked like he had the talent of Catherine Hepburn.Now, about the acting.... Kirsten Stewart has one face and that is the ""semi-sad"" look. For the most part ot simply looked like she couldn't wait for the film to be over. Robert Pattinson has one face and that is also the ""semi-sad"" look. I think he may be this decades answer to Luke Perry. There was a valid reason that the period between 90210 and Twilight had no ""Luke Perry types"". They can't act!! I fail to see the appeal. Taylor Lautner constantly does that thing where it looks like he is gazing about 20 metres away trying to read micro-printed reading cards and his lines come out accordingly.And did it bother anyone else that Bella is just so accepting of the fact that vampires and werewoves exist???Now I know these are movies made to be aimed at teens and tweens, but for crying out loud at least TRY and make a decent film. There are Werewolves and Vampires present. Shouldn't there be epic battles and much blood lust??Here are a few points that came to mind: 1) Twilight refers to the beginning of the evening between sunset and dusk and when Vampires and Werewolves get ready to come out to play. They ARE NOT daywalkers. If the characters are daywalkers then ""twilight"" is a pointless time of the day and had no reference to the story..... 2) Calling a movie New Moon where you introduce werewolves into the story would be OK, if the ""moon"" had anything to do with their ability to turn. Having them as daywalkers as I stated in point 1 defeats the purpose altogether. You may as well have called the story ""Cheesecake"", such was the relevance. (Mmmmmm Cheesecake).... 3) Vampires and Werewolves are creatures of legend and not a bunch of sorry ass ""Emo"" teens. They are vicious and bloodthirsty, not whiny and desperate.Perhaps Stephanie Meyers has them confused with Waaah-wolves and Vam-criers? Yes?........I am yet to watch Eclipse but it will need to be a vast improvement on New Moon because it was possibly the worst sequel ever....and yes I am including Police Academies 2 through 7!!!A very generous 4/10 at best.",4.0,Anonymous,Fantasy
"""New Moon"" is an Overlong, Vapid, Pretentious and Painfully Boring Sequel...","There's a point in ""The Twilight Saga: New Moon"", where our heroine Bella Swan (Kristin Stewart) and a friend emerge from a movie theater, and her friend begins to rant about how she hates the zombie sub-genre of horror, and then preaches about how she thinks it's silly and lame that a particular zombie movie (George Romero's classic ""Dawn of the Dead"", though it's never mentioned by name, you know that's what they're referring to) preaches about consumerism. At this point, I angrily pointed my finger at the screen and uttered some words I cannot repeat here. It's not that they were making fun of ""Dawn of the Dead""- that's fine. The problem is that this film is a glaring example of squandered potential and storytelling, and it's downright offensive that they should say anything about a film considered to be a classic, by both horror and general audiences alike.This film, directed by Chris Weitz, is a sequel to ""Twilight"", based on the popular novels by Stephanie Meyer. People who read my ""Twilight"" review know I actually thought it was decent. So I turned this one on a few days ago expecting another (somewhat) pleasant surprise.When I first watched ""Twilight"", I expected a mess. I was actually taken by how well the film worked. It had a lot of problems, and I only gave it a slightly above average 6 out of 10, but it wasn't bad...This was bad.We begin with Bella (Kristin Stewart again an enormous bore), who has grown worried about her future with vampire squeeze Edward- she is having nightmares about growing old, while he remains trapped in the body of a teenager, and she fears one day, he won't want her anymore.On her 18th birthday, she visits Edward (Robert Pattinson, who this time around, doesn't seem to be taking his role seriously, and just reads his lines flatly) and his adoptive family. However, when one of Edward's siblings attacks Bella from a sudden fit of his vampiric instincts, Edward decides it's too dangerous for him to continue to see Bella, and he vanishes, leaving her.Bella spends months pining and sobbing for her lost love, but finds a new romance with Jacob (Taylor Lautner). Things finally start looking up for her, when suddenly Jacob disappears, and all hope seems lost. Finally, she reconnects with Jacob and learns that he has become a werewolf, and similar to Edward, he feels it too dangerous to remain with her. She also begins to see ghostly depictions of Edward appear around her, trying to keep her safe from the dangers of everyday life. And soon some strange events unfold, forcing Bella to confront both of her lost loves, decide if she's strong enough to pursue them, and ultimately, see if she's strong enough to save several lives- her own included.The film does have some promises. The whole notion of the Romeo and Juliet-esque romance is interesting, some of the characters are likable, and there are some nice twists and turns through the story. Also, the direction was a lot better this time (Weitz does a much better job illustrating the visuals than Catherine Hardwicke did in the first film), and the music was fabulous.But there are just too many problems in this entry, and it's really just a checklist of what NOT to do in a sequel.For starters, the film is outlandishly boring. Running at 130 minutes, it felt like twice that. The story unfolds at a snail's pace, and absolutely nothing happened for the first hour. Everything seemed slow. It was a chore to watch. And the kicker? Anytime anything actually started to happen... the scene cuts. I'm not kidding, during the first big ""action"" sequence where two werewolves go at it (about halfway through the movie), we only get about 15 seconds of fighting, before we abruptly cut to the next scene- we don't actually get to see the fight, we just cut to another scene altogether. This happens repeatedly. Whenever something happens that promises to move us forward, we simply cut away to another scene. What?! This movie is a horrible tease.Secondly, the writing (courtesy of both the novel and the script by Melisa Rosenberg) was painful. Nevermind some lines and scenes that are quite misogynistic, but also, the dialog is outstandingly soap-opera-ish. Edward never speaks without dripping off cheese (""Bella, you breathing is my gift!""), Bella spends her time spewing revoltingly pretentious and clichéd dialog, Jacob is basically a compilation of every corny ""bad boy"" ever, etc.Also, the film has no structure. As I said above, it takes almost a full hour for anything to happen. And once the plot picks up, the pace quickens to a marathon speed, and too much happens. We are also given a number of plot lines that don't make sense and don't go anywhere (such as new villain Victoria who appears all of twice in the whole movie and never does anything... at all.), and enough plot holes to sink a ship. It was just too darned sloppy.In addition, the humor is juvenile, the action is too brief (the climactic battle is cool, but over within seconds), there is no romance in the film (which is odd because this is a romance movie!), the editing is all over the map, the secondary characters are not developed... It felt like the first half of a larger story, with no climax. It was all establishment, and no pay-off.Even the things that worked in the first movie are ignored.I really am disappointed. I was expecting something that was at least decent, but this was just a waste of time, effort and potential. It is essentially a series of stitched-together sequences that don't contribute to an overall plot. There was no substance.I have to give this a 3 out of 10.",3.0,Anonymous,Fantasy
Warning: this is not a fan-boy's review.,"Have to say, New Moon the most anticipated romance tale of the year, is decently made. So allow me, a non-fan of the series to make this comment.First off, I know people hated it for what it is. The whole idea is like a coming-of-age story of several abnormal kids. I know it's a homage to Shakespeare; and I definitely noticed the similarity with Underworld series it began to show. But I also have to say that sometimes people hate it because they assume it's stupid, and despised the puppy love illustrated in such a fantasy scenario. But, it's the film-making that grabbed my attention.Throughout, New Moon demonstrates with superb pacing, sophisticated art design that overflowing with the whole story, and smooth special visual effects that well fit in. For a standard Hollywood production it should be like this, but allow me to say it adds points to the whole experience. It's not a movie you'd expect an awful lot of actions in it, but believe me you will see plenty of compelling actions that keep you entertained if not delighted. Some scenes are like TV-commercials, but allow me to say they are a lot more beautiful and more genuine than those outrageous built-in advertisements in ""2012"" or so.The other aspect I'd like to give a nod, is the professional attitude of the whole production. The story is about a bunch of teenagers, but the movie never fell amateurish or video-game-like. The actors all fit into their roles naturally, and again allow me to say there was not anything in performances amateurish or in-genuine enough to distract me from the story. Of course the movie is not Oscar-level, but it successfully captured the youngsters' ignorance, arrogance and all kinds of struggles between immaturity and responsibility. Shouldn't we be a bit more open to teenagers? I am not saying this movie is perfect in doing politics right, but it's not bad for a family ride that can make chances for some family talk.So, 7/10 is a fair score given the movie is not Oscar stuff, but admit it that so many people just gave it a 1 even before they see it.",7.0,Anonymous,Fantasy
