title,content,rating,username,genres
The Wizard of Oz,"Fantastic tale about a Kansas farm girl who's spirited off to the wondrous land of Oz. The film still tingles with freshness and beauty. Garland is forever memorable as Dorothy Gale, the young girl and the supporting performances of Bolger, Lahr,Haley, Hamilton and Morgan are all stand out and will remain national treasures. The superb songs of E.Y. Harburg and Harold Arlen are still beautifully blended with the lovely photography, cinematography and art direction. Unforgettable!!!",9.0,Anonymous,Fantasy
A HUGE classic everyone should see,"This movie is creative, original, and very watchable. I first saw it 25 years ago. I was about 10 years old. I still find myself watching it every time it's on TV. It's not supposed to be realistic(obviously). It's filled with metaphors and meaning. Here's some trivia that can be missed. Repeated viewing reveals that the 3 characters that Dorothy meets are based on 3 people she knows. They are seen earlier in the movie, and are played by the same people. When re-watching, their early dialog becomes more note-worthy.The music is VERY memorable. And the movie has a very popular catch phrase everyone's heard many times. Also, there was a play on PBS in '95 based on the movie and I loved it. It starred Jewel and Roger Daltry as the Tin man and he ROCKed - literally. It was classic. I like how the audience laughing added to the play. It's out on VHS.",9.0,Anonymous,Fantasy
Perhaps the most well known and watched film in history?,"This film predates my birth by 19 years, so I've seen it as a child when it was an annual event on network TV, stretched out to hours in length, believably due to commercials and maybe not so believably today due to the network hosting and talking about the film a little during breaks.Today at age 55, when it shows up on Turner Classic Movies, even though I have in my possession the deluxe ""Wizard of Oz DVD Set and Museum in a Box"", I'll still stop and watch it from whatever point I catch it to the end. Having the advantage of having seen it at all ages I can truly say that it has enough fantasy and whimsy and spectacle to keep the interest of children without being inane so that adults cannot appreciate it too. I think in all of filmdom only Walt Disney in Walt's time with his animated features and Pixar in modern times have been able to strike that balance. Even ""Star Wars"" has lost a step or two in the 36 years since its release.Wizard of Oz has the universal themes of the value of friendship and family, of how many of us have strengths and virtues inside of us we'll never believe we have until tested, and how many powerful people are literally all hot air. ""Pay no attention to that man behind the curtain"" is practically a slogan of American politics as I am writing this in the year 2013. Then there is beautiful Judy Garland when her exterior still matched her voice, before the studio system chewed her up and literally spit her out. She was never more lovely than she is right here. You'd never believe Billie Burke as the good witch Glenda is 55 years old. You'd never believe that Margaret Hamilton as The Bad Witch is only 37. I remember seeing her on a daytime commercial in the 1960's as a child and thinking ""Isn't she dead yet?"" There is maybe one aspect of this film that is uniquely pre-WWII. The theme of the film - ""Never look for anything if you can't find it in your own backyard"" is a motto for the isolationist years between the wars that would be left behind in only a couple of years when it became apparent that the U.S. would have to confront the evil expansionist powers growing on both sides of the globe. It is perhaps a unique snapshot in time in that regard only. It also shows the best the studio system could produce in that fabled year of 1939 when it was at the height of its power.Forgive me for yammering on about a film that has been reviewed hundreds of times, but this one will always have a special place in my heart and my memory.",10.0,Anonymous,Fantasy
A Late-Comer,"I was born the same year the movie came out, but only caught up with it the other night, mainly because musicals are not my usual movie fare. So what's left to say after 500+ reviews. I was most impressed by the art and set direction. Too bad they didn't win Oscars. The sets were so imaginative and well done, from poppy fields to enchanted woods to yellow brick road.For once, MGM's habit of over-producing what's on screen really paid off with an appropriately lavish scale. The effects are simply breathtaking, but I can also detect the nightmarish visuals that go beyond the demonic Witch of the West. So I can see why kids would be both mesmerized and unsettled by the fantastic adventures.I also have to say that Garland was wonderful as Dorothy, though I've never been a particular fan. Plus, her captivating rendition of Rainbow deserves to top the all-time movie charts. All in all, I'm sorry it took me so long to catch up. It's really hard to believe that so many cooks (writers & directors) didn't spoil the outcome. Somehow, the sumptuous production with its sturdy moral all came together, and remains aptly a movie for the ages.",,Anonymous,Fantasy
A true cinematic milestone,"Where to begin? MGM's elaborate adaptation of L. Frank Baum's 1900 fantasy classic THE WONDERFUL WIZARD OF OZ not only became an institution among itself (and practically defined the concept of modern popular culture), but is reported to be the most viewed film ever made. A sharp screenplay effectively condenses the novel's text into a workable film, and director Victor Fleming (along with countless other behind-the-scenes technicians) craft a visually stimulating fantasy world that surpasses the expectations of even the most imaginative viewers. Brimming with stunning visual effects (the film's fierce tornado is an FX feat that has yet to be surpassed by CGI), witty dialogue, and eye-popping Technicolor, THE WIZARD OF OZ truly lives up to it's reputation as a once-in-a-lifetime film where every element comes together flawlessly.The cast could not be improved upon. The quivery-voiced, solemn-faced Judy Garland will always be Dorothy, the little lost farm girl on the road to Oz, clutching her beloved Toto (impressively portrayed himself by the female canine performer Terry, the terrier). It seems inconceivable that MGM had originally wished to cast Shirley Temple in the role, as Temple's doe-eyed, cutesy-voiced shtick would have been a catastrophic ill-fit for the tone of this picture. Conversely, Garland is perhaps the screen's quintessential woman/child; always seemingly just one step away from reaching full emotional maturity. It is her sadness that transfixes viewers to the screen, the exact same quality that made the film's most memorable Harold Arlen/E. Y. Harburg number ""Over the Rainbow"" into one of the most exquisite marriages between artist and song ever to be recorded.The remainder of the cast is similarly exceptional, many of whom perform perfectly even under the most debilitating make-up and costumes. Frank Morgan is marvelously versatile in no less than five roles, the insanely energetic Bert Lahr mugs brilliantly, the handsome Jack Haley swoons sweetly, Billie Burke lends the film an ornate ethereality, and Ray Bolger's gravity-defying physical presence nearly steals the entire picture on several occasions. Perhaps most notable is former schoolteacher Margaret Hamilton's transformation into the wickedest of wicked witches, which certainly remains among the vilest and most terrifying portrayals of full-throttle evil ever to be seen. No matter how it is analyzed, scrutinized, or satirized, the 1939 production of THE WIZARD OF OZ is a top-notch example of how to turn a great story into a fabulous, milestone of a film.",10.0,Anonymous,Fantasy
Timeless classic still entertaining the masses as each new generation comes in.,"Dorothy is a young girl living on a Kansas farm, during a tornado, she, along with her dog Toto, is swept up and plonked down in a magical and mysterious land known as Oz. Desperate to get back home and under threat from a wicked witch, she is advised to seek out a great wizard who should be able to help her get back home. As she sets off and on her way, she meets and befriends a wonderful array of characters whom also have something to ask of the fabled wizard. It's a journey that will prove to be both magical and fraught with danger.The Wizard Of Oz is a film that has been pored over and dissected from almost everyone involved in the wonderful world of film. One thing that strikes me every time I view it is that there not only is no place like home, there is also no film like The Wizard Of Oz, and really, when all is said and done, there is unlikely to be another film of its ilk to ever grace the silver screen. Upon multiple viewings only the most biased of film fan could say that it is a technically perfect picture, it clearly isn't, for at times it's a wee bit creaky and when scrutinised, some of the performances in the piece are far from being of an excellent standard. Crucially, though, any misgivings are quickly erased due to the utter wonder of it all, you see this is because the film has a beguiling ability to transport everybody who is watching it and slot them into OZ alongside Dorothy.The Wizard Of Oz appeals (and caters) to every demographic and pretty much any age group, we have adventure, the meeting of new friends, fears and trepidations, booming colour, songs to singalong with, and of course the total crux point of homely values. The Wizard Of Oz stands up well 80 years later because it taps into all the emotions available to the human being. Be it a young child spellbound on a first viewing, or an octogenarian couple of grandparents wistfully humming along to the tunes, it's a film that shouldn't be dissected looking for faults and hidden meanings, it's a film that should be loved and praised for the ode to fantastical whimsy that it so obviously is.The film of course will forever be associated with its darling star, Judy Garland. Viewing now, and knowing what a sad life she would eventually lead, The Wizard Of Oz is a fitting picture on which to remember what a magical and wonderful performer she was. Myself as a lump of waning middle aged machismo, has no shame in saying that as Judy sings Somewhere Over The Rainbow I melt and feel as though I'm being sent spinning into another world, that's the power of the piece, because as a sepia Kansas becomes the glorious colour of Oz, nothing else in my world matters, I'm in hook line and sinker.There are many interesting back stories to the picture, with books galore available to anyone interested. Some notes that might interest you being the original castings to be W.C. Fields, Shirley Temple and Deanna Durbin, munchkins running riot, drunken cast members, sadness and suicides, and grizzled old pros fighting hard not to let Garland steal the picture. Well it makes for a great read, for sure, but what remains to this day is one of the most beloved pictures to have ever been made, for once in the pantheon of great cinema we have a film that is termed a classic, that actually deserves to have that tag!One of the great things about the advent of technology is that it can benefit old classic movies to make them better, for now we can view remastered editions of The Wizard Of Oz and appreciate even more what a great job the makers did. Keep your eyes on Dorothy's Ruby Slippers during the film and see how they are the sparkling important character that they should be, or take in the brilliant work of the make up crew, the tiniest of rivets on The Tin Man a testament to the brilliant work that goes into bringing magic to our lives. Get the newest copy you can and then also see it on the biggest screen available to you because The Wizard Of Oz is a 10/10 movie. And then some.",10.0,Anonymous,Fantasy
A cinematic achievement that never truly grows old.,"""You have no power here! Begone, before somebody drops a house on you, too!""It seems a little silly to be writing a review of The Wizard of Oz. It's the movie that's been seen by more people than any other in history. Most of us have seen it 10 times by the time we're seven. But I'll put my two cents in anyway, from an adult's point of view.As a kid, I thought the munchkins were slightly creepy and the winged monkeys much more so, but I loved Dorothy and I loved the songs, and the entire movie was just so bright and colorful that I find it hard to believe that any kid could dislike it. Now, at the age of 25, I can still recognize the merit of it, without being influenced much by a lasting nostalgia. The Wizard of Oz is a lot like Alice in Wonderland (my all-time favorite children's novel), it treats children like they're smart and clever and capable of understanding and handling ideas that sometimes we adults forget they can get a handle on. The danger and excitement of The Wizard of Oz is a true adventure, be it a candy-coated one.I can also better appreciate now the staggering amount of work and creativity that went into bringing this novel to life. It's just remarkable, really. The choreography, the classic songs, the sets, the costumes, the special effects, they're all still impressive today. More so, really, because many of the tools used to make modern movie magic weren't available back then. And Judy Garland...really, what needs to be said about her that isn't blindingly and extraordinarily obvious? No one else could have been Dorothy Gale.It was nice to revisit this once again, and while some of my childhood adoration for The Wizard of Oz may be gone, my admiration for it still remains.",7.0,Anonymous,Fantasy
A magical experience.,"Young Dorothy runs away from home with her dog Toto, after a tornado hits, she's transported to the magical world of Oz.It is such an uplifting, magical escape, it is no wonder this film is loved by so many, all age groups, it really does survive the ages.It really is an enchanting story, and in terms of its importance in the film industry, it was a game changer, audiences must have been left speechless when this first landed.1939, and it still looks remarkably good, the scenes where the tornado hits look fantastic, considering the technological restraints, it looks particularly good.Judy Garland is delightful throughout, Margaret Hamilton is a riot as The Wicked Witch of The West. The performances are all so good.The music is so well known, so uplifting, and at times pretty moving.I wonder if they even considered for one second that their movie would be loved decades later.10/10.",10.0,Anonymous,Fantasy
You should never believe that this movie is from the 30',"First of all i want to say sorry for my English!For a few days ago I watch Victor Flemmings ""Gone With the Wind"". I was so impressed over the film so i went to watch ""The Wizard From Oz"". And what a movie. You should never believe that this film is from the late 30's. The effects and music fit in the film. It deserve the 2 Academy Awards it has won for Best Music, Original Song and Best Music, Original Score.I found the film pretty funny with all the different character. This is one of the best films from the 30's. You can say many things about ""The Wizard from Oz"" but this film will never die.",7.0,Anonymous,Fantasy
Flawless,"The most difficult thing about reviewing The Wizard of Oz is finding something to say about it that doesn't begin with ""the best."" It's hard to argue that this isn't a strong contender for the greatest movie of all time. Navel-gazing dramas about the human condition are fine, and I know most critics' lists would give preference to those sorts of films, but this movie has a little bit of everything and is easily among the most perfect films ever made. It doesn't matter if you're a kid or a grown-up. The Wizard of Oz is a timeless classic that has appeal for every open-hearted person out there. It's full of iconic lines, songs, characters, and moments. It's had a cultural impact few films do. So many things from the film have made their way into our everyday lives and language. If I had to single out one thing about it I love more than the memorable characters played by an ideal cast, exuberant Arlen & Harburg songs, delightful story, and beautiful sets, costumes, and matte painting backdrops, it would be the vibrant and rich Technicolor. It's such a gorgeous looking movie. Funny, sentimental, sincere -- it's a masterpiece that I've been in love with since I was a little kid. I've never grown tired of it and I hope I never do.",10.0,Anonymous,Fantasy
Too bad no one sees the whole version anymore,"If you watch the TV version, you are truly missing out on one of the most important connections to be made. We all know why the farm hands played the Scarecrow, the Tin Man, and the Cowardly Lion, but do you know why DOrothy sees MIss Gulch as the Wicked Witch of the West? In the version broadcast in the 50's the movie opened with Dorothy walking home from school as the current version hints at. What viewers don't see today is that Toto wondered off into Miss Gulch's garden and was chased out by MIss Gulch with a broom. She threatens to take the dog or at least report Dorothy and Toto to the Sheriff, which she eventually does. DOrothy runs from Miss Gulch toward the farm and when she reaches the entrance road to the farm, the new broadcast version picks up the story. I understand or was led to believe that this portion of the film was edited for TV broadcast and lost in a fire forever. I consider it to be one of the most important parts of the movie.",7.0,Anonymous,Fantasy
Still Has Its Magic,"Judy Garland's portrayal of Dorothy, Dorothy's oddball Oz friends, ""Somewhere Over the Rainbow"", and the rest of this fine production of ""The Wizard of Oz"" have lost little of their magic over the years. While it has become oddly fashionable in recent years to deride this kind of classic, innocent fantasy, the movie itself has aged very well, and it is likely to retain an appreciative audience for some time to come.There's no doubt that part of the appeal of the story and the characters comes from them being such old friends to so many cinema fans, but there are also good reasons why they have endured for so long, and have been able to hold up even after becoming so familiar. Although Dorothy is not a particularly complex character, she represents an innocent but deep yearning that is easy to identify with. Likewise, the 'Oz' characters are bizarre enough to remain interesting, but there is a core of substance that again is easy to believe in. Who does not feel that he or she could use at least one of the things that Dorothy's friends want?The adaptation from the original story is done quite well, making fine choices for the characters and episodes that would work on film. The settings and visual effects may not impress the devotees of today's computer imagery, but in their time they certainly demonstrated a great deal of skill and planning, and even now, in their own way they are more believable than are most of the computer tricks that have become so overused.The popular story has also been used for a number of more recent adaptations, and some of them have had some good points of their own. But this Wizard remains by far the most wonderful of the versions of the classic tale.",,Anonymous,Fantasy
Great film for ... everybody:))),"When I was a very little boy, I saw that movie on The Bulgarian National Television and I really fell in love with it:)). It was a kind of magic that took my heart to eternity and from there it saw all the world in a very amusing way:)). I will probably never forget the first time I saw that movie...I really hope that everybody will continue watching it and it won't be among the forgotten movies... If you're very very young and you haven't seen it yet, then see it, you will feel the greatest force of the white magic:)))).Judy Garland is THE PERFECT DOROTHY!!!:)))See it, OK??:)))))",10.0,Anonymous,Fantasy
My childhood favourite!,"I am 16, and I still love this movie. I grew up watching this, Chitty Chitty Bang Bang and Meet Me in Saint Louis, and I never tire of them. Judy Garland is wonderful as Dorothy, bringing a sense of vulnerability and sadness to the role, making Over The Rainbow more poignant than it already was. Ray Bolger, Jack Haley and Bert Lahr are really entertaining as her three friends. Billie Burke as Glinda, and the Munchkins were great fun too. The wicked witch of the west scared the life out of me here and still does, and even Frank Morgan does 5 roles to great comical effect. The songs are just fabulous, and so is the cinematography and the stunning scenery. True, the film isn't completely faithful to the book, but why does it have to be? If I had one minor drawback, it would be the singing voice of the Lion, but apart from that, this movie is a must-see! 10/10. Bethany Cox",10.0,Anonymous,Fantasy
Not Really a Friend of Dorothy,"During the British general election of 1983, the centrist Social Democratic Party mocked their political rivals by depicting Margaret Thatcher as the Tin Man and Labour leader Michael Foot as the Scarecrow from ""The Wizard of Oz"". The accompanying caption read ""One hasn't got a heart; the other hasn't got a brain"". Unfortunately, they appear to have forgotten that Dorothy had three companions, not two, and it was quickly suggested by both Conservative and Labour supporters that the SDP leader Roy Jenkins- a politician often accused by his opponents of lacking any convictions to have the courage of- must therefore be the Cowardly Lion.I mention this story because it shows how deeply this film has become a part of popular culture, so much so that a reference to it was readily understood by voters at an election more than forty years after it was made. If anything, the story is even more familiar today than it was in 1983, following repeated television showings (normally during the Christmas holidays) and the opening of an Andrew Lloyd Webber musical based on it. In Britain at least, its fame has eclipsed that of the novel on which it is based. The story is so well-known that I won't try to summarise it here, except to say that, like ""Alice in Wonderland"", it deals with the adventures of a young girl in a bizarre fantasy world.The film is not only well-known, it is also highly regarded; it frequently features in lists of the ""100 Greatest Movies Ever Made"". (Sometimes even the ""10 Greatest Movies Ever Made""). Certainly, it has its good points. Ray Bolger's Scarecrow, Jack Haley's Tin Man and Bert Lahr's camp Lion are all inspired comic creations, as is Margaret Hamilton's Wicked Witch of the West, although several of her scenes were cut because the studio thought that they would frighten young children. There is some imaginative use of colour- the bright, vivid colours during the Oz scenes would doubtless seem unbearably hectic and strident in any realistic film, but in a film set in a fantasy world they fit in with the strange, dreamlike mood. The use of monochrome for the real world and colour for imaginary ones became something of a cliché in fantasy movies after this, although Michael Powell was to reverse this convention to brilliant effect in ""A Matter of Life and Death"".The casting of the teenaged Judy Garland as Dorothy (supposedly a nine-year-old) made sense from a musical point of view, as she copes far better with the demands of the film's numerous songs than any child actress could have done, but children in the audience might have found it easier to identify with the character had she been played by someone closer to their own age. (Shirley Temple, six years younger than Garland, was at one time considered for the part). As an actor, as opposed to a singer, Garland's performance in this film is nothing special, but that may have more to do with the way her character is written. Dorothy is essentially a passive character who acts as straight woman to a series of comic ones. Some of the other acting contributions are not very good, particularly Billie Burke's rather wooden Glinda, the Good Witch of the North. Given that Glinda is supposed to be young and beautiful, it seemed rather odd to cast an actress in her fifties in this particular role.The film was originally intended as a children's movie, although I don't think it works very well as one. This may have been the reason why it was a box office failure in 1939; its subsequent fame has been due to repeated broadcasts on television and its taking on the status of an adult cult. When we were taken to see it as children, my younger sister was terrified by the witch and I was bored, especially during those sepia-and-white scenes in Kansas. Some of the songs, such as ""Ding-Dong! The Witch Is Dead"" and ""We're Off to See the Wizard"" are jolly enough to appeal to children, but ""Over the Rainbow"", sentimental corn-syrup in its purest form, has always struck me, both as a child and as an adult, as one of the most over-rated songs ever written.Most children's films from this period had to have an improving moral, and ""The Wizard of Oz"" has two. The first- that one must look inside oneself for qualities such as intelligence, kindliness and courage- is unexceptionable, but the other, ""There's no place like home"", seems rather parochial, even un-American, given that America is a country of immigrants, most of whom moved to the New World precisely because they couldn't, for one reason or another, find their heart's desire in their original homelands.I must confess that I am not really a Friend of Dorothy. It is not that I hate the film, or even seriously dislike it. It is simply that, like another reviewer, I cannot understand why it is so often mentioned in the same breath as genuinely great films like ""Gone with the Wind"", ""Casablanca"" or ""Citizen Kane"". I am prepared to accept ""The Wizard of Oz"" as a colourful, imaginative and at times enjoyable piece of fantasy. I just can't see it as one of the Greatest Movies of All Time. 6/10",6.0,Anonymous,Fantasy
Movie that left mark on countless generations,"This is one of those movies that will last forever. Our grandmothers were watching it while they were just little girls and our grandchildren will enjoy it as much. Its values will never be outdated. One of those that define expression ""classic"". Only a shallow viewer could consider it to be just a fairy-tale for children, because this masterpiece is much more than that and its depth covers all generations. Although it's almost 80 years old it still resists the teeth of time, even visually. Its costumes and special effects are extremely outdated but still effective. I admit, it would be very interesting to see how it would all look like with today's technology, but I think this is one of those shrines that should not be touched.10/10",10.0,Anonymous,Fantasy
A real classic with strong legacy all over the popular culture,"The story is surely a classic of a family adventure fantasy movie. It doesn't have many twists and the dialog isn't that complicated. These things help the movie to be easily comprehended by kids of all ages and from all generations. This movie becomes timeless due to those factors. But I have to admit that this movie doesn't really serve my personal taste, even for a family movie. I see the acting as to inflated, making the movie enjoyable for kids exclusively while the older viewers can only find interest in the story as a whole. The acting is quite a standard work for me as all the characters looked like they kind of overdo their roles.",6.0,Anonymous,Fantasy
