title,content,rating,username,genres
An enduring masterpiece.,"A classic, scathing lampoon of every successful rock band that's ever been guilty of taking themselves too seriously. Rob Reiner directs (and plays an important supporting role) but it seems like all he really needed to do was point a camera in the right direction, then edit several hours' worth of golden improvisational delight into a concise, intelligible ninety-minute package. It's a roaring parade of nonstop laughs, some blunt and easy, others sharp and witty. Famous bits like Christopher Guest's ""this one goes to eleven"" have been played to death but still elicit smiles, while deeper cuts, such as the band's reaction to contemporary critics or their infamous Stonehenge performance, land as if they were brand new. And the music is great, too, not just as a cutting satire, but as a convincing love letter to the days when power rock was all the rage and flocks of buzzed, well-feathered teens would still pack a stadium to hear the loudest noise on the planet.",9.0,Anonymous,Music
Cult classic,"By many seen as the favorite cult classic (together with 'The Rocky Horror Picture Show') 'This is Spinal Tap' is truly a comedy masterpiece. The rockumentary about fake band Spinal Tap seems so honest and serious that the slightest joke gets a huge laugh. We follow the band together with a documentary filmmaker, played by director Rob Reiner, on a tour that must make sure they will have a comeback. We see some of their shows where things go wrong, we see how they argue about the cover of their album, and we see how a girlfriend almost destroys the band.The movie handles all these events as serious as possible, presenting itself as a real documentary about a real band. The fact that the band members are not too bright makes it funny. Especially the scene where the lead singer talks about an amplifier that goes to eleven instead of ten and therefore produces louder sounds is hilarious. The scene where the band plays on a Stonehenge stage is a classic, very memorable.Writer Christopher Guest recently wrote and starred in 'Best in Show' (2000) and 'A Mighty Wind' (2003), two hilarious and terrific fake documentaries, the so-called mockumentaries, but 'This is Spinal Tap' stays the classic example. He and his co-writers, including director Reiner, have created the ultimate cult classic.",9.0,Anonymous,Music
Smell the Glove!,"The humor of ""This is Spinal Tap"" has a special time-release formula.  I didn't find myself rolling on the floor laughing the first time I saw this but as the day went on my friends and I couldn't stop recalling the dialogue.  This movie is a legend.""See Spinal Tap"" should be written in the dictionary next to satire. Lately satire has come to mean a simple mockery of pop-culture instead of ""human vice or folly attacked through irony, derision or wit"".  Movies like ""Scary Movie"" claim to be parodies or satire without even trying to be witty.  They just imitate something as opposed to commenting on it.  True satire takes a bit more work by the writers and will make you laugh much harder.Spinal Tap gives you the absurdity of the rock and roll world, yet still respects the music.  I understood this when I saw a clip of the movie for the first time at the Rock and Roll Hall of Fame.  It was the scene with amps that go to ""11"".  I couldn't stop thinking about that scene until I finally saw the movie.  Every aspect of the music world is lampooned; arrogance, absurdity, backstage crybabies, has-beenism, volume, even the Beatles.  This movie is quoted like the Simpsons, which isn't always good but certainly proof of legendary movie.  It's dry, deadpan humor and it may take a day to sink in but this movie is hilarious.",10.0,Anonymous,Music
"Still the funniest rock'n'roll movie ever, and one of the best DVDs on the market.","'This Is Spinal Tap' has been part of my life for so many years that it's hard to remember a time when I hadn't seen it. Having recently bought it on DVD and rewatched it for the nth time I was once again struck and just how clever and amusing this movie is. Christopher Guest and friends are not only very talented comedians with an amazing ability to improvise, but they know their music, and this is the real strength of the movie. Even though I have almost memorized every scene and joke it's STILL funny to me no matter how many times I watch it. Not only is the movie itself a classic, but the DVD is one of the best buys around with plenty of extras, deleted scenes, many as good as those chosen, and best of all a hilarious commentary by Tufnel, St Hubbins and Smalls which is even funnier than the movie itself. In fact it's the most entertaining DVD commentary track I've heard to date. This movie is a comedy classic, and easily the sharpest rock'n'roll parody ever made. If you haven't seen it before you're in for a treat! Absolutely essential viewing for all rock'n'roll fans, metal or otherwise!",,Anonymous,Music
Deserves its fame,"Spinal Tap has been called one of the funniest movies ever made by many people over the years. I had always been familiar with it. I was very familiar with almost 70% of the scenes: the amplifier that goes to 11, the Stonehenge dance, the inability to find the way onstage in Cleveland. Plus, when it was first released on VHS, I had rented and loved Fear of a Black Hat, a mockumentary about a rap group which more or less rips off every scene of This Is Spinal Tap. After finally sitting down with This Is Spinal Tap, I am still a fan of Fear of a Black Hat (and I recommend it to anyone who hasn't heard of it), but it can not come close to touching the genius of the collective vision of Rob Reiner, Christopher Guest, Micheal McKean and Harry Shearer. I laughed pretty much constantly, and belly laughs, all through the film. It does kind of slow down nearer the end with the bands falling apart (i.e., the plot gets in the way of the documentary), but there was never a scene in the film that didn't have something hilarious. I have to give this film 10/10. This Is Spinal Tarp, er, um, I mean Tap is one of the funniest comedies ever made.",10.0,Anonymous,Music
Tap: It's The Gift That Keeps On Giving,"When it comes to the glorious stupidity of rock 'n' roll music, the whip-smart mockumentary gold standard ""This Is Spinal Tap"" has no peers. Sidesplitting on an epic scale, this is also a shortlist candidate for Greatest Comedy Ever, and can claim parentage of every self-aware music film made since, from the wildly inventive ""24 Hour Party People (2002),"" to recent Tap-evocative record label satire ""Stadium Anthems (2018).""""Tap"" now transcends its early filmic and rock confines: Nigel Tufnel, David St. Hubbins, and Derek Smalls have burrowed deep into the cultural zeitgeist, holding sway in the very words we choose in conversations at the pub and by the water cooler (see: ""goes to eleven""). And its commentary on the fleeting absurdities of fame have never been more relevant.Almost forty years old and still swallowing everything in its path, ""This Is Spinal Tap"" is as enduring as it is the hilarious, and that's quite a feat. This is one of the most joyously experienced entertainment vehicles ever assembled. - (Was this review of use to you? If so, let me know by clicking ""Helpful."" Cheers!) - WATCHED IT? THEN WATCHLIST: ""Being John Malkovich (1999),"" ""Stadium Anthems (2018),"" ""24 Hour Party People (2002)""",10.0,Anonymous,Music
Must Have Been Hard To Keep A Straight Face,"Overall, this was a pretty good farce about a washed-up English rock group. It's played as a mockumentary, (a fake documentary) with director Rob Reiner playing the role of the interviewer of the band. If it wasn't a movie in which you can retake scenes, I am sure we would have seen him laugh a number of the ""serious"" questions he asked this stupid band. I would think it would hard not to laugh in a number of places, because he plays a very serious interviewer. I'm sure he did many times.There are funny moments in here. The only part I really didn't like was near the end when the bickering of the band got out of control. Their constant arguing gets tough to take after awhile. That's another problem here; there are no appealing characters. This British band is not comprised of nice guys, and I also found their accents tough to understand. If this is out on DVD with English subtitles, it might be worth a second look.The music was fair, nothing to rave about. Overall, I enjoyed the movie but didn't find it anywhere as great as most critics described it. It's okay, but not that funny.One of the writers, Christopher Guest, has gone on to make several ""mockumentaries."" He has done quite well with that genre, better than Reiner. I've seen them all, and Guest's comedies are all entertaining to various degrees.",7.0,Anonymous,Music
On the fine line between stupid and clever... kind of like lukewarm water,"Not too long ago, my classmates and I were allowed to bring in a DVD of our choice as it was nearing the end of the school term. Knowing that these pop culturists wouldn't be too happy to watch one of my 'arty cult films', I didn't give a shite and brought in 'This is Spinal Tap'. They quite happily agreed to put it on after I told them it was funny and had swearing in it. But soon, boredom started to sink in with the class. ""Crap"", they labelled it. ""Boring"", they yelled. After less than ten minutes, my teacher was changing the disk to, wait for it 'The Others'. One of my chums, being a fan of the film, dismissed them as idiots. However, I told him it was all a matter of taste and that they would be much happier settling down to watch their 40-year-old virgins and American pies than this more subtly-coloured tin of paint. So as I walked over to the front of the classroom, tail between my legs, to pick up my DVD my teacher leaned over and said, ""Don't worry, I liked it. You have to be cultured to enjoy this sort of thing."" And you know what, she's right.To be quite frank, 'Spinal Tap' is just like marmite. You'll either love everything about it or hate every frame of it. Some people say it's like watching wet paint dry, others say it was so funny it gave them a hernia. I definitely fall into that latter category. After the umpteenth viewing, I still find it painfully hilarious!But that's not the only reason for seeing it. It's also a totally accurate, observational and witty deconstruction of rock's strutting pretensions. If you're someone who thinks rock bands take themselves far too seriously, you need this movie. If, on the other hand, you feel like rock stars should forever be treated like gods and worshipped on a regular basis, you might just want to avoid this. After all, when Aerosmith's Steven Tyler had finished watching it he said he just felt like he wanted to throw himself off a cliff! It reveals the utter shallowness of rock 'n' roll without even flinching!If you're also a lover of in-your-face laugh-out-loud got-it-straight-away humour, just stay away. Far, far away. This is intellectual stuff. You have to possess intelligence to enjoy it. I've never met any stupid people who did enjoy this film.Director Rob Reiner really shows how broad his range is with this (his best in my opinion!), bringing every authentic detail, no matter how seemingly minor, to the screen effortlessly with a wonderfully sharp cast. Its still a challenge to get my head around the fact that this is from the same tubby Santa Claus look-alike who made 'The Princess Bride' and 'Stand By Me'! Reiner has always been a man with extraordinarily wide horizons and always will be, constantly entertaining cinema-goers with so many different stories!The film's fly-on-the-wall mockumentary style works wonders, getting some beautiful performances from its actors (namely Michael McKean and Christopher Guest) and adding to its 'natural' feel. Many films, mainly British ones, have imitated this style ever since. Even one of the film's actors and co-writers has stuck to the hip of this film for the most part of his career, coming up with new and even more outlandish 'mockumentaries' to entertain and sate his legion of followers.On each viewing, you'll erupt into laughter at the discovery of a new joke. Then for weeks on end, you'll be quoting it to your friends and everyone you know. It's like a treasure trove without a bottom!To finish this not-so-critical analysis, I can never find any fault or flaw even after the innumerable viewings I've had. I never get bored of it either. I think the reason I like this so much is, honestly, because it was made for people like me!",10.0,Anonymous,Music
The only rockumentary you ever need to see,"I will never be able to see another rockumentary again without laughing myself sick.  This movie hits its target dead on.  I don't know how the actors kept a straight face through reciting their lines.  The scene where Rob Reiner is discussing the rock critics analysis of their albums is the funniest scene I can remember in any movie.  I mean ""s*** sandwich"" that made me laugh for 10 minutes straight.  I wonder how long it will take to get that Hell Hole song out of my brain!",7.0,Anonymous,Music
LEGENDARY,"A fantastic mockumentary! I feel quite embarrassed that I hadn't seen it before. Seriously, hilariously excellent. It really could be real.Michael McKean is unrecognisable and superb. Wow.If you love music, enjoy a good laugh, you will love this.",10.0,Anonymous,Music
