title,content,rating,username,genres
The best Thor yet!,"The action and humor mixed up in this movie was done with such quality that you forget about the problems with it, if there are even any at all! Thor kicks butt along with both new and old friends of his and unforgettable superhero power scenes that will make you smile! This was especially great seeing it in theaters!",9.0,Anonymous,"Action, Adventure, Comedy"
"Hilarious, Action packed, good comeback for the thor franchise","It's hilarious, choreographed well, only issue is there is no emotional bits. And nothing is serious",9.0,Anonymous,"Action, Adventure, Comedy"
This Thor is Thor-some!,"Frankly, I didn't like the first two Thor movies, the game plan was so clear from the get go. Same old ""save the world"" routines, brooding hero with a burden, a love connection born out of necessity and bloated battle scenes. It is the same blueprint for many superhero movies, but Thor has the God element that made the stories feel even more preposterous and ridiculous. It is hard to be vested in his quests because God don't die, hurt as much and can always employ one last deus ex machina that solves the unsolvable problem. But Thor: Ragnarok throws that over-used game plan out from Bifrost into an unknown territory, making it this year's best superhero movie. I know I know Justice League has not descended, but looking at the trailer it doesn't take a genius to see that it will be doing the above-mentioned routine.New Zealand director Taika Waititi seems like an unusual choice to helm Thor's third standalone movie. He has the indie root in him and he makes superbly smart comedies with oddles of heart, just watch What We Do in the Shadows (2014) and Hunt for the Wilderpeople (2016) to see his outstanding oeuvre. Apparently, the Marvel-Disney studios have given him full reins and he went ahead and make a comedy. But how do you inject an indie comedic vibe into a superhero franchise that has not been done before?Essentially, Waititi throws out all the cumbersome weights that hampered Thor and tells a simpler but no less cool story about a superhero trying to get back to his home to clean house. In between he gives Thor ample opportunities to be a beer-swigging beefcake, negotiate some treacherously outlandish situations and strip him off the one thing that makes him Thor, the Mjolnir. At one point, Odin even asks a defeated Thor ""What are you, the God of Hammers? "" that had me laughing till my tears rolled down.The tone is light but no less serious, populated by so many colourful characters in a vivid world trapped in impossible situations. At first I thought the introduction of Hulk in the early trailer is a misstep, but Mark Ruffalo's casting would have been close to impossible to keep under wraps. By giving Planet Hulk comic fans a look-in would have been a better move. The repartee between Thor and Hulk/Banner is so hilarious. No less funny is also the dialogue between Thor and Loki, gone is that ""he ain't heavy, he is my brother"" vibe and this is a Thor that will give Loki a smackdown if he is out of step.Cate Blanchett plays Thor's estranged sister with evil relish and you don't cast Jeff Goldblum without allowing him to be Goldblum. Waititi even voices a gladiator-mentor character named Korg that practically steals all the scenes he is in. Chris Hemsworth hams it up just to a safe degree and nails all the one-liners with an A+. In fact, the whole cast seems to be having fun.Thor: Ragnarok embraces its preposterousness and swims in a pool of ridiculousness with the deadpan and self-mocking humour hitting all the bullseyes. In the midst of it all, it still manages to tell a super duper cool story of a superhero saving his people. Yet it manages to remain fresh and zip along with a zany lightning pace. What an inspired choice for a director. The risk taken will pay huge dividends. This has superb rewatch value and I already feel like buying another ticket just to catch all the one-liners one more time. This Thor is Thor-some!",8.0,Anonymous,"Action, Adventure, Comedy"
Best Movie in THOR series,"The cast for Thor Ragnarok are all matched well, and the sibling chemistry between Tom Hiddleston and Chris Hemsworth is as natural as can be. Cate Blanchett as Hela, the goddess of death is frightening in her cruelty as well as physical perfection. But, the reason this movie stands alone is the multi talented Taika Waititi, the director of the film. His offbeat New Zealand style shows in every scene, humor throughout and a rocking 80s electronica soundtrack, the film will transport you as fast as Heimdall and the Bitfrost!",,Anonymous,"Action, Adventure, Comedy"
Damn you Marvel!!!!,"Ragnarok is a neon-infused fantasy of what superhero films could look like. There are gigantic monsters and beautiful women; zombie armies and a big spooky dog; an evil witch and Jeff Goldblum, but this isn't just a wacky movie made for the sake of wackiness. Ragnarok is the child of confident filmmaking and understanding of what the Thor franchise could have always been.It takes a character that could have always been more and makes good on that promise through competent storytelling and unbridled enthusiasm for the world. This is exactly how we should be rewarded for their fandom. There has never been a clearer example of throwing the entire kitchen sink at a single title and having every single washer and lug-nut of that porcelain mechanism land in perfect order than Ragnarok.",10.0,Anonymous,"Action, Adventure, Comedy"
The best marvel movie of them all!! Humor and action!!,This us a phenomenal movie has the whole super hero package plus some great humor. An incredible villian played by the flawless Cate Blanchett!! I like this even more than any of the avengers movies. This and guardians of the galaxy are the flagships of the marvel franchise.,10.0,Anonymous,"Action, Adventure, Comedy"
Thor and Marvel Cinematic Universe are at the top of their game,"Really enjoyed the first 'Thor' and loved even more its bigger, darker and bolder follow-up 'Thor: The Dark World'. 'Thor: Ragnarok' manages to be the best of the three, and is not just a strong contender for the funniest Marvel Cinematic Universe film (yes even more so than the 'Guardians of the Galaxy' films) but also one of their best to date.As said in my review for 'The Death of Stalin', 2017 has been very hit and miss for films, the best ones being wonderful (I.e. 'God's Own Country', 'The Farthest', 'The Death of Stalin', 'Blade Runner 2049', 'Wind River', 'IT', 'The LEGO Batman Movie') and the worst ones being dreadful (i.e. 'Baywatch', 'The Snowman', 'The Emoji Movie', 'Stratton', 'Flatliners', 'The Mummy', 'Transformers: The Last Knight'). 'Thor: Ragnarok' is to me up there with the year's best. Would even go as far to say that it's one of the best and most entertaining ""superhero"" films so far, whether in Marvel, DCU or anywhere.On a visual level, 'Thor: Ragnarok' is the best-looking of the three 'Thor' films and of Marvel in general. Asgard looks colourful and atmospheric. The photography and editing are stylish and the locations are stunningly vivid. The special effects and stunts are not just dazzling and have substance and purpose rather than just being thrown in for the sake of it, they are among the best of any Marvel film. Just for the record, Marvel get a lot of hate, particularly in the ridiculous and blown completely out of proportion DCU vs Marvel war, have personally enjoyed a lot many of their efforts. The music pulsates thrillingly and is also catchy and rich in atmosphere and emotion.'Thor: Ragnarok', as said, is a contender for Marvel's funniest film. The dialogue crackles in wit and deadpan deliciousness, and absolutely loved Thor's quips and the clever in-jokes (Loki's horrified reaction at coming face to face with Hulk was a standout). They are all placed adeptly, placement is never questionable.It's not just about the humour that makes 'Thor: Ragnarok' so great though. Like 'Thor: The Dark World' in particular of the previous two films, the action is absolutely thrilling and breath-taking in spectacle (almost 'The Lord of the Rings'-like in scale). There is plenty of bold dark-natured tension and the emotional moments give the film a lot of heart and are genuinely moving.Taika Waititi balances humour, action and drama with ease and it shows in the compelling and tightly structured and paced story. The characters are even more expansive in development, both intrigue and entertain and their well fleshed out personalities make them easy to care for them. Thor and Loki are beautifully realised characters while Hulk is the most interesting he's been in a long time. Hela is not just the best non-Loki 'Thor' villain (so much better than the one-dimensional and underwritten villain of 'The Dark World) but also one of the best villains in the Marvel canon, not just posing a threat, interesting in personality and having a motivation that nobody will scoff at but she is also one of few Marvel villains to actually have an arc. Korg (with Waititi writing himself in to portray) is a bit random but is a lot of fun.Chris Hemsworth is at his most relaxed and charismatic, while Tom Hiddleston is terrific as Loki and pitches his mellifluousness and serpentine-like malevolence perfectly. Anthony Hopkins continues to bring welcome gravitas to Odin and doesn't ham up. Cate Blanchett relishes the character of Hela, and makes her a character that's menacing, entertaining and oddly rootable.Mark Ruffalo is a strong presence as Hulk, Benedict Cumberbatch brings everything that was good about his Dr Strange in the first place and Jeff Goldblum is suitably playful. Karl Urban comes off least but does his best with the relatively little he has (which to me was nowhere near distracting enough to bring the film down).Overall, a brilliant film with Thor and Marvel being at the top of their game. 10/10 Bethany Cox",10.0,Anonymous,"Action, Adventure, Comedy"
A very fun movie that sheds new light on the future direction of the MCU,"I think that this newest installment in the MCU, Thor:Ragnarok truly solidifies the MCU's new direction that has been commencing in phase 3. Contrary to the previous Marvel Phases this new Phase focuses on a new direction, in Phase 1 we had the origin stories which came together in the first Avengers movie. In Phase 2 we got some further world building in the different solo movies like Iron Man 3 and Captain America: The Winter Soldier. But, other than these entries Marvel's Phase 2 also gave us some experimental projects like Guardians of the Galaxy and Ant Man. Now in Phase 3 this experimental Marvel is coming in full force.In order for a franchise like Marvel to survive I think this new direction is very important if not necessary, it is very interesting that Marvel is now employing directors that are not necessarily the usual big budget movie directors but rather, directors of low budget movies such as Taika Waititi. Marvel Phase 3 seems to be all about having this ensemble of films with drastically different tones. We've had 2 comedies Thor: Ragnarok and Guardians 2. But we've also went into mystical/fantasy genres in Doctor Strange or serious dramas like Civil War. Not to mention the coming Black Panther that has a very estranged setting. All this is what the New Marvel has become and I think it is perfect.So, after discussing so much on the direction of the MCu I would like to pull the focus back to Thor: ragnarok, I can understand that many people did not like this film for its lack of significance in the greater scene/setting of the MCU. In fact there wasn't much stakes that carry through to the MCU and it seems very self contained. However I think that it is important to enjoy this movie as it is, the fun action sci-fi that is probably the funniest Marvel movie to date. The thing is we as audiences get so much superhero movies nowadays there is a case of superhero film fatigue and having large stakes in every single movie is just going to dilute out tastes. This current way, we can enjoy these characters in their own side stories/adventures and enjoy the big explosive moments when they come together, like a comic book crossover event!What Thor: Ragnarok does so well is that it really redefines the Thor franchise, the character of Thor himself and even the Hulk character. All the while maintaining the sense of fun and adventure. I did enjoy that they further characterized Hulk so he isn't just a raging monster but a simple minded character who has more complexity than is previously perceived.However, the comedy does come at the expense of certain climactic battle sequences and serious moments and this is sure to put certain audiences off.But overall, a thrilling, fun action movie that is sure to evoke certain controversies.",7.0,Anonymous,"Action, Adventure, Comedy"
Popcorn-blockbustering of the highest order.,"Being the 17th instalment into the Marvel Cinematic Universe (MCU), and the third in the solo-Thor series—generally the least liked within the MCU—it wouldn't be surprising if this cosmic adventure showed signs of repetition and fatigue. It doesn't, not one bit. The opposite is true in fact, thanks to the unique energy and ingenuity brought from New Zealand director Taika Waititi (Hunt for the Wilderpeople, What We Do in the Shadows). Waititi's comedy background is noticeably in full swing, the previously darker Thor outings traded in for a laugh-heavy vibe closer to Guardians of the Galaxy – the movie Ragnarok shares top spot with, as the MCU's funniest film. A throwaway gag about scissors from a side character made of rock (mo-capped and viced by the director himself) is pure Waititi, and the franchise's best one-liner since Chris Pratt's Starlord appreciated the artwork of Jackson Pollock. Of course a big budget means big action, and there's plenty here to thrill and delight: a tone-setting smack down of a fiery underworld demigod, a bruising gladiatorial contest between Thor (Chris Hemsworth) and Hulk (Mark Ruffalo), an exhilarating spaceship chase, and the breathtakingly electric finale. This threequel is visually distinct too, Waititi opting for a grungy-disco 80s atmosphere over the more theatrical opulence of the first two Thor flicks. His use of slow-mo, backed to Led Zeppelin's 'Immigrant Song', for two key moments, is simply brilliant. Supporting Hemsworth, who has never been better as the macho God of Thunder, is Tom Hiddleston as fan favourite bad-good guy Loki, Cate Blanchett as the sneering God of Death Hela, Tessa Thompson as the cocky warrior Valkyrie and Jeff Goldblum as the eccentric Grandmaster, plus a raft of awesome cameos. A few minor nit picks: Idris Elba seems bored as the returning Heimdall, two previous major supporting characters (both females) are conspicuously absent, a talking Hulk doesn't quite work, and the narrative-retcon work could've been more subtle. But when a movie is this damn entertaining, a few quibbles are easily forgiven. Comfortably taking its place in the top echelon of MCU films, Thor: Ragnarok is hilarious, invigorating and popcorn-blockbustering of the highest order.",9.0,Anonymous,"Action, Adventure, Comedy"
Thor Review,"Thor: Ragnarok is a fun and entertaining movie. The acting is great along with the comedy. The tone and feel Taika Waititi has created fits so well with Thor and completely embraces the ridiculousness of the Thor setting. The movie perhaps gets too silly at some points, but for the most part the comedy is spot on.A strong 7/10",7.0,Anonymous,"Action, Adventure, Comedy"
