title,content,rating,username,genres
Thor Rocks.,"I know this film has been ragged on by many people, but I really enjoyed it. Was great seeing Asgard, and how Mjolnir followed Thor around was wonderful. Hey, Thos has always been one of my favorite characters, and Hemsworth plays him so well.",8.0,Anonymous,"Action, Adventure, Fantasy"
Thor,"Is this a huge stepup from the original ""Thor"" movie. No, unfortunately not. Is it another watchable, fun superhero movie; yes, definitely. It's a really good movie and if we look at the way Alan Taylor directs this movie, it's actually not that much different from what Branagh did back in 2011. Chris Hemsworth is good as usual and Tom Hiddleston is more wonderful than ever as Loki, but the villain Malekith, played by Christopher Eccleston, unfortunately, is a bit of a disappointment, mostly because of the lack of motivation.",,Anonymous,"Action, Adventure, Fantasy"
Thor: The Dark World (Short Movie Review),Positives:Chris Hemsworth and Tom HiddlestonSome of the humorNegatives:StoryWeak and boring villainMost of the humorOne-note side characters (Again),6.0,Anonymous,"Action, Adventure, Fantasy"
The Light at the End of a Dark World,"When we left our friends in Asgard, all was right in the 9 realms after Loki was thrown into an abyss for his selfish ways and almost destroyed everything the Asgardians hold most dear. But it has been 2 years since Jane Foster and Thor parted ways and now they are reunited because of a darkness that shrouds over Jane's inner body as she infects a most powerful and deadly weapon that could not only destroy her but the entire 9 realms – it takes a vicious monster Malekith (played wonderfully by Christopher Eccleston) to destroy all of the races in the universe to converge it all in darkness.But it takes Thor (Hemsworth) along with Foster (Portman) and Loki (Hiddleston) to save the day. But what we don't know may surprise us – that the Tesseract, the Aether, so close together creates something more deadly than what they could ever even think that could happen to the fate of the entire universe.This movie was excellent and I am looking forward to seeing what is next for our mighty god of thunder.",10.0,Anonymous,"Action, Adventure, Fantasy"
A good entry into the Marvel Universe,"Having just watched a premier screening, I am delighted to come away from the cinema to write a positive review. Thor Dark World is a spectacular special effect driven film, much of which is set in Asguard.I was worried that including Loki yet again might become a little repetitive, but in this film he excels as a great character, I only hope however that they don't overdue his presence in the Marvel Universe. How many times can this guy come back from the dead?There isn't as much character development as the first film, and Thor's friends are nowhere near as interesting as the Avengers. I guess they simply needed these characters to all remain as they were so as to keep continuity within the Marvel universe, but its noticeable how little impact the storyline will have on anybody.The armies of Asguard were noticeably lacking in fire-power and weapons (even though they have an armoury), which is made even more evident when an entire guard division bring knives to a laser-gun fight. Their turrents were the only defense they had against an Ariel assault and proved to be practically useless. You would expect them to be better prepared.The healing powers of Thor, Jane, and even a smashed alien space-craft become a bit of a running joke as well. But at least they get hurt, even if it only takes them a scene to heal. And if smashing every column holding up a building is still not enough to take it down I'm not sure what will be.Christopher Eccleston played a competent bad guy, although his intentions for what he was doing was still unclear as to why. Its simple to say he was insane and just wanted to kill everybody, but when a threat of that magnitude appears and planetary alignments are in effect, you expect half the Universe to show up and stop him or take advantage of the situation, or come looking to take the power for themselves. I also expected to see the entire army of Asguard come to help out at the end like they apparently did in the past. Not just Thor who appears there by mistake.The scientist with the miraculous plot saving devise is also a little hard fetch to take in, especially when he creates a remote control for cosmic anomalies. Along with Loki's illusion power which also serves as a convenient plot-saving devise at times. I'm willing to overlook these but there's no denying what they are.Overall its a good enjoyable superhero movie, which you will want to watch several times and is a decent entry into the Marvel Universe.P.S. Watch it in 2D, The 3D added little of worth.",9.0,Anonymous,"Action, Adventure, Fantasy"
Action Packed Fantasy Romcom?,"Well I was so looking forward to seeing this movie when I went last night, and although it was reasonably good it was not at all what I expected.Watch the official movie trailer and you see what looks like quite a dark fantasy, so you can imagine my surprise when throughout the movie the audience was laughing out loud at the stupid one liners. Yes I know this is entertainment, and this movie was moderately entertaining, but once again the makers have tried to please everyone by adding a bit of everything; action, special effects, romance and humour, just far too much of the latter for my taste in a genre that does not require hilarity to succeed.Although it has a lower IMDb score I much preferred the 2011 Thor, a stronger storyline, darker and no laughing matter!",6.0,Anonymous,"Action, Adventure, Fantasy"
"All style, no substance","The acting was solid. The production value was superb. Everything else was really poor.The back story and character motivations are laughably sparse. Most of the characters are completely one-dimensional, with the possible exception of Loki. The plot is the most boring and typical of all action plots - some ""bad dudes who happen to be really ugly"" decide to ""destroy the world for no reason other than being evil"" and ""only our hero can save us all"", etc. Moreover, it was lazy writing - whenever an absolute miracle needed to happen, it conveniently did, every time.Of course this is a mindless blockbuster Marvel movie so we shouldn't expect much. But the thing is that these kinds of films CAN be made with a reasonable plot, pacing, and character development. The writers were obviously just going through the motions to cash in on the surefire moneymaker sequel, and from a business perspective it is hard to fault them. But it says a lot about the sad state of Hollywood in 2013 that this film currently has a 7.7 on IMDb.",4.0,Anonymous,"Action, Adventure, Fantasy"
Loved it!,"For starters, I loved this film! I was a fan of the first but this one is superior in every way. The actions scenes are better, the plot is better and there is great banter throughout the film. Due to these factors it is entertaining and has more than enough in it to keep you interested. The acting is fantastic, especial by Chris Hemsworth and Tom Hiddleston, as they work great together and appear to have a great understanding of each others roles. I just can't understand why people don't like this film unless they are not a fan of superheroes. After seeing this film last night I read through a few of the reviews afterwards and was shocked as some people were giving it lower than 7. These people are clearly boring and have no idea about an entertaining film and enjoy watching films that just depress you and have no idea about what a fantastic superhero film this is. I recommend you watch this immediately as you won't be disappointed.",9.0,Anonymous,"Action, Adventure, Fantasy"
Sigh...Zzzz...,I was never a really big fan of Thor to begin with and this movie just proves it to me again. This movie was so slow and boring. The first hour I almost fell asleep a few times. The special effects were really well done but other then that I really do not think this was a great movie. I gave this movie a generous 6 out of a possible 10. Normally these types of movies at least earn a 7 from me but this one at best was a 6 only.You can tell that this sequel was made for the sack of making some more money off the very boring Thor. I for one will not waste my money on a third that is for sure. They really need to stop wasting everyone's time with Thor. He is boring and other then his looks has very little going for him. Good day!,6.0,Anonymous,"Action, Adventure, Fantasy"
Thor The Dark World: One of the weaker MCU offerings,"PlotWhen the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.CastThe same bunch as before but now we have a disappointing Eccleston and Fandral has been recast with Zachary Levi.VerdictI didn't hate the first Thor but I didn't deem it a great film, our titular character bounced between distinctly unlikable and oddly hilarious and didn't seem to manage as a leading man. The supporting cast, a combination of bland and oddly quaint! Dennings character walking a fine line between being quaint and deeply annoying.The humor is on point, the visuals are interesting, Thor is the same mix of unlikable and funny (But less so than the first film) but the plot is really unengaging, Malkeith makes for a terrible villain and the ending is really quite poor.The film also distances itself from the MC quite a bit, there aren't as many nods as we're used to though the Captain America cameo was kind of neat.I consider Dark World one of the weak links in the MCU, thankfully Thors next solo outing made up for it.RantsI don't know what it is with Portman but she's so remarkably unlikable. Is it her face? Is it her acting ability? Is it her real life personality? I honestly don't know what my issue is. She just looks like someone who would kick me between the legs, put a cigarette out in my eye and expect me to say thank you.BreakdownSome funny moments
A few solid cast members
Malkeith is a terrible villain
Inconsistent tones
Plenty of bland moments.",5.0,Anonymous,"Action, Adventure, Fantasy"
