title,content,rating,username,genres
Pixar is improving: near perfect...,"I just saw Toy Story 2 an hour ago and I must say that, despite all the great reviews, I was still surprised about the quality....It started absolutely marvellous; one of the greatest and humorous opening sequences ever. The plot is really smart, the animation is brilliant and the humor...Oh man! The last 50 minutes must be the most fun 50 minutes I had in years and believe me, I'm NOT exaggerating. It seems impossible to imagine the fun the writers must have had, because this is a true film-fest whether you do like  Disney-esque films or don't.Having this fast-paced storyline, John Lasseter & Co. exploited it to a maximum. Cameo's from Pixar-characters (Geri's the coolest), unexpected and obliged references to other big films (really love the Jurrasic Park one), great new characters (Wheezy!!), and more jokes and gags rammed in an animated feature than you'll ever see and of course the out takes.The action-department is also greatly represented in some astonishing sequences with great, original shots and angles. The music is moody and Randy Newman is at his best with the really non-disturbing, appropriate song about Jessie, which is definitely the message of this film.O.K., I know I'm raving, but I really meant it when I chose the ten and clicked the ""Vote"" button. This film is great and I recommend it to every film-lover.A few downsides (this hardly affects the overall film) are I think, first of all the lack of originality, which is excusable and acceptable for a sequel. Second, the still somewhat jerky animation of the humans (I know they said it was supposed to be, but I disagree that). And third: the ratio, 1:1,85 (I thought it was the theater, but Pixar is forgiven, seen the quality of the film.) These are minors things and my decision is final, Toy Story 2 is certainly included in my top 20.O.K., now you may stand up and ring a friend to go and see it, come on!!",9.0,Anonymous,"Adventure, Animation, Comedy"
Best animated movies ever made,"More thematically compelling and with better action set-pieces, Toy Story 2 is a sequel that is just as good as the original - and one that isn't afraid to go to the more emotional side of storytelling.",,Anonymous,"Adventure, Animation, Comedy"
"Funny, Exciting and Thoughtful: What more do you want?","PIXAR has done the impossible, and significantly improved on their original groundbreaking film Toy Story. Not only is the movie hysterically funny, but every time I thought I knew where the plot was headed something completely new and original was thrown into the mix. One minute I'm laughing hysterically at ""Tour Guide"" Barbie, the next I'm nearly brought to tears watching a sequence where Emily grows up and leaves Jessie behind.What more can be said? If you think you're too old to enjoy something like this then I feel sorry for you, because this film has more to say about friendship, loss, loyalty and the value of life itself than any of the so-called ""grown up"" movies I've seen this year.I rarely do this, but I'm rating this one a ""10"".",10.0,Anonymous,"Adventure, Animation, Comedy"
Better than the original...,"Which should be impossible, as the original is pretty amazing. Extremely impressive and always entertaining.",10.0,Anonymous,"Adventure, Animation, Comedy"
A great sequel,"This has to be by far one of the cleanest and most well-designed movie to come from any studio for a while now. The plot is trim and concise and this film is not just for kids, there are plenty of grown-up themes to satisfy even critical viewers. The animation is tremendous, especially if you pay attention to the details, and the cameo from Geri and the underlying Star Wars spoofs are just great. All in all, one of the best films I've seen to date. Just one disappointment, no outtakes during the credits. But still, I don't think I'll forget this one for a while, if you get a chance to see it in the cinemas don't miss it...",10.0,Anonymous,"Adventure, Animation, Comedy"
To Infinity and Beyond ?,"Well it's a sequel, and I watched with trepidation, and glad to say I enjoyed every minute of this, it was good to see the voices of all the characters still voiced by the original actors/actresses, as well as welcoming new characters 'Stinky Pete the Prospector' and the Round-up gang, as well as a nemesis for Buzz !  Some very 'tounge in cheek' movie gags (Jurassic Park and Star Wars to name but two).  I would hope in years to come to see more quality productions like this.This will be a family favourite again.",10.0,Anonymous,"Adventure, Animation, Comedy"
Collector's Item,"Hugely entertaining sequel, that lacks its predecessors compact and harmonious storyline as well as its dark subtext. Instead, we've got our toy friends on an epic rescue mission through town, along with some all too obvious pop culture references - another Star Wars parody, please?! - and sightly forced action moments.But it's still a good movie, full of funny one-liners and meticulous care for detail. The characters - old and new - are as amiable as ever, and here and there Pixar is still able to achieve moments of great beauty and wit.7 out of 10 double Buzzes",7.0,Anonymous,"Adventure, Animation, Comedy"
Entertains adults just as much as it will children. One of the years best films. ***1/2 out of ****,"TOY STORY 2 (1999) ***1/2With the voices of: Tom Hanks, Tim Allen, Kelsey Grammer, Joan Cusack, Jim Varney, & Wayne Knight Director: John Lasseter   Running time: 85 minutes   Rated GBy Blake French:In an era where audiences are given such few family movies, and in a time where such films are seldom given decent scripts, ""Toy Story 2"" is a jolt of lightening in the fast fading genre of unobjectionable entertainment. Over the past several years we've received filmmaker's poor attempts at granting us enjoyment with an orphaned raised by jungle apes, bouncy green slime, a massive gorilla reeking havoc on a major city, a child fending off robbers by himself near Christmas, a small boy's attempts to rescue a battered dog from his cruel owner, a canine playing football, a colony of ants in trouble, a talking mouse, and even a film version of an old cartoon about a man filtered with countless gizmos. None of those desperate family tales work. I think you can understand through these examples that when a great children's film does finally open, and entertains adults equally as much as it mesmerizes its target audience I give it the honor of being one of the years best movies.""Toy Story 2"" continues the traditional lives of the characters brought to our attention in the original movie released in 1995. What makes ""Toy Story"" unique is the fact that the characters are mostly toys. The familiar faces include everyone's favorite cowboy Woody, Buzz Lightyear, Hamm the piggy bank, Mr. Potato Head, Rex the cowardly Tyrannosaurs Rex, the Army Sergeant, Little Bo Peep, and the Slinky Dog. The sequel film introduces several new characters in its presence consisting of Prospector Pete, Jessie the Cowgirl, and antagonists, a  greedy human named Big Al and robotic video game figure called Zurg. The plot has to do with several of the toys rescue attempts to save Woody from a money hungry thief who intends to sell him to a different country.Just a few days ago I screened the somewhat similar, although unsuccessful, family comedy ""Stuart Little."" That movie failed because it attempted to blend our human world with the likes of pure fictional fantasy; a talking mouse that acts like a human. It is hard to except something like that without an explanation--giving the filmmakers no choice but to get into a complicated, logical explanation that would bore the majority of an audience. ""Toy Story 2"" needs none of that explication. It contains its illusion outside of our world, creating a tale that inspires our imagination. The filmmakers do not try to compare the likes of toys being alive with reality. It creates its own atmosphere which seems unfamiliar and magical. It is a place that lives within our dreams; everyone has hoped for their toys to come alive at one time or another. ""Toy Story 2"" brings this world to life to the quality of the original ""Toy Story."" This movie is a landmark in the gender of animated family comedies that should be treasured for all that its worth.Brought to you by Walt Disney Pictures.",9.0,Anonymous,"Adventure, Animation, Comedy"
Not as good as the first one.,"Toy Story 2 is just not as funny or as clever as the first Toy Story. There seems to be lots of filler (ie. needless action and chases) and not enough witty interaction between the characters. Even the voice performances seem to be a little lackluster. Still, I laughed out loud more than a few times and was only slighty bored in the middle section.",7.0,Anonymous,"Adventure, Animation, Comedy"
"Wonderful, imaginative film","This film is definitely a pleasure and a joy to see, a very well done sequel.  I wouldn't be surprised if it would spawn yet another sequel, raising the bar even more for computer animation, such as this film has done.  Toy Story 2 looks even more lifelike and realistic than its original, I found myself several times 'forgetting' that it was computer animation. Definitely a must see for all ages.",10.0,Anonymous,"Adventure, Animation, Comedy"
