title,content,rating,username,genres
Unforgettable experience! One of the best zombie films ever made.,"Forget about the ordinary and immerse yourself into this amazing zombie thriller experience. If you love thrillers and zombie flicks, then you are in for a ride with this one.
This film has it all: the hero arc, character development, insane action, relentless tension, drama, tear jerk, comedy, special effects, great cinematography and most of all excellent pace!
Well done to the Korean cinema. Excellent film. 9/10",9.0,Anonymous,Horror
Zombie Revival,"Train to Busan was a treat.A look into Selfishness vs Selflessness and Individual vs The Collective.I can't remember the last time I enjoyed a foreign film this much. The cinematography is excellent, the story is original, and I will definitely be keeping an eye on Sang-ho Yeon's future projects.",8.0,Anonymous,Horror
"Challenge of Korean blockbuster, and it succeeded quite well","Making zombie blockbuster movies outside of Hollywood is not an easy task. Money is the biggest problem, of course. Since it takes a lot of money, success should be guaranteed before making a movie is decided. However, because there are no other precedents, you can't tell whether it's going to succeed or not. This bad cycle kept Korean directors from making zombie blockbusters. This tells how bold movement it was to make 'Train to Busan'. This movie was destined to be 'hit' or 'flop' and it turns out to be 'hit'. Then, this gives a food for thought. What made this Korean zombie blockbuster movie which is definitely unfamiliar to Korean people successful? Ironically, the secret lies in familiarity. Let's take a look at this movie. Yes, it has zombies, but is this movie all about them? No. Unlike 28 days later or resident evil, this movie actually doesn't care about zombies that much. Zombies are not explained much. Their origin, their ability, cure for zombiesThese are the things that are not being handled well in the movie. In this movie, zombies are just tools to represent 'threats'. The main theme of this movie is about how people react to threats. Selfishness, altruism, violence, love and much more are being depicted in this movie. And Korean people are quite accustomed to these elements. When directors mix these elements well, then the movie becomes a hit, just like this one. However, this movie still has some downsides too. Acting of Jin-hee is quite unbearably bad and the character Yong-suk (who keeps trying to sacrifice others to save himself) had gone way too far. Yes, I can get mad at bad guys but I don't want to get annoyed at them. Also, getting annoyed gets worse when it is not properly resolved as this movie does. Overall, this is a quite well-made movie, though it still has some bad moments. I believe this movie will be a new beginning for Korean blockbusters. And I recommend you to watch this movie to stay alert for rise of Korean movies.",7.0,Anonymous,Horror
best modern zombies movie,"Hello,We can argue whether a zombies should be fast or not –In the movie, they are fast, deadly and merciless. It is more believable than those zombies can take over a city or a country within a day.The movie succeed where Fear The walking dead failed miserably, to explain how the pandemic starts and how it has been spread so fast.Most of the movie take place in a train, very claustrophobic place if you are chased by a herd of undead, but it worked for me, I felt the tension, the drama, the crazy survival instinct of ones and the resignation of the others.Walking dead made the zombie apocalypse almost cool, with guns and sex and love story, In train to busan nothing is cool, you do not have gun, your family and pretty much everyone you know are dead, there is no escape and nobody will come to save you ..I spent 2 marvelous hours watching a movie about zombies, I despite the fact I watched hundred movies about zombies, I have been surprised and scared.",10.0,Anonymous,Horror
Zombies on a train!? Boss!,"We're leaving (leaving) on that Zombie Train to Busan (leaving on the undead train).Use to seeing Korean horror films about ghost, but Zombies!? This was refreshing.So this neglectful dad tries to make amends with his daughter by riding with her on the train (which she wanted to go by herself) to take her back to his ex-wife. Lucky for both of them as a zombie outbreak happens while their on the train. Now, their only hope for survival is to make it to the Busan stop.You really can't go wrong with a Zombie movie. It's rare that I've have seen one that I did not like. Train to Busan is definitely a good one too. Its filled with interesting characters. Other than the father daughter team, the train is also occupied by a pregnant women and her Macho and humorous husband, a school girl and her baseball playing boyfriend and some homeless wonderer who saw the outbreak first hand, just to name a few.The social commentary speaks on what you are made of as an individual and as a society with the best and the worse coming out of everyone during this crisis.I loved how relentless and aggressive the Zombies were. More like 28 days later than Romero. The special effects do get a little cartoony with zombies that seem to come form nowhere piling over one another like poring cereal into a bowl or something, but it does give you that man, these guys are screwed feel. Train to Busan focus on the idea that the walking dead sense you through sight and sound. If they can not see you or hear you they have no way of knowing your living flesh is a foot away from their hunger. It made for some cleaver obstacles when a group of passengers have to maneuver through train cars filled with zombie passengers (Sounds like the next game in the Resident Evil franchise).Also found it interesting that no zombies were shot in this picture. I don't know how Korean gun control laws work, but I can assume it's strict enough that the story would make no sense if someone on the train just happen to have one for zombie killing (unlike an American movie in which the unborn child having a gun would be fine so long as it moved along the story). Definitely a rarity in a Zombie picture and it worked.It's Action packed, it's humorless, with incredible looking zombies and a cast of characters so lively you give a crap what happens to them in the end.http://cinemagardens.com/",7.0,Anonymous,Horror
Adds a lot of spark to the zombie genre.,"This lively South Korean zombie flick arrives in Oz with a limited release, which is a pity as it's a riotous adventure filled to the brim with action, gore and damn interesting story beats. Like all good films within this subgenre, the narrative is rife with metaphors about modern day issues (parent-child connections, corporate greed, human interaction, etc) but it also provides a compelling survival plot when taken at face value. The core relationship between Yoo Gong's self-centred businessman and his quiet, emotionally-neglected 9-year-old daughter (Soo-an Kim – a tour de force) is riveting as it gets put through the wringer, never feeling anything less than authentic. There are spurts of melodrama, however, that induce the odd unintentional chuckle, whilst a select few from the supporting cast play up their stereotypes – love-struck school girl, despicable scaremonger, muttering homeless man – a little too much. Sang-ho Yeon directs with unabashed gusto, pumping up tension and thrills though a string of adrenaline-pumping set pieces, an amazing train-station sequence that turns from hopeful to deadly being a particular high point. The undead are suitably grotesque and enjoyably expendable, their physical movements a mix between the 28 Days Later mode of rapid flesh-eaters and the herky-jerky twitches of J-horror ghosts, although the rules for how quickly someone becomes ""infected"" seems to vary depending on plot requirement. It doesn't necessarily bring anything new to the zombie genre, but with a bunch of exhilarating set pieces and a willingness to kill off anyone at anytime, Train to Busan certainly adds a whole lot of spark.",8.0,Anonymous,Horror
An overall excellent movie,"A friend of mine recommended this movie. In his words, it would be ""a kickass Korean zombie flick"", so naturally i went into this movie expecting another generic, dumb, goofy zombie splatter film. Boy, was I in for a surprise!First of all, the acting is spot on. All the actors are doing a tremendously great job, but for me, little Soo-an Kim totally nails it in one of the best child actor performances I have ever seen. The zombie actors are also truly exceptional and they manage to spook you, without having to rely on heavy prosthetics and rotting flesh.Secondly, the cinematography is amazing. Although the whole story is taking place during daytime, the film manages to make you feel claustrophobic and constantly nervous without having to rely on cheap tricks such as jump scares or low lighting conditions. The cuts are seamless, the colours great and, though different from Hollywood standards, it is a generally really good looking movie.What really captured me though in this film was the drama. In this genre the characters are usually very generic and one dimensional. Though this flick is, at first, not so different in this aspect, as the story carries on we witness the shifting between the dynamics of the characters, we see their personalities evolve and change, we find out about their motives, their relationships and the depths they would go for their loved ones. I personally found myself very emotionally invested to the characters (which might be due to the great acting performances),I was actively routing for them and was really moved by the movie's finale.Don't get me wrong though. This is not some melodramatic drama flick. It is still an awesome zombie apocalypse movie. It is fast paced, it is action-packed, it is gory, it is tense and terrifying and it will keep you at the edge of your seat. It is also original, it doesn't play around and will surely satisfy even the hardcore fans of the genre. However, it is also a film you will remember for its awesome story and characters and for being an overall great movie. 10/10",10.0,Anonymous,Horror
Starts strong only to turn into a typical Hollywood blockbuster.,"Zombie movies aren't quite dead yet. Over the past several years zombies have snuck their way into pop culture, overtaking almost every form of entertainment and putting themselves in the for front as the most beloved ""monster"". There's zombie survival guides, magazines, TV shows, and, of course, movies. 'Train to Busan' is one of those movies. But, as of late, zombies are seeming to wane in popularity. It would seem that the zombie's novelty has started to wear down due to its incredible over-saturation. That being said, when they are done right they remain a rather fun gimmick. Unfortunately, this film is really nothing more than that.It's a fun gimmicky movie that doesn't do too much else. But while it lasts, it's a blast. The film almost immediately gets started showing the slow beginnings of the outbreak. A couple burning buildings, some emergency vehicles darting around, and the occasional convulsing person. This type of first act isn't new or different by any means but it's the fact that we get into the action within ten minutes that makes this movie instantly enjoyable.Despite the dumb family dynamic that the film introduces the opening forty-ish minutes is probably the most visceral action in a movie so far this year. This is largely thanks to the actual filmmaking. The camera-work is all extremely fluid and interesting. There is rarely a moment when I saw a shot and thought it looked bad. The director uses the camera to help build tension instead of just throwing in loud sounds and music.It also helps when the makeup effects and performances are as well done as they are. Obviously, there is a fair amount of blood in this here movie and it's used sparring enough to help heighten a scene, instead just being the scene. And the actors that get the nice close ups as the zombies all do a wonderful job selling it. There are multiple wonderful moments when the zombies fling themselves down thrashing wildly.The best moment is definitely when an army man throws himself off the train and breaks his arm. It just dangles behind his head as he gets up and takes off running. It's these wonderful little touches that make this film enjoyable over a 'World War Z' type of movie. But not everything works in this movie. The script is particularly messy. This feels far closer to a big budget Hollywood movie, except without the budget.The most noticeable bad aspect of the film is the visual effects. Even though the majority of the film takes place on the actual train, there are plenty of times when we move off of said train and the run down world comes into focus. What we get are mostly unconvincing effects that hinder more than help. Fortunately, they are used sparring enough to not be a huge issue.But, like I said earlier, this film's script is specifically poor. This mainly stems from the emotional manipulation that it has. It tries to offer characters that you like but it doesn't develop on them. They are people that have families and the film expects you to just like them for no reason. And since you are supposed to like them for no reason it tries hard to have tear jerking moments.Every time it does, they are horribly predictable and nothing more than manipulative. It pauses the film to have the sappy music and the zoom ins as the characters pretend have emotional moments. Every time this happened, and it does far to often, I just wanted to punch the movie in face and yell, ""GET ON WITH IT!"" If you want to have these moments in your movie, that's fine, but you need to have well- written characters. Or just go non-stop balls to the wall action.And that's where this movie fails. It tries desperately hard to be both action packed and emotional. When you try this hard to strike a balance, one aspect or another will suffer at any given time. Every time the film slows down to have characters talk, I just wanted to die. It affects the pacing in the worst way possible by making this a boring yet fun movie. It's definitely enjoyable to watch and it has a lot of great elements. If you like zombie movies or action oriented movies, you'll probably like this one, but for anyone else watch 'Dawn of the Dead' again.",6.0,Anonymous,Horror
"In a zombie apocalypse, the Koreans are just as stupid as Americans.",Would have been a lot better if the main charachters had some commen sense. That goes for 90% of horror movies but damn. I just can't believe people are that dumb. I might be wrong though.,5.0,Anonymous,Horror
The best zombie movie I have ever seen,"The best zombie film I have ever seen (outside of the comedy Shaun of the Dead). Such a great film. It starts exactly like a train ride gathering momentum and gaining speed. The only difference with this train ride is I didn't want it to stop. It has a brilliant script, fantastic effects plus a very good choice of cast and acting. It also has a 'credible' plot (as credible as you can get with the zombie genre). Many of the scenes will stay with me for a long time. I hear that Hollywood want to do a remake of it. It will be interesting if it will be done as well as this. I thoroughly recommend this very refreshing and fast paced film. Get a ticket and enjoy the ride!",10.0,Anonymous,Horror
