title,content,rating,username,genres
I didn't know people hated this movie,It has it's issues (show me a movie that doesn't) but it's overall very much watchable and enjoyable,7.0,Anonymous,Sci-Fi
Amps up the action at the cost of almost everything else.,"I'll start by saying this film has FANTASTIC action sequences, better than the first even. Problem is, everything that made the first film so decent is basically gone here. The story is extremely formulaic and not really gripping in any way. Useless scenes and subplots are sprinkled throughout, especially during the college portions of the film. Shia does a good job as Sam once again but the rest of the original cast are either sidelined or written so badly you don't really care about them anymore. Megan Fox is especially exploited in this film, similar to the first Transformers but much more sleazily. Speaking of sleaze, the edgy humour of the first has carried over but where in that film it was fun, it has been toned up to borderline vulgarity. This film also adds quite a few new characters, some are cool, most are annoying and a handful are blatantly offensive. I'd give this film a 4 but the action really is worth a couple points. It's more of the first film but better, it's just a shame it's in a less consistent package than the first movie. Strong 5 to a light 6 from me.",6.0,Anonymous,Sci-Fi
"The sequel of Transformers is improved in direction, cinematography, effects, action, plot, duration, transformers, but is worse in seriousness compared to the 1st one.","Fantasy/action movie. The sequel to Bay's great franchise, Transformers. The 2nd film further enhances the action, the effects, but also the overall budget, since we are transported to the desert and foreign countries. Also, Steve Jablonsky's excellent selection in the music of the film and in the songs the top New Divide from Linkin Park continues. The second film is longer in plot and duration than the first, but Bay's lack of seriousness is also unfortunately reinforced in this film. He also makes reference to another of his great film, Bad Boys 2, through a large poster in the film, while in the first he mentioned the Armageddon. The threat of bigger, and more dangerous transformers, and generally all the elements are improved in this film, only overall it is less serious than the first, especially in dialogues and some characters. Better in action, effects, directing, but inferior in dialogues, so it remains at the levels of the first, perhaps a little below, but for different reasons.",7.0,Anonymous,Sci-Fi
Decent way to pass the time,"Yes, this film is incredibly stupid and loud, but that's what you are getting yourself into. It's a purely entertaining popcorn blockbuster with exciting action and not much of a plot. For sure, the jokes are dumb and not much makes sense, but if you just want to pass the time, this film is a good way to do it.",7.0,Anonymous,Sci-Fi
vfx treat,"transformers main lead is optimus prime and other autobots or whatever robots are there.Fans here to see robot action,epic visual,blast,loud sound effect,visual effects and all in all Micheal bay style.This film bring all together.Micheal bay is underrated by critics, i don't understand critics at all when i saw reviews of other Oscar nominated movies u will see some say entertaining,masterpiece bla bla bla its all lies last time i saw a Oscar nominated film after see their review i wasted my money and time they are zero entertainment even worst so please see it and judge it your self.After see all the negative reviews this film is blockbuster worldwide still we wanna see transformer 3 and now transformer 4 it already create hype when it first announced, so lets just agree we love transformer and Micheal bay films please don't follow critics its worth watching 2 hours 30 min just passed by just like that this is called entertainment 10/10",10.0,Anonymous,Sci-Fi
What I expected,"I'm amazed at some of the reviews on here. Seriously, what did people expect outta this film? Shakespeare? The English Patient? You go to see this for the ridiculous action, awesome special effects and just to have a good time, which is what I had. Yeah, it did seem to overindulge slightly and was slow in parts. Yeah, the humour's cheesy, sometimes painfully so. No surprise there though, let's remember we're watching a film based on kids' toys, not a Bronte novel. It ain't perfect, but if you expected it to be, I'm glad you're feeling let down. For me, it didn't try to be anything it shouldn't have and what it needed to do right, it did.Mindless, thoroughly enjoyable fun, just like the first one.",7.0,Anonymous,Sci-Fi
"Very sad, very bad","Most people before me have said this already. This movie stinks. When I heard that Michael Bay was at the helm of the first Transformers movie, I was very worried but then by some fluke of nature he actually managed to pull off a watchable movie, perhaps because he was kept on a tight leash by the studio.This debacle of a sequel is another story. Bay must have been given full power over this one due to the success of the first. Big mistake. This guy can’t make a decent, realistic and entertaining movie. He makes action/soft porn trash. A good script, story or dialog are just inconvenient afterthoughts for him and it shows. He probably thinks he can distract the audience away from these gaping holes by adding a lot of nonsensical action and unfunny humour.Sorry Mr. Bay you can’t fool people all the time and the people who grew up with the transformers are absolutely hating this movie. I heard that you didn’t want to make the first movie because you didn’t even like the transformers but you became very keen for the sequel after the first movie made so much money for you. Here’s a tip: lay off the third and let a real director and a real team make that one for us because you have just totally trampled on the transformers legacy.",1.0,Anonymous,Sci-Fi
one of the worst,"No more Michael Bay, no more Shia Labeouef, maybe no more Megan Fox. When you attach your name to a project like this, hopefully fans will not give future projects done by these people record breaking box office feats. I'm embarrassed that I supported the cause.One of the poorest acting, directional, and written efforts I have seen in a long time in modern cinema.The scoop: This movie is good for a couple of scenes where the audience might be like 'cool!' due to CGI effects. There is a couple of cheap laughs from some other scenes. If that entertains you, great, there are lots of action movies out there for you. However, if you're reading a review on IMDb, you've likely separated well done movies from poorly done movies, and at least seen a couple in the top 250. To the reader, don't see this.I left the movies mad. I wonder what other directors think when they see a screening of this film. The story is near non-existent, there are so many plot holes, or unexplained courses of action this movie takes... it really is unbelievable that the script was given an okay by any film studio.Here's the thing : the target audience is obviously young kids or early teens. I think back to when I was 11 or 12 and I saw Men in Black in the theatres. I was entertained then, it's at least plausible that 12 year olds could be somewhat entertained by this now. However, I am still entertained by 'younger'generation stuff like spongebob, south park, and even beast wars. This didn't do it for me at all.Similarly to how family guy uses the strategy 'hey people love our interchangeable jokes in early episodes, let's overload our new episodes with the same jokes'.... Michael Bay employs 'hey people love the cgi and megan fox in the first one... let's overload the film with sex overtones, explosions, and fight scenes'... and then at the last minute tried to fit a story around it.This is the kind of film that makes a person angry that they aren't in Hollywood directing films, because most could do better than this.",1.0,Anonymous,Sci-Fi
"Could have been better, but could have been much worse!","For the most part, this film is the decent thrill ride that the movie going audience is looking for. As an action moving, it has scenes to astound and thrill any avid fan. As a science fiction movie it stands reasonably well. It doesn't over-explain things and doesn't throw in concepts as central plot points that are blatantly impossible (super novas that threaten entire galaxies, I'm talking about you Star Trek). The movie also does relatively well on a comedic note, and from a standpoint of general plot. Though others have complained about the central importance of Sam's role being unlikely and a retread of the first film, it follows through logically from where the first film left off.Though the film is a lot of fun, it does have its flaws. Unfortunately the humor descends to the low brow a little too often. Also the Autobot twins that Michael Bay apparently loved so much were frightfully annoying. They did also lean towards offensive cultural stereotypes a little heavily. It is unfortunate because a couple of their funnier lines could have been delivered just as well by completely different characters. In fact they might have been funnier coming from a more straight laced Autobot. The use of the twins in pure Jar Jar Binks fashion (though not quite as irritating) was unfortunate given how many underused robots there were. The comment about Sam's roommate's bravery could have been unexpectedly hilarious coming out of Arcee.Most of the other glitches in the film were relatively minor and not worth mentioning, though the writers could use a geography lesson. If you enjoy action films and don't need a deeper artistic message, Revenge of the Fallen is well worth the watch.",7.0,Anonymous,Sci-Fi
A good sequel,"I personally think that this one is slightly better than the first, because it doesn't have to establish all of the characters. Having said that, the story is a bit lacking and I really had to pay attention to try to understand what was going on at times. There could have been a bit more of the every day Sam to counteract the more apocalyptic elements and give a bit of balance. It all happens very fast.I also think that there was too much ""Comic Relief"". We already had The Witwicky's and Simmons and to some degree Sam himself, the addition of The Twins, Jetfire and Leo was fine, but they didn't need to be so comedic too.At times it is difficult during battle scenes to see who is who and which ones are winning.It is a good film though and an enjoyable watch for anyone who likes cars and things being blown up.",6.0,Anonymous,Sci-Fi
