title,content,rating,username,genres
Top Notch Pulp....,"True Romance is a celebration of film.  It wallows in every possible seedy contrivance of American crime/action cinema.  It is absolutely shameless in its exploitation of excessive violence, over-acting, melodrama, lurid sex, and rampant drug use...I love it.  Quentin Tarantino, as I'm sure everyone knows, wrote the story, but it is the in execution that this film pays off. The cast, oh the cast:  The lynchpins are Christian Slater and Patricia Arquette.  They both give solid performances, which prevents the film from flying off the tracks; they serve as the pilot light.  The supporting roles are the gas.  The Walken/Hopper show down has been oft sighted as the film's best aspect, and this is, arguably, true.  Just watch this scene and then watch it again.  Sparks actually shoot out of the screen and burn people about the head and shoulders.  OK, you've got Val Kilmer as the ghost of Elvis, Brad Pitt as a disgruntled pot-smoking loser, Tom Sizemore & Chris Penn as cops, James Gandolfini (pre-Sopranos) as a reflective hitman, and you've even got Bronson Pinchot (from TV's PERFECT STRANGERS) for God's sake. Did I forget Gary Oldman? Do yourself a favor and rent every single Gary Oldman related project (they're not all good films, but...).  Why is Gary Oldman not in every film ever made? Why? I ask you why?  He has got to be the best actor working today, hands down.  As Drexel Spivey, Oldman chews the scenery, digests it, and then expels it from every orifice.  Keep in mind that he is an English actor with a normal speaking voice at home in the Royal Shakespeare Company.  His performance here is second only to his turn in LEON in blatant over-the-top insanity. Tony Scott, who along with his brother Ridley, has been known to over-direct a film or two, here chooses wisely to basically set up the camera and run.  The score by Hans Zimmer adds a bouncy xylophone driven theme to the film and finds the right balance. This a well made, balls-to-the-wall, popcorn throwing, cult classic.  In a market dominated with stereotypical characters, this movie avoids that trap by letting the stereotypes flourish with all the grotesque absurdity it can muster. 9/10",9.0,Anonymous,Romance
"If that's true, then tell me, 'Am I Lying?'","Required viewing. A modern masterpiece. The scene between Christopher Walken and Dennis Hopper is absolutely classic(the last last line is what I quoted in my summary). A 'learn how to be cool' movie. It's funny, thrilling, sarcastic. He's got an imaginary friend...and it's ELVIS! The juice of Tarantino. The birth of Scaggnetti (and Tony Soprano.)Quotes are all over this flick. 'Do I look like a beautiful blonde with big tits, and a ^$#%#@ that tastes like ice cream?.....then why are you lying to me?"" Choose a f$$$ing lane! Don't give me the finger,I 'll have you f###ing killed!""""I always liked you Clarence...."" ""The first time you kill somebody, that's hardest one....the second one ain't no f##### mardi gras, but it's still hard. The third one....you level off. ...Now I do do it just to watch there expression change."", James Gandolfini (Pre-Sopranos) showing raw talent as a cold-hearted killer. Brad Pitt hitting the bong and talking to shotgun wielding mafiosos with Soundgarden in the background...""You wanna hit?""....chick-chick(shotguns) ""Ok, Well, you go down Santa Clara for a while, then turn left, and keep driving for a while....""It's true romance... He kills her pimp, and she takes a Royal beating for him. BUT the movies's not over. You have to have pulled some crazy s*** in your life to totally appreciate this movie, but it is awesome.""When you get out in two years you'll be so in touch with wife needs cuz you'll know what's like to get f##### up the a##!""...Scagnetti""If it's anything this last week has taught me, is that it's better to have a gun and not need it, than to need a gun and not have it.""""Tell me I'm the dumbest motherf##### you've ever seen, or I'm gonna pump two into your face right now!"" ...ClarenceNon-stop action. Ups and downs. Irony, and a realistic ending. Cameos...up and coming actors... it's all here. And most of all, ""True Romance"", which I believe is a totally accurate title. Absolutely brilliant. A movie you can watch many times.You have to see this outstanding piece of work.",9.0,Anonymous,Romance
Enough memorable scenes and talented stars to fuel a half a dozen blockbusters.,"With at least 12 `starring actors' in character and supporting rolls, half of them legends or mega stars; this Tarantino tale defies a short review.  The different levels on which this movie works are impressive. As a love story we begin to believe that the quirky `loser' couple is unconditionally bound together.  As a pseudo `film noir' we begin to care about the fate of the central characters.  In the suspense/thriller/crime drama mode there are plenty twists and turns to push us to the edge and pull us back just in time.  The action scenes are deliciously violent and unlike most other films, this one gives us pinches of humor sprinkled in amidst the mayhem.   Even `the King' alter ego is woven in credibly enough to improve our understanding of the Clarence Worley character.The plot, albeit original, fresh and mesmerizing, seems somehow secondary to the characters and the characterizations.  Any of several rolls could have been performed over the top by what seemed to be an ensemble cast. But director Scott lets the talent go just far enough. Even the remainder of the supporting cast is wonderful; Saul Rubinek in particular does a terrific job as the puffed-up/ego-feeding movie producer.  Hollywood missed giving this movie and its cast proper recognition.With enough memorable scenes and talented stars to fuel a half a dozen blockbusters, True Romance gives us the `best bang for our buck' in years. The Walken/Hopper scene alone is worth the `price of admission' not to mention the Gandolfini/Arquette and Slater/Oldman match ups.  This can only be described as a `wonderfully wicked movie' for its tantalizing content, smart dialog and toothsome violence.Put the kiddies to bed, be prepared for rough language, adult themes and graphic violence and enjoy a `not for the faint of heart' masterpiece.",10.0,Anonymous,Romance
My Faveourite Film Ever.,Have to give this 10/10 because it's still my Number one film now after having first seen it nearly twenty years ago. I love every second of it. From the dialogue to the stellar cast and everything in between. It just feels like my movie and I think it always will be.,10.0,Anonymous,Romance
praise to a truly great film,"""True Romance"" is one of those few movies that has it all: Action, romance, drama and brilliant acting.  Not to mention TR has an all-star cast, but many contribute their finest work in this film.  Oldman, Arquette and Slater arguably give their best performances.  Christopher Walken's scene is nothing short of pure brilliance.  I loved him in ""The Dead Zone"" and ""The Deer Hunter"" as well as his brief appearance in ""Pulp"".  I was happy with the ending, and I'm glad it ended the way it did.  We've come to not expect that type of ending anymore.  This along with numerous other reasons too long to explain here is why I truly believe ""True Romance"" is one of the greatest films ever made. Period.",10.0,Anonymous,Romance
the truth about true romance,"After reading some of the other reviews on this film I felt compelled to write a review. True Romance is my favourite film of all time. True Romance was not a film that got dusted off in the midst of Tarantino fever and is not attempting to be ""Tarantino'esq"" in its direction. Actually this was the first script that he ever wrote. It was penned whilst he was working in a video and comic store in Amsterdam. He rented the apartment above- anybody who has seen this film will know the parallels with Clarence Worley. Tarantino was actually trying to get his work taken on at the time by some film companies and he requested Scott because he loved his early work. It is true that later on Tarantino kicked up a fuss because they altered the ending and he criticised Scott for making it too Hollywood. Clarence dies in the original script! Anyway Scott agreed to make both endings and let Tarantino watch them, Tarantino then conceded he preferred the new version. The film wasn't trying to be Tarantino-esq that part was just the authors input on the film which is not common when people are making films like Harry Potter as the author has no knowledge of film but it is very common when working with screenwriters! This film is the most romantic film i have ever seen, brilliant characters, amazing sound track, brilliant acting & the cast alone informs us that this is one of the best films ever made. Brad Pitt was asked to be a lead character in the film but was working on another at the time. Pitt wanted to be involved so badly that he flew in for a days shooting just to do 6 lines as room mate Floydd. ""and some cleaning products"" was ad-libbed! Just see this film.",,Anonymous,Romance
"Tarantino's most ""personal"" writing; Scott gives commendable direction to all-stars","True Romance is the work of two men, known for making movies (as TBS would say) for guys who like movies, and have one of the pick of the litter in the genre from the early to mid nineties. Quentin Tarantino sold his script to fund Reservoir Dogs, and Tony Scott (Top Gun) got picked up to direct. Some have complained that Tarantino should've directed this film, that it's so much his (which I agree with considering the story of the film was taken from his 1987 experimental film My Best Friend's Birthday, which refers to Clarence in this film going to the Sonny Chiba movies) that his own style as a director would've complimented it. It's a nice thought, though that's not what we as the audience are left with, and so with the final product there is much to admire about the style that Scott uses in the film. He films Tarantino's script (from a Roger Avary script originally) very much like he's shooting a Hollywood movie (as he knows how to with DP Jeffrey Kimball), with all the cut-aways and editing timing that is expected in a conventional crime-drama-thriller, then by hearing the snapping dialog from the script, and the cast performing them, Scott does become an important piece of making True Romance a success.The story is a throwback to the old 'lovers on the run' formula, among others- Clarence (Christian Slater in one of his finest) is an employee in a comic book store in Detroit, loves kung-fu movies and big guns and such, who gets set up unwittingly with a call girl named Alabama (Patricia Arquette). The two fall in love, and Clarence feels confident enough by a certain voice in the back of his head (provided by Val Kilmer) to go and free Alabama for good from her vile pimp and drug dealer Drexl (Gary Oldman in one of the better villain roles of the time). He does, and through a couple of accidents Clarence and Alabama wind up with millions worth in cocaine, and high-tail it to LA to sell it, as the original (mob) owners of the coke follow after, with explosive results.For fans of the actors, in particular the supporting cast, True Romance is one of the treats of treats in modern movies, on par with Pulp Fiction's roster of know-ables: Christopher Walken as a gangster (who would've thought?), Brad Pitt as a stoner roommate, Tom Sizemore and Chris Penn as cops, a few good lines for Samuel L. Jackson, an early plum for James Gandolfini, and my personal favorite of the lot, Dennis Hopper as Clarence's ex-cop father. Another thing that makes True Romance one of the (dare I say) most accessible of Tarantino's works is that a viewer who might not know this is his work on first viewing (this was me a few years ago, sad to say) will stay tuned through the whole thing if it's on TV just because of the star power; indeed, before Oldman's Detrix is introduced into the film, TR seems to flow like it'll be a romantic drama with light overtones. All I can say is by the end of this film, you will see that good taste can prevail no matter how much bloodshed gets on the screen, or how many obstacles get in the way of love (and Elvis!).",10.0,Anonymous,Romance
Great film or missed opportunity? Discuss - 77%,"Question: is this a great film or one of the biggest missed opportunities in movie history? Having heard both sides of the argument in recent days, it's little wonder that it has taken me the best part of a week after viewing to reach this conclusion (if you can call it that). Given that it has possibly one of the best casts ever assembled, a typically brash and brilliant script from Quentin Tarantino and a veteran of countless action movies at the helm, this really should have been one of the best films ever made and perhaps, if Tarantino had kept his hands on it, it might have been. Instead, we have an incredibly slick and entertaining crime film that I felt needed a bit more pace and consistency to become a true classic.In arguably his best film, Christian Slater plays Clarence who is an odd-beat loser working in a run-down comic shop in Detroit with an unhealthy interest in Elvis. After meeting the beautiful call-girl Alabama (Patricia Arquette), they both fall hopelessly in love and the newly-motivated Clarence decides to free Alabama from the grip of her pimp Drexel (Gary Oldman). But stumbling across a suitcase full of cocaine, Clarence decides to take the drugs to Hollywood and fund their new lives together. But unfortunately, the Mob are hot on their heels and soon discover what our lovestruck heroes have planned...This really is classic Tarantino territory - a contemporary crime thriller with tonnes of funky dialogue, more big-name actors than the entire ""Oceans"" trilogy and oodles of retro charm. And yet, ""True Romance"" certainly doesn't feel like a Tarantino film - the pace is all wrong (it feels much slower than ""Pulp Fiction"", despite being shorter in length) and dare I say it, I found myself losing interest. But just when I was about to give up, somebody new steps into shot and delivers another faultless performance. I have rarely seen acting of such quality from so many individuals, despite the fact that most are only in for a couple of scenes at best. Personally, I found James Gandolfini's portrayal of a Mob hit-man utterly convincing and it certainly ensured he'd be typecast for the rest of his career. Hell, even Val Kilmer doesn't suck! But all the time, I found myself wondering how truly brilliant this film might have been if Tarantino had never sold it. I understand his reasons why - I'd forgive almost anything for giving us ""Pulp Fiction"" - but I feel Tony Scott didn't quite know what to do with it. Exhibit A - the ill-judged and misplaced scene on the roller-coaster.It's not that ""True Romance"" is a bad film because it isn't and I'd happily watch it again sometime. But I just feel that Scott wasn't the right director, although he has worked miracles with the cast who are all supremely good. PBs for Kilmer, Slater and Arquette while Christopher Walken and Dennis Hopper share one of the all-time great scenes like two giant beasts tearing each other to shreds. But ""True Romance"" isn't the bone-fide classic some people think it is. It's too slow and the ending is far too predictable, ruining what should have been an absolute stonker of a movie. And it should have be - all the ingredients were in place with the exception of the director. So is this a great crime film or a wasted chance? Personally, I think greatness has slipped through our fingers.",7.0,Anonymous,Romance
My favourite film of all time,"I know this is the most unhelpful review but if you can take anything from my single-minded judgement, Its my one and only cast of the die. Beat it, I dare you...",10.0,Anonymous,Romance
A truly cool 90s movie,"Sometimes there are classics that one missed, even when almost everyone at the time watched them. This is one of them for me. How I didn't see this movie in the cinemas in the early 90s when I was going to the movies every week is a mystery to me, even moreso that I never saw it on VHS or TV, when it's a very famous film with some big names on both sides of the camera. Fortunately, I could rectify this mistake watching it last week in its new 4K HDR restored version projected on a big screen, and oh, boy! What a movie this one is! The 90s were the decade most obsessed with coolness since the 30s and few films lived up to be really cool then and even less now, but this early script by Tarantino and Avary (the wonderful couple) with the stylist direction of the superb Tony Scott, the brilliant soundtrack by Hans Zimmer and an unbelievable cast that throws big names without stop, not only in the leads but in every little role (including a young and powerful James Gandolfini), is one of the coolest movies of the decade and a truly deserving classic.",10.0,Anonymous,Romance
