title,content,rating,username,genres
Why the narrator? Why? Why? Why?,"Everyone acts very well, and the whole film would have been really good if it hadn't been for this weird narrator the whole way through who sounded like he was telling children a story even when saying things like ""they went to bed together"". It was weird. I also feel if it had been more dialogue based we could have got a greater grasp of the characters. I watched it without subtitles but understood the relationship of Juan Antonio and his ex-wife (mostly spoken in Spanish) than I did of Doug and Vicky which just seemed to lack a huge amount of depth. There needed to be some redeeming feature Vicky and Doug's relationship.Anyway well acted but yeah the narrator ruins it. Javier Bardem is amazing as usual.",6.0,Anonymous,Romance
Entanglements Woody Style,"Barcelona is recognizable enough and exotic enough to frame the latest complication from Woody Allen. Allen himself claims to care very little about films. He doesn't consider them the center of his life. Strange, because I do, Woody Allen without his films is...well I don't know who or what he is. Here he ventures again outside New York in a shape and form that reminded me a little bit of Jacques Rivette. Scarlet Johansson and Rebecca Hall, as the blond and the brunette of the title, make a great pair of opposites or seemingly so. Javier Bardem is the artist that comes to ruffle their world and the spectacular Penelope Cruz (getting better and better with every movie) is the hysterical side of the artist's past. We spend a great deal of time sitting at tables eating and drinking while a voice over guide us through their physical and emotional journey. I was delighted, entertained ever aroused. Woody Allen keeps surprising and he's got it whether he cares about it or not.",8.0,Anonymous,Romance
A triumphant effort from Woody Allen,"Although this film has bizarrely been described as breezy summer entertainment by some top critics (which leads me to wonder if they saw the same movie I did, or just the first half hour), ""Vicky Cristina Barcelona"" is the closest thing to the sort of examination of relationships that Allen became famous for in quite some time (""Anything Else"" counts, I suppose, but lacks the sharpness this film has), and although it is far from as weighty as some of his dramas or even some of his comedies, this is his first really inspired script in a while, featuring a cast of detailed, well-developed characters, some razor-sharp observations on relationships, and a wicked sense of humor.Although I never thought Woody's work this decade was particularly poor (other than ""Cassandra's Dream"" and although I'm in a minority ""Match Point""), it has mostly been completely inconsequential and almost entirely dependent on broad characterizations and heavy plotting rather than real people and awkwardly comic situations (which has always been Allen's strong suit). A career-best performance from Scarlett Johansson, a wickedly entertaining turn from Penelope Cruz, and the absolute revelation that is Rebecca Hall form a great cast along with Javier Bardem in a role that may surprise the majority of the American public (well, for most of the movie, anyway). You can feel Allen's mark on their mannerisms, but they all seem to disappear into these characters, that's how good they are.I'm keeping this as spoiler-free as possible, because it's really worth going into the theater not expecting anything in particular and savoring the film's often unexpected but never contrived plot twists and turns. All you should know is that Vicky (Rebecca Hall) and Cristina (Scarlett Johansson) go to Barcelona for the summer and things get complicated when they meet a charming, mysterious, and rich painter (Javier Bardem) and he makes a rather upfront proposition to both of them. It's best if you know nothing of how Cruz' character impacts the film prior to watching it.In relation to Allen's other work I thought it was interesting that he never attempted to analyze sex. The whole movie is in many ways about sex, and there is a lot of the expected philosophical and psychological examination of the relationships between the characters in the film, but sex itself is never analyzed as it is in much of Allen's work, and is instead treated as the impenetrable mystery it is. That said, Allen's script is extraordinarily nuanced, something that I haven't expected from his writing in a while. Sure, the characters still represent opposing romantic philosophies, but there's a spark in the writing that makes these feel like real people as opposed to mere characters. That spark, that chemistry is there throughout ""Vicky Cristina Barcelona"", it's there in the vibrant cinematography by Javier Aguirresarobe, it's there in the performances, it's there in the shot composition, and it's there in the editing, and in pretty much anything else I haven't mentioned yet.The first forty minutes or so of ""Vicky Cristina Barcelona"" may be the sort of romantic comedy (very good romantic comedy, at that) that the advertising campaign seems to suggest it is, but for the rest of the film there's the sort of pessimistic optimism that colors much of Allen's work (if that makes sense, pretend you didn't read it if it didn't), and let's just say it doesn't end well for these characters. There's real complexity and intensity in this film, and all I have to say is this: Woody Allen is back, the perceptive, intelligent examiner of the human heart, that is, not what we've had for the past while. To say this is one of his best films would be ignoring the fact that through the 70's and 80's he pretty much made nothing but great films, but I can at least say that this is on par with some of his better work.8.5/10",,Anonymous,Romance
"It's not all that, but it is a good bag of chips!","Vicky Christina Barcelona isn't quite the work of genius that several critics are making it out to be, but it is Woody Allen's most solid film in nearly a decade and by far his sexiest.I will admit that the claims that it's his best movie in 20 years may have raised my expectations unfairly. After all, the past two decades has brought us Sweet and Lowdown (inspired Sean Penn and Samantha Morton), Another Woman (inspired Gena Rowlands), Husbands and Wives (inspired Judy Davis), Bullets Over Broadway (""Don't Speak!"") and what, in my humble opinion, is his most extraordinary film ever: Crimes and Misdemeanors.That said, there is much in the film's Plus Column. Bardem has never been sexier in English. Rebecca Hall is a sublime revelation. Scarlett Johansson does her most consistent and least grating work since Girl With the Pearl Earring. The supporting cast is a treasure trove of great character actors: Kevin Dunn (usually but effectively charmless), Chris Messina (a complicated mix of sexy and dull), Pablo Schreiber (virtually a cameo), and Patricia Clarkson (earthy, tragic and terrific as always).And then there's Penelope Cruz. Incapable of wrong-doing in my eyes since All About My Mother, she is everything you've heard she is. At first, the character appears to be another version of Rahda Mitchell's bad Melinda only dark and Spanish. But she evolves and blossoms, like a mushroom cloud in slow motion.The story is simple and the structure is a bit unwieldy. As a result, the film feels longer than it is and while it does saunter, it's never boring. The screenplay seems more concerned with re-arranging the configurations of lovers and exploring its themes than it does with sustaining the dramatic tension.The films only significant, though ultimately not fatal, flaw is Miss Johansson. For the legions who thought Javier Bardem could generate romantic and sexual chemistry with anyone or anything, well, I have bad news. When she is sharing the screen with both Bardem and Cruz, Johansson's limitations as an actor and as a screen presence.Ultimately, though, Vicky Christina Barcelona is still a worthwhile endeavor. An enjoyable romp filled the requisite angst and passion of Woody Allen's better efforts. Best of all, there's Spain and Barcelona. The landscapes, people and architecture provide even more spectacular real estate porn than Melinda & Melinda. Not only does it make you want to go to Barcelona, it will make you feel like you've lived there and loved it.Despite its unevenness,",7.0,Anonymous,Romance
"""I'm famous for my intolerance.""","Vicky (a neurotic and sexy Rebecca Hall) and Cristina (a neurotic and gorgeous Scarlett Johansson) are two American tourists in Spain examining their differing views on love in Woody Allen's breezy and alluring ""Vicky Cristina Barcelona"". Amidst a tempestuous summer in Barcelona, the ladies are both seduced by a free-thinking painter (a perfect Javier Bardem) whose own life is complicated by his still passionate relationship with his ex-wife (a devastating Penelope Cruz, who has never looked more beautiful).Much like the change from New York City to London invigorated Allen in ""Match Point"", this vacation to Spain has revived some of the director's more artistic aspirations. The scenery is postcard perfect but drenched in that same dizzying lushness that made Allen's view of NYC so intoxicating in ""Manhattan"". The churches, the homes, the art museums, the countryside, the intimate city streets and touristy details make you feel like you are visiting Barcelona along with Allen and his cast.There's also sharpness to the trademark Woody dialog that has been missing for quite some time. Like all of Allen films, this one is endlessly talky, but there's some great subversion when certain lines that seem like throw-aways actually pack a punch when given a second thought. When Bardem first attempts to talk Johansson's character into bed, he says something clichéd about her being hard to please. Quick witted, Johansson replies, ""I'm famous for my intolerance."" She says it casually, but it packs a bite as it's the complete antithesis of her character's outward desire to be someone who rallies against cultural norms, and she presents herself as someone who is easy-going and tolerant of all.Allen also displays a keen sense of pacing when he creates tension in his build up to Cruz's appearance after her character is endlessly talked about but never seen until about half way through the film. When Cruz finally arrives, her moody whirling dervish of a performance is the perfect spice to liven up the soupy proceedings. Her seething, fiery line readings combined with looks that could kill make her the front-runner for Best Supporting Actress at the Oscars.The baseline archetypal characters are essentially clichéd, but the way in which Allen handles all of their interpersonal relationships is fairly sophisticated and entertaining even when it grows absurd. There is of course that kiss between Scarlett and Penelope but also some moments of Lynchian-lite when Allen photographs the brunette Hall and blonde Johansson similarly to make them seem like they are two sides of the same woman. There's even more weirdness when die-hard Woody fans realize that in some perverse way Scarlett Johansson's character is the ""Woody"" part--as in any film he does not star, there is always one character who represents the part he would've played had he been in it. However, film buffs will enjoy some of the nice touches like when Hall and another go to see Hitchcock's ""Shadow of a Doubt"" (one of my all time favorite films) or the repetitive use of a Spanish guitar in the soundtrack whenever Bardem and Hall get together. But then there's the mostly unnecessary voice-over narration that fills in expository gaps and shows Allen can still be a lazy tactician.Woody Allen has always been an acquired taste, even more so in his latter years when he sometimes forgets how to provoke, but his fans should be delighted with this latest European flavored effort. In the end, you'll feel like Javier Bardem is the luckiest man in the world, Penelope Cruz is operating at the echelon of her appeal, and Rebecca Hall and Scarlett Johansson, well, they'll always have Barcelona.",9.0,Anonymous,Romance
"2023. A Gen-X Review of a Decade-Plus Old Film That I've Never, Ever Seen Before","Who wouldn't like this film, and what's not to like? You have three of the most beautiful actresses working this century in Scarlett Johansson, Penelope Cruz and Rebecca Hall, traipsing across some of the most gorgeous landscapes here on planet Earth.And they're kickin' it with one of the coolest dudes in Javier Braden.Oh, and it's summertime.In Spain, in case you didn't catch that.Look, some movies are just good for the ride, or cruise.Like a vacation.I'll tag along.Oh, there's twists and turns and bumpy roads a strange bedfellows, but I don't mind.I'm just taking it all in and falling deeper in love with Rebecca Hall, who shines the brightest as per usual.Thankfully, the elder director isn't in front of the camera in this one with these young actresses falling for him.Movies don't have to change your life all the time, but can they take you some place nice for under two hours?Yes, they can.And this one does.",7.0,Anonymous,Romance
I've been waiting for the past 7 films to find the old woody.,"I just got back from a free screening of this movie. Wonderful, brilliant, thought provoking, funny, great story in the way only Woody Allen could do. The acting was great, the writing was great, the story was great. As well as the fact that it wasn't a poor rehash of Crimes and Misdemeanors like Match Point and Cassandra's Dream. So refreshing on all levels. Javier Bardem embodies the character and truly allows me to forget about his role in Old Country. Patricia Clarkson, a gem as always. The girls were all great. Had not been impressed with Scarlett Johansson since Lost in Translation and was bored with her work in the last of his films but she held her own and did the part great. Penélope Cruz was wonderful, vibrate and funny especially when doing the Spanish. At 71 the man still has it and has rehashed the place in my heart where I hold his wonderful art. Simply happy and fulfilled. Thank you Woody!",9.0,Anonymous,Romance
Voice over Wrong Wrong Wrong,"Adventurous Cristina (Scarlett Johansson) and her cultured reserved friend Vicky (Rebecca Hall) go vacationing in Barcelona. They get approached by the over confident Juan Antonio (Javier Bardem). Juan immediately propositions them. Cristina is interested, but Vicky is incensed over his presumptuousness. As the two girls travel with him, their trio is turned into chaos by the wild Maria Elena (Penélope Cruz).Woody Allen has created one of his most fascinating films outside of New York. There is only one problem; The Voice Overs. It doesn't stop. It drowns out the film. I don't even know why Woody thought it's a good idea to constantly unceasingly drone on and on and on. And is there anybody less interesting doing narrations? It sucks out the passion in the film.Rebecca Hall and Scarlett Johansson were good at their particular roles. Javier Bardem is extremely fascinating and seemingly so realistic getting beautiful women with his confidence. But Penélope Cruz blows everybody away.",7.0,Anonymous,Romance
"Overly Intellectualized, Forced Drama","6 February 2009. Vicky Christina Barcelona The title of the movie refers to the names of two young women, Vicky and Christina who visit Barcelona Spain and encounter an attractive, brash, seductive, and articulate Spanish man who raises doubts and well as insights in these women. Unfortunately the movie is severely hampered by a distracting, unnecessary voice over, opens earlier with a nice but repetitious musical rendition, and the overly incessant voice of Woody Allen who wrote and directed the movie. It is almost inescapable from experiencing the women artificially parroting Mr. Allen's unique way of thinking and talking which only adds to the awkwardness of the movie.The voice-over is so basically repetitious explaining most of the particulars of what is going on in the movie that it interferes with the acting and expressive ability to allow the performers from telling the story. The movie experience is like having to sit through to separate and parallel portrayal of the same events. The voice-over only serves to either implicitly send out the message that the audience is either too dumb to understand what's going on or the actors are so bad that they can't perform sufficient to relay the story by themselves. A good example is the severe but perhaps unjustified criticism of the voice-over narrative (relatively scarce actually) in Blade Runner (1982) which in that movie provided additional mental thoughts of Harrison Ford that added substance to the movie instead of just supplanted or stated the obvious as in this movie.And why the use of the flashback to reveal an additional relational subplot? To its credit, Vicky Christina Barcelona eventually evolves into a more in-depth and meaningful look at the consequences, complications of relationships often overlooked or skimmed over in other dramatic or romantic comedies. However, this relational ""situational"" marriage theme was also explored with the release the same year (2008) of ""Revolutionary Road"" with as much or more intensity or cinematic impact dealing with a 1950s period piece starring Leo DeCaprio and Kate Winslet who are provided with a script that allows them freedom to act the roles and lives they are portraying instead of Allen's intellectualizing musing of these deep relational uneasy themes.The last part of the movie is cinematically different from the rest of the movie, more hurried, more explanatory, more quickly edited - sort like pushing out a work in progress. By the end, this rather long slice of life piece ends up dissatisfying unable to quench the thirst of an experiential series of events, and neither do the characters in the movie.",6.0,Anonymous,Romance
Woody Allen's 'Vicky Cristina Barcelona' is a Sensual and Thought-Provoking Masterpiece,"""Vicky Cristina Barcelona"": A Sensuous and Thought-Provoking MasterpieceWoody Allen's 2008 film ""Vicky Cristina Barcelona"" is a sensual and thought-provoking masterpiece that leaves an indelible mark on the viewer's psyche. The film follows the lives of two American women, Vicky (Rebecca Hall) and Cristina (Scarlett Johansson), who go on a summer vacation to Barcelona and get entangled with a seductive artist Juan Antonio (Javier Bardem) and his emotionally volatile ex-wife Maria Elena (Penélope Cruz).The film is visually stunning, with the breathtaking landscapes of Spain serving as a backdrop to the complex and intense relationships between the characters. The performances by the entire cast are outstanding, but it's Penélope Cruz's portrayal of the mercurial Maria Elena that steals the show. Her raw emotions and fiery temperament bring a visceral quality to the film that makes it impossible to look away.Allen's masterful writing captures the intricacies of human relationships, exploring the complexities of love, desire, and the search for fulfillment. The film is both witty and poignant, with moments of levity juxtaposed with deep introspection.At its core, ""Vicky Cristina Barcelona"" is a meditation on the human experience and the mysteries of the heart. It raises thought-provoking questions about the nature of love and the choices we make in life. The film's themes and characters linger in the mind long after the credits roll, making it a truly unforgettable cinematic experience.In short, ""Vicky Cristina Barcelona"" is a masterpiece that deserves all the praise it has received. It is a film that will stay with you long after you've watched it, and a testament to Woody Allen's enduring talent as a filmmaker.",10.0,Anonymous,Romance
