title,content,rating,username,genres
"Dark Humor and Non-Stop Action, Fun Summer Film","I know there is a lot of hate going around for this movie (though it oddly manages to maintain a decent rating despite the nay-saying...) but I would really urge people to watch this movie before letting the opinions of others affect their views on it. Sure, the movie takes some liberties with plot and, obviously, physics, but it makes for a fun action/popcorn movie. It is, after all, just a movie. After seeing this film, I would say it was one of the most fun action films of 2008. It's got plenty of violence and stylized action with a dose of sexuality and a decent plot...Wesley Gibson is a miserable account manager with a dead-end life until he is approached by the beautiful Fox, who informs him that his father was a master assassin who had been murdered days before. Gibson is recruited into an assassin's guild known as the Fraternity to hunt down and kill his father's murderer.The quirk with the Fraternity is that it's assassin's have the special ability to raise their heart rate above 400 bpm, pumping incredible amounts of adrenaline into their system and giving them superhuman reaction speed...basically ""bullet-time"". So you can expect a lot of over-the-top stunts, including the ability to curve bullet paths. Why there has been a lot of complaints about this aspect of the movie, I don't know. It's not really over-used and it adds a cool element to the movie. The film has PLENTY of action throughout, though most of my favorite scenes were during the course of Wesley's training with the Fraternity. The film also has a ""twist"" ending, though it isn't difficult to see the truth coming.For a popcorn flick, the film boasts a great cast. Morgan Freeman is Sloan, the overseer of the Fraternity, and it's the first time I've seen him in such a role. He did seem a little awkward with some of the rougher dialogue towards the end of the film (though I guess it's to be expected...I never expected to hear Freeman spouting ""Kill THIS motherf***a"" in a film). Angelina Jolie is wonderfully sexy as Fox, though I'm biased to the point where I'd love Jolie in just about ANY role. Rounding out the primary cast is James McAvoy as Wesley Gibson; I had not seen any of McAvoy's previous work but I loved his work in this movie. He is perfectly suited to play both the meek, anxiety-ridden account manager and the elite killer he becomes. He does a great job inducing the element of dark humor into the film with his great delivery.While I've read quite a few complaints about this film, I can't understand why. It's a guilty-pleasure action film and it's not to meant to be taken completely seriously. It's just a MOVIE and a fun one to boot. When you watch this film, just sit back, disengage your brain, and enjoy the non-stop action and fun characters.",8.0,Anonymous,"Crime, Fantasy"
"Not a bit of substance...but, who cares?","Putting it bluntly, 'WANTED' was a rather formulaic and predictable outing. A loserly, office shut-in with the help of a hot babe learns about his past and is suddenly thrust into the world of assassination, a world of flipping cars, extreme gun fights, and mind-altering stunts, thus shedding every bit of his shy, weak self. This we've all seen before.Where 'WANTED' stands apart from any other action film I've seen is in its style. The director has upped the ante on how the action is portrayed. Gone are any sort of boundaries. This is a world where people can flawlessly flip cars over others and land perfectly upright on the other side, where people can shoot from miles away hitting nothing but their target, where people can put such a curve on bullets that they hit multiple targets standing on different planes all with one shot. If people can really do this, perhaps I'm living the same existence as Wesley, and I'm missing out. The film's major selling point is its style and its worth a viewing simply for that.The A-List cast delivers solid performances, but the script they are given - with the exception of the last line uttered in the film - is mostly generic. James McAvoy is sympathetic and relatable as the guy who is overwhelmingly bored with his life but doesn't know how to change it - something many people understand. His transformation into tough guy is effortless and convincing. Angelina Jolie is Fox - a name quite fitting as Jolie looks fantastic; however, we've seen this character on her before. Still, she does it well. Freeman, as usual, injects intelligence into his role, playing the solemn leader of The Fraternity.However, for all the edgy extreme events the film contains, the film is hurt by some pieces that are just plain odd and are never fully explained. For one, The Fraternity gets their targets from a secret code that is woven into tapestries by The Loom of Fate. Sounding like something from a Monty Python sketch, it is never revealed who - if anyone - controls the loom or where it derives its powers. Names are simply revealed through code and the members of The Fraternity don't ask questions. The members of The Fraternity are fully human, but seemingly invincible thanks to some sort of special wax bath devised to heal wounds very quickly. It's the film's easy out that allows them to deliver the goods on all the high-octane action they desire. Lastly, the film turns a very predictable corner that many will see coming from miles away.When the film ends you will realize how simple it is and how ridiculous it is about 75% of the time, but you won't care. The film makes up for every flaw by smearing the screen with mind-bending stunts, unique filmography, and breathtaking visuals - yes, Ms. Jolie is one of them. It will be painfully obvious that all the simple plot details were just the framework and the real substance of the film lies not in its intricate story, but in the execution of its stunts and action. 7/10.",7.0,Anonymous,"Crime, Fantasy"
What's wrong with those comments?!,"I guess this is my first moment I want to comment on the movie. The reason for that is all those negative comments.People don't like the idea of a man making a giant leap across buildings, about the ""plot of the world"" and the ridicule in the movie.But at the same time I guess they DID like Trinity's jump in Matrix, destiny (sadame) in any Japanese movie or comedy of Mr and Mrs Smith.COME ON PEOPLE! This is NOT James Bond, Bourne or Die Hard. This is exactly the opposite. This movie in my opinion simply tries to make fun of all those movies. It's all a sarcastic view of today's action movies. Just like the bullets - bent to the fullest. For me it's more of an action comedy. The ideas are so stupid that it's funny. Why? Because it was fit in the action movie. I mean come on - the loom, the bullets, the healing stearine, the rats... How can you ever compare it to any action movie that tries to be serious? This is not trying to do that.That's why I liked this movie - for its intelligent sarcasm and probably because of all the negative comments from people that expected a ""mature action movie"" and didn't understand the movie.",8.0,Anonymous,"Crime, Fantasy"
Gleefully fun and thoroughly entertaining.,"'Wanted' is a film that's having too much fun not to like. Who cares about the impossibility of bullet bending when most audiences accept superheroes with inhuman powers and strengths based on comic book characters. As with those comic book films, it's just a work of fiction and fantasy, and since 'Wanted' doesn't take itself at all seriously, then you can suspend utter disbelief. The casting and performances are all spot on, above all James McAvoy who delivers one of his best performances in his career so far, even if the might not be the best film he's been in. Stylish, funny, competently directed and paced, this is a great action flick with an ordinary story that is more than the sum of its parts due to slick a execution.",,Anonymous,"Crime, Fantasy"
Wanted dead and alive,"Right first things first this is an extremely enjoyable action movie, but for it to work for you must suspend your sense of disbelief. With this done there is much to be enjoyed here. The premise of an agent order of assassin weavers is lets face it pretty ropey, and I am not sure how true it is to the comic source material (which I will probably dig out at some point), and Morgan Freeman is really playing it by numbers here. But we have some amazing and original action sequences that really do move the movie on at a frenetic pace. Yes we can see the massive influence of 'The Matrix' and 'Fight Club' and lets just hope if there are sequels they do not go the way of the shoddy follow ups to the Matrix. I like the fact that some of the characters are played by different actors than your normal action movie types, though to be honest I am not sure about McAvoy's American accent, though he handles everything else well. Still much better than your average action movie and worth repeat viewings if you are a fan of the genre.",7.0,Anonymous,"Crime, Fantasy"
Wanted left me wanting.,"For the first half hour Wanted felt like a trailer.Adapted from a graphic novel the film never seems to settle,the actors seem ill at ease with the material and the impatience on the directors part leaves us with a messy hackneyed film of action set pieces and sci fi mumbo jumbo inbetween. The film tries far too hard to be cool which is a shame because im sure it could have been a better film if things would have just been done with a little less haste.James McAvoy,so convincing in Last King Of Scotland is hard to like in this role.Morgan Freeman seems totally non interested but to be fair hes given virtually nothing to do and just serves as filler between action scenes.Angelina Jolie is the real star of this film,she has astounding presence as an actress and suits the action genre,its just a shame we cant find a truly memorable action film for her to star in.In summary Wanted is a fast paced but legless action film that promises much but delivers very little.It leaves you wanting.",6.0,Anonymous,"Crime, Fantasy"
Top  Easy  Watching  Action Movie,"This is a very easy to watch action packed movie. It delved into your imagination and as long as you are not expecting a true to life action drama you should love it. I am not normally struck on the matrix style movies but I really liked this film. The story is not be taken too seriously, just go with the flow of the film and watch the stunts and special effects. Putting Angelina Jolie and Morgan Freeman in the movie had to be a good move with the box office bucks. But the ace card for this movie in my opinion is James McAvoy who plays the geeky guy who turns into a top assassin. At first I did not recognize James McAvoy from his previous roles like "" The last King of Scotland "" and ' Wimbledon "". When I did realize it was the same actor I understood what a fab actor he truly is. He portrays his character with absolute ease. His transition in his role from the start of the movie to his ending character is class. James I am a true fan !! The movie is a good watch if you are into this type of movie.",8.0,Anonymous,"Crime, Fantasy"
The wannabe movie critics on here make me want to asassinate them,"This movie is based on a comic book. So crying about physics and cgi is pointless.You whine about this but praise mivies like Terminator and RoboCop? Most reviewers on here are so pretentious and use words like ""tripe, trope and cliche"". This is a great movie. Decent adaptation of a comic book. Great action movie in general. Angelina is too skinny for you?? Go watch Girls.",6.0,Anonymous,"Crime, Fantasy"
To The Extreme,"I just got back from an advanced screening of Wanted. I have to admit not being a fan of the Director, Tim Bekmambetov. Somewhat disappointed in his Russian Films Nightwatch and Daywatch. However, in his American directorial he delivers!! An abundance of profanities and over the top action sequences that are beyond xtreme fill the screen in a dizzying array of visual adrenaline. Holding you in a tight breathtaking grip with its interesting visual techniques, humor and acting. James McAvoy (the sweet faun from the Chronicles of Narnia) plays the loser we all know, Wesley Gibbon. The guy, who just trudges through life allowing himself to be walked upon, humiliated and has no desire to escape it, except in a bottle of anti-anxiety meds. Enter a beautiful Woman, Fox (Angelie Jolie), a mysterious wise man Sloan (Morgan Freeman) and his life instantly changes from Billing Reports to Gratuitous Violence, Mastering Weaponry Skills, and Assassination. Believe me when I say what the Matrix introduced, Wanted has mastered. The director is a skilled artist at using the camera in conveying visual emotions of Wesley like I have never seen before, wait I take that back, seen it in NightWatch. I definitely recommend this deliberately humorous, action packed, violent, profane, to-the-extreme film to be seen on the big screen - check this one out!!",8.0,Anonymous,"Crime, Fantasy"
Do yourself a favour.  Read the book!,"So a friend told me how the book was very different from the movie, and made me read the book... and boy was he right. But more about that later...I recall seeing one of the producers say in an interview that due to all the superhero movies out, they intentionally went for a more ""realistic"" approach. I kept this in mind as I watched this movie. That said, I can only say that it's good, not great.James McAvoy, who I've been a fan of since ""Rory O'Shea Was Here"", does an acceptable job as the movie's main character. However, I couldn't help but notice his accent seem to be just a little off here and there, which was a little distracting for me. Morgan Freeman and Angelina put in some reliable, albeit unremarkable, roles. And Common, a guy who has more on screen gravitas than most actors, is sadly underused.The action scenes, which are vital for a film like this are very good. There are plenty of ""okay, that was pretty cool"" moments for adrenaline junkies out there. (Fyi: McAvoy actually did the ""on the car hood"" stunt with no CG. Nice job.) The story is good, but considering the original story, it would have been really hard to make a horrible movie. The special effects do a good job of making you believe in the unbelievable and some interesting camera-work and slow-mo also do well to enhance the experience.All in all, above average, but not outstanding. 6 out of 10 BONUS COMMENTARY: The real tragedy about this movie is what it COULD have been. The original comic book wasn't about him being an assassin, you see, it was about him training to be a supervillian! That's right, in a superhero world, he's the Green Goblin, or Lex Luthor, or even the Joker! Now imagine what that movie would have been like! Additionally, they had to train him to be a cold-hearted, homicidal, remorseless bad guy. The book, which is definitely not for kids, is chock full with so much f-you, in-your-face, unapologetic violence this version of the movie would have been looking at an R rating for sure. Anyway, if you get a chance, track down the book and have a read. You can thank me later.",6.0,Anonymous,"Crime, Fantasy"
