title,content,rating,username,genres
Not your typical comicbook movie,"Christopher Nolan was right. This movie indeed came out too early.This movie not only shows us the pictures. But also the people behind them.
What I love about Watchmen is that it's mature and basic study of how our society is structured. There's so many quotes that can be used in todays world. And with Zack Snyders visuals. It really blends well.I gotta say. People calling this movie ""boring"" are the ones watching 4 movies a year. And they're all action heavy blockbusters.",8.0,Anonymous,"Action, Drama, Mystery"
10 years later,"Some time after ""The Boys"" I decided to give this film a rematch... Back in 2009 it was still a time when there was not that many similar to each other superhero films Watchmen cam out a bit too early..., What makes Watchmen feeling so fresh in 2020 is that it's completely different to most of Marvel films.... The characters in Watchmen feel more like real people than idealistic figures you usually get - they age, they change opinions on things, they do wrong things... The world is also much more similar to ours in 2020 that it was in 2009... Brilliant film 9/10!",9.0,Anonymous,"Action, Drama, Mystery"
2023 take,"I thought this movie was just OK when it came out in 2009. Now watching it in 2023 I am watching this movie realizing I was an idiot in 2009. I see the Boys and almost every comic movie since in it in 2023. They've all pulled something from Watchmen. Superheroes with real people problems that have real opinions negative and positive doing both good and bad things all the time. It's great and I'm finally seeing what those that got back in 2009 that were way ahead of the curve. Acting, camerawork, effects, costumes, story, nostalgia, all put on full display in this movie. Jeffrey Dean Morgan and Jackie Earle Haley put on a show in a movie that I felt like everyone was exceptional. That's how good they are. Give this another go if you're somehow here reading this debating on whether you should watch this movie.",10.0,Anonymous,"Action, Drama, Mystery"
The world wasn't ready for this super hero classic!,"After 14 years I watched this film again. And after all the MCU shenanigans, I gotta say this film is a masterpiece, from the story to the music and the super heroes. The fact that they are vulnerable makes it more interesting.Like I said in the tittle, the world wasn't ready for this movie, if it had came out in this time it would've blown the front door. The way it was made, special effects, graphic fight scenes, nudity, dark tone and soundtrack, Zack Snyder really knocked it out of the park with this one. This is how every super hero film should be made. Not a blockbuster comedy wanna be.For a super hero film, a true 10/10 in my book!",10.0,Anonymous,"Action, Drama, Mystery"
After 10 years...,"The times did change.
After so many super hero movies this one has become the best one of them.",10.0,Anonymous,"Action, Drama, Mystery"
My favorite movie ever?,"For over 25 years now, I have cited Blade Runner as my favorite movie of all time. After seeing Watchmen, I may have to reconsider.First, I'm glad I went to see the movie alone. I've heard so many comments focused on a blue dick, or the length of the movie, or some other such nonsense, that I'm sure watching it with someone would have been a constant barrage of commentary and complaint. And no, that's not Javier Bardem.Yes, the movie is long; nearly three hours. But, unlike the dreadfully insipid Titanic, at the end of this movie I wasn't asking for those three hours of my life back. And, as with all such movies, you must be able to look beyond the literal.Watchmen is iconic and iconoclastic, deconstructionist and revisionist, laden with allegory and allusion. Consider, for example, the character Ozymandias. I'm wondering how many people who viewed the film ever even heard of Percy Bysshe Shelley's poem by the same name. The character even quotes the poem on a plinth in his Antarctic lair. The allusion is amazing. Here's the full quote;And on the pedestal these words appear -- ""My name is Ozymandias, king of kings: Look on my works, ye Mighty, and despair!"" Nothing beside remains. Round the decay Of that colossal wreck, boundless and bare The lone and level sands stretch far away.'Clearly one must see the allusion to the work, in this case, of a superhero who hopes to leave mankind a lasting legacy, but realizes in the back of his mind that everything is eventually lost in time. Ozymandias was the first poem I ever examined from an expositional point of view, and I was blown away. The use of it in this movie is equally impactful.Then there is Dr. Manhattan, named, of course, for the Manhattan Project, which yielded the atomic bomb. His character is an allegory for God, and his relationship with man mirrors the apparent detachment with which God sees suffering in the world He created. The deity reference is reinforced often, and one thinks of Oppenheimer's citation of the Bhagavad-Gita, in which Vishnu takes on a godly form and says, ""Now, I am become Death, the destroyer of worlds.""In an expository scene in the second act, Dr. Manhattan has a sort of recollection of his life. His account is dizzyingly elliptical, since he does not see time as linear the way others do. This scene has the lyrical feel of my favorite piece of fiction, Alan Lightman's almost unbearably beautiful Einstein's Dreams, and the reference to Einstein cannot be ignored.But the real beauty of Watchmen is the moral diversity of its superheroes. Each is flawed in different ways, allowing us to inhabit different ethical perspectives, intellectually at least, and witness their consequences. Everything from Rorshach's refusal to compromise, which makes him a doomed fugitive, to the ultimate compromise envisioned by Ozymandias, who can dispassionately evaluate scenarios where millions of lives are sacrificed, calls into question our most cherished beliefs. Where does it leave you? Well, that's for you to decide.From a purely entertainment perspective, Watchmen is stunning. The visuals are state of the art, and do not suffer from the sort of mental rejection I have for some movies that present too many special effects to swallow at once as reality. And Watchmen doesn't suffer from Hollywood's apparent fascination with camp in comic book movies. Camp works to some degree in Spiderman, since he's a somewhat humorous character to begin with. But the excess of camp rendered the Fantastic Four sequel unwatchable. Watchman proves that superheroes can use more subtle forms of humor, such as irony, without devolving into camp for cheap laughs.And the music, oh, the music. If you didn't grow up in the 60's and 70's, you will surely miss some of the impact, but don't worry. Even a second hand recollection of such iconic tunes will suffice. I am reminded of the painfully awful Across the Universe, which couldn't even pull together a decent movie built around the greatest catalog in modern music. Watchmen does it in spades.I LOL'd, I cried. The people in the theatre applauded at the end. I vowed to wait 24 hours before writing a review to see if my euphoria passed. It hasn't.",10.0,Anonymous,"Action, Drama, Mystery"
We All Watch the Watchmen,"Let's get this out of the way - Watchmen the movie is not as good as the graphic novel.Zack Snyder's Watchmen is not your average graphic novel adaptation. Unlike with 300, which was short and sharp and shallow and easy to adapt, the original Watchmen is incredibly dense and, as written, unfilmable. So Snyder did something very smart - he didn't even try. What he did instead was to take the world of Watchmen and rebuild it in a way which made a virtue of this new medium (film) rather than try to cram the graphic novel into a cinematic form.Nowhere is this approach more obvious than in the film's title sequence. A wonderfully composed collage of images depicts scenes from the universe of Watchmen in a way which is only possible in the movies. In this way, we are subconsciously introduced to a world where costumed heroes are a part of everyday culture and brought, in a stylish and fluid way, from the original days of the Minutemen to those of the Watchmen. This introduction is cinematically perfect and is indicative of the heights which the Watchmen movie is perfectly capable of achieving but not quite capable of sustaining.Watchen is a brave film for a major studio to make and without a doubt it would not exist in its present form without the success of 300. It is incredibly dark (both in tone as well as shooting style) with events that would be anathema to any other superhero story. The less you know about the story, the better so there will be no spoilers here but suffice to say Watchmen's version of a happy ending is a far cry from the Hollywood norm.Snyders brings his unique approach to action to bear on Watchmen, expanding on the action scenes in the comic without making it feel too redundant. His efforts are ably supported by the incredibly game cast, excellent cinematography and near perfect visual effects - this film is incredible to look at but also manages to create an entire world in a way which most superhero stories never do. The attention to detail in even the smallest scenes is commendable and the dense flashback structure means the same attention is paid to the presentation of full and complex characters.Snyder has made a film which is gorgeous to look at, agreeably violent, well written, wonderfully designed and features some of the best small scale action sequences ever committed to celluloid. But, naturally, not everything is perfect. Most of the performances are excellent, with a cast of relative unknowns who manage to distinguish themselves despite constantly competing with overbearing effects and design. Patrick Wilson, in particular, does great work with a difficult role as Nite Owl, while Jackie Earle Hayley is blistering as Rorschach. Unfortunately in a film which could have done with a strong female presence, neither Carla Gugino nor Malin Ackerman make much of an impression, despite having quite a lot of screen time. Synder's musical cues are another bone of contention - often pushing the tone of the film into the realm of parody. And the ending... well let's just say it cheapens the experience in search of the lowest common denominator and the whole package suffers. On a related note, neither of the stories major revelations are handled that well. These moments were genuinely shocking in the graphic novel but are almost glossed over in the film.Don't get the wrong impression, Watchmen is a good film, sometimes a great film. Snyder has managed to make a movie which is a terrifically well balanced compromise between accessibility and fidelity. That anyone can sit down in the cinema and experience a distillation of the Watchmen universe in just 163 minutes is a marvel. It does not deliver the depth of feeling and connection of the novel but that is more a matter of the differences in the media than a failure on the part of the film.On its own merits, Zack Synder's Watchmen is a dark and twisted tale peopled with complex characters whose motivations are not obvious even to themselves. It is a solid film, sometimes rising into the extraordinary, and deserves to be successful. This is not Alan Moore's Watchmen but it is a competent extension of the universe into another medium and a worthy cinema-going experience.",7.0,Anonymous,"Action, Drama, Mystery"
Get in line now......,"Screened FRebruary 23 for Australian Media.There's no reason for me to expect I was going to like Watchmen. I knew the cast was interesting - Patrick Wilson has made smart film choices that don't rely on or intentionally subvert his good looks (Hard Candy, Little Children); Jackie Earle Haley was icky in Little Children (and I'm old enough to remember him from Breaking Away); Malin Akerman is cute but 28 Dresses and The Heartbreak Kid do not a superhero make; Jeffery Dean Morgan, Matthew Goode - ??? And director Zack Snyder did cool things with zombies in Dawn Of The Dead and made a wild and wacky movie in 300, which totally indicated his third film was probably going to be worth a look, but...you know, whatever...So they all signed up for Watchmen - based on a comic bo...sorry, graphic novel...that I'd never read and that was coming to theatres less than a year after Ironman and The Dark Knight had redefined how good superhero movies could (and should, from here on in) aspire to be.That Watchmen has turned out to be the most complex, exhilarating and deeply-moving fantasy film since Terry Gilliam's Brazil surprises nobody on Earth more than me - and, man, did it surprise.In equal measure, it is a) an inspired vision of an alternate world that echoes but redefines our own existence; b) a subversive yet bracingly humanistic exploration of the role of the superhero in modern literature, c) a supremely adult take on the fetishistic pull of the heightened existence that life as a saviour of society creates, and d) a wildly exciting adventure story that turns normal people into exaggerated victims of their own creation and then back into mere humans.An exploration of the plot would reveal more vast themes, but at this early stage of its release I don't want to risk lessening the experience for anyone.I can reveal this - Billy Crudup as Dr Manhattan and Jackie Earle Haley as Rorschach create characters every bit as captivating (and deserving of Oscar recognition) as Heath Ledger's Joker; Malin Akerman makes an entrance to the world of superhero timelessness that will be the fantasy of every teenage boy, aged 15 to 50; and from the flawless art direction, set design and special effects to a mesmerising soundtrack, Watchmen is a film that revels in the perfection of minor details.Be warned - those expecting Spiderman-like teen-angst or Fantastic Four-like silliness will be stunned, perhaps not quite sure of what they have found. Watchmen is an extraordinarily mature, risky project for Hollywood to role the dice on, especially given similarly-complex explorations of social collapse and vigilantism (V For Vendetta, most specifically) have failed to do blockbuster numbers.But Watchmen is something special and deserving of analysis and discussion. As bold an attempt at commercial film-making as I can remember, Watchmen is an undeniably unique movie experience - rich, perverse, violent and resonant.",10.0,Anonymous,"Action, Drama, Mystery"
The greatest superhero story ever told.,"Watchmen turned out to be an engrossing film, one definitely worth seeing. I have to say, I wasn't enthusiastic about watching it at first. It's based on the great graphic novel by Alan Moore. It's widely considered to be the best graphic novel ever. Films adapted form great literary works usually don't turn out well. The film also didn't have a big budget. More money was thrown at making Iron Man (2008) and The Dark Knight (2008), for example. This doesn't matter though because Watchmen surpasses all comic book films in terms of professionalism. Zack Snyder is a good action director. Just watch 300 (2007) for proof. With Watchmen he demonstrated that he is just a good director overall. He works well with actors. The acting in the film is almost universally excellent. Everyone gets to shine. Even Malin Akerman had her moments. Not one character feels like a throwaway. All this is further complimented by the good choices in costumes. No one can deny that the heroes in Watchmen look cool. The CGI is excellent too. Be it Doctor Manhattan or Nite Owl's airship, everything looks just right. Snyder staged some truly impressive dramatic scenes. The use of music is inspired. The score by Tyler Bates is obviously fitting, but the choices in songs may surprise some people. I, however, think that the songs are just right. It was good to hear Bob Dylan's ""The Times They Are a-Changing"" at the beginning and Leonard Cohen's ""First We Take Manhattan"" at the end. What made me like the film even more is its cinematography by Larry Fong. The look of each decade was captured perfectly. The 1980s are somewhat dark in the film's alternate reality though. Nuclear war seems close, and society is sick. To all this is added the sweet look that's also present in the graphic novel. There are many images in Watchmen that are memorable, even unforgettable. There are so many interesting details that I couldn't wait to watch the film more than once to pick up what I missed on first viewing. Thankfully, Snyder didn't change the politics and observations of the graphic novel for the film. Some parts are missing but the endeavour is still a thought-provoking two-and-a-half hours. Plus, it has a clear narrative. This is a comic book film for mature audiences. It stands above other comic book films because it's smart and because it tackles some of the most important issues, even mankind's existence. Watchmen was expertly made, there is a lot to like about it. I respect it and I like it more than any other superhero motion picture. It gets a high recommendation from me.",7.0,Anonymous,"Action, Drama, Mystery"
"Stays True to the ""Big Joke,""  But This  May Confuse Some.","Before anyone sees this film, Zach Snyder should be given a pat on the back. He did what a dozen directors struggled to do for twenty years: he made a Watchmen movie. It seems unthinkable that anyone could properly put the greatest graphic novel of all time on the screen. But Snyder has done pretty much that.While it is not Alan Moore's Watchmen, it is the closest thing that anyone else could have put on the screen. Snyder approached the material with enough reverence that fans of the comic will appreciate the film. As Snyder has openly declared, the final act does include significant changes, but the alterations that take place fit better on the big screen than the original ending would have. It works because it cuts down on a lot of the necessary back story which Snyder could not include.Even though many pages of the book were not included, Snyder did take the time to try and preserve other information by including short ""historical"" sequences in the fantastic opening title sequence. By this point, viewers will also have had a chance to appreciate the stellar, and time appropriate, soundtrack. Unlike the hard rock recordings the Snyder chose for the background of 300, Watchmen's background fits the tone and mood of most of the scenes. The only questionable choice was the selection of Leonard Cohen's ""Hallelujah,"" not because of the recording, but rather its awkward placement. Some may also question Snyder's inclusion of gore not present in the book. While the comic does include it's share of violence, Snyder did overtly change several scenes to be more violent. These changes, while flashy on film, may disturb squeamish moviegoers. However, changes aside, Snyder has captured the essence of the book and packaged it in a beautiful 2 hour and 40 minute delight. Overall, it is a satisfying film experience for someone familiar with the source material.But this might be a different experience for anyone who does not know the book. There is a lot to digest, and the overwhelming visuals may distract some moviegoers from the bigger picture. The interaction of these unique characters remains an integral point to understanding this film, and when the book was pared down for the movie, the relationships of the masked adventures became a bit more forced. The best part of the comic was the glimpse of what is ""beneath the hood,"" and we have less of that in Snyder's adaptation. Additionally, the ending, while simplified, is still a bit convoluted.Fans and those previously unfamiliar with Watchmen should go in with an open mind. Snyder has performed what Doctor Manhattan might deem a miracle, so it may take more than one viewing to truly appreciate this unique adaptation.",8.0,Anonymous,"Action, Drama, Mystery"
