title,content,rating,username,genres
"Beautiful film, giving hope to all those seemingly unrequited loves.","Can you beat some of the lines in this film? As a guy, which I am, I identified with Harry's lines so much, and you can't help but side with him. The chemistry between the two actors, Billy Crystal and Meg Ryan is superb, and you believe in them when they talk, you feel for them when they look at each other. Even the friends are well casted, Carrie Fisher and Bruno Kirby. It's such relaxed acting and filming that you do nothing but watch these people fall in love, and pretty soon you feel like you're involved as well. With a fantastic soundtrack, direction, script and acting, it's a great film.",9.0,Anonymous,Romance
Timeless,I decided to watch this for the first time and thought it was one of the most realistic romance movies that there is. It is also really cute with showing older couples between the scenes and hearing their love at first sight stories.,8.0,Anonymous,Romance
the perfect modern take on a classic idea,"Aside from freer language and more explicitly sexual humour, When Harry met Sally is a very traditional romantic comedy, very much in the mould established in 1934 by It Happened One Night. Two very different but evenly-matched people are thrown together by circumstance. They are initially hostile to one another, but over the course of the film, this hostility turns to love as their personalities are softened by exposure to their opposites. Indeed, the central traits of Harry and Sally correspond very directly to those of Peter and Ellen in IHON - he worldly-wise and cynical, she spoiled and certain of what's what. Neither of them, it turns out, is as right or as self-confidant as they believe. What's very modern about WHMS is its attitude to long-term relationships. It's no longer enough for the couple simply to fall in love and live happily ever after. They must have a full and real understanding of exactly what, or who, they're letting themselves in for. They must also be sexually compatible (hence the importance of their having slept with one another before they finally get together). Within this framework of traditional romance in an unromantic world, WHMS is almost perfect. Structurally, there are no gaps or implausibilities. Even the central coincidence of these people running into each other under these circumstances is answered. The short but affecting intermissions of successful old couples describing their relationships are not only crucial to the pacing of the film, they also make the point that Harry and Sally are just another couple with an unusual and interesting story. There's an element of luck and coincidence in every successful relationship. The effectiveness of the film's structure is perhaps best highlighted by the soundtrack. There's a perfectly selected Louis Armstrong track for every phase of their relationship - the soundtrack not only complements the mood of the film, it comments on the action. The acting is superb, with the two main protagonists as well as their two foils (Bruno Kirby and Carrie Fisher) all giving career-best comic performances. Without such fantastic performances, it's very possible that the film could have failed: these are essentially self-indulgent people, that we sympathise with them and recognise them is in great measure down to the stars. Finally, the script is fantastic. Of course nobody really speaks like that, but like all great scripts it distills emotions and points of view into a few lines. And it's funny. The one-liners are still sharp and amusing on the twentieth viewing, and the set-pieces are beautifully realised (the orgasm scene is only the most famous - check out Harry's olympic sex-dream speech - ""Must have been the dismount"" - or the ""I'm through making a schmuck out of myself"" phone call). All this, and a dinner party talking point about male and female relationships. Can we ever be just friends? Not even with an ugly girl? ""Nah, you pretty much want to nail them too.""",9.0,Anonymous,Romance
One of the best romantic comedies ever!,"Not too long ago I finally got around to seeing this film, I'd heard so much about it that I had to see it. After seeing it the first time I thought it was good, but I have to say that I liked it even more on my second viewing. The film is absolutely wonderful! The story is very amusing and keeps you interested in the characters from start to finish.I literally couldn't wait to see what would happen in the next scene. This is one of those movies that goes by very quickly. I think that's a sign of a good movie, when you just can't believe that you're already an hour or so into the movie. The story really flows nicely from scene to scene.The cast is great in the film as well. Billy Crystal pulls off one of his best performances, and has a slew of great jokes throughout the film. Meg Ryan looks as beautiful as ever and has such a cute way about her. Bruno Kirby and Carrie Fisher definitely deserve a great deal of credit too, they both did superb jobs as well. Director Rob Reiner did a great job with the film, keep up the good work Rob.If you're into romantic comedies, then you definitely should see this film. Even if you aren't really into the whole romantic part of it, the comedy is great and worth seeing. I would most definitely recommend seeing this film.I hope you like it. Thanks for reading,-Chris",10.0,Anonymous,Romance
An Icon,"This movie grows like a good wine. I really didn't get it when it was first released; I avoided it like the plague. But people have a curious tendency to mature and change their POVs with time, and so was it with me. This movie opened me up to a lot of things - believe it or not, I didn't get the 'Call Me' sequence at first: I was lost, and admit it. But I am not lost now, and this movie is partly responsible.Meg might be the reason guys want to see this movie, again and again, but after a while you begin to appreciate the contribution Crystal made to the film. The dialogue has his name all over it. The dialogue in this film is at times simply amazing - check the memorable quotes here if you've seen the movie and have forgot.I would not pick this movie out of a barrel as most likely to be so influential, but it's a fact that it is, and rightfully so. Great support from Kirby and Fisher. Today it's Hanks and Ryan who are paired, thanks undoubtedly to Sleepless in Seattle, but one wonders why no one has tried to get Crystal and Ryan back together again. They're fantastic.This is one of the all-time best movies ever made. All-time 10? Or 20? or 1000? I don't know; it's just one of the best - it has that quality about it. Keeper.",,Anonymous,Romance
peerless,"I love romantic comedies, and this may be my all-time favorite. Nora Ephron's writing is sharp and VERY funny, and the perfect cast delivers the dialogue with flawless timing. I own it on DVD, and will almost invariably turn to it for at least a couple of minutes when I see it in the TV schedule. There are so many priceless moments that I can't pick out one to highlight; most of them are subtler and funnier than the famous Simulated Orgasm scene. Bruno Kirby and Carrie Fisher are perfect in their supporting roles, and Rob Reiner's direction couldn't be better. I'm afraid that I'm doing nothing but gushing in this review, but great is great, and it's hard to say anything else.",10.0,Anonymous,Romance
"""When Harry Met Sally"" - Stands the Test of Time","""When Harry Met Sally"" may not at first seem to be the kind of film that remains classic and timeless. In this very cute exploration of an age-old question: ""Can men and women truly just be friends?,"" Billy Crystal and Meg Ryan play the kind of characters we have come to love to see them play. No surprises there as they skillfully banter back and forth between adorable, hysterical and morose as the plot rolls on. But upon closer inspection, this film is actually full of nice surprises, including its durability. Watch carefully and you will find one of the best examples of the way an excellent script can propel the plot, character development and pacing of a film perfectly from start to finish. Many lines may seem to be merely entertaining one-liners, but they also serve these other purposes simultaneously. This is a well crafted and well acted script. Even the most dated aspect of the film, the intentional focus on clothing, hair and makeup styles as they change throughout the decades, has taken an unexpected poignancy now that the styles we may remember as current at the time have come to be old-fashioned themselves. The end result is that ""When Harry Met Sally"" speaks to us if we remember the times portrayed in the film or not. We're still asking questions about men and women and friendship, and films such as this still help us answer them.",10.0,Anonymous,Romance
A pretty good romantic comedy,"I have never really liked romantic comedies, I think there's too much crying and sentimental sap. I mostly think of romantic comedies as the kind of movie single women sit down and watch, and cry their eyes out, which is a concept I've never understood. But this movie is definitely one of the better of the genre. I saw it again after having seen it a lot of years ago, and I remembered it as having one single good scene. This is, of course, the famous restaurant scene. But seeing it again, I laughed almost at the very beginning, and kept laughing throughout the next twenty minutes. After that, the hilarity of the characters faded, and it settled by being interesting and capturing. I wanted to know what was going to happen to these characters. Unfortunately, it didn't last, and I lost interest for a few minutes, and then I saw a funny scene again, and regained interest. The same thing happened a few more times, I lost and regained interest with brief pauses. The movie is worth seeing if you like this sort of movie, or if you like debates about male/female friendship. I found the ongoing debate in the movie very interesting and thought-provoking, and most of the movie is pretty funny as well. Some of it is laugh-out-loud funny, and some of it is more like recognize-the-situation funny. If it had kept my interest a little better, I would have given it an 8, but as it is, I give it 7/10.",7.0,Anonymous,Romance
I'll have what Reiner was directing in the 80's,"""I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible.""My favorite Rob Reiner film has always been When Harry Met Sally, a romantic comedy that I never expected to enjoy as much as I did. It's the best Woody Allen film not directed by Woody Allen. Meg Ryan and Billy Crystal's quirky chemistry in this movie is probably one of the best I've seen in any film. Reiner is a director that is hard to categorize since he has worked with different genres: thriller with Misery, fantasy/adventure with The Princess Bride, coming of age with Stand by Me, mockumentary with This is Spinal Tap, drama with A Few Good Men, and comedy with The Bucket List. He's made his share of bad films (his latest films are probably his weakest), but he seems to have excelled in every genre without establishing a common trademark. You could watch When Harry Met Sally back to back with Misery and you'd never guess it was directed by the same person. The secret to his success with this rom-com is that the relationship feels true to life as he first introduces these flawed characters that don't seem to care too much for each other, but over the years they begin bonding and establishing a strong friendship. These characters are so relatable and we can see ourselves or our friends in the film. It reminds us of that friend of the opposite sex we had and how easy it was to blur the line between friendship and love. It makes us think of that universal question: Can a man and a woman be best friends without falling in love with each other? A lot of credit must be given to Nora Ephron's Oscar nominated screenplay because the dialogue and debates between the main characters are authentic and sharp at the same time. There are so many memorable scenes, including the fake orgasm which turned Meg Ryan into such a star, but the final tear jerking scene is my favorite because Billy Crystal delivered his lines in such a perfect way. Even the scenes where old couples are being interviewed in documentary style works perfectly and serves a purpose other than simply serving as transitions taking place in the story. The honesty that comes through in each conversation between Harry and Sally and the incredible chemistry between them is what makes this one of my go to films when it comes to recommending a romantic movie. Did I mention that the film takes place in New York of all places?http://estebueno10.blogspot.com/",10.0,Anonymous,Romance
There's no such thing as Harry and Sally,"There's no question that this is the perfect movie about love and masterpiece, having its own genre. The location New York is beautifully presented and Meg Ryan and Billy Crystal showed their best performance ever.",10.0,Anonymous,Romance
