title,content,rating,username,genres
Much better than expected superhero action drama.,"I must be honest, it took me a while before I finally decided to watch this, as I'm not a big Hollywood superhero movie fan. Well, I was pleasantly surprised. Gil Gadot is excellent as Wonder Woman and lends credibility to the naive title character. The chemistry between her and Chris Pine was wonderful and made for a very believable love story. It felt very natural and romance between them seemed inevitable.As for the plot, I enjoyed the way the Amazonian women's back story was told, as well as Diana's (Wonder Woman). The visuals and photography are incredible! This is a visual spectacle. I loved the humorist dialogue, which was genuinely funny and never over the top or slapstick. Gil Gadot is just fabulous.This superhero movie had a very realistic feel to it with the added bonus of feeling and emotion. There are so many truths in this film humanity should take note of. The film has a very unexpected ending compared to most superhero movies, and that's what I honestly loved about the film.",8.0,Anonymous,"Action, Adventure, Fantasy"
A strong film!,"Much better than I would have thought. I'm not a big fan of Wonder Woman, but I can say that this movie is my favorites from DC, but that doesn't say much considering the past. I really like the period in which the action of the film takes place, during a real war is not something usual for a movie with superheroes. The actors are good, so is the action, maybe act 3 is a bit weak, but it works.",8.0,Anonymous,"Action, Adventure, Fantasy"
Its GREAT,"I don't really understand all the bad reviews here. No....it isn't non stop action. I didn't find it boring either. I enjoyed it at the theater....and now again at home. Maybe it's not the typical super hero movie...but it is a great beginning in my opinion. I liked seeing Wonder Woman's origin, though the whole man bad and woman good mantra is getting old. Thats the only reason I didn't give it a 10.",9.0,Anonymous,"Action, Adventure, Fantasy"
Admirable Fun,"It's a pretty good movie, as you probably have already heard if you follow the reviews. I was a bit worried. DC has shown a.... shall we call it tendency? -- to darken every comic book character, to the point where Suicide Squad had everyone with a sad backstory. It made me miss the cheery disposition of Caesar Romero's Joker. Yes, I get it that you're a sociopath. Can't you enjoy it?Wonder Woman avoids that. In the midst of the horrors of the Great War, there are real jokes, and moments of kindness and great deeds inspired by naive morality.Visually, the movie combines the splash panels and covers of the Dark Horse era of DC, with some canny casting choices among the secondary characters. Lucy Davis looks like Etta Candy from the late WWII comics era; Ewen Bremner looks like Charlie from the same era; both push the comic book look to the edge, without falling over.Miss Gadot turns out to be a very capable screen performer, with dark, expressive eyes. Chris Pine restrains himself as her leading man. If the screenplay sometimes falls into the current hackneyed tropes, it plays nimbly with others, like Chekhov's Gun. If the final battle is another round of Rock-Em-Sock-Em Robots, the earlier battle scene, fought in righteous anger, made me think about the Angel of Mons.",9.0,Anonymous,"Action, Adventure, Fantasy"
impressive,"Maybe, one of the most inspired films about WWI. and one of the most impressive Wonder Woman performances. because it has the best plot, the director, the actors . I say that without be a fan of Marvel universe and defining the super-heroes of series as ""American culture stuffs"". but this film has many virtues. first - a seductive perspective about near reality, bitter references, good pledge for fundamental values and , sure, Gal Gadot brilliant work. pieces of mithology and war. and a photo. as good start for a character who, in Superman vs. Batman was the not official lead character and who, in this film, gives more than a beautiful job.",,Anonymous,"Action, Adventure, Fantasy"
A Badass Wonder Woman Film!,"I love Wonder Woman and I was really excited to see this. And after watching this movie, I enjoyed it. This was a great DC film to the DCEU.",7.0,Anonymous,"Action, Adventure, Fantasy"
One of the best. Period!,"One of the best super hero movies ever. Up there with the dark knight, original Superman movie, captain America civil war, X-Men: Days of Future Past. Gal gadot did a great job. Don't listen to the haters. Haters will find things to complain about EVERYTHING.",9.0,Anonymous,"Action, Adventure, Fantasy"
Wonder Woman,"Review By Kamal KThis film is everything you want in a superhero movie. This is the Wonder Woman movie we've been waiting for.One of the first superheroes ever created in comics and the very first female superhero, Wonder Woman is among the most recognizable superheroes in history.It is outrageously bold and confident, insanely fun and thrilling, powerfully dramatic and delightfully amusing, all rolled into one epic superhero outing. It sports some of the greatest action scenes and visuals of any superhero movie to date, many of which have been saved from the marketing in order to serve as delicious surprises when you finally see the movie. The cast are magnificent, especially Gal Gadot's lead turn as the world's first female superhero. And director Patty Jenkins has instantly proven herself one of the genre's finest filmmakers.Gal Gadot's casting was like a miracle for the studio, as her performance is instantly the stuff of legends. Gadot does a magnificent job with this complex mixture of emotions and motivations in Diana, as well as the many grand fight and action sequences, I can't imagine anyone else in the role.she is Wonder Woman now, through and through. Chris Pine actually delivers his second-best career performance here.The action sequences in Wonder Woman set a new standard for the genre. It has excellent hand-to-hand superhero combat on par with Batman's warehouse scene in Batman v Superman or Cap's fights against Batroc and Bucky in Captain America: The Winter Soldier. But it also has epic war scenes, fantastic sword-and-sandal battles (the Amazon battle on the beach is an instant classic), and big-scale superhero action set pieces bringing down buildings and demonstrating the full scale of superheroism and super-villainy.I loved Matthew Jensen's cinematography in Wonder Woman, and how it established different visual tones and styles for different settings and different acts in the film.",7.0,Anonymous,"Action, Adventure, Fantasy"
Not Bad,"It was a better movie than I expected, but the ending wasn't that good. Gal Gadot did a great job.",8.0,Anonymous,"Action, Adventure, Fantasy"
"Not a wonder, not a blunder","As someone who does enjoy superhero films when done right, there are some good ones out there as well as some disappointing ones. Enjoyed the character of Wonder Woman as a kid, and always felt compared to other superhero characters that she deserved her own film.Which she gets in this 2017 effort directed by Patty Jenkins. Is 'Wonder Woman' as good as the hype and a wonder of a film? Not to me, there are a few things that stop it from being even better. Does it deserve the negativity in a lot of the comments here? While it is easy to see why people would be disappointed, as it could have been better, my answer would be no and that some of the hate is over the top.There are problems here in 'Wonder Woman'. Part of it is to do with pacing, the film starts a little dull in places and later on as more happens in the story it felt rushed and at times it affects the storytelling which has its muddled moments.The ending is clichéd and anti-climactic and some of the characters feel underdeveloped, especially the underused and underwritten villain.However, 'Wonder Woman' is mostly an exceptionally made film, apart from instances of frenetic editing, with a lot of atmosphere in the production design and lighting, audacious photography and special effects that are super slick. The music has a haunting sense of mood and rousing energy, and Jenkins directs with an understanding of the titular character and accommodating the performing of Gal Gadot.Script has some witty humour, heartfelt sentiment and also takes itself seriously without making the mistake of previous BC Extended Universe (of which 'Wonder Woman' is by far the best, actually being a good film) of being too grim and dark. The action is stirring and often spectacular in spectacle.'Wonder Woman's' story has its faults but most of it is heartfelt and thrilling. It does the character of Wonder Woman justice with a genuinely interesting back-story that makes her a compellingly real and easy-to-relate-to character who you admire for all her strengths and flaws.Gadot is superbly cast as Wonder Woman, creating a character that really stands out among the rest of the superhero line in terms of gender and her ideals. Chris Pine is amusing, commanding and likable with great chemistry with Gadot, while Danny Houston clearly enjoys himself as the villain. The rest of the cast do very solidly.Overall, not a wonder but a long way from a blunder. 7/10 Bethany Cox",7.0,Anonymous,"Action, Adventure, Fantasy"
Warrier Princess at her best!,"I was expecting the ""glitzy"" curvy wonder woman which I loved in the 80's but VERY pleasantly surprised to find the Warrier Princess side of her that deeply cares for humanity and the good that are in people. She is unconcerned with her looks and trying to impress others, and way more concerned with saving the world as she was meant to do. This film really showed the process of her becoming a true heroine! She loves, she protects, she saves. Wonder Woman is a great character and I think she was cast beautifully! She looks ""other-worldly"" beautiful and fit the part so well. The film was written well to show her innocence of the ""real"" world, her joy of seeing it and it's people for the first time, and her passion for saving us all!Team Wonder Woman Forever!This is a film I could watch over and over. :D",10.0,Anonymous,"Action, Adventure, Fantasy"
A good re-imagination of the legend,"It is visually stunning, with a story that at times is baffling yet aptly comical, not in a sense that it's funny, but true to a comic (graphic novel) origin.Many things don't make sense, but here we have a superhero / superheroine who finds her way and stays true to her purpose.As usual, I suspect the less you are familiar with Wonder Woman the comic book and TV series over the decades, the more you'll enjoy this adaptation.",8.0,Anonymous,"Action, Adventure, Fantasy"
Solid Overall,A really solid DC film in a time where the company has struggled to muster post Christopher Nolan success.,,Anonymous,"Action, Adventure, Fantasy"
one of the best DC Movies,"""Wonder Woman"" was a captivating addition to the superhero genre, earning a 7/10 in my opinion. Its strength lay in Gal Gadot's compelling portrayal of the iconic heroine, infusing the character with both strength and vulnerability. The film's cinematography showcased visually stunning action sequences, with Themyscira's lush landscapes serving as a standout. The supporting cast, particularly Chris Pine, added depth to the story with strong performances. While the music and visuals were effective, they didn't always leave a lasting impression. Overall, ""Wonder Woman"" delivered a powerful and long-overdue female-led superhero story, though it had some minor weaknesses in terms of music and visual impact that kept it just shy of perfection.",7.0,Anonymous,"Action, Adventure, Fantasy"
A welcome addition to the DC film franchise,"It would be easy to pick apart Wonder Woman, but I don't want to -- I enjoyed myself too much while watching it. Gal Godot is completely believable as the title character, and Chris Pine plays a good second fiddle. It's a pretty standard origin movie, and the rest of the supporting cast is a bit weak, but this is definitely a welcome addition to the DC film franchise.",8.0,Anonymous,"Action, Adventure, Fantasy"
One of the best DC superhero films of the new generation,"Gal Gadot and Chris Pine both give a fantastic performance in this superhero film... the story was relatively original given how much of a generic formula most of this action hero genre follows... the character development was unique and special.. the story was nice and heartfelt but had some weak moments that weren't necessary and made the film longer than it needed to be... between this and The Dark Knight, DC has been keeping its legacy in modern cinema going strong..",8.0,Anonymous,"Action, Adventure, Fantasy"
Gal Gadot is Perfectly Cast as Wonder Woman,"Gal Gadot is perfectly cast and her interaction with Chris Pine on screen is great, their characters have a lot of chemistry. Overall, I really enjoyed the movie, but some parts seem to drag a little, but it doesn't really affect the enjoyment of the film for me. The final battle is a bit cheesy in terms of the main villain's revealed motivation and dialogue, but nothing really too bad.",7.0,Anonymous,"Action, Adventure, Fantasy"
