title,content,rating,username,genres
Good intentions and some powerful moments but overall a disappointment,"I honestly didn't think it was very good at all, though I respect the intentions of the filmmakers. Whatever one wants to say about Oliver Stone, he showed a commitment to faithfully telling the story of these two Port Authority cops trapped in the wreckage of the World Trade Center and their worried wives.I liked a lot of the scenes in the beginning, the little mundane details like when Michael Pena's character is going about his everyday street beat. But the scenes at the WTC itself are really awkward, especially the cross-cutting between real footage and the actors. They just don't match, neither the film stocks nor the actors' reactions. A couple of moments with Pena standing there on the concourse were effective in creating a sense of horrific surrealism, and the moments right before the collapse were sudden and chilling...but overall it was not as powerful as I was expecting. For a film called World Trade Center, I guess I was expecting a little more context and not something focused so narrowly on these two Port Authority cops and an ex-Marine from Connecticut (as the only person outside these two cops' families whose story is told in the film, the focus on him reeks of jingoism in a GI Joe/Rambo vein).I know it's a little unfair to compare this to United 93, but I need to in order to illustrate the point. U93 told a specific story (the experience of the passengers on the plane) and placed it within a context (what was happening with air traffic control and the military). The lessons that are demonstrated in the actions of the passengers are enhanced by contrasting them with the helplessness of the ""professionals"" responsible for their safety. It's telling a dramatically powerful story, conveying a theme , AND providing a larger historical context of what happened that day. Oliver Stone, by comparison, has failed to effectively tie the experiences of these two trapped cops with the larger events of the day, and his film suffers as a result. And in the end the film largely shortchanges the stories of the 2749 families who didn't get good news that day.OK, so the film focuses on a narrow story of these two trapped cops and their families (and the gung ho marine, but he has limited screen time). Was their story well told? The scenes amidst the wreckage were compelling, but the back-and-forth with their wives became annoyingly schmaltzy. Yes, Maggie Gyllenhaal gave a strong performance as the pregnant wife and a lot of the moments with her family (esp the brief scene with the Colombian mother-in-law praying) were emotionally poignant, but so much of the family stuff was lame melodrama. And to be honest, even Maggie's performance was a little generic. I understand that these characters are all closely based on real life, but it still felt very Lifetime movie of the week. As for Maria Bello in the role of the other wife, I loved her in A History of Violence, but she was bland in this. The kid actors playing her children were mostly awful, and the film dragged whenever their story was on the screen. The resolution is mostly handled well, I really like what Oliver Stone is trying to convey about these small gestures of heroic goodness in the face of such desolation. But the power of these scenes is undermined by his tendency to pour on the sappiness while largely ignoring the greater horror of the day. It feels like a soap opera set against the greatest tragedy of our age, and that just doesn't work for me.In short...not intense enough, not enough context, too much melodrama, not enough of a sense of reverence for what happened, highly impressive job of recreating the debris field, a charismatic performance from Maggie, overall a mediocre film.",5.0,Anonymous,History
National tragedy as formula storytelling,"Something surprising happened while watching Oliver Stone's ""World Trade Center"" - I realized how much more I appreciated Paul Greengrass' ""United 93."" Greengrass' film was lean, stripped of any backstory for any of the characters. Very simply, it told what happened that horrible day on the plane - though he used some license - and didn't wallow in needless sentimentality.Stone, on the other hand and rather surprisingly, seems to have gone out of his way to make something that would be so palatable and inoffensive that it would turn out rather bland, above anything else.The 45 minutes of ""World Trade Center"" are terrific. After offering us quick glimpses into the lives of Port Authority cops John McLoughlin (Nicolas Cage) and Will Jimeno (Michael Pena), Andrea Berloff's script gets us right into the attacks on the Twin Towers.The crumbling of the towers, which still is incredibly difficult to watch, let alone fathom, is handled with taste, but also is awfully gripping. We get a real sense of the terror and panic and then Stone gets the claustrophobic atmosphere right. With close-ups of Pena and Cage amidst the ruins, he gets us so close, we can almost taste the rubble and concrete dust.But that's the last time we really see or feel any sense of genuine, gripping storytelling in this film. I realize criticizing a film about 9/11, especially one that displays its American stars and stripes so blatantly, is tantamount to treason these days. After all, as this administration and its minions love to point out, if you disagree with them, you're not only unpatriotic, but also an appeaser of the villains. It's poppycock, of course. Dissent is undoubtedly American, but these chaps so love draping themselves in the flag that jingoism overwhelms all reason. Why bother with rational thought when you can scare people?What struck me while watching the film is realizing how much goodwill was channeled toward the United States after the attacks and what's ultimately sad is how this president took all that goodwill and squandered it by launching an utterly pointless war in Iraq. We could have done so much good in the world, instead of now being one of the most hated nations in the world. And Bush has now turned 9/11 into a political slogan for political (and personal) gain.The problem with Stone's film isn't so much the story, but how Berloff chose to tell it. According to Berloff, cops, rescue workers, even family members tend to enjoy speaking in exposition. There are moments that surely someone of Stone's calibre should have realized needed to be rewritten because the dialogue seems mediocre at best.Where the film suffers is when the story cuts between the two trapped men and their families, especially their wives. Maria Bello as Donna McLoughlin and the always wonderful Maggie Gyllenhaal as Allison Jimeno never get much to do with their sorely underwritten roles. It's a true testament to Gyllenhaal's talent that she turns a rather sour role into a passionate, moving performance. Poor Bello, on the other hand, isn't that fortunate. She's relegated to spending more time than she should weeping.The trouble with these scenes is not that Berloff tries to wring some emotion out of them, but that they come off as unabashedly sentimental. And the emotions are entirely unearned.Pena proves, just as he did in ""Crash"" (2005), that he's able to be something special on screen. His character is far more engaging than Cage's; Pena's emotions come off without any artifice.I can't help but feel that ""World Trade Center"" could have been the gut-wrenching experience Stone intended it to be had he and Berloff approached the story much in the way Greengrass did ""United 93."" Stone's movie is far from lean. It's padded with needless sentimentality and moments that just try so hard to earn some emotion, any emotion, that they come off as utterly false. And that's unfair to the people whose story is being chronicled here.Watching Cage and Pena trapped should be gripping stuff. But even their dialogue is reduced to exposition. And when Berloff finally leaves the two men and their families, we get Dave Karnes (Michael Shannon), a man so moved by what he saw that he came down to the Twin Towers and proved to be McLoughlin and Jimeno's miracle. We all know Karnes is a real person, but I very much doubt that he speaks in bumper stickers. But that's exactly what Berloff has him do.The first 45 minutes of the movie showed what Stone truly is capable of doing. The rest is rather tepid. And unbelievably forced. Who knew that Oliver Stone, of all people, would resort to formulaic storytelling. Perhaps he's been so stung by conspiracy accusations and was so keen on appeasing his critics and forgetting the execrable ""Alexander"" (2004) that he opted to make the kind of movie Ron Howard would make. That's not a compliment.",5.0,Anonymous,History
A surprisingly good film,"I went into this film without expectations. I saw Flight 93 and enjoyed it and I am very interested in all events surrounding September 11th, so this film appealed to me. Now, I must say that I am not an Oliver Stone fan, however, upon hearing this movie was nothing like an Oliver Stone film I decided to check it out.The storyline for the film, as stated, was based on the stories of a few Port Authority police who survived the collapse of the building while being trapped for hours in the rubble. At the beginning we are introduced to each of the characters and their families. It's enough to get us involved with each of them but leaves enough room to elaborate as the film unfolds. The film moves rather nicely without going too fast or slow. The vast amount of the film takes place after the towers collapse while the men are trapped in the rubble. The story is told through the trapped police officers current situation as well as what their families are going through at the same time.I felt this story to be very natural and not Hollywood-ized, something I had been worried would happen. All the events seemed plausible, they didn't throw anything in for added drama. All of the characters were completely believable and you ended up loving all of them by the end. I will caution you though, there are some intense scenes in this movie so if you are unable to deal with some of the events from that day you may not want to see the film.The cinematography and sound really aided this film. All of the filming was crisp and clean, the special effects were great and you could hardly tell this had been filmed after the towers were gone (the shots containing the towers that is). There were some great scenes from life in new york; shots of the skyline and the subway as well as some breathtaking aerials. The sound was spot on, you could feel the building collapse as the scenes unfolded on the screen. It was a great job all around.Overall I was pleasantly surprised at how good this was, it lived up to Flight 93, although it has an entirely different feel to it. This film is not ground-breaking work, but it wasn't meant to be. It was meant to tell the story of a few brave men and their families and their experiences during September 11th, and it accomplished this very well.",7.0,Anonymous,History
A Great Drama,"I saw an advanced screening of World Trade Center last night, and I was very impressed. I went into it unbiased, deciding that I would indeed like to hear the story of what happened to the two officers this movie is about, and I would take it for what it is, regardless of whether or not people think it's still too soon.This is a very moving and intense look at the story of the officers' ordeal as well as what their families had to go through. Of course, the viewer is reminded of a lot that happened on that day, and it is disturbing, sad, and angering just as the real events were. However, the movie makes no attempt at all to explain what happened or give some great message to the world about terrorism, government, or war. It's more of a character study and simply a look at a terrible event from several perspectives.The acting is superb, and I have more respect for Nicholas Cage after this movie than I did going into it. There are some very intense moments, and moments that, as I've said, are angering and disturbing, but not to make the viewer want to walk away, but simply to be angry that these events had to occur in the first place.Thankfully, there are several moments of humor throughout the movie, to give the viewer a break perhaps, but they work well.I gave this movie a 7 out of 10 because the writing at times was not all that it could have been, especially some of the dialogue. Overall, the acting is great and the characters feel real, but in some scenes you may feel like the sentimentality is being forced and doesn't feel genuine.I will recommend this movie to people who are not dead set against it, or someone who is just looking for exactly what it is: a movie made for entertainment and as a tribute to those that died.",7.0,Anonymous,History
well-made movie,"I was afraid this movie would be over Hollywoodized like Pearl Harbor was. However, the movie was made in good taste and was very emotional. It was the first time i had ever teared up at a movie. It captured that period very well and it brought back a lot of memories of that day for me and the days that had followed. The acting was pretty good, especially Michael Pena, who seemed to actually be living the experience instead of acting it out in a movie. When the movie ended the audience was silent(pre screening)and didn't clap, not because they didn't like it but out of respect. I felt really in-touch with the characters and while i teared up in some parts I also smiled and even laughed at some parts as the characters tried to cheer each other up. Expect it to win some awards.",,Anonymous,History
Drawn out,This film is a mostly compelling story of the 9/11 attacks but the problem is that it's too drawn out. There is a lot of the time when nothing much is really happening. It tries to focus on the lives of particular individuals who are portrayed as heroes but this also means that there is not much material to work with.,6.0,Anonymous,History
A classless play on emotions,"I know that many people who don't like this movie say so just because they thought it was made at an inappropriate time. Personally, I hated this movie on its own merit as poor film-making. It seems that Oliver Stone just decided he wanted to make a movie, any movie, about 9/11, and didn't care about the content of the movie. The end result was a movie of such pitiful quality that one could go though the script and replace the term ""police officer"" with ""miner"" and ""World Trade Center"" with ""a coal mine"" and the entire script would work perfectly as a cave-in disaster movie. It's that generic. Stone tries to carry the movie just by showing how sad the families were and how scared the policemen were, meanwhile allowing the audience no interesting plot points to hold on to, nor any significance to the tragedy. In the end, I have to conclude that Oliver Stone just wanted to get some cheap emotional reactions from the crowd, because at one point the movie says that it is about the potential for good in humanity and how strong we can be in the face of adversity. Stone quickly forgets this, because only about 15% of the movie even shows people coming together to help one another. The other 85% of the movie is spent watching the families argue or seeing flashbacks to their happy memories, which is a good way to get audience reaction but hardly lends any significance or depth to the plot. I don't in any way want to belittle the pain that these families had to endure, which is why I am disappointed that that pain was exploited to make a bad movie. September 11 was the most important and tragic event in my lifetime, and I think it deserves more respect than to be made into a generic, poorly-written disaster movie less than five years after it happened.",1.0,Anonymous,History
Stone Salutes,"Oliver Stone salutes the ordinary heroes of this extraordinary circumstances. He puts himself way behind their stories, so far behind in fact that he is almost imperceptible. In Italy, the academics, snobs and other fauna dismissed it as rhetoric and banal. I have the words of the laid back ""opinionist"" Barbara Pallombelli accusing Stone of ""inventing"" How silly really. The ignorance between the cultures seems insurmountable sometimes. The story was told by the two men under the rubble and their families. They were working people, not professional ""opinionists"". They will hum the theme from Startsky and Hutch to keep themselves alive. I wonder what pseudo intellectual would have done.The film is a gripping depiction centered mostly on two men and their families. The event caused a catastrophe that is still growing, based mostly in personal interest and massive inter cultural ignorance. The film is not about that. The film is about the tiniest enormity of the domestic drama. I wept and longed for a private happy ending. The rest, well the rest is still part of our daily existence. Most of the detractors accuse World Trade Center of not being an Oliver Stone film, if he had done a classic Oliver Stone film he would have been accused of that. Stone will be controversial even for standing still. My hat to you Mr Stone, please keep going your own way.",8.0,Anonymous,History
When Kindness and Sympathy Supersedes Evilness,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno (Michael Peña) and his sergeant John McLoughlin (Nicolas Cage) are found alive trapped under the wreckage while the rescue teams fight to save them.""World Trade Center"" is based on the accounts of the people evolved in the aftermath of this tragedy and tells the story of two of the survivors. The dramatic narrative is careful in details, and gives scary statistics inclusive that only twenty people were rescued alive from the debris, and Jimeno and McLoughlin were the eighteenth and the nineteenth survivors. This apolitical movie gives a message of hope and love and I particularly liked the conclusion two years later, when the optimistic John McLoughlin sees the kindness and sympathy of his people superseding the evilness of the murderers. My vote is seven.Title (Brazil): ""As Torres Gêmeas"" (""The Twin Towers"")",7.0,Anonymous,History
A reminder of that fateful day.,"This is an excellent film on a very touchy subject. World Trade Center makes an excellent companion piece to United 93. The films have different styles and they present diverse perspectives of a day that has limitless faces. Both are thoughtful, intelligent, and emotionally potent. They provoke and challenge, asking us not only to face our memories but to question our future. By being less political than he has ever been, Stone offers a movie that can be embraced by movie-goers who sit on the left side of the theater, in the center, or on the right. It's an achievement, and it makes one hope that future feature films about 9/11 will exhibit the same mix of dramatic force and tasteful restraint.",,Anonymous,History
