title,content,rating,username,genres
"A lot better than expected, and made for gamers","Side note: The animated short Paper Man was very good. The animation was a unique blend of CGI but made to look like hand drawn animation. The only slight issue I had with it is that the short got crazy at the end and became unbelievable. Still cute.Being a gamer, I decided to go to this movie. I knew the movie was going to be good, but I didn't expect it to be really good. The action, humor, voice-acting, plot, and animation are all great. Since this movie is aimed towards gamers, I feel like a lot of the cameos and jokes are going to fly over most people's heads, such as ""All your base are belong to us"" written on a subway wall or ""Leroy Jenkins was here"". Thankfully, the movie doesn't rely on cameos to be successful.The animation in Wreck-It Ralph is very beautiful, and is great at expressing the video game world. I did not see it in 3D, but just from watching it in 2D I can tell that this movie would look amazing in 3D. The animators did really good in this movie because each video game world looks vastly different from another. Each world feels like an actual video game that I've played. If there is one problem that I can pick out in this movie (and many others have noted this as well) is that the plot focuses on the Sugar Rush world a bit too much. Most of the other worlds are revealed at the beginning mainly for the sake of reference, with only a few actually being important.The humor in Wreck-It Ralph is good because it hits a very large audience. A lot of the cameos and jokes are related to video games but there are also a lot of movie references as well, puns, slapstick jokes, and some crude humor. Some people complained at the crude humor but honestly it didn't bother me because it was coming from a character who looks like she is five, so it actually made sense.The interesting thing about Wreck-It Ralph's plot is that it has very little to do with an external conflict, but more with an internal one (which is a pun in itself because they are inside of video games). There is a main bad guy, and a huge disaster, and all of these other conflicts but these elements are back seat to the character development. I thought it was neat since most animated movies do the opposite. The voices for all of the characters were really well done. There weren't any annoying characters which adds to the movie. Another nice thing about the plot is that main bad guy is not revealed until the very end of the movie which focuses the plot on the characters, not the action or the villain.Overall a really great movie. Spectacular animation, great voice work, emotional and even touching at times, and overall humorous. While the Sugar Rush world might get slightly stale after awhile, it is still excellent movie. Gamers, this goes to you, WATCH THIS MOVIE!",9.0,Anonymous,"Animation, Comedy"
"A wonderful, nostalgic, and artful cinematic experience~","It's all fun and games at Litwak's Fun Center, until someone gets hurt. While this cliché'd line seems to reflect the simple plot in most movies (while the moral outcome does, too), the setting makes Wreck-it Ralph a wonderful, refreshing, and unique pleasure. Inside a family arcade, all the game characters (both old and new) are real, and travel among the other games when the doors have locked. Ralph, from Fix-it Felix Jr., desperately wished to be a good guy, and be rewarded, so he sets off in search of a medal. By doing this, he sets off a chain of events that puts multiple games at risk, and unveils a hidden threat.Disney has made this film equally accessible by both parents and children, and I find that wondrous. At times, Vanellope sounded quite mature, and at others, just like a tod. Soon, kids will squeal in excitement when they find a Fix-it Felix Jr. game, along with other last-gen arcade delights. In this way, the film has rendered itself timeless, if only in that small way. Although it doesn't feature many of the games themselves, you are able to see many characters, including retired ones.Being inside a game world gave the artists a great deal of freedom, but they didn't waste it. At every new turn, another extremely creative point would grab your attention, and I'm sure I missed many (which would enhance a second viewing). Another big enhancement is the 3D atmosphere. I doubted I would ever say this, but I urge you to see this in 3D, or turn around and go home. Because of all the pixel-related artwork, and 3D modeling, it is natural to have such a dimension added on. It's the perfect film to have it for!Now, for all the extra material surrounding the movie. Similar to Pixar, Disney has included an animated short right before, called ""The Paperman"". It doesn't feature any voice acting, but it's hilarious, and very well-made. I am sure you'll enjoy it. Second, the end credits are worth watching through, but not because there's an extra scene (there isn't one). It's only worth it for the visuals during the credits themselves, in 3D.In conclusion, Wreck-it Ralph is family-safe, and highly enjoyable. See it in 3D as soon as you can!",9.0,Anonymous,"Animation, Comedy"
Even better than I hoped....,"Got to see an advances screening of Wreck-it Ralph today. I had been waiting for at least a year for this film and it did not disappoint.I am a hardcore Disney fanboy and was before I even played my first video game. But I have to be honest, sometimes Disney doesn't get it. They see something is trending and an instant money maker and jump head first even if they don't understand the topic they're tackling.So it does make you wonder if they could really do justice to a film dedicated to something they really don't excel in. Video games are not Disney's strong suit(except for the rare cases like Kingdom Hearts, which really only succeeds, because they have little to nothing to do with the production). Trust me I've played enough cheap marketing/movie tie in/ buy it for your kid because of the characters on the box Disney games to know what I'm talking about.But Wreck-it Ralph nailed it. Start to Finish it is a love letter to gaming, made by people who understand games(and I highly suspect John Lasseter's role as Executive Producer greatly contributed to it's excellence).It really reminded me of why we love games. It's not the technology or the graphics or the marketing hype. It's what they make us feel. The broad range of emotions they extract from us as we immerse ourselves in their world. The joy of victory, the stinging pain of loss, laughter and even tears. I felt all of those in this movie.The world has become an ugly place and personally, my faith is what gets me through. But when you experience a game or a movie that takes you to an imaginative world where anything is possible, things start to seem a little brighter. Those stacks of paperwork you're facing seem smaller. The grisly news headlines get a little further away. That's what art and beauty do. They heal; help us see things in a better light. And I thank God for them.I didn't expect for the movie to get me waxing philosophical, but that's the kind of hairpin I am.Side notes: I was a little disappointed that they lingered SO long in one environment and I, frankly, find the crude humor tiresome. I thought the 3D was excellent, providing a nice immersive depth and texture without ever seeming gimicky( and I'm not a die hard 3D fan). Also, be sure to get there in time for the short at the beginning, Paper Man. Reminded me of classic Disney animated shorts, and that is not a bad thing.A few weeks ago I was leaving California Adventure Park and overheard a little boy talking to his father about Wreck-it Ralph. With the wide eyed enthusiasm of youth he said to his father, ""It's a movie about video games....who doesn't like that?"" Well said, kid, well said.",8.0,Anonymous,"Animation, Comedy"
Fantastic!,"I was supposed to be be seeing either Flight or Argo today, but to my disappointment I missed both showtimes, and I was in a tight time frame where I could see anything. So my friend really convinced me to check this one out. Boy, what a great time it was.Wreck-It Ralph is really wonderfully created. Its visual design is brilliant and its action pieces pretty amazing. The world it builds, and all of the little details from various video games, is pretty wonderful to look at and experience. Even some characters move in the precise way they actually do in video games. But what makes this gloriously colorful spectacle of a world work is the screenplay. The jokes hit all the right places, the characters are all lively and written with skill that goes beyond what we have come to expect from a simple kids' film like this. The few commercials and trailers I saw had been sure to let audiences know just how ""pretty"" this film looked, but what makes it a truly great film is that it has a great story and great dialogue to back up the visuals. The voice performances are pretty incredible, and perhaps because I recognized such people like Reily, Silverman, McBrayer, and Lynch, but even others did wonders with their characters.Overall, the film follows a clear pattern and formula for kids, but the real surprise is that none of it made me roll my eyes or cringe. It's incredibly entertaining and enjoyable for anyone. Pretty much everything is done in a very respectable manner, and the film hits greatness in the writing, direction, voice performances, and visual design. The only real flaw in it that I gathered was the inclusion of a Rihanna song, which really took me out of the world the film created and kinda put a plaster on it from pop culture. Or maybe it's because I hate the song... Still, this is another truly great animated film that does stand out from others this year in its own way, and one that's admirable and satisfying in all the best ways. I loved it. Highly recommended.",,Anonymous,"Animation, Comedy"
Even better than I'd hoped,"Let me start by saying this: I am the ideal demographic for this movie. I am in my early/mid 30s, I grew up with videos games starting with the ColecoVision 30 years ago, which is, in the movie, when Wreck-It Ralph was released. I still play games. I have a four-year-old son who plays games. He knows who Pac-Man, Zangief and Sonic are, and you can bet that on top of that I know who Sheng Long, Tapper, Q*Bert and Burger Time are.That's what makes me nervous about blanketly recommending this movie to everyone...not just that I'm obviously going to catch more references, in-jokes and cameos than the average movie goer, but that I'm going to recognize the archetypes they're playing off of and the mechanics they're referencing as the stories progresses.It feels a bit like Mallrats, in that I'm so ideally in the target demographic for the movie's release that I'm not sure I can accurately gauge how it will be received by people outside of that demographic.That said, I don't think you need to be a video game fan to enjoy this movie. It's a very well crafted movie with characters that are more Pixar than Disney. I was concerned that this was a ""Disney"" movie as I haven't seen a 3D CG ""Disney"" movie that can hold a candle to the Pixar and Dreamworks hits that I'm a huge fan of. And yet, for me, this movie was better than recent Pixar movies and better than Dreamworks movies, with characters and a story that felt worthy of of the Pixar name.I even greatly enjoyed the animated short at the beginning. Again, something I would expect more from a Pixar film than a Disney film. The whole theater experience for this film was a delight, all the way through to the very, very brief bonus scene at the end of a credits, which is something you really, really need to be a gaming nerd to get. (Gamers who have seen The King of Kong: A Fistful of Quarters will definitely get it.) I went into this film with high hopes and expectations, and I was blown away. My wife, who is not a gamer at all, enjoyed the film, and when my four-year-old son was asked by her what his favorite part was, he replied, ""Um... Every part! I liked the whole movie!"" That he was able to talk to her and I in great detail about the plot and characters while I was able to appreciate the whole film to the level I did as an adult speaks volumes to me about how well this story was told.If you played in arcades in the 1980s, if the games Q*Bert, Burgertime, Pac-Man, Street Fighter II and Sonic all mean something to you: You're enough of a gamer to appreciate all the references. If you have a youngster who's played video games, they're enough of a gamer to get the movie. And even if you aren't, while you may not relate to the subject matter the way I did, you're still in for an enjoyable story, with great characters, masterfully told.Highly recommended, and a 10 out of 10 for me, as I expect this will be on both my son's and my short list of favorite movies for years to come.",10.0,Anonymous,"Animation, Comedy"
Best animated film of 2012? Absolutely!,"I think 2012 has been a very good, even great, year for animation in that I don't think I have seen an animated film I've disliked. Wreck It Ralph for me was the best animated film from 2012(although it only came out yesterday in the UK I still class it as a 2012 film), tying with Tangled as the best Disney has done since The Hunchback of Notre Dame. It has something for children and adults alike, and I don't think you have to be a video game fan to like it(I'm not exactly, more of Disney myself, but am very familiar with them through my brother). The animation is wonderful, the characters move with no problem at all, the colours look gorgeous and the backgrounds are detailed, very like the very best of Pixar actually. The music, right from the tempos, rhythms, melodies, chord progressions and instrumentation, is full of energy and the songs are incredibly catchy. The writing is a perfect blend of humour and heart, the film is often hilarious and witty as well as heartfelt and touching in equal measures and the story is fast-paced and much more original than you'd think complete with energetic-but not too frantic- action. I like the Be Youself message, it is an important one and I personally didn't think it was heavy-handed. And of course any video game fan will love spotting the video game characters and references, there's plenty of them and all are colourfully evoked. I found it very easy to relate to Ralph, Fix-it Felix Jr is an amusing character and Vanellope is cute without being annoying or mawkish. The voice work is terrific, with the standout being the gruff vulnerability that John C Reilly brings to Ralph. In conclusion, a wonderful film and the best animated film of the year. 10/10 Bethany Cox",10.0,Anonymous,"Animation, Comedy"
"""Monsters Inc."" Set In a Video Game World","I did not really plan to watch ""Wreck It Ralph"" at all because I do not really like the recent Disney output. I am unfamiliar with the characters and the title and poster did not look attractive to me. However, with consistently good word-of-mouth reviews, I felt I had to give it a shot. And yes, ""Wreck It Ralph"" deserves its good reputation, and I am glad I got to see it.""Wreck It Ralph"" is the brutish gorilla-of-a-man villain of a arcade video game called ""Fix It Felix"". After thirty years of being thrown off the side of the building, Ralph feels he wanted to be the hero for a change. So he ventures outside his game to neighboring combat game ""Hero's Duty"" to earn his very own medal (as he sees Felix get a medal after each game).When he does get his medal, Ralph accidentally triggers a virus which attacks him and brings him into the Technicolor world of the racing game ""Sugar Rush"". There he meets the cute little glitch Vanellope who earnestly wants to join and win a race, but is not allowed to because of her imperfections. Can Ralph help Vanellope achieve her dream, save his video arcade world from viral destruction and be a real hero?While everything in ""Wreck It Ralph"" seemed new and original, I could not help but feel the spirit of ""Monsters Inc."" all throughout the film. It had the same basic story of a lonely but despised ""bad"" guy who does good and becomes a hero for a change. Even the interconnected world behind the video arcade (where all the characters had a life after the arcade closes for the night) is reminiscent of the labyrinthine world behind the closet doors in ""Monsters Inc.""Overall though, ""Wreck It Ralph"" remains to be fun and happy, with just the right dose of drama and action here and there to entertain viewers of all ages. The artwork of the characters and the settings is very colorful and visually arresting. This is definitely a contender for best animated feature film of the year.",7.0,Anonymous,"Animation, Comedy"
BRILLIANT! The best animated film of the year!,"Disney has made some really good animated movies, but they had never done a lot of movies that are as bright and original as Wreck-it Ralph, the new animated film from Disney. The movie centers on Ralph (voiced by John C. Reilly), the villain in the ""Fix-it Felix"" arcade game, who decides to become a hero. Because he doesn't like being a bad guy, he goes into some of the video games in order to learn what it's like to become a good guy. He also befriends a character known as Vanellope von Schweetz (voiced by Sarah Silverman) from a candy-coated racing game called ""Sugar Rush"". When Ralph accidentally unleashes a threat in the arcade, he tries his best to save the day and become a true hero.I had extremely high expectations for this movie. I had the feeling that this will turn out to be an excellent animated film. I thought the premise to this sounded really cool and clever – a love letter to video games. I really love the voice cast.So, did Wreck-it Ralph met my expectations? Absolutely! This was such a fun animated movie for all ages, and better than Disney/PIXAR's Brave (which was also very good).John C. Reilly delivered a strong performance as the title character, who wants to make a change in his life, achieve it, and become what he wants to be. That's what a great movie character is about. Sarah Silverman provides most of the movie's funny moments as one of the ""Sugar Rush"" characters who Ralph befriends, and is a ""glitch"" (a character who faults the game). She tries to get Ralph for help to become a racer once again. Jack McBrayer (from the hit-show, 30 Rock) has an amusing supporting role as Fix-it Felix, the main hero in the ""Fix-it Felix"" arcade game, who sets out to find Ralph and get him back to where he belongs. Jane Lynch does a great job playing the main character in a first-person shooter game known as ""Hero's Duty"", who tries to find Ralph, alongside Felix.I didn't see the movie in 3D; which I must say it does look pretty darn good in 3D, but I decided to stick with the 2D because of the sharp, pristine screen.The animation is simply wonderful; the bright colors, the set-ups, the environments, the characters all look fantastic. At times, the movie is very gorgeous to look at on the big screen.The characters in this were likable and funny. It was awesome to see some video game characters making cameos (like Bowser, Pac-Man, Sonic, etc.). The story to the movie is well-thought out and genuinely clever. It's always nice to see something new to the table. I really liked the themes to the movie: What does it mean to be a true hero? How can the main character's goal become a success? And so forth.Generally, movies from Disney and/or PIXAR give a lot heart into their stories, which makes the tone of the movie become very sweet. Wreck-it Ralph has enough heart to make it that way. From start to finish, this movie is a lot of fun, and when families bring their kids to see this movie, they're going to fall in love with it.10/10",10.0,Anonymous,"Animation, Comedy"
"Fresh Story full of Familiar Flavor, Wreck-It Ralph is nostalgically entertaining","Wreck-it Ralph is Hollywood's latest foray in to the subculture world of gaming---a world that Hollywood essentially knows nothing about, with examples I refuse to mention so I don't have the sensation of throwing up. Except this time its Disney turning on the nostalgia while delivering a fresh story that involves a mixing of classic-style arcade games with the new-school arcade hits that we currently see. So what we have is a pure gamer movie, right?Not quite. It is not a gamer's movie, it is really an animated movie with many, many nods to the world of arcade and console gaming. There is a major difference. You don't have the pacing, style, mood, and tone of a video game here unlike the visually stimulating whirlwind of a trip we experienced in Scott Pilgrim vs. the World. Instead you have a movie with a major Disney touch and essentially becoming the modern-day version of Who Framed Roger Rabbit---a new cast of characters being joined by dozens of cameos from old-school favorites.Don't let this statement deter you, just let it allow you to hover your mind around the fact that the cameos you saw in the trailer was not a sample, it was a display of the entire menu. Luckily for this movie, the cast of characters featured are very likable, have their moments to shine, and do propel the movie forward when the plot (and amount of references) gets stuck in the mud. From the lovable baddie Wreck-It Ralph to the adorably filthy and sarcastic Vannelope (brilliantly executed by Sarah Silverman, an underrated comedic gem), you will feel for the characters much like when you immerse yourself in a gigantic video game. You will root for the two as they both fight for a place in gaming society, in a world that mistreats the outcasts, gaming villains, and anything too retro.In a sort of ironic twist, Disney and Nintendo (the current gaming leader) are very alike in mannerisms, and also very similar in how their audience reach prevents them from fulfilling their true potential. With Nintendo they aim to remain looking hardcore while attempting to reach out into the mainstream. With Wreck-It Ralph, it was a kids movie full of sight and verbal gags that will giggle the children and tweens while severely pushing heavy and subtle gaming references to the 80s, 90s, and gamers of today even. There is a Leroy Jenkins reference for crying out loud. Surely everyone gets their spoonful of fun, but it prevents the movie from truly pushing towards something edgy, something more.But what they do deliver, is a delightful movie that is chock full of nostalgia and originality. This awkward mix works for the company that saved the gaming industry, and works for the film that celebrates it.",7.0,Anonymous,"Animation, Comedy"
By far one of their greatest work in quite some time,"I have to say that I was a bit surprised to see how well this was thought out, the director and the animators put their hearts and souls into making this movie with their special effects and amazing plot line laced with funny humor for both ages (young with the new-gen gaming and the old with retro-gaming). But not only is it funny, but very well thought out and well played.The characters were very well thought out and planned to show how it would be if a old-styled video game character would do in the after-hours when no one was around, they opened the door to a untapped imagination that blew me away. The originality behind the video game characters brings the term nostalgic to a whole new level.They also did an amazing job with the little girl named Vanellope and how her story unfolded, with surprising twists and turns to keep things rather interesting. Not only did they did a great job on the plot but also on the aesthetics of visual effects and gestures as well; Vanellope's character really blossomed because of this (as well as the other characters too).Ralph is one of those characters that you kinda hate being around with and shows that off by his enormous size (and his ape-like hands), he's a bad guy by code but he shows that when there's a will there's a way and Ralph eventually figures it out sprinkled with laughs along his crazy journey to save the day.An amazing job on the visuals, the story line, the character development, the overall plot, and most of all is how they managed to weave all these threads together into a solid movie for everyone. One of Disney's greatest works to be produced in a rather long time and really worth seeing again and again.",10.0,Anonymous,"Animation, Comedy"
