title,content,rating,username,genres
Another X-ellent movie!,"Some people would tell you that X2 is more conventional and mainstream than the first movie and to that I can only say: What a load of rubbish! Not only does X2 continue in the style set by the first film but it also improves on it greatly. This is achieved by adding more characters, making a deeper story and making the ever expanding universe even more chaotic so as better to capture the essence of the comic book. Two thumbs way up! The story picks up after the events of the first film in a way that pleases the viewers of the first film and is satisfactory to new viewers. The story is still well written and the pacing has improved a lot from the first film. There are no real slow points during the movie and the director takes special care to cram many of the scenes with breath taking visual effects so the audience will never lose interest. The dialog is once again both very sharp and witty and intelligent and allows for adequate character development. The character development is something some people have seen fit to criticize as they claim there isn't enough of it and except for only two characters I whole heartedly disagree. The character development of the main characters happened pretty much in the first film and therefore it is only necessary to add a bit more depth to the characters instead of repeating the character development from the first film. I did feel, however, that the film seemed somewhat rushed at times and that is a shame as it definitely had potential to be a 2½ hour film.The acting is still sublime and I, of course, have to emphasize Hugh Jackman who is still absolutely brilliant as Wolverine. Both in bringing out the animal sides during the fight sequences but also in keeping the character human like in the comics. Ian McKellen returns as well and further fleshes out his character of Magneto and makes the character every bit as devious and charismatic as in the previous film. Patrick Stewart returns as well and does what he did in the first film and he is still the only one who could play Xavier. Among the new actors are Brian Cox and Alan Cumming. Cox does what he does best and plays the new villain with the exaggerated style he usually does. Cumming on the other hand shows remarkable depth as Nightcrawler and is in spite of his appearance one of the most human characters in the film. I will miss him in the third film. Lets hope Beast is any bit as good as in the comics. Some have had their characters lessened in the sequel. Most notably James Marsden while Famke Jansen's character is developed further. Halle Berry's character Storm is still kept in the background but I'm sure she will get more screen time in the third film. Aside from the ones I have now mentioned the acting is quite good all round.Action wise the film took a major step up from the first film and many of the action scenes are quite simply awesome. We get to see more of Wolverine's feral rage which is always worth a look. All fights scenes with Wolverine are awesome and some of the most entertaining I've seen. Also we get a brief glimpse of Collosus kicking some ass and he does look cool I must say. In fact many of the individual mutants' powers are fleshed out in X2 and like in the original X-Men film they look absolutely beautiful. My only concern regarding the effects and action scenes is how on earth they are going to top them in the coming third X-Men film.In regards to music and sound the film improved upon the first film with a much more catchy soundtrack and more audible effects. For example the sounds of Wolverine's claws shooting out and retracting have been amplified making him even more menacing than he was in the first film. Very well done.All in all X2 is an excellent continuation of the original film and we are nearing something that is more like a saga than a series of films. I'm really beginning to see Bryan Singer as a master director after these two brilliant films and I am a little sad he opted to do Superman Returns rather than finish what he started with the X-Men films.8/10",8.0,Anonymous,"Action, Sci-Fi"
Better than the first film,"Not that the first film was bad, because actually I still found it good, well-made fun for all its flaws. It's just that whereas the first X-Men film did feel like the beginning of a franchise that was yet to properly find its feet, it was found with X2. X2 isn't perfect either but still a very good film that is bigger and darker than the first and all the better for it. Again X2 is very well-made, with the dark visual style still maintained yet with a slightly grander look. The photography is beautiful and atmospheric, and the special effects are better here too, they were good in the first that they're slicker, bolder and eye-popping in the way that the first film didn't quite but almost did achieve. Whilst Michael Kamen's score in the first was fine, John Ottman's score here is an improvement being more in tune with the atmosphere and what's happening in the story.The script is even sharper here and with more depth, the humour and comic one-liners are witty and genuinely funny, they are not cheesy or out-of-place nor are they too much. There is a melancholic tone too that is dark and quite poignant and the romantic elements are sweet but never too soap-opera-ish. The story is where the darker and bigger terms most apply, apart from a couple of parts that could have slowed down and explained themselves more you are glued to your seat almost the entire time and emotionally connect with scenes and characters too. The assault on the White House sequence is exciting and a brilliant way to start the film, and it is true that the climax here puts the climax of the first in the shade, it's not contrived in the slightest and you are biting your nails. X2 does a great job mostly with the characters, where they are more complex and relatable.Although once again Storm and Cyclops are underdeveloped, otherwise Wolverine is a gritty and identifiable anti-hero, and of the other characters Nightcrawler was most effective. Though once again credit is due for making Magneto much more than a stereotypical villain. X2 is very well played by the cast, with the standouts being Hugh Jackman's charismatic Wolverine, Ian McKellen's menacing Magneto with shades of melancholy, Alan Cumming's camp yet affecting Nightcrawler and Brian Cox who plays Stryker with relish without falling into cliché territory. Also good are Rebecca Romijin-Stamos who continues to be sexy and icy, and her transformation sequences are among the visual highlights of the film and Patrick Stewart still is cool and fun though his screen time should have been longer.Only three cast members don't quite work, and they were James Marsden who's even stiffer than he was in the first(not helped by his character not been used as well as he could have been), Halle Berry who looks bored and Shawn Ashmore does look awkward at times. Other than a couple of rushed, under-explained parts, a couple of characters given short shrift and a couple of performances that didn't quite make the grade the film is a touch overlength, but the film on the whole is very good and lots of fun in its own right. It compares extremely favourably to the first film and manages to be better than it. 8/10 Bethany Cox",8.0,Anonymous,"Action, Sci-Fi"
"""Sometimes the mind needs to discover things for itself.""","2000's smash hit X-Men certainly deserved a sequel (or two, or three), especially with all the cash it made and how the first one ended. Now the X-Men are back together once again, and this time they've got some new friends, including Nightcrawler and Pyro, and as well as some new enemies like William Stryker and Lady Deathstrike (his personal mutant ""assistant""/slave). This time the X-Men find themselves locked in an unlikely alliance with Magneto and Mystique (their nemeses from the first film) against an evil military scientist named William Stryker, whose main goal is to eradicate the world of mutants once and for all.X2: X-Men United is in many ways an improvement over the first film. It's more psychological, it's longer, there's more action, more mutants, more of Wolverine slicing it up and like the first film it's never boring or drags, right from the get-go X2 is fierce and exciting. In fact, X2 is almost the perfect comic book film almost. The one little, weak link in X2, for me at least, was Nightcrawler. Now, I like the character of Nightcrawler, but I honestly didn't care that much for Alan Cumming, he came off as a bit weak, and kind of ""dorky"". The character of Nightcrawler really just seems like a huge convenience to the plot; like the scene where he rescues Rogue in the X-Jet, which was oh so very convenient. But the one thing I liked about Nightcrawler, besides that awesome opening sequence in the White House, was his religious side, which I thought was interesting and made me sympathize with the character a little more.Pretty much everything in X2 works perfectly fine, which I attribute all that success to the amazing cast (Jackman, McKellen, Stewart, Marsden, Janssen, Berry, Paquin, Cox, Romijn), and the fact that the film was written and directed by the same people who clearly knew what they were doing back in 2000, and here they show us once again they still know what they're doing, and they aren't afraid to up the ante and take it up a notch. If you liked the first X-Men there's really no reason at all why wouldn't enjoy or like X2 as much, or maybe even more than the first film. It still has those surprising moments of humor, and plenty of action, maybe even more so than the original. And like the original, X2 sets itself up for a third film; let's just hope it turns out (at the very least) as good as the first two films, if not better.",7.0,Anonymous,"Action, Sci-Fi"
"After Watching This, Roll On X-Men 3","Absolutely happy! That is the only word I can use to describe my feelings after spending my hard-earned money to see X-Men 2. It was worth every penny.Firstly, the makers of superhero films such as this have an unenviable task. They have to please hardcore comic fans and casual movie fans which is no easy task. And The X-Men-with their forty years of history and continuity-are perhaps the hardest heroes to put on the big screen. Well, I've spoken to many hardcore X-fans and casual movie fans and they all enjoyed it too.I won't go into great detail about the plot. Let's just say that The X-Men and their enemy Magneto have to join forces to combat an even bigger threat. I enjoyed this movie so much because for the first time in years, I didn't read ANYTHING about the plot or any reviews prior to viewing it. That is why I'm not going to go into great detail about the plot. Just enjoy it.All the favourites are back including my personal favourite Hugh Jackman as Wolverine (I hope Wolverine gets his own movie franchise one day). The makers of this movie have done a great job in making sure various characters get the right amount of screen time. We'd all love our favourites to get more screentime but with so many X-Men (and women), the producers have to do the best they can; and they do indeed.There are a few really great special effects in this movie but unlike some special effects laden movies, the plot is more important in this movie. Furthermore, the movie is much deeper and really makes you think. Marvel comics (and movies) have always been deep and many of the issues have reflected real life. This movie is about persecution and intolerance of mutants and reflects many issues from the past and the present such as Hitler's treatment of the Jews and the different ideologies of Martin Luthor King and Malcom X. In fact, many longtime X-fans have compared the X-Men's Professor X to Martin Luthor King and the evil Magneto to Malcom X. Seeing a movie like this cannot only provide a couple of hours of entertainment but make you view society in a totally different way.This is the best superhero film since the 70's (when we saw gems such as Superman The Movie) and the 80's (when we saw Tim Burton's Batman). It was a fantastic film but it begs one question-how are they ever going to top this?",,Anonymous,"Action, Sci-Fi"
A few problems in an otherwise excellent film,"They've done a hell of a lot right. That's my response to Singer's X-Men films; they're slick, funny, emotive and a real blast to watch. Without overdrawn character introductions and explanations, X2 launches right into seventh gear and doesn't let up.Admirably, the film allows the majority of its characters a genuinely engaging storyline amongst the bigger picture, and although the story is not without its fault (using Cerebro as a major plot point two films in a row is like building the second Death Star in Return of the Jedi; been there, seen it before) it is certainly worthy of high praise. It's amazing that in just two films we already have a real appreciation for the relationships between such a considerable group of characters, and it is for the continued development of these relationships - and not the cool story line and action sequences - that makes me look forward to another X-film.I would love to say that it's the casting that makes the films so brilliant - and it's true, the casting is great - but a couple of these characters have been woefully miscast. Iceman stood out for me, bringing an uncomfortable Backstreet Boy vibe to the role, and although his role in X2 is small, James Marsden just doesn't seem to have it in him to hold a commanding and authoritative position among the X-sters as Cyclops. In the first X-film he managed to at least stand beside the Wolverine with some great gags, but he's been left in the gutter for X2, and in the single scene toward the end of the film where Marsden is allowed to genuinely act, his emotional response feels awkward and forced. I am sure he is capable of more than this, and hopefully when X-Men 3 comes around he'll have more to work with. I've never been happy with Halle Berry as Storm, and she looks bored out of her skull in this film. I hope not to see her return.Thankfully, most of Singer's new cast are admirable. The recast Pyro is great and Nightcrawler is fantastic. In fact, Alan is the only actor in the film who comes close to matching the quality of Jackman's Wolverine and McKellen's Magneto. These wonderful actors all appear to genuinely revel in portraying their characters. Janssen steps her performance up a notch too and it helps the film no end. I really hope to see her in the next film.Ultimately, there are just a few slip-ups here in an otherwise classy and supremely entertaining film. With such an established canon of characters everyone is going to have their own opinion on how particular character should be portrayed, and for the most part X-2 does the job. Hopefully the bugs will be ironed out and we'll see a sequel of equal or greater quality in a few years. I'm certainly excited at the prospect.",7.0,Anonymous,"Action, Sci-Fi"
One of the best sequels to date!,"The X-Men has always been my favorite comic book, without a doubt. Spider-man is probably in second place, but The X-Men take the cake.  Ever since I heard a sequel was going into the works and Bryan Singer was still on board as director, I had faith that he would do the sequel justice...of course I couldn't help but have that looming fear that something would go wrong.  In the end, the film was released and of course, I wasted no time in getting to the theater to see it on opening day.After seeing the film, I can definitely say it's been a long time since I've come out of a movie theater as happy as I did for this film.  The story was absolutely brilliant and was told in the perfect manner to keep you interested.  ...And of course, there are plenty of new characters and action to keep the audience in awe as well.Nightcrawler was a truly brilliant character to bring into the sequel of the film.  Nightcrawler (Kurt Wagner) has always been one of favorite X-Men characters, perhaps even more than Wolverine...but that's up for debate. Teleportation has GOT to be one of the coolest and most interesting ideas for a mutant ability!  I was incredibly stoked to see him brought to life on the big screen, Bryan Singer and Alan Cumming did a FANTASTIC job!  Next to Wolverine, Colossus has also got to be one of my favorite characters.  I can't even begin to express how happy I was to see him in the film...although not NEARLY enough was done with him when there was so much potential for his abilities in the film.  Oh well, there's always X-Men 3 right?  The other two new characters, Pyro (John Allerdyce) and Lady Deathstrike (Yuriko Oyama) were very well done as well, although not much of their character histories were explained...which is ok, there is only so much time in a film.  The rest of the characters already had a firm basis from the previous film and were all executed extremely well in this sequel, my hat is off to Mr. Bryan Singer, ""Keep up the good work!""The entire cast was absolutely perfect for the film.  Ian McKellan, Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen, James Marsden, Rebecca Romijn-Stamos, Brian Cox, Alan Cumming, Bruce Davison, Anna Paquin, Kelly Hu, Aaron Stanford, Shawn Ashmore, and Daniel Cudmore all did incredible jobs with their roles and should be proud of their work, truly fantastic.The story in this sequel is great.  I love the idea of the good and the bad having an equal threat and being forced to work together in order to save them all.  The chemistry and the relationship between Erik Lehnsherr (Magneto) and Professor Charles Xavier is so bizarre and interesting...and very thought provoking.  There are so many interesting and well done relationships between characters in the film: Logan (Wolverine) - Scott Summers (Cyclops), Rogue - Bobby Drake (Iceman), Jean Grey - Scott Summers (Cyclops) and Jean Grey - Logan (Wolverine) to name a few.  I love just watching them all interact with each other.What it all boils down to is this, if you liked the first film, then you should definitely like this film.  I'm not sure I could say I liked X2 better than the original, but I'd definitely feel comfortable saying it was just as good...and better in certain aspects (but not as a whole).I would definitely recommend seeing this film in the theater or at least rent it when it's released, it's well worth your time.  This film isn't all about super-heroes, action and fantasy, there is a lot more to it than just that and I hope you can see and appreciate that.  I do hope that you enjoy the film as much as I do and thank you for reading my review, be sure to read my review for the first ""X-Men"".-ChrisP.S.  They better start crackin' on a X3 right away!Also..here's some interesting trivia for ya.  In the scene where Mystique is finding out where Magneto is being held she is scrolling through a bunch of names, the name above Lensherr, Erik (Magneto) is LeBeau, Remy...aka ""Gambit""...nice little touch there, I didn't get a look at the other names there, but there might be more allusions there.  Another cool thing is in the scene where the security guard is in the bar, there is a TV on in the background with a guy named Hank McCoy talking...Hank McCoy later becomes known as ""Beast"".  Pretty cool huh...",10.0,Anonymous,"Action, Sci-Fi"
Not as Keen About it as Most,"Unlike many others I didn't enjoy this sequel as much as the first film. I found the story here to be very underdeveloped and mutants powers needed to be sort of edited along the way to make the plot go the way intended. In other words it felt a lot like patchwork. I didn't really learn anything more about the characters than I did in the first one, which you really should with a 2 hour plus film. The Wolverine, cyclops , Jean , love trio doesn't really work for me. None of them are very good at acting it out and it just feels extremely forced. Professor Xavier's role is minimized and I just wish he could be used more .Magneto of course is an excellent villain played by the perfect actor. He's sneaky yet subtle and delivers his lines brilliantly. Stryker on the other hand is kind of a run of the mill villain and not particularly memorable.Overall this movie is still so much better than a lot of the Marvel stuff we get now, but that really isn't saying much.It still certainly encourages you to watch the next one in the series.",6.0,Anonymous,"Action, Sci-Fi"
X2: Mutation Moves On,"After the success of the first movie, Bryan Singer brings the X-Men back to the screen. He has stated X2 is the X-version of The Empire Strikes Back. He's not totally wrong: like Empire, X2 is darker than its predecessor, characters are developed and dealt with in a more mature way, and the foreboding climax is quite shocking indeed (there's even a ""I am your father""-style revelation concerning Wolverine's past, which is given more space here than in the first chapter). In fact, the movie could have been named X2: Humanity Strikes Back.That's right, this time it's the ""ordinary"" people who are raising hell, in particular William Stryker (Brian Cox), a military scientist who takes advantage of the increasing paranoia surrounding mutants and has the POTUS himself approve his plan to take down the ""monsters"" once and for all. The war is about to begin, and with Professor X (Patrick Stewart) and Cyclops (James Marsden) gone, the only X-Men left to face Stryker are Jean Grey (Famke Janssen), Storm (Halle Berry) and Wolverine (Hugh Jackman), with some help from Rogue (Anna Paquin) and Iceman (Shawn Ashmore). They are eventually joined by a former employee of Stryker's, the blue-skinned teleporter Nightcrawler (Alan Cumming), as well as the most unlikely ally around: Magneto (Ian McKellen), who has managed to escape from the plastic prison he was locked up in (the break-out plays like the Marvel version of Hannibal Lecter's escape in The Silence of the Lambs, and yes, that is a compliment).The plot is loosely based on the famous graphic novel God Loves, Man Kills by X-guru Chris Calremont (the villain and the alliance with Magneto are explicitly taken from that story), but Singer makes it all much more apocalyptic (Stryker was simply a preacher in the comic-book), while also having the time to take a look at some of the first film's subplots: the Wolverine-Jean-Cyclops love triangle is taken to a new, unexpected level and the Canadian mutant's forgotten ""origin"" starts getting slowly unveiled (Wolverine: ""Who are you?""; Stryker: ""Don't you remember?""). Jackman is the standout in this movie, as we finally get to see everybody's favorite X-fella lose it and make the bad guys regret they showed up in the first place. Those sequences are a treat for those who have grown up loving Wolverine and his dual, conflicted nature. Another actor who leaves a memorable impression is Cumming with his portrayal of Nightcrawler, one of the mutants people fear the most (he looks like a demon), but also the one who's most willing to forgive mankind for its mistakes.So, with all the great acting, good writing and clever direction, no wonder X2 was voted the greatest comic-book movie ever before Spider-Man 2 and Batman Begins were released. This is one superhero opus you won't want to miss.9,5/10",10.0,Anonymous,"Action, Sci-Fi"
Entertaining but a little chaotic,"I did enjoy this sequel I admit, but I think I'm the minority when I say that its not quite as good as the first film. The first X-men introduced us to a handful (Or two) of mutant characters and we learned about each one of them. The focus of the story was aimed at one thing but here in the sequel they have added so many more mutant characters that the main story is almost forgotten in a windstorm of action scenes. Anna Paquin as Rogue has hardly anything to do here except be frustrated at not being able to be intimate with her boyfriend. This film is definitely geared at a young audience with a lot of the characters being of the teen variety. Halle Berry as Storm is another casualty where her big mission in this film is to get children out of a tunnel. She is absolutely wasted and didn't director Bryan Singer have a better written character for this Oscar winner? The things that I think help the film for me is the mutant Mystique (Rebecca Romijn-Stamos) who is so sexy and strong that even when she's just standing there doing nothing you can't take your eyes off her. If they ever do a film with just her, I'm sold! Their is two performances that stood out for me and the first one is by Famke Janssen who plays Dr. Jean Grey. Its the best written role in the film and she shows real human complexities, she's not just a comic book figure. She's having problems with her telekinetic abilities because of the dreams she's been having and she's also torn between her relationship to two others. The other performance is by Patrick Stewart as Professor Charles Xavier who runs the school. He doesn't just posture and allow special effects to run his character, Stewart is too well trained an actor to allow that. In a scene at the end of the film his character is staring out a window reflecting on what has happened and what the future may hold. Even with all the impressive special effects in this film, that scene of Stewart leaves the most indelible image for me. I hope if or when they make another sequel that they try and keep just the main characters as the focus so the overall point of the film doesn't get lost like it seemed to in this film. Of all the new characters introduced here the one I liked the most was Kurt Wagner/Nightcrawler played by Alan Cumming. Entertaining film but has way to much going on in such a short amount of time. Lets hope they tone everything down the next time.",6.0,Anonymous,"Action, Sci-Fi"
why all the underrating?,"A lot has been said about this movie, as is the case with many recent Hollywood comics adaptations. While I truly respect everyone's opinion, I really don't see the point in some criticisms brought up against this movie.(Definitely NO spoilers ahead.)First of all, we must realize that X-men comics have been around for decades. They existed before many of you were born. Still, the producers had to assume that the average audience had little or no idea about the mutant phenomenon, but Bryan singer did a very good job (as always) in the first film, and introduced the audience. Besides, adapting such a story with so many characters to the screen is no easy job, and is also risky, considering it's Hollywood and it must return all those millions. So the mutant phenomenon was well explained, the characters and their abilities introduced, and the plot (which actually had a story, unlike many action flicks) was carried out smoothly. All in the running time of one film. good job.The second film, however, had to concentrate (naturally) on more characters and a more thorough story. This is why I object (in the title) to people criticising this film for ""lack of character development"" etc. Many of the characters WERE developed in the first film. If you never read x-men comics, and did not even see the first movie, and see this one right away and still expect the director/writer to spell things out for you, well, you'll be disappointed. ""Where did Colossus take the kids during the attack?"" someone asked. To hide them somewhere, THAT'S where he took them. I don't think people would like to see the director spell out everything, such as Colossus' inner voice saying, ""Well, let me take these kids somewhere beneath this multimillion dollar facility, to hide them from the bad guys.""And the newly-introduced characters were introduced well enough. You see their abilities, you see whose side they're on, you even learn more about their personalities as the movie progresses. What else do you need to learn? Which team he supports?The highlight of the film was definitely Mystique's transformation scenes, very well done.The movie had many shortcomings, of course, the pace slowed down more than once, some main characters, especially Cyclops, were almost lost, but the plusses were way more than minuses. Especially Nightcrawler, who almost stole the lead from Wolverine. I must also add that Wolverine is much more violent in this film than the first, much more like the original comic character.As for the people who complain about the abundance of characters. Well, bad news for you. X-men is not a story of a couple of guys and their girlfriends. There are much more characters, hopefully to be seen in the next sequel(s). Jubilee, Pyro and Colossus were all hinted in this one. Though I'm eager to see Gambit also, I can't wait to see how they will do the Beast. Of course, I can see the ""no character development"" people asking each other, ""Who is Beast?""In short, this movie does what it's supposed to do: Gives us entertainment, and shows us our favorite characters on screen.",,Anonymous,"Action, Sci-Fi"
