title,content,rating,username,genres
"A prequel that does not, in any way, suck. Amazing, isn't it?","There came a point, about half way through this film, when I emerged from the world of wonder on screen, took stock of my emotions in that instant, and realized that yes, by God, I am LOVING this movie.I didn't really expect to, of course -- although certainly, I hoped for it. With such an incredible cast, an able director at the helm, a story of Bryan Singer provenance and the inclusion of some of my favorite, if lesser known, X-types (Darwin! Tempest! Havok!), I was eager to see this beloved band of merry Marvel mutants redeem themselves after the massive failures of X3 and X-MEN ORIGINS: WOLVERINE.Which they do. And how!One thing that the avid comic fan must do when approaching this movie, however, is to divorce themselves utterly from almost all established four-color X-Men continuity. Oh, some bears up, but by and large this is a whole new origin story, a reboot of epic proportions, and yet it is a retcon so cleverly done, and one that offers up a such a delicious mélange of complex relationships and sensible motivation, that all of the many discrepancies inherent in having Mystique on the side of good or having Moira McTaggert a CIA agent simply do not matter.Speaking of McTaggert, Rose Byrne is both comely and convincing in the role, and almost every other actor is perfectly, one might almost say forcefully, cast. McAvoy brings a kind of laddish charm to Charles Xavier that he mixes nicely with both decency and naïveté, and Michael Fassbender's nascent Magneto is relentlessly, even heart-breakingly, compelling. Their chemistry is electric -- theirs' is one of the most multi-faceted and sincere bromances the screen has seen in a good long while.The younger cast all impress, though particular praise must go to Oscar-nominee Jennifer Lawrence as the petulant but pitiable Raven/Mystique (The Academy Awards have been good to young, hot X-chicks; let us not forget that Rogue herself, Anna Paquin, won for THE PIANO). Former child star Nicholas Hoult is also outstanding as the troubled Hank McCoy, and perhaps the most surprising kudos must go to teenage dream Lucas Till, who conveys the particular anti-social asshole-hood of the turbulent Alex Summers very convincingly indeed.The biggest letdown in the movie, acting-wise, is January Jones as Emma Frost. True, she is appropriately ravishing, there can be no denying that, but she lacks the the zing of the written character. There is very little intelligence, snark, or even personality behind her interpretation of this most intriguing of mutants; she's just kind of Stand There and Look Pretty -- which, for one playing Emma Frost, is something a travesty.The only other weight under which this movie really labors is the fact that it is a prequel, and it therefore suffers from the feeling of inevitability that besets all such endeavors. Anakin Skywalker HAS to go Dark Side. Bilbo Baggins HAS to find the One Ring. And Magneto HAS to turn against humans; Mystique HAS to join him; Xavier HAS to end up in a wheelchair. With these definite plot developments looming, their eventuation is bound to be a bit of an anti-climax.And yet the fun part about X-MEN: FIRST CLASS is the journey it takes us on to get us there. Offering up plenty of surprises, some kickass action sequences, mighty fine special effects, sly humor and a killer cameo, it is without doubt the best comic book movie of the year – nay, decade – thus far. And considering how overcrowded that list is, this is really saying Something.Huh. A prequel that does not, in any way, suck.Amazing, isn't it?-- Rachel Hyland, geekspeakmagazine.com",9.0,Anonymous,"Action, Adventure, Sci-Fi"
A franchise is reborn...,"Beginning with a crime-thriller and a fantasy film on his directorial résumé, it is safe to say that Matthew Vaughn may have already found his niche genre in the super-hero field despite only directing four films in seven years. His first super-hero project, 'Kick Ass,' opened in 2010 to solid critical acclaim and a finalized gross of three times the film's ordinary $30 million dollar budget. And after only two years, Vaughn returns with 'X-Men: First Class,' an origins story to accompany the Bryan Singer/Brett Ratner X-Men trilogy released between 2000 and 2006. It's intelligent, enthralling, well-acted, stylishly directed, and most importantly by focusing heavily upon the relationship between the two central protagonists, it does not feel like a conventional super-hero film.Set within the political context of the Cuban Missile Crisis in the early 1960's, Charles Xavier (James McAvoy) is an up-and-coming Professor whose life is drastically altered when he is introduced to the other members of society who also share the same mutant gene as himself that supplies them with super-human abilities and traits. After stumbling upon the shape-shifting Raven (Jennifer Lawrence) within his mansion, the telepathic Xavier then encounters Erik Lehnsherr (Michael Fassbender), the son of Jewish parents who were murdered during the holocaust by the narcissistic former Nazi scientist, Sebastian Shaw (Kevin Bacon). Erik, who can manipulate all metal objects around himself, wants retribution and nothing more from Sebastian who is now a successful and evil underground figurehead who commands a team of mutants (Azazel, Emma Frost and Riptide) to do his bidding for him. But, once his plan for world domination is revealed, they find that it far exceeds the constraints of humanity, and Xavier, Erik and a rag-tag band of young, hide-away mutants (Havok, Beast, Darwin, Angel and Banshee) who were discovered by Charles, must combine their powers in one last attempt to stop Shaw from destroying the planet and humanity as a whole.Instantly where 'X-Men: First Class' works is in regards to its two central characters; Charles Xavier played by an incredibly affluently sounding James McAvoy and a rage-fuelled Erik Lehnsherr played by a stern-faced Michael Fassbender. Their instant on-screen chemistry provides the drive and ammunition for the plot to carry itself forward. Both characters have differing ideologies and their constant clashes due to this aspect allow the script to be brought to life. Instead of simply infusing their relationship with formulaic violent clashes, Vaughn has instead opted for more articulated verbal battles between the two characters regarding their stance within the society they are now becoming a part of. Xavier is an intellectual being who believes that humans will eventually be accepted within society as equals alongside humans, while Lenhsherr believes that mutants will always be hunted and unable to live peacefully side-by-side with the human race, his evidence for this resides in the anti-Semitism and hatred he received at the hands of the Nazi party during the holocaust. This heavy-set contradiction in ideologies allows their relationship to be imbued with pessimism, while they may be shown as friends and fighting together initially, fans of the comic books and films in general know this does eventually turn into a bitter rivalry and it's this development which drives the plot forward.Aside from the script, it would also be rude to not praise the action-sequences which take place within the confines of the 1960's X-Men universe. With a modest running time at two hours and ten minutes, there are more than a few well-choreographed action sequences that would adequately satisfy any of comic-book-to-film aficionado's wishing to see this film. Each character's power or ability is at some point represented in a destructive or defensive capacity, taking full advantage of the fact that while many super-hero movies tend to concentrate on the aesthetic nature of the artillery characters can be seen to withstand from governmental agencies or blindsided human opponents, here it is shown and constantly emphasized that human reaction would be futile due to the overwhelming power the mutants possess. These scenes also allow the less important characters to show their physical presence on-screen. For example, during the climactic fight sequence at the conclusion of the film, every mutant character that is identified to the audience is finally shown using their abilities to full capacity, most notably the henchmen of Shaw and the rag-tag team of Xavier and Lehnsherr. This therefore accounts slightly for the lack of depth that has been attempted in these secondary characters due to the time and story constraints.While it is a very good and accessible comic-book/super-hero movie, 'X-Men' does also contain two central flaws. The first is superseded in a way by the strength of both McAvoy and Fassbenders performances, as Kevin Bacon is constantly overshadowed as the one-dimensional antagonist of the piece. His plot to ultimately destroy humanity becomes second fiddle to the ever intricate complex relationship between Xavier and Lehnsherr, and his appearance seems too modelled upon that of a James Bond villain. He has the slick hair, the beautiful women and the villainous underground Club to boot, but Bacon unfortunately doesn't have the charisma to be accepted as a worthy opponent to the protagonists. The other flaw has to do with a minor aspect of the production itself, as the non-diegetic music, most notably during the action sequences, begins to diminish in its impact as the film carries on, leading to it eventually becoming the generic, genre-related fanfare associated with the conventional comic-book films.'X-Men: First Class,' is not your typical comic-book movie, it may contain certain elements associated with the comic-book genre, but by placing a heavy emphasis upon the strength of the plot and the script at the film's core instead of the action-set-pieces taking place, Vaughn has intended, and succeeded, in transcending the stereotypical conventions of the genre and has created a film which will appeal to a wide range of audience members.",8.0,Anonymous,"Action, Adventure, Sci-Fi"
Almost pitch-perfect!.... An X-tremely good job!,"What stands out in this movie (besides the look of some of the mutants), is the clever way in which all the pieces fall into place as a prequel which cements the backdrop and tone for the previous X-men offers. This one however, stands above them though for the consideration and tact that has gone into developing these understandably complex characters. Resulting in a more complete movie experience.The leading cast do a brilliant job in giving you a sense of their conflict with ingredients such as prejudice, ignorance, a sense of belonging and bitter revenge giving the film a more humane feel than a lot of dramas allowing you to connect with the characters more easily.The special effects- lets not forget, are top notch as expected, but surprisingly very in-keeping with the film and doesn't take away from the other elements of it. The violence is clean but present, pitched right between a young and adult audience. There's also a decent amount of ironic humour thrown in, which, considering the party tricks on offer (by that I mean the powers and peculiarities of the mutants), just comes and goes naturally without feeling forced as like a lot of comedy moments in films of late.Bottom-line, this is a well-constructed, well acted Marvel film. I wasn't totally convinced beforehand, casting James McAvoy as the young Xavier, a full head of hair and northern accent doesn't seem the best fit after all. I can say that he fully realised that role and showed his range in playing a more commanding lead. Michael Fassbender has great screen presence and does a good shift as the Magneto to-be and Mr Bacon adds another interesting element to the story. All the supporting cast give a solid performance with everyone focused on the exciting job at hand and no weak links.Easily worth the cinema admission and thank god they didn't make it in hit-and-miss 3d, there's just no need! The best of the X-men franchise.",9.0,Anonymous,"Action, Adventure, Sci-Fi"
X-Men,"With Matthew Vaughn at the helm, X-Men: First Class is a classy, fun time that brings the best out of it's strong cast. The action scenes and dialogue pop with a ferocity, and breaths life into a incredibly engaging storyline.",,Anonymous,"Action, Adventure, Sci-Fi"
"Superb! Rock-solid script, two amazing lead performances (the film is basically a bromance).","What you need to know about this movie before you go and see it.  1. Michael Fassbender and James McAvoy are superb. Each one, alone,  would have made the movie terrific, but together? Forgetaboutit! Every  step of the way, every scene, every emotion, these two men own the  movie and watching their bromance is a treat from start to finish. Make  no mistake about it, even when the world is on the brink of utter  destruction what really matters is how these two men relate to one  another. And when you watch the movie, you will care.  2. Everyone in the cast is good. Kevin Bacon has never been better, and  Jennifer Lawrence is wonderful. Rose Byrne and January Jones aren't  given much to do, Ray Wise and Michael Ironside only have a few short  lines, but - across the board - the entire cast are a delight.  3. The story is tight. You've got a bad guy with a plan, which he sets  about executing in A/B/C fashion. Against him, the good guys work  together. Their motivations are different, of course, but they pretty  much want him stopped so they unite. That's it.  4. Charles and Erik are fascinating characters. They debate. And  viewers can debate endless about them, and about who is right, etc. As  you watch you desperately wish they could stay friends, but you  understand why they ultimately can't. Even if they themselves, in these  early days, don't understand it yet. To have that so perfectly captured  in a Summer Blockbuster movie is part of what makes this a treat and a  future classic. But, aside from their relationship to each other, the  movie takes time to make each of them interesting in his own right. We  get to see Charles as a teacher, for instance, and come to understand  how he impacts upon the lives of those he tutors. Some of Erik's best  moments (away from Charles) are in his comments to Mystique about her  appearance, making it clear that this man has more to him than the  shadow of his past.  4. Most supporting characters have very little screen time. But that's  okay, since this isn't THEIR story, really. Of the bunch, it is  Mystique and Beast who are best served. Both have terrific character  arcs that - in a lesser X-Men movie - might have been the highlight of  the film. Here, their stories serve as quality background material to  the main event (Charles and Erik). Beyond that, we just learn enough  about everyone to know what they can do and like them a little bit,  mostly through their banter and most obvious character traits. Once  scene where most of the supporting characters are clearly terrified  will certainly go a long way towards making you care about them for the  rest of the movie. On the downside: Shaw's two henchmen don't get  ANYTHING to do except use their powers, and at the end of the story we  know as much about Emma Frost as we did at the beginning. But these are  the exception, not the rule.  5. Visually, this movie is a treat. The FX are good, no surprise, but -  much better - the actual sets/costumes are beautiful. Whether it's a  remote CIA lab or a lap-dance club, whether it's the Magneto helmet or  Mystique's everyday clothes, you are always admiring 'the look' of  what's on screen.  6. There are action scenes all during the movie, but - having said that  - the movie builds as it goes. The first half is more  story-heavy/character-heavy so that when the action REALLY starts we  care about everyone. And, again, it works. Even with the scant details  given their characters, when Banshee and Havok (for example) go into  battle you are invested in them to a certain degree.  7. There are surprises. Deaths, betrayals, cameos and name-dropping.  But, as well as being cool, all of this makes perfect sense for the  story/universe of the movies.  Superb! Rock-solid script, two amazing lead performances (the film is  basically a bromance). Haven't been this excited about the X-Men  franchise since X2: X-Men United.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
Fantastic X-Men prequel,"Exhilarating action, formidable foes, well written, and highly entertaining throughout! I love Matthew Vaughn films or least most of them he's very good at his craft. Kevin Bacon is always great at villain roles along with the rest of the cast is so good. Part of me remembers seeing this in the theater that was fun especially then I had people to go with, in the last several years I mostly go by myself I hope that changes eventually either way X: First Class is exactly what you want it to be!",10.0,Anonymous,"Action, Adventure, Sci-Fi"
The Saga Begins,"In 1944, in Poland, the boy Erik Lehnsherr unleashes his magnetic power when his mother is sent to a concentration camp. The evil Dr. Sebastian Shaw (Kevin Bacon) brings Erik to his office and kills his mother, increasing his abilities through anger. In New York, the wealthy Charles Xavier (James McAvoy) meets the mutant Raven (Jennifer Lawrence) and invites her to live in his manor.In 1962, the CIA agent Moira MacTaggert (Rose Byrne) discovers the existence of mutants working with Shaw and the invites Professor Xavier to recruit mutants to work for the USA government. Xavier teams up with Raven, Erik and a group of young mutants. Sooner they learn that the evil Shaw has the intention of beginning a nuclear war to destroy the world and increase his power.""X-Men: First Class"" is an entertaining film for fans of action films with superheroes that discloses the beginning of the saga of the mutants. The plot has many flaws, like for example: why Erik destroys Dr. Shaw's office, kills the guards but does not destroy the killer Shaw? How Xavier and Raven become best friends after a five- minute dialog? Why the lack of gratitude of Raven after the accident with Xavier in the end? The power of Azazel is so exaggerated that becomes impossible to be defeated.Kevin Bacon is a great villain and the insertion in the context of the Cold War and using the Cuban Missile Crisis of 1962 as background is a funny joke. My vote is seven.Title (Brazil): ""X-Men: Primeira Classe"" (""X-Men: First Class"")",7.0,Anonymous,"Action, Adventure, Sci-Fi"
Possibly the best X-Men movie,"After X3 and Wolverine Origin our expectations for the X-Men franchise were pretty low if not gone completely. This seemed like a last ditch effort by Fox to make something out of X-Men. When pictures were being released I laughed at them with my friend. Beast looked weird and everything looked cheap. I went to the theater thinking, ""I don't know why I'm seeing this it's gonna be stupid.""What they made was so much more than a prequel. A lot of the times when these movies are made there only function is to explain why everything you already know came to be. This actually had a story to tell. And was the beginning of a great franchise. Casting was good. Even their self referential jokes were good.I don't know if Bret Ratner hated X-Men and was deliberately trying to ruin it but he did. Goddamn he did... So much that not only was the past the only place to go by the fact that they used time travel to correct this later on.They made the characters real, who we know but different. They aren't set in their ways yet. Magneto has his evil foundation but he's not there yet. Xavier isn't the teacher but it does come naturally to him. It's fun to see them young doing what kids do.The story is exciting and worth telling. A lot of really cool things happen. The 60s feel it's nice too.Little did we know then they this was the start of saving X-Men.",10.0,Anonymous,"Action, Adventure, Sci-Fi"
Best Xmen film yet!,"Xmen: First Class is simply fantastic. Strong emotion and explosive action. The acting is top notch. Delivery from every actor is at it's best, more so from Mystique, Beast, Xavier and Magneto.The story is more character based than action, however the action sequences are still superb. Personally i'd have liked to of seen it being a 15 and have a more adult but it wasn't a big issue. Also some more background story from the bad super's would have been good but again this wasn't too much of an issue and would leave some nice room for upcoming xmen movies.I don't want to say too much but to break it down... Go see this film no matter what you are into. There is something for everyone. 9/10 easy",9.0,Anonymous,"Action, Adventure, Sci-Fi"
Mediocre action movie with several embarrassing moments,"Everything went wrong with the X-men movies when Bryan Singer decided to stop directing them. The first X-men film was an amazing picture with excellent cast and superb directing despite the lower budget. X2 was even better, larger, deeper than the first one. Then Brett Ratner and the producers managed to screw a great story with just simply wrong timing and cutting and unnecessary rewritings of the script. I don't even mention Wolverine which was a mediocre Hollywood trash on the level of Daredevil or Elektra.The story here in X-men - First Class is not bad, you can feel that Bryan Singer had some ideas during the writing session. But the final result is very, very disappointing. We have a lot of interesting characters here but no time for a reasonable dialog between them. The young versions of our admired heroes are saying the silliest lines - repeatedly! - to each other with harsh, annoying, nonstop score in the background. The viewer has the feeling that it's just a two our long trailer of some summer blockbuster-wannabe - and I know it was meant to be a summer blockbuster but after the first two episodes I was expecting much-much more from this franchise.Matthew Vaughn is an otherwise extremely talented director, I love all his previous movies but this is lack of any of his virtues. Maybe the ironic view or the humor is missing here which he had before in Stardust or Kick/Ass. X-men is probably not that franchise where you can turn things to a grotesque, sarcastic direction, Vaughn tries it a couple of times and he usually fails. (There are some scenes that are supposed to be funny.) Okay, and what about being cool? Layer Cake is one of the coolest movies ever made, but that also can be said about X-men and X2. Well, this movie is unfortunately not cool at all. Maybe it tries too hard to be cool but this huge effort to overdo everything makes it undignified and embarrassing.The cast is superb though. It's nice to see that the producers had some money for the actors too not just for the action sequences. James McAvoy is great as always, Michael Fassbender is a perfect young Magneto, he just has some stupid lines and he can't do anything with them. But we have here the amazing Kevin Bacon, the very talented Jennifer Lawrence (watch Winter's Bone instead of this film), the coolest chick of the picture: January Jones (in a very silly costume - most of the costumes were probably borrowed from the wardrobe of Kick/Ass) and such great actors as Michael Ironside for insignificant tiny roles. Sadly, the script doesn't make an opportunity for any of these great actors to do something memorable.Well, at least the action sequences are pretty spectacular. However, there's nothing you haven't seen before in the earlier movies - or in somewhere else.Briefly: X-men - First Class is a mediocre Hollywood trash with wasted talents, ruined ideas and nice action sequences. Enjoy if you can.",6.0,Anonymous,"Action, Adventure, Sci-Fi"
