title,content,rating,username,genres
Amusing,"Being lucky, I already saw ""Yes Man"" and was pleasantly surprised. Jim Carrey is not really my all time favorite (despite his comic talent and acting skills), but in this movie he seems to have hit the spot.The story itself is really simple: Carl (Jim Carrey), a very negative man, goes to a meeting among the very positive Yes people, whose charismatic leader (Terence Stamp) preaches that one should say Yes to all questions and agree with all propositions. Carl is reluctantly convinced to try it out, and after meeting a girl on a scooter (the ever so lovely Zooey Deschanel) all sorts of things start happening around him. But being 100% positive might be tricky sometimes...It is all very silly, of course - but this feel-good comedy has a small undertone of seriousness as well. And it has a great cast, many delightful scenes, a reasonably relaxed Jim Carrey and a lighthearted style. Y/N? I say Y.",7.0,Anonymous,"Comedy, Romance"
Say yes!,"Yes Man follows the same basic genre comedy structure that we've seen an endless amount of times in the past few years. The main character has a big problem, they work to solve that problem, the problem is solved and happy times are had. Then another problem arises as a result to the solution to the original problem. So everyone is sad. But then that problem is solved and everyone lives happily ever after. And there's a message about how to live your life sprinkled in there. For every single comedy in the past few years with that structure, I've gotten so bored by the time it's over because I just lose interest when the drama comes in during the third act. I either don't care about the characters or I don't care about the message.Every comedy except for this one. Not only did I care about the characters so much (thanks mostly to the performances from Jim Carrey and Zooey Deschanel who put a beautiful, free-spirited romance at the core of this seemingly typical comedy) that I was emotionally impacted during that predictable turn for the worse near the end, but the message of the film was actually something that I found relatable to my own life which is something I've never experience during these kind of comedies. I'm definitely a man who doesn't really live his life (as cheesy as that sounds) because I isolate myself by making excuses to just be alone and not be with anyone. As a result, I was definitely more invested in this film than I have been with other comedies of the same vein.Add to all this the fact that it's completely hilarious throughout to the point where I have no hesitation in calling it the funniest movie of the year and easily the best straight comedy (not that there have been many good ones; three by my count). Plus, of course, Zooey Deschanel is absolutely infectious in every moment she's on screen (especially her lovely singing). I love her more than air, and this is just another example of why that love is justified. Call it fanboyism if you must, but she's my #2 of the year in supporting actress right now falling second only to the Cruz. In summation, do yourself a favor and say yes to this great comedy.I'm so sorry, I had to say it.",8.0,Anonymous,"Comedy, Romance"
Yes Man,"I always get excited about a new Jim Carrey movie. In my opinion, he has rarely done anything unwatchable in whatever genre from The Mask to Liar Liar via Eternal Sunshine of the spotless mind. Yes Man is an excellent feel-good comedy with an outstanding turn from Jim Carrey, Zooey Deschanel & Terence Stamp. The movie is unfortunately predictable (like most Jim Carey flicks) but very enjoyable with a hard-to-ignore message about how people should live their lives. Don't be surprised after seeing the film to start saying yes a bit more often and how much of a difference it may have on your daily life. Yes Man is a worthy addition to Jim Carrey's filmography.",7.0,Anonymous,"Comedy, Romance"
"Pure joy. A great film, true to its rom-com genre roots. I was uplifted, and grandly entertained!","Yes Man was a delight to watch. Critics had panned it a bit, but unfairly, in my view. Granted, it is formulaic, but it IS a rom-com, and rom-coms have formulas. What made this film so great was the natural charm of Zooey Deschanel. She is beautiful, of course, but not in a ""model-y"" kind of way. She has always had a freshness and honesty about her that makes her appealing. When I first saw her in ""Almost Famous,"" playing the older sister, I wished I had an older sister like that. When she played the girl lead in Big Trouble, she was quirky, but without any of the self-aware conceit that can often accompany quirky young female actors. I will be kind and avoid names, but perhaps you can picture in your mind some of the ""Tragically Hip"" and oh-so-cool young actresses who do quirk with a smirk. Zooey Deschanel has an innocence and a friendly quality that really make her shine, in the way a flower shines.Jim Carrey was also very good in this. He is who he is--- goofy and loopy and elastic. This wasn't a ""Serious Role,"" such as Truman Show serious--- but wasn't over the top like Ace Ventura. Maybe he's mellowed with age. I liked him as a wild kid, but like him even more now that he is a bit ""evened out."" He is still hilarious--- but also a bit more human, and a bit more approachable.This movie runs through its rom-com paces, but each new scene, while a bit predictable, was nonetheless a pleasure. I felt uplifted by the end, and am very glad I went, even in the blizzard occurring where I am now staying. It was worth it!",6.0,Anonymous,"Comedy, Romance"
Funnyman Jim Carrey Returns,"After seeing ""The Number 23"" I was beginning to wonder if Jim Carrey had renounced his trademark physical comedy roles he played to such great effect in ""Bruce Almighty"", ""Liar, Liar"", ""Dumb & Dumber"", etc.Carrey is back in form with ""Yes Man"". While the plot was lacking and somewhat formulaic, it was fun to watch the best physical comedy talent of our generation doing what he does best for two hours. Zooey Deschanel was good as the love interest (and she did a nice job singing to).If you liked Carrey's earlier works, you'll find plenty to like in this movie. I hope Carrey keeps on doing these comedies. It's what he was born to do.",7.0,Anonymous,"Comedy, Romance"
A very good flick!,"I saw this movie as a early showing and having gotten the tickets for free I said ""what the heck, I'll see anything for free"". So right off the bat I went in with low expectations. The previews made it look like the same old Jim Carrey Schtick. However, I was pleasantly surprised.There was no ridiculous plot line (Liar Liar) or over the top characters (Ace Ventura) but a simple yet humorous story-line that is played to perfection by Carrey. There were plenty of good chuckles to be had and some down right laughs (and yes for those into it, a gross out scene that will make even this amazingly desensitized movie going generation cringe).Overall, Yes Man is definitely worth the 10 bucks or so that movies are now ridiculously priced out now a days. But most definitely worth the trip if its free :-p.*7/10*",7.0,Anonymous,"Comedy, Romance"
Don't be a no man!,"I went to this film as one of those process-of-elimination things: Valkry had Tom Cruise, my friend had already seen Benjamin Button, Spirit's show-times suck, my local theater is idiotic and not showing Doubt or Slumdog Millionaire, all leaving Yes Man which neither of us were enthused about, but hey! it got us out of the house. We were shocked to leave the theater with our lungs hurting. The movie was well thought, well executed, and the humor was smart, snappy, and so far from the usual toilet humor of Jim Carrey. I was throughly and delightfully surprised with this film. On the note of message: I think this film actually has a very valuable message. Never in the history of humankind has the average person had so many opportunities to live life in ways never before imagined, yet never before have we been so isolated. Our computers; our phones; our mp3s and ipods; dare I say it, our movies all keep us isolated from actual social interaction. We are skeptical and judgmental about those who actually seek social interaction and friendship (site: Norman) that we fail to realize we are the ones who are actually lame--we are the ones not gathering with the people we love and those we have yet to meet. We are the ones spending our nights lulled into lame predictability, sitting in front of our TVs, telling characters in films to ""just snap it off already."" Yes Man is not just a fun filled film. It is a well deserved social critique.",10.0,Anonymous,"Comedy, Romance"
This movie is a fun one has good humor and is interesting until somewhere before the end.,"This movie is a fun one has good humor and is interesting until somewhere before the end. I mean don't expect the best work of Jim Carrey here but it's better than Bruce Almighty in my opinion. The humor is understandable by anyone but not one in a dozen, it is keeps it freshness throughout.Unfortunately there are some problems with this movie as well, the movie keeps strict to the formula of a Rom-Com so you aren't surprised anywhere and can guess the plot from the beginning to the end. This is not to bad if you can switch off your mind and just enjoy the movie.Worse is the need to have a moralistic end. Without telling how or what I will just say that this forced moralistic ending upsets the whole flow of the movie and it would have made a better movie if it had been left out. The moral is to obvious and just bad.The last flaw I really noticed was the enormous amount of products which were being endorsed by the film. It was almost funnier to watch every product which came by then the jokes of the film itself. Anyway it would make a great drinking game if you would drink every time anyone saw a product endorsement. One scene particularly would get you loaded when Jim Carrey shout a brand name at least ten times.Again in short it was a good film but it could have been better. And if you need a drinking game this movie is bound to get you loaded.",7.0,Anonymous,"Comedy, Romance"
The world is a playground.,"I've seen this movie so many times now. It's hilarious and inspiring all at once. Zooey is perfect in her role, as are the rest of the cast. It has a great soundtrack, it's entertaining and never gets boring, it's moving, and it inspires you to get out and enjoy the world. The humour is smart, none of that toilet humour that I detest.
I think anyone can be inspired by this movie, it's not about doing extreme things or expensive things (like learning how to fly), it's about saying yes to life and yes to opportunities. Even if it it's something small.",10.0,Anonymous,"Comedy, Romance"
"Say ""Yes"" to ""Yes Man""","""Yes Man"" is surprisingly good, and here the punch line is everything. Jim Carrey is great in Director Peyton Reed's hysterical romantic comedy. Zooey Deschanel is amazingly charming and quirky. In ""Yes Man"" Carrey plays Carl, who has been divorced for 3 years from Stephanie (flighty and hot Molly Sims) and has an uninspired job as a loan officer at Brea Savings in Los Angeles. Carl has pretty much checked out in life. To that end he says ""No"" to all invites. Carl even forgets to attend his best friend Peter's (funny Bradley Cooper) engagement party. An old buddy invites Carl to a seminar given by Tony Robbins-like self help guru Terrence Bundley (charismatic Terrence Stamp). Terrence invites Carl to accept the ""covenant"" to say ""Yes"" to everything in life. Reluctantly, Carl accepts.However, there is a point to the screenplay by Nicholas Stoller, Jarrad Paul, and Andrew Mogel based on the book by Danny Wallace. In a great conversation with Carl and Terrence later in the story Carl asks, ""So this is bullsh*t?"" Carl has been so not present in his own life. Obviously, saying ""Yes"" mindlessly to everything is ridiculous. What if taking on saying ""Yes"" as an operating practice is a way of practicing being enrolled in life. When you are enrolled in life, and become enrolling, you are now open to a new realm of possibility. Reed and his writers present this transformed perspective in both a hysterical and touching manner.Saying ""Yes"" immediately does not seem to make a difference for Carl. Carl ends up giving a ride and all of his money to Homeless Guy (funny Brent Briscoe). With his cell phone dead and his car empty on gas, Carl ventures miles to a gas station where he meets free-spirited scooter girl Allison (Deschanel). Allison gives Carl a ride, and leaves an indelible mark on his heart. In not the most linear or obvious ways, Carl soon embraces saying ""Yes"". Peter asks, ""So you say 'yes' to everything?"" Carl confesses, ""I wasn't open to stuff. Now I am""Carl eventually is fated to meet up with Allison. Carl tells Peter that ""She is so not me."" There in lies the genius. There is a quiet moment at the Hollywood Bowl where Allison tells Carl, ""The whole world is a playground. Somewhere along the way everyone forgets that"" Here Reed is unexpectedly poignant. Carrey and Zooey's sweet and funny chemistry give ""Yes Man"" its big heart.""Yes Man"" is hysterical. Carrey is at his best playing outrageous comedic with an underlying humanity, instead of straight up serious drama. He is amazingly hysterical as he serenades a Jumper (funny Luis Guzman), takes a drunken beating from an angry boyfriend, and jacked up on Red Bull in a jogging photography class. Zooey Deschanel is Carrey's amazing romantic foil. There is a nice scene as she and Carrey walk side by side along a barren Nebraska road. She is cute and has such a radiant spirit and vulnerability. So her Allison must touchingly reconcile for herself whether Carl is just saying ""Yes"". ""Yes Man"" is about what's in your heart and being open to all the possibilities of life. That's not a bad message for a hilarious and outrageous comedy from Jim Carrey and Peyton Reed. Say ""Yes"" to ""Yes Man"".",9.0,Anonymous,"Comedy, Romance"
